DateTime,Entries,UniqueIPs
1546555959,1101,1101
1546557870,1103,1103
1546560121,1092,1092
1546561949,1078,1078
1546563885,1056,1056
1546565789,1054,1054
1546567718,1041,1041
1546569614,1033,1033
1546571553,1034,1034
1546573479,1033,1033
1546575639,1038,1038
1546577576,1038,1038
1546579461,1041,1041
1546581404,1056,1056
1546583299,1067,1067
1546585326,1083,1083
1546587184,1094,1094
1546589068,1103,1103
1546591000,1112,1112
1546592909,1122,1122
1546594824,1141,1141
1546596786,1147,1147
1546598695,1163,1163
1546600582,1046,1046
1546602520,1061,1061
1546604434,1066,1066
1546606395,1076,1076
1546608281,1084,1084
1546610174,1068,1068
1546612118,1076,1076
1546614274,1071,1071
1546616447,1065,1065
1546618588,1060,1060
1546620785,1061,1061
1546622682,1064,1064
1546624606,1082,1082
1546626500,1112,1112
1546628536,1145,1145
1546630610,1179,1179
1546632774,1213,1213
1546634660,1252,1252
1546636587,1278,1278
1546638507,1303,1303
1546640455,1318,1318
1546642361,1335,1335
1546644263,1351,1351
1546646204,1365,1365
1546648011,1188,1188
1546650034,1200,1200
1546651943,1202,1202
1546653869,1201,1201
1546655797,1208,1208
1546657961,1231,1231
1546659857,1238,1238
1546662045,1235,1235
1546663956,1232,1232
1546665873,1248,1248
1546667773,1267,1267
1546669575,1286,1286
1546671705,1309,1309
1546673540,1321,1321
1546675732,1341,1341
1546677618,1357,1357
1546679555,1379,1379
1546681465,1403,1403
1546683484,1419,1419
1546685591,1431,1431
1546687463,1264,1264
1546689374,1260,1260
1546691297,1266,1266
1546693240,1271,1271
1546695131,1268,1268
1546697065,1284,1284
1546699221,1294,1294
1546701139,1307,1307
1546703078,1314,1314
1546705011,1313,1313
1546706903,1326,1326
1546708831,1323,1323
1546710760,1321,1321
1546712662,1319,1319
1546714589,1309,1309
1546716497,1308,1308
1546719384,1298,1298
1546721317,1293,1293
1546723217,1279,1279
1546725157,1254,1254
1546727073,1241,1241
1546729262,1228,1228
1546731190,1211,1211
1546733087,1195,1195
1546734971,1184,1184
1546737141,1164,1164
1546739328,1151,1151
1546741220,1133,1133
1546743425,1117,1117
1546745550,1090,1090
1546747478,1077,1077
1546749624,1059,1059
1546751548,1048,1048
1546753459,1034,1034
1546755371,1017,1017
1546757351,989,989
1546759245,977,977
1546761137,955,955
1546763089,936,936
1546764973,907,907
1546766898,882,882
1546768871,861,861
1546770869,836,836
1546773164,816,816
1546775058,788,788
1546776994,760,760
1546779142,721,721
1546781076,691,691
1546782977,655,655
1546784897,615,615
1546787080,570,570
1546789498,570,570
1546791914,569,569
1546793786,568,568
1546795720,567,567
1546797691,569,569
1546799544,571,571
1546801481,571,571
1546803326,572,572
1546805327,573,573
1546807226,574,574
1546809170,86,86
1546811060,87,87
1546813281,91,91
1546815160,91,91
1546817079,94,94
1546818982,96,96
1546821152,95,95
1546823309,229,229
1546825259,288,288
1546827193,319,319
1546829094,352,352
1546831006,394,394
1546833191,422,422
1546835061,451,451
1546837006,467,467
1546838949,485,485
1546840924,513,513
1546842778,539,539
1546844701,568,568
1546846581,589,589
1546848521,610,610
1546850418,639,639
1546852347,665,665
1546854276,687,687
1546856211,710,710
1546858489,739,739
1546860492,758,758
1546862505,783,783
1546864370,796,796
1546866541,821,821
1546868417,849,849
1546870346,872,872
1546872291,901,901
1546874178,938,938
1546876365,977,977
1546878290,995,995
1546880200,1018,1018
1546882128,1043,1043
1546884065,1055,1055
1546885975,1080,1080
1546887886,1111,1111
1546890051,1128,1128
1546891940,1149,1149
1546893887,1174,1174
1546895788,1194,1194
1546897731,1212,1212
1546899626,1241,1241
1546901540,1253,1253
1546903471,1261,1261
1546905415,1274,1274
1546907571,1296,1296
1546909465,1294,1294
1546911380,1295,1295
1546913570,1292,1292
1546915475,1295,1295
1546917409,1291,1291
1546919296,1292,1292
1546921218,1296,1296
1546923171,1294,1294
1546925085,1298,1298
1546926984,1289,1289
1546928936,1291,1291
1546931197,1277,1277
1546933252,1276,1276
1546935135,1277,1277
1546937056,1263,1263
1546938986,1256,1256
1546941153,1242,1242
1546943085,1235,1235
1546944983,1227,1227
1546946893,1231,1231
1546948852,1235,1235
1546950912,1233,1233
1546953162,1222,1222
1546955060,1213,1213
1546956997,1207,1207
1546959165,1215,1215
1546961070,1214,1214
1546962994,1212,1212
1546964899,1216,1216
1546966866,1219,1219
1546968764,1227,1227
1546970698,1235,1235
1546972605,1231,1231
1546974762,1229,1229
1546976909,1243,1243
1546978833,1251,1251
1546980753,1254,1254
1546982664,1256,1256
1546984595,1259,1259
1546986769,1254,1254
1546988703,1257,1257
1546990600,1265,1265
1546992507,1256,1256
1546994418,1260,1260
1546996390,1254,1254
1546998275,1250,1250
1547000449,1259,1259
1547002357,1269,1269
1547004257,1269,1269
1547006194,1282,1282
1547008373,1283,1283
1547010289,1283,1283
1547012202,1290,1290
1547014127,1287,1287
1547016042,1281,1281
1547017944,1275,1275
1547019879,1273,1273
1547022046,1276,1276
1547023972,1275,1275
1547025856,1294,1294
1547027800,1295,1295
1547029726,1283,1283
1547031702,1284,1284
1547033575,1268,1268
1547035509,1258,1258
1547037408,1250,1250
1547039299,1238,1238
1547041478,1231,1231
1547043389,1232,1232
1547045321,1224,1224
1547047464,1224,1224
1547049675,1244,1244
1547051788,1245,1245
1547053953,1242,1242
1547056102,1249,1249
1547058272,1239,1239
1547060199,1246,1246
1547062097,1253,1253
1547064078,1244,1244
1547065948,1233,1233
1547067892,1230,1230
1547070094,1237,1237
1547071949,1234,1234
1547074139,1229,1229
1547076054,1227,1227
1547077945,1237,1237
1547080407,1224,1224
1547082533,1216,1216
1547084432,1219,1219
1547086345,1221,1221
1547088251,1211,1211
1547090202,1215,1215
1547092340,1208,1208
1547094291,1203,1203
1547096168,1199,1199
1547098092,1201,1201
1547100297,1204,1204
1547102167,1206,1206
1547104370,1209,1209
1547106251,1198,1198
1547108201,1189,1189
1547110103,1174,1174
1547112285,1163,1163
1547114435,1169,1169
1547116592,1175,1175
1547118759,1176,1176
1547120928,1177,1177
1547123066,1178,1178
1547125004,1184,1184
1547126891,1177,1177
1547128892,1188,1188
1547130741,1183,1183
1547132684,1186,1186
1547134594,1179,1179
1547136569,1173,1173
1547138836,1181,1181
1547141081,1173,1173
1547143261,1170,1170
1547145167,1173,1173
1547147116,1168,1168
1547149237,1159,1159
1547151163,1163,1163
1547153064,1164,1164
1547155237,1151,1151
1547157163,1149,1149
1547159068,1152,1152
1547161272,1156,1156
1547163150,1155,1155
1547165081,1155,1155
1547166977,1158,1158
1547168916,1165,1165
1547170811,1167,1167
1547172761,1159,1159
1547174663,1162,1162
1547176593,1163,1163
1547178494,1172,1172
1547180417,1176,1176
1547182340,1180,1180
1547184278,1173,1173
1547186549,1166,1166
1547188356,1181,1181
1547190287,1177,1177
1547192437,1179,1179
1547194355,1178,1178
1547196272,1170,1170
1547198431,1163,1163
1547200359,1161,1161
1547202265,1159,1159
1547204180,1157,1157
1547206106,1160,1160
1547208034,1164,1164
1547210205,1174,1174
1547212118,1180,1180
1547214050,1183,1183
1547216206,1185,1185
1547218336,1185,1185
1547220292,1188,1188
1547222456,1186,1186
1547224585,1187,1187
1547226515,1183,1183
1547228421,1186,1186
1547230362,1192,1192
1547232517,1192,1192
1547234684,1188,1188
1547236567,1187,1187
1547239012,1195,1195
1547241141,1204,1204
1547243085,1207,1207
1547245242,1211,1211
1547247403,1204,1204
1547249587,1211,1211
1547251735,1210,1210
1547253649,1200,1200
1547255547,1203,1203
1547257489,1202,1202
1547259399,1201,1201
1547261568,1199,1199
1547263475,1194,1194
1547265720,1178,1178
1547267550,1179,1179
1547269496,1175,1175
1547271383,1165,1165
1547273822,1158,1158
1547275702,1155,1155
1547277667,1159,1159
1547279554,1162,1162
1547281486,1168,1168
1547283393,1169,1169
1547285548,1192,1192
1547287518,1192,1192
1547289661,1202,1202
1547291575,1193,1193
1547293457,1182,1182
1547295641,1185,1185
1547297571,1181,1181
1547299481,1168,1168
1547301392,1161,1161
1547303296,1168,1168
1547305495,1173,1173
1547307655,1172,1172
1547309830,1169,1169
1547311889,1169,1169
1547313893,1165,1165
1547315772,1177,1177
1547317698,1176,1176
1547320585,1171,1171
1547322533,1168,1168
1547324428,1173,1173
1547326334,1167,1167
1547328292,1167,1167
1547330169,1161,1161
1547332408,1160,1160
1547334509,1163,1163
1547336429,1153,1153
1547338624,1155,1155
1547340498,1156,1156
1547342455,1153,1153
1547344363,1156,1156
1547346284,1164,1164
1547348185,1165,1165
1547350097,1174,1174
1547352309,1181,1181
1547354453,1180,1180
1547356360,1181,1181
1547358510,1176,1176
1547360447,1173,1173
1547362349,1169,1169
1547364279,1174,1174
1547366519,1164,1164
1547368342,1153,1153
1547370537,1152,1152
1547372688,1146,1146
1547374829,1158,1158
1547376734,1153,1153
1547378687,1156,1156
1547380572,1160,1160
1547382517,1159,1159
1547384472,1155,1155
1547386348,1155,1155
1547388526,1156,1156
1547390437,1148,1148
1547392374,1149,1149
1547394253,1150,1150
1547396258,1149,1149
1547398335,1146,1146
1547400276,1155,1155
1547402476,1146,1146
1547404364,1146,1146
1547406270,1158,1158
1547408416,1160,1160
1547410371,1171,1171
1547412252,1173,1173
1547414200,1176,1176
1547416334,1168,1168
1547418274,1170,1170
1547420461,1173,1173
1547422366,1184,1184
1547424318,1184,1184
1547426175,1186,1186
1547428360,1188,1188
1547430261,1192,1192
1547432213,1195,1195
1547434128,1201,1201
1547436294,1198,1198
1547439640,1201,1201
1547441569,1199,1199
1547443731,1197,1197
1547445689,1207,1207
1547447567,1209,1209
1547449498,1206,1206
1547451415,1194,1194
1547453541,1193,1193
1547455478,1188,1188
1547457644,1171,1171
1547459536,1160,1160
1547461451,1145,1145
1547463403,1144,1144
1547465298,1143,1143
1547467230,1137,1137
1547469270,1133,1133
1547471099,1139,1139
1547472985,1148,1148
1547474953,1140,1140
1547476824,1137,1137
1547479003,1130,1130
1547480920,1124,1124
1547482842,1123,1123
1547484734,1127,1127
1547486671,1130,1130
1547488615,1148,1148
1547490501,1153,1153
1547492473,1151,1151
1547494369,1152,1152
1547496264,1156,1156
1547498200,1139,1139
1547500362,1134,1134
1547502267,1123,1123
1547504597,1137,1137
1547506595,1127,1127
1547509169,1125,1125
1547511147,1147,1147
1547513075,1149,1149
1547514991,1150,1150
1547517155,1163,1163
1547519084,1164,1164
1547520977,1157,1157
1547522900,1165,1165
1547524871,1171,1171
1547526734,1191,1191
1547528724,1223,1223
1547530836,1221,1221
1547532772,1218,1218
1547534898,1226,1226
1547536823,1237,1237
1547538731,1243,1243
1547540669,1262,1262
1547542881,1271,1271
1547544740,1277,1277
1547546689,1280,1280
1547548856,1290,1290
1547550745,1291,1291
