DateTime,AddedIPs,RemovedIPs
1543590770,0,2
1543596516,1,0
1543598414,1,0
1543602275,1,0
1543608098,0,2
1543619793,0,1
1543639476,1,0
1543647155,0,1
1543656765,1,0
1543682895,0,1
1543684813,0,1
1543686753,1,0
1543688676,0,1
1543695400,1,0
1543706914,1,0
1543708877,1,0
1543714599,1,0
1543722268,1,0
1543726128,0,1
1543743415,0,1
1543770787,1,0
1543772680,0,1
1543780858,1,1
1543792607,0,1
1543794759,0,1
1543798577,1,0
1543802483,0,1
1543804360,1,0
1543808172,0,1
1543849967,1,0
1543857625,0,1
1543868232,0,1
1543872269,1,0
1543875399,2,0
1543883803,0,1
1543891720,0,1
1543899713,1,0
1543905406,1,0
1543909248,1,0
1543916913,1,0
1543936811,0,1
1543942834,1,0
1543952925,1,0
1543958902,0,1
1543960990,0,2
1543969016,1,0
1543970913,1,0
1543982713,1,0
1543986510,0,1
1543990608,1,1
1543996598,0,1
1544028534,0,1
1544040296,0,1
1544044375,0,1
1544056097,0,2
1544058274,1,0
1544068346,1,0
1544070288,0,1
1544078210,0,1
1544092120,1,0
1544099808,1,0
1544144663,0,1
1544156212,0,1
1544174207,1,0
1544178044,0,1
1544185729,1,0
1544217141,0,1
1544260127,0,1
1544268277,1,0
1544272147,0,1
1544340765,1,0
1544348657,1,0
1544354420,0,1
1544414443,1,0
1544420424,1,0
1544428094,0,1
1544435791,0,1
1544443493,1,0
1544459778,1,0
1544489331,1,0
1544501540,0,1
1544507570,0,1
1544529166,0,1
1544545477,1,1
1544553417,1,0
1544565159,1,0
1544573230,1,0
1544575222,1,1
1544585074,1,0
1544606899,1,0
1544623307,1,0
1544630956,0,1
1544637163,2,0
1544639056,0,1
1544647000,1,0
1544651081,0,1
1544658993,1,1
1544663063,0,1
1544671472,0,1
1544679864,1,0
1544685866,1,0
1544687806,1,0
1544693789,0,1
1544697617,1,0
1544699788,1,0
1544709642,0,1
1544723560,1,2
1544733639,0,1
1544746108,0,1
1544762333,1,0
1544766259,0,1
1544772277,0,1
1544774172,0,1
1544782141,1,0
1544785941,0,1
1544802040,0,1
1544809691,0,1
1544847887,0,1
1544853731,1,0
1544855546,1,0
1544865856,1,0
1544868095,1,1
1544889862,1,0
1544897542,1,0
1544899492,1,0
1544901384,1,0
1544909536,1,0
1544940525,0,1
1544942429,0,1
1544944358,1,0
1544946304,2,0
1544953942,0,1
1544955876,1,1
1544977005,0,1
1544982736,0,1
1544984667,0,1
1544986594,0,1
1544996416,0,1
1545031477,0,2
1545033381,0,1
1545035319,1,0
1545042997,0,1
1545055001,1,0
1545056899,1,0
1545076370,1,0
1545080197,1,0
1545103944,1,0
1545123145,0,1
1545133230,1,0
1545140921,0,1
1545143091,0,1
1545162750,0,1
1545166895,0,1
1545184576,1,0
1545190344,0,1
1545200185,1,0
1545210529,1,0
1545212414,1,0
1545214340,1,0
1545220344,0,1
1545225396,1,0
1545239085,1,0
1545240991,1,0
1545244812,1,0
1545254679,1,0
1545256580,1,0
1545262645,1,0
1545272208,0,1
1545280123,1,0
1545284153,1,0
1545286127,0,1
1545294025,1,0
1545295938,0,1
1545297896,0,1
1545301963,0,1
1545304127,1,0
1545307945,1,0
1545309854,0,1
1545317794,1,0
1545325484,0,1
1545327373,0,1
1545331213,0,1
1545340816,0,1
1545342748,0,1
1545348789,0,1
1545364601,2,0
1545366515,1,1
1545376351,1,0
1545380450,0,1
1545392174,1,1
1545394105,0,1
1545401799,1,0
1545403958,0,1
1545407802,1,0
1545415465,1,0
1545423407,2,0
1545425325,2,0
1545438766,1,0
1545440656,1,0
1545450764,0,1
1545452689,0,3
1545463212,0,1
1545479084,0,1
1545482925,1,0
1545486750,1,0
1545488658,0,1
1545494686,0,1
1545502332,0,1
1545510253,1,2
1545512482,0,2
1545522283,2,0
1545524207,0,1
1545528015,0,1
1545529930,1,0
1545531853,1,0
1545535711,1,0
1545542447,1,0
1545567889,0,1
1545573158,1,1
1545588121,1,0
1545597652,0,1
1545603868,1,0
1545608435,0,1
1545610596,0,1
1545616571,1,0
1545618492,0,1
1545620501,1,0
1545622462,0,1
1545628100,0,1
1545631966,1,0
1545643692,1,0
1545659059,1,1
1545662894,1,0
1545666764,1,0
1545674515,0,1
1545690283,0,1
1545704188,1,1
1545706101,0,1
1545719801,0,1
1545725811,0,1
1545729861,0,1
1545733696,1,0
1545747655,0,2
1545753451,0,1
1545777852,1,0
1545791544,0,1
1545795375,1,0
1545841000,0,1
1545847291,1,0
1545849145,1,0
1545864508,0,1
1545872200,1,0
1545882260,0,1
1545887777,1,0
1545901697,1,0
1545931227,1,0
1545933157,0,1
1545936997,0,1
1545950690,1,0
1545958346,0,1
1545971785,1,0
1545973700,0,1
1545983556,1,0
1545989540,0,1
1545995321,1,0
1546003246,1,0
1546009009,1,0
1546012873,1,0
1546016679,0,1
1546020751,1,0
1546022659,1,0
1546028414,1,0
1546038048,0,1
1546058436,0,1
1546070500,0,1
1546081952,0,1
1546087947,1,0
1546089860,0,1
1546095673,0,1
1546099488,0,1
1546103542,1,0
1546107395,0,1
1546109543,0,1
1546111463,1,0
1546115294,0,1
1546151061,1,0
1546162843,2,0
1546174363,0,1
1546186384,1,0
1546188258,0,1
1546194532,1,0
1546199298,0,1
1546203173,1,0
1546205056,1,0
1546218981,1,0
1546236280,0,1
1546244184,1,0
1546246119,1,0
1546248039,0,1
1546249936,0,1
1546257887,1,0
1546261939,2,0
1546273451,0,1
1546281627,0,1
1546289539,0,1
1546291456,0,1
1546305384,2,1
1546314500,1,0
1546330347,1,1
1546332256,0,1
1546344113,0,1
1546347883,0,1
1546349782,0,1
1546357694,1,0
1546361541,1,0
1546392289,0,2
1546401879,0,1
1546417693,0,1
1546435005,1,0
1546442666,1,0
1546444574,0,1
1546454202,1,0
1546462328,2,0
1546468346,1,0
1546476291,1,0
1546482518,1,0
1546503403,1,0
1546516866,1,0
1546522577,0,1
1546528370,0,1
1546532212,0,1
1546540351,0,1
1546542288,1,0
1546548262,0,2
1546552116,1,0
1546555959,0,1
1546561949,0,1
1546569615,0,1
1546589069,0,1
1546594824,1,0
1546602520,0,1
1546612118,2,0
1546618588,1,0
1546630611,1,1
1546634661,2,0
1546638508,0,1
1546642361,1,0
1546644264,1,0
1546653871,1,0
1546669575,1,0
1546681465,0,1
1546683484,1,0
1546687463,1,0
1546689374,1,0
1546695131,1,0
1546699222,1,2
1546703079,0,1
1546708832,1,0
1546710761,1,0
1546714590,1,0
1546716498,0,1
1546721318,0,2
1546727074,1,0
1546729266,0,2
1546739329,1,1
1546743426,1,0
1546749625,1,0
1546757351,1,1
1546766898,1,0
1546770869,1,1
1546775059,0,2
1546779143,1,0
1546781076,0,1
1546787081,0,1
1546795721,0,1
1546797697,1,1
1546801482,0,1
1546803326,1,0
1546813281,0,1
1546827194,0,1
1546829095,0,1
1546835061,0,1
1546838950,1,0
1546844701,0,1
1546846582,1,0
1546848521,1,0
1546854276,0,1
1546856211,1,1
1546858490,1,0
1546864371,1,1
1546874179,1,0
1546884073,0,1
1546890051,0,1
1546899627,1,0
1546911381,1,0
1546917409,2,0
1546925086,1,1
1546933253,0,1
1546935135,0,1
1546941154,1,1
1546943085,0,1
1546950912,0,1
1546961070,0,1
1546962994,1,0
1546968764,1,0
1546970698,1,0
1546984596,1,0
1546986770,0,1
1546998276,0,1
1547004258,0,2
1547012203,0,1
1547019880,1,0
1547022047,1,0
1547027801,0,1
1547029727,1,0
1547049678,0,1
1547053953,0,1
1547058273,0,1
1547062097,2,0
1547067893,1,0
1547071950,1,1
1547076055,1,0
1547077946,2,0
1547088252,1,0
1547098093,1,0
1547102168,1,0
1547106251,0,1
1547108201,0,1
1547114438,0,1
1547116592,1,0
1547118760,1,0
1547145167,1,0
1547147117,0,1
1547149238,0,1
1547153064,0,1
1547155237,1,0
1547159069,0,1
1547164358,0,3
1547168187,2,0
1547174193,0,1
1547176359,1,0
1547184031,0,1
1547187885,0,1
1547191025,1,0
1547202773,1,0
1547204707,0,2
1547231793,0,1
1547233737,1,0
1547239967,1,0
1547241849,1,1
1547254095,0,1
1547265889,1,0
