DateTime,AddedIPs,RemovedIPs
1546552097,19,3
1546554030,17,4
1546555958,12,1
1546557856,5,3
1546560097,8,21
1546561947,9,27
1546563883,10,32
1546565788,11,14
1546567717,9,22
1546569613,8,17
1546571552,9,10
1546573478,12,14
1546575637,19,13
1546577575,20,21
1546579459,12,9
1546581402,18,3
1546583298,13,1
1546585320,19,3
1546587182,14,4
1546589067,13,4
1546590999,9,15
1546592906,13,5
1546594820,16,4
1546596785,10,5
1546598694,23,4
1546600580,11,125
1546602519,17,3
1546604432,6,3
1546606393,12,2
1546608279,18,7
1546610173,8,24
1546612116,31,22
1546614272,28,31
1546616445,22,29
1546618586,28,34
1546620783,25,24
1546622681,25,21
1546624604,30,12
1546626499,31,3
1546628505,35,2
1546630609,42,6
1546632772,39,5
1546634656,45,9
1546636585,31,1
1546638506,29,6
1546640454,21,4
1546642359,20,3
1546644262,22,3
1546646203,33,18
1546648010,10,187
1546650031,22,10
1546651942,16,14
1546653866,15,12
1546655796,19,12
1546657960,32,7
1546659857,21,13
1546662044,22,22
1546663955,17,18
1546665872,22,3
1546667771,21,1
1546669573,23,1
1546671660,26,2
1546673539,15,0
1546675731,21,2
1546677617,19,2
1546679554,26,2
1546681463,28,4
1546683482,22,3
1546685589,24,15
1546687451,18,185
1546689373,23,28
1546691295,21,14
1546693234,20,15
1546695129,19,24
1546697063,31,14
1546699220,28,21
1546701138,24,11
1546703076,22,15
1546705010,16,17
1546706902,29,14
1546708830,20,21
1546710759,24,26
1546712661,20,24
1546714588,22,32
1546716496,22,23
1546719383,35,45
1546721316,32,36
1546723215,13,26
1546725155,0,28
1546727072,6,18
1546729256,2,18
1546731189,3,23
1546733085,5,19
1546734969,3,20
1546737140,1,21
1546739327,8,22
1546741218,3,20
1546743424,6,23
1546745549,5,30
1546747474,3,17
1546749623,4,24
1546751547,9,18
1546753458,4,19
1546755369,4,23
1546757349,4,29
1546759244,1,15
1546761136,3,23
1546763087,3,21
1546764971,1,29
1546766896,4,28
1546768846,1,24
1546770868,4,30
1546773163,3,24
1546775057,3,34
1546776992,5,28
1546779141,6,44
1546781074,3,33
1546782976,4,37
1546784896,3,45
1546787076,5,49
1546789497,4,6
1546791913,4,3
1546793784,2,6
1546795719,5,6
1546797656,7,5
1546799542,4,4
1546801480,4,3
1546803325,5,4
1546805326,3,4
1546807225,6,6
1546809169,4,494
1546811059,2,0
1546813279,10,8
1546815159,3,3
1546817077,7,2
1546818980,11,3
1546821151,3,5
1546823307,135,1
1546825258,63,5
1546827189,34,4
1546829093,37,8
1546831005,43,0
1546833185,35,5
1546835060,32,4
1546837004,20,7
1546838948,22,4
1546840917,32,6
1546842777,26,2
1546844698,32,6
1546846580,23,1
1546848519,23,4
1546850416,30,1
1546852345,26,1
1546854275,26,2
1546856209,27,4
1546858488,35,3
1546860491,20,2
1546862474,26,4
1546864369,17,6
1546866540,33,6
1546868415,28,1
1546870345,29,5
1546872289,35,5
1546874177,41,3
1546876364,40,3
1546878289,20,3
1546880199,24,3
1546882127,31,4
1546884037,18,7
1546885973,29,5
1546887885,34,1
1546890049,23,7
1546891938,25,3
1546893886,29,6
1546895786,25,4
1546897730,21,3
1546899625,34,8
1546901538,17,2
1546903469,12,5
1546905414,18,16
1546907566,32,3
1546909463,25,20
1546911379,23,18
1546913568,19,18
1546915460,13,8
1546917407,16,18
1546919294,14,15
1546921217,16,13
1546923169,10,11
1546925084,19,14
1546926983,17,28
1546928935,19,16
1546931194,15,32
1546933251,22,23
1546935133,23,23
1546937054,26,36
1546938984,24,30
1546941152,21,35
1546943083,24,28
1546944982,18,27
1546946891,203,19
1546948851,24,20
1546950910,24,23
1546953160,27,35
1546955059,19,29
1546956995,20,22
1546959163,29,25
1546961068,27,31
1546962993,25,26
1546964898,22,18
1546967816,37,28
1546969945,22,19
1546971872,27,20
1546973974,27,33
1546975953,32,22
1546977888,21,17
1546980039,34,30
1546981947,29,22
1546983892,16,17
1546986021,30,28
1546987936,18,16
1546989880,20,13
1546991773,14,17
1546993959,33,36
1546995882,19,25
1546998037,26,26
1546999959,26,19
1547001876,28,16
1547003783,15,17
1547005958,32,17
1547007853,14,14
1547009823,16,11
1547011934,27,22
1547013851,12,19
1547015781,21,20
1547017695,10,15
1547019614,18,27
1547021545,33,23
1547023474,25,29
1547025395,35,22
1547027292,25,22
1547029243,20,33
1547031158,20,21
1547033161,18,210
1547034999,16,26
1547036892,14,25
1547040065,42,43
1547041947,23,25
1547043873,21,19
1547045800,10,16
1547047972,28,22
1547050167,30,17
1547052287,19,16
1547054446,21,21
1547056355,21,15
1547058271,10,26
1547060198,26,21
1547062095,31,21
1547064059,18,25
1547065946,22,30
1547067885,23,26
1547070093,25,18
1547071948,16,20
1547074137,20,23
1547076053,18,18
1547077943,25,10
1547080406,19,31
1547082532,12,24
1547084431,18,20
1547086344,18,16
1547088250,15,28
1547090201,12,10
1547092339,19,25
1547094290,14,21
1547096166,12,17
1547098091,19,18
1547100293,22,15
1547102166,22,17
1547104368,18,14
1547106249,10,19
1547108199,19,27
