DateTime,Entries,UniqueIPs
1546552097,1193,1193
1546554030,1206,1206
1546555958,1217,1217
1546557856,1219,1219
1546560097,1206,1206
1546561947,1188,1188
1546563883,1166,1166
1546565788,1163,1163
1546567717,1150,1150
1546569613,1141,1141
1546571552,1140,1140
1546573478,1138,1138
1546575637,1144,1144
1546577575,1143,1143
1546579459,1146,1146
1546581402,1161,1161
1546583298,1173,1173
1546585320,1189,1189
1546587182,1199,1199
1546589067,1208,1208
1546590999,1202,1202
1546592906,1210,1210
1546594820,1222,1222
1546596785,1227,1227
1546598694,1246,1246
1546600580,1132,1132
1546602519,1146,1146
1546604432,1149,1149
1546606393,1159,1159
1546608279,1170,1170
1546610173,1154,1154
1546612116,1163,1163
1546614272,1160,1160
1546616445,1153,1153
1546618586,1147,1147
1546620783,1148,1148
1546622681,1152,1152
1546624604,1170,1170
1546626499,1198,1198
1546628505,1231,1231
1546630609,1267,1267
1546632772,1301,1301
1546634656,1337,1337
1546636585,1367,1367
1546638506,1390,1390
1546640454,1407,1407
1546642359,1424,1424
1546644262,1443,1443
1546646203,1458,1458
1546648010,1281,1281
1546650031,1293,1293
1546651942,1295,1295
1546653866,1298,1298
1546655796,1305,1305
1546657960,1330,1330
1546659857,1338,1338
1546662044,1338,1338
1546663955,1337,1337
1546665872,1356,1356
1546667771,1376,1376
1546669573,1398,1398
1546671660,1422,1422
1546673539,1437,1437
1546675731,1456,1456
1546677617,1473,1473
1546679554,1497,1497
1546681463,1521,1521
1546683482,1540,1540
1546685589,1549,1549
1546687451,1382,1382
1546689373,1377,1377
1546691295,1384,1384
1546693234,1389,1389
1546695129,1384,1384
1546697063,1401,1401
1546699220,1408,1408
1546701138,1421,1421
1546703076,1428,1428
1546705010,1427,1427
1546706902,1442,1442
1546708830,1441,1441
1546710759,1439,1439
1546712661,1435,1435
1546714588,1425,1425
1546716496,1424,1424
1546719383,1414,1414
1546721316,1410,1410
1546723215,1397,1397
1546725155,1369,1369
1546727072,1357,1357
1546729256,1341,1341
1546731189,1321,1321
1546733085,1307,1307
1546734969,1290,1290
1546737140,1270,1270
1546739327,1256,1256
1546741218,1239,1239
1546743424,1222,1222
1546745549,1197,1197
1546747474,1183,1183
1546749623,1163,1163
1546751547,1154,1154
1546753458,1139,1139
1546755369,1120,1120
1546757349,1095,1095
1546759244,1081,1081
1546761136,1061,1061
1546763087,1043,1043
1546764971,1015,1015
1546766896,991,991
1546768846,968,968
1546770868,942,942
1546773163,921,921
1546775057,890,890
1546776992,867,867
1546779141,829,829
1546781074,799,799
1546782976,766,766
1546784896,724,724
1546787076,680,680
1546789497,678,678
1546791913,679,679
1546793784,675,675
1546795719,674,674
1546797656,676,676
1546799542,676,676
1546801480,677,677
1546803325,678,678
1546805326,677,677
1546807225,677,677
1546809169,187,187
1546811059,189,189
1546813279,191,191
1546815159,191,191
1546817077,196,196
1546818980,204,204
1546821151,202,202
1546823307,336,336
1546825258,394,394
1546827189,424,424
1546829093,453,453
1546831005,496,496
1546833185,526,526
1546835060,554,554
1546837004,567,567
1546838948,585,585
1546840917,611,611
1546842777,635,635
1546844698,661,661
1546846580,683,683
1546848519,702,702
1546850416,731,731
1546852345,756,756
1546854275,780,780
1546856209,803,803
1546858488,835,835
1546860491,853,853
1546862474,875,875
1546864369,886,886
1546866540,913,913
1546868415,940,940
1546870345,964,964
1546872289,994,994
1546874177,1032,1032
1546876364,1069,1069
1546878289,1086,1086
1546880199,1107,1107
1546882127,1134,1134
1546884037,1145,1145
1546885973,1169,1169
1546887885,1202,1202
1546890049,1218,1218
1546891938,1240,1240
1546893886,1263,1263
1546895786,1284,1284
1546897730,1302,1302
1546899625,1328,1328
1546901538,1343,1343
1546903469,1350,1350
1546905414,1352,1352
1546907566,1381,1381
1546909463,1386,1386
1546911379,1391,1391
1546913568,1392,1392
1546915460,1397,1397
1546917407,1395,1395
1546919294,1394,1394
1546921217,1397,1397
1546923169,1396,1396
1546925084,1401,1401
1546926983,1390,1390
1546928935,1393,1393
1546931194,1376,1376
1546933251,1375,1375
1546935133,1375,1375
1546937054,1365,1365
1546938984,1359,1359
1546941152,1345,1345
1546943083,1341,1341
1546944982,1332,1332
1546946891,1516,1516
1546948851,1520,1520
1546950910,1521,1521
1546953160,1513,1513
1546955059,1503,1503
1546956995,1501,1501
1546959163,1505,1505
1546961068,1501,1501
1546962993,1500,1500
1546964898,1504,1504
1546967816,1513,1513
