DateTime,Entries,UniqueIPs
1546557872,3815,3815
1546560141,3827,3827
1546561951,3824,3824
1546563888,3810,3810
1546565791,3732,3732
1546567721,3769,3769
1546569616,3810,3810
1546571555,3847,3847
1546573482,3926,3926
1546575641,3964,3964
1546577578,3957,3957
1546579463,3957,3957
1546581406,3961,3961
1546583301,3845,3845
1546585336,3622,3622
1546587186,3619,3619
1546589071,3568,3568
1546591003,3563,3563
1546592911,3555,3555
1546594827,3548,3548
1546596789,3539,3539
1546598698,3538,3538
1546600584,3585,3585
1546602523,3564,3564
1546604436,3521,3521
1546606397,3461,3461
1546608283,2999,2999
1546610177,2967,2967
1546612121,2822,2822
1546614295,2948,2948
1546616449,3209,3209
1546618591,3201,3201
1546620787,3185,3185
1546622685,3155,3155
1546624608,3138,3138
1546626503,3135,3135
1546628543,3085,3085
1546630613,3086,3086
1546632776,3081,3081
1546634663,3091,3091
1546636589,3094,3094
1546638510,3088,3088
1546640458,3097,3097
1546642363,3101,3101
1546644266,3102,3102
1546646207,3105,3105
1546648014,3098,3098
1546650044,3109,3109
1546651946,3104,3104
1546653884,3073,3073
1546655799,2992,2992
1546657964,2909,2909
1546659860,2782,2782
1546662048,2726,2726
1546663958,2734,2734
1546665875,2736,2736
1546667776,2736,2736
1546669577,2720,2720
1546671725,2510,2510
1546673542,2499,2499
1546675735,2502,2502
1546677620,2502,2502
1546679558,2512,2512
1546681467,2531,2531
1546683486,2532,2532
1546685593,2531,2531
1546687465,2471,2471
1546689377,2466,2466
1546691299,2455,2455
1546693296,2448,2448
1546695133,2443,2443
1546697068,2479,2479
1546699224,2475,2475
1546701141,2475,2475
1546703081,2481,2481
1546705014,2484,2484
1546706906,2475,2475
1546708834,2481,2481
1546710763,2485,2485
1546712665,2495,2495
1546714592,2492,2492
1546716500,2479,2479
1546718486,2085,2085
1546720350,2071,2071
1546722311,2074,2074
1546724450,2090,2090
1546726355,2087,2087
1546728274,2076,2076
1546730184,2072,2072
1546732103,2066,2066
1546734020,2066,2066
1546735965,2061,2061
1546737854,2047,2047
1546739783,2027,2027
1546741956,2031,2031
1546743878,2027,2027
1546746044,2032,2032
1546747945,2022,2022
1546749856,2014,2014
1546752047,1998,1998
1546753934,2007,2007
1546755892,2004,2004
1546757775,2003,2003
1546760011,2004,2004
1546762156,2013,2013
1546764021,2007,2007
1546765949,1999,1999
1546767858,1984,1984
1546770058,2230,2230
1546771952,2227,2227
1546773882,2234,2234
1546776045,2239,2239
1546777973,2252,2252
1546779895,2255,2255
1546782045,2165,2165
1546783944,2152,2152
1546785888,2155,2155
1546787774,2156,2156
1546789734,2407,2407
1546791917,2471,2471
1546793788,2767,2767
1546795723,2778,2778
1546797707,2777,2777
1546799546,2765,2765
1546801484,2766,2766
1546803329,2767,2767
1546805329,2766,2766
1546807229,2783,2783
1546809173,2766,2766
1546811063,2758,2758
1546813283,2776,2776
1546815163,2792,2792
1546817086,2791,2791
1546818984,2791,2791
1546821155,2979,2979
1546823311,2988,2988
1546825262,2992,2992
1546827196,2997,2997
1546829097,2999,2999
1546831009,3008,3008
1546833194,2994,2994
1546835064,2998,2998
1546837008,3005,3005
1546838952,3046,3046
1546840927,3057,3057
1546842781,3070,3070
1546844704,3094,3094
1546846584,3099,3099
1546848524,3092,3092
1546850421,3107,3107
1546852349,3116,3116
1546854279,3113,3113
1546856214,2887,2887
1546858497,2907,2907
1546860495,2906,2906
1546862539,2916,2916
1546864373,2920,2920
1546866544,2934,2934
1546868420,2943,2943
1546870349,2946,2946
1546872294,2953,2953
1546874181,2950,2950
1546876368,2959,2959
1546878292,2969,2969
1546880202,2874,2874
1546882131,3050,3050
1546884082,3727,3727
1546885978,4229,4229
1546887891,4439,4439
1546890054,4451,4451
1546891943,4467,4467
1546893890,4462,4462
1546895790,4456,4456
1546897734,4451,4451
1546899629,4457,4457
1546901543,4451,4451
1546903473,4463,4463
1546905425,4473,4473
1546907574,4309,4309
1546909469,4314,4314
1546911383,4315,4315
1546913573,4308,4308
1546915477,4304,4304
1546917412,4296,4296
1546919299,4296,4296
1546921221,4310,4310
1546923174,4319,4319
1546925088,4321,4321
1546926987,4312,4312
1546928939,4245,4245
1546931206,4013,4013
