DateTime,Entries,UniqueIPs
1546557873,4087,4087
1546560142,4089,4089
1546561952,4083,4083
1546563889,4071,4071
1546565792,3982,3982
1546567721,4018,4018
1546569617,4041,4041
1546571556,4075,4075
1546573482,4141,4141
1546575642,4171,4171
1546577579,4148,4148
1546579464,4140,4140
1546581407,4138,4138
1546583302,4016,4016
1546585337,3790,3790
1546587187,3776,3776
1546589072,3712,3712
1546591003,3700,3700
1546592912,3688,3688
1546594827,3671,3671
1546596789,3646,3646
1546598698,3643,3643
1546600585,3684,3684
1546602523,3657,3657
1546604437,3611,3611
1546606398,3547,3547
1546608284,3079,3079
1546610178,3042,3042
1546612121,2894,2894
1546614296,3021,3021
1546616450,3277,3277
1546618591,3260,3260
1546620788,3239,3239
1546622685,3208,3208
1546624609,3192,3192
1546626504,3176,3176
1546628544,3123,3123
1546630614,3123,3123
1546632777,3116,3116
1546634664,3126,3126
1546636590,3128,3128
1546638511,3121,3121
1546640458,3130,3130
1546642364,3133,3133
1546644266,3133,3133
1546646207,3138,3138
1546648015,3138,3138
1546650046,3150,3150
1546651946,3146,3146
1546653889,3118,3118
1546655800,3036,3036
1546657964,2956,2956
1546659861,2830,2830
1546662048,2778,2778
1546663959,2788,2788
1546665876,2793,2793
1546667777,2794,2794
1546669578,2780,2780
1546671726,2570,2570
1546673543,2563,2563
1546675735,2568,2568
1546677621,2568,2568
1546679558,2582,2582
1546681468,2603,2603
1546683487,2605,2605
1546685594,2606,2606
1546687466,2546,2546
1546689377,2542,2542
1546691300,2532,2532
1546693298,2529,2529
1546695134,2531,2531
1546697069,2565,2565
1546699225,2563,2563
1546701142,2563,2563
1546703082,2574,2574
1546705014,2580,2580
1546706906,2572,2572
1546708834,2581,2581
1546710763,2581,2581
1546712665,2591,2591
1546714592,2590,2590
1546716500,2576,2576
1546718490,2186,2186
1546720350,2173,2173
1546722311,2177,2177
1546724451,2193,2193
1546726355,2189,2189
1546728275,2177,2177
1546730197,2177,2177
1546732105,2170,2170
1546734021,2168,2168
1546735966,2161,2161
1546737854,2148,2148
1546739784,2127,2127
1546741957,2134,2134
1546743879,2128,2128
1546746045,2138,2138
1546747946,2131,2131
1546749856,2125,2125
1546752047,2112,2112
1546753935,2127,2127
1546755892,2125,2125
1546757776,2128,2128
1546760012,2129,2129
1546762157,2140,2140
1546764021,2132,2132
1546765949,2120,2120
1546767858,2105,2105
1546770059,2355,2355
1546771953,2351,2351
1546773883,2355,2355
1546776046,2361,2361
1546777973,2373,2373
1546779896,2378,2378
1546782045,2282,2282
1546783944,2269,2269
1546785888,2269,2269
1546787775,2270,2270
1546789734,2524,2524
1546791917,2590,2590
1546793789,2895,2895
1546795724,2908,2908
1546797707,2910,2910
1546799547,2900,2900
1546801485,2902,2902
1546803329,2904,2904
1546805330,2903,2903
1546807230,2921,2921
1546809173,2909,2909
1546811063,2905,2905
1546813285,2930,2930
1546815163,2951,2951
1546817087,2950,2950
1546818985,2958,2958
1546821155,3147,3147
1546823312,3155,3155
1546825263,3158,3158
1546827197,3166,3166
1546829098,3169,3169
1546831010,3181,3181
1546833195,3165,3165
1546835064,3168,3168
1546837009,3176,3176
1546838953,3214,3214
1546840938,3219,3219
1546842781,3233,3233
1546844704,3257,3257
1546846585,3264,3264
1546848524,3256,3256
1546850421,3273,3273
1546852350,3283,3283
1546854291,3280,3280
1546856215,3056,3056
1546858498,3073,3073
1546860496,3074,3074
1546862541,3083,3083
1546864374,3089,3089
1546866545,3101,3101
1546868421,3112,3112
1546870349,3114,3114
1546872294,3171,3171
1546874182,3172,3172
1546876369,3180,3180
1546878293,3189,3189
1546880203,3088,3088
1546882131,3263,3263
1546884083,3942,3942
1546885978,4440,4440
1546887892,4649,4649
1546890054,4660,4660
1546891943,4680,4680
1546893891,4680,4680
1546895791,4667,4667
1546897735,4666,4666
1546899630,4664,4664
1546901544,4654,4654
1546903474,4666,4666
1546905425,4672,4672
1546907575,4514,4514
1546909471,4516,4516
1546911384,4519,4519
1546913573,4512,4512
1546915478,4509,4509
1546917412,4502,4502
1546919299,4503,4503
1546921222,4515,4515
1546923174,4525,4525
1546925089,4523,4523
1546926987,4515,4515
1546928940,4445,4445
1546931207,4213,4213
1546933256,4209,4209
1546935139,3900,3900
1546937059,3911,3911
1546938989,3905,3905
1546941157,3924,3924
1546943088,3915,3915
1546944987,3904,3904
1546946896,3902,3902
1546948857,3897,3897
1546950916,3889,3889
1546953165,3881,3881
1546955063,3883,3883
1546957001,3879,3879
1546959168,3839,3839
1546961073,3823,3823
1546962997,3985,3985
1546964903,3992,3992
1546966907,3825,3825
1546968768,3691,3691
1546970702,2943,2943
