DateTime,AddedIPs,RemovedIPs
1546557873,15,3
1546560143,35,1
1546561952,9,1
1546563889,9,2
1546565792,7,1
1546567722,10,3
1546569618,7,8
1546571556,11,3
1546573483,6,4
1546575643,2,5
1546577580,4,3
1546579464,4,3
1546581407,12,4
1546583302,4,7
1546585337,8,12
1546587187,7,13
1546589073,3,19
1546591004,2,14
1546592912,2,4
1546594828,2,10
1546596790,7,13
1546598700,10,14
1546600585,6,12
1546602524,6,11
1546604437,5,12
1546606398,5,13
1546608284,4,18
1546610178,5,9
1546612122,9,15
1546614296,8,21
1546616451,9,22
1546618592,3,12
1546620789,7,12
1546622686,175,8
1546624610,28,6
1546626505,3,7
1546628545,7,9
1546630614,4,11
1546632778,5,11
1546634664,0,6
1546636590,3,10
1546638511,1,11
1546640459,2,10
1546642364,4,11
1546644267,8,15
1546646208,3,31
1546648015,4,16
1546650048,3,9
1546651947,14,8
1546653890,1,9
1546655800,6,5
1546657964,3,14
1546659861,2,7
1546662049,8,1
1546663959,6,4
1546665876,2,4
1546667777,0,6
1546669578,3,6
1546671727,6,10
1546673543,3,7
1546675736,2,3
1546677621,3,4
1546679559,3,5
1546681469,3,3
1546683487,2,9
1546685595,2,12
1546687466,1,5
1546689378,3,6
1546691300,4,3
1546693298,4,6
1546695134,1,7
1546697069,6,6
1546699226,4,9
1546701142,4,10
1546703082,5,7
1546705015,1,4
1546706907,3,5
1546708835,7,93
1546710764,5,112
1546712666,5,4
1546714593,3,7
1546716501,4,6
1546718494,4,4
1546720350,5,3
1546722312,3,3
1546724451,3,1
1546726356,4,1
1546728275,1,2
1546730197,1,6
1546732106,4,2
1546734022,4,6
1546735966,3,3
1546737855,3,2
1546739784,4,13
1546741957,6,3
1546743880,2,3
1546746046,3,2
1546747946,1,5
1546749857,2,5
1546752048,2,3
1546753935,4,0
1546755893,1,2
1546757776,1,9
1546760012,1,4
1546762157,0,2
1546764022,4,4
1546765950,2,5
1546767859,3,4
1546770059,0,1
1546771953,2,2
1546773883,1,2
1546776046,5,2
1546777973,5,5
1546779896,2,5
1546782045,5,1
1546783945,3,7
1546785889,2,4
1546787775,3,1
1546789735,0,5
1546791918,1,1
1546793789,3,4
1546795724,1,6
1546797709,10,5
1546799547,4,2
1546801487,1,3
1546803330,4,2
1546805330,3,6
1546807230,1,9
1546809174,1,2
