DateTime,AddedIPs,RemovedIPs
1546021994,3,0
1546023886,5,1
1546026047,5,0
1546027949,3,0
1546029859,1,0
1546031790,2,0
1546033963,1,1
1546035855,0,2
1546037775,3,0
1546039984,2,0
1546044033,1,1
1546046187,1,1
1546050270,1,0
1546052181,1,0
1546054355,2,0
1546058441,0,2
1546060364,1,1
1546062274,0,1
1546064452,0,2
1546066368,2,1
1546068265,2,0
1546070510,5,1
1546072350,0,1
1546074276,1,1
1546078134,1,1
1546080047,1,0
1546083889,1,0
1546085789,2,0
1546087952,0,1
1546089865,1,1
1546091801,1,2
1546093697,0,2
1546095704,2,2
1546097567,1,0
1546099494,0,1
1546101416,3,2
1546103547,2,3
1546105464,4,1
1546107402,4,4
1546109548,3,4
1546111468,1,2
1546113413,0,3
1546115299,3,2
1546117301,1,0
1546119143,3,5
1546121072,3,0
1546123009,1,2
1546125171,0,1
1546127057,2,1
1546129263,2,1
1546131142,1,0
1546135328,1,1
1546137140,1,0
1546139092,1,1
1546140982,0,1
1546147003,0,1
1546149175,3,0
1546151066,1,0
1546153005,1,2
1546154899,0,2
1546156903,2,2
1546158766,4,0
1546160675,2,1
1546162848,6,0
1546164742,0,1
1546166691,7,1
1546168584,3,0
1546170513,1,1
1546172436,2,2
1546174368,3,1
1546176307,3,2
1546178513,5,0
1546182276,0,2
1546184213,1,0
1546186390,2,0
1546188263,0,3
1546190458,2,6
1546192347,0,3
1546194537,1,3
1546197399,1,3
1546199302,1,0
1546201219,2,3
1546203177,0,1
1546205060,0,2
1546207002,0,4
1546208926,0,1
1546214680,1,1
1546216614,0,2
1546224275,0,1
1546226431,0,1
1546228373,1,1
1546230267,1,0
1546234349,1,1
1546236285,0,2
1546238455,2,2
1546240367,0,1
1546242274,0,1
1546244188,0,3
1546246124,0,4
1546248044,1,3
1546249940,2,3
1546251905,2,4
1546253782,4,4
1546255948,2,6
1546257893,6,1
1546259781,2,2
1546261964,2,2
1546263871,4,6
1546265808,2,1
1546267693,1,0
1546269618,7,1
1546271540,4,1
1546273456,2,0
1546275407,6,0
1546277298,7,2
1546279473,4,2
1546281632,8,0
1546283538,6,4
1546285492,1,2
1546287388,1,2
1546289544,3,0
1546291461,8,0
1546293395,3,0
1546295308,2,0
1546297309,2,0
1546299140,3,0
1546301336,6,1
1546303252,4,0
1546305389,1,0
1546307574,1,0
1546309482,2,0
1546313535,1,0
1546315490,3,1
1546317411,3,2
1546321449,2,1
1546323623,1,0
1546325536,1,3
1546327482,2,1
1546329371,3,0
1546331324,1,0
1546333286,1,0
1546335172,0,2
1546337110,2,2
1546338999,0,2
1546340914,1,2
1546343135,3,1
1546345004,2,5
1546346909,0,1
1546348827,1,1
1546350763,1,5
1546354854,2,3
1546356742,2,5
1546358682,2,0
1546360572,0,3
1546362521,3,5
1546364413,1,4
1546366334,1,2
1546368277,1,4
1546370450,1,6
1546372362,3,2
1546374278,9,1
1546376179,1,4
1546378373,3,5
1546380279,0,3
1546382197,2,3
1546384121,8,1
1546386025,1,4
1546388211,1,7
1546390347,1,3
1546392295,1,1
1546394192,2,1
1546396100,1,2
1546399947,0,1
1546401883,0,3
1546403781,1,3
1546407622,0,2
1546411944,1,2
1546413856,0,3
1546415825,0,4
1546417697,0,1
1546419720,1,0
1546421562,3,0
1546423491,3,2
1546425410,0,2
1546427333,0,2
1546429247,3,3
1546431158,1,1
1546433065,2,0
1546435011,1,1
1546436931,1,2
1546438833,3,1
1546440762,2,2
1546442672,2,2
1546444580,2,2
1546446513,0,1
1546448545,4,2
1546450597,4,3
1546452500,2,2
1546454684,3,1
1546456604,1,2
1546458909,5,3
1546460892,3,10
1546462856,1,0
1546464756,0,2
1546466694,2,0
1546468834,3,2
1546470747,2,9
1546472671,0,4
1546474851,1,1
1546477310,2,3
1546479159,0,2
1546481089,0,1
1546482990,0,1
1546484897,2,0
1546487060,2,0
1546489237,1,0
1546493052,1,0
1546495102,1,1
1546497169,4,1
1546499085,6,0
1546501001,9,0
1546502899,4,0
1546504853,2,0
1546506734,3,2
1546508680,5,2
1546510592,2,1
1546512521,1,0
1546514417,2,3
1546516344,2,1
1546518255,0,1
1546520202,1,1
1546522367,2,1
1546524535,7,2
1546526428,4,2
1546528375,1,1
1546530270,1,0
1546532217,0,1
1546534380,2,2
1546536271,2,3
