DateTime,AddedIPs,RemovedIPs
1546557878,21,6
1546560148,43,23
1546561957,18,29
1546563893,19,35
1546565797,19,16
1546567727,20,27
1546569622,15,25
1546571561,20,14
1546573487,18,19
1546575662,22,20
1546577584,24,22
1546579469,16,10
1546581423,23,6
1546583307,17,8
1546585342,27,16
1546587192,23,17
1546589096,16,27
1546591009,10,28
1546592917,16,9
1546594832,15,17
1546596794,18,18
1546598705,33,19
1546600590,19,138
1546602528,24,13
1546604443,11,15
1546606403,18,19
1546608290,22,26
1546610183,14,35
1546612126,41,38
1546614302,37,51
1546616455,29,52
1546618596,31,44
1546620794,33,37
1546622690,204,29
1546624614,57,18
1546626511,37,10
1546628550,44,11
1546630619,45,18
1546632782,43,15
1546634668,45,15
1546636594,36,11
1546638517,31,20
1546640463,25,14
1546642368,26,14
1546644271,30,18
1546646213,37,48
1546648019,15,201
1546650106,28,20
1546651951,30,21
1546653897,18,23
1546655804,27,17
1546657969,35,21
1546659865,23,20
1546662053,31,24
1546663963,24,23
1546665880,25,8
1546667784,21,3
1546669949,33,8
1546671886,28,11
1546673778,22,10
1546675740,23,5
1546677626,23,6
1546679564,32,8
1546681473,31,5
1546683491,26,8
1546685600,28,26
1546687470,19,193
1546689384,26,33
1546691304,26,17
1546693305,27,24
1546695139,20,29
1546697075,38,20
1546699233,33,32
1546701146,28,21
1546703088,26,22
1546705019,18,21
1546706911,33,20
1546708839,26,116
1546710768,28,139
1546712670,26,29
1546714597,27,39
1546716505,27,30
1546718531,29,34
1546720355,38,35
1546722318,25,41
1546724457,5,27
1546726361,9,25
1546728280,5,19
1546730202,6,23
1546732113,8,31
1546734027,11,19
1546735971,5,27
1546737872,7,26
1546739789,10,25
1546741961,13,31
1546743885,6,26
1546746050,9,31
1546747951,7,22
1546749861,6,25
1546752053,12,22
1546753940,12,25
1546755898,4,24
1546757781,7,35
1546760017,2,26
1546762162,6,33
1546764026,6,29
1546765955,3,37
1546767864,9,32
1546770064,5,30
1546771958,7,30
1546773888,3,26
1546776063,11,35
1546777978,13,45
1546779902,6,41
1546782054,9,30
1546783962,10,60
1546785895,8,44
1546787781,6,32
1546789739,7,10
1546791924,4,5
1546793801,5,12
1546795742,6,12
1546797714,17,10
1546799553,10,7
1546801493,7,7
1546803336,9,7
1546805336,5,11
1546807236,8,17
1546809180,7,494
