DateTime,Entries,UniqueIPs
1546557878,1704,1704
1546560148,1724,1724
1546561957,1713,1713
1546563893,1697,1697
1546565797,1700,1700
1546567727,1693,1693
1546569622,1683,1683
1546571561,1689,1689
1546573487,1688,1688
1546575662,1690,1690
1546577584,1692,1692
1546579469,1698,1698
1546581423,1715,1715
1546583307,1724,1724
1546585342,1735,1735
1546587192,1741,1741
1546589096,1730,1730
1546591009,1712,1712
1546592917,1719,1719
1546594832,1717,1717
1546596794,1717,1717
1546598705,1731,1731
1546600590,1612,1612
1546602528,1623,1623
1546604443,1619,1619
1546606403,1618,1618
1546608290,1614,1614
1546610183,1593,1593
1546612126,1596,1596
1546614302,1582,1582
1546616455,1559,1559
1546618596,1546,1546
1546620794,1542,1542
1546622690,1717,1717
1546624614,1756,1756
1546626511,1783,1783
1546628550,1816,1816
1546630619,1843,1843
1546632782,1871,1871
1546634668,1901,1901
1546636594,1926,1926
1546638517,1937,1937
1546640463,1948,1948
1546642368,1960,1960
1546644271,1972,1972
1546646213,1961,1961
1546648019,1775,1775
1546650106,1783,1783
1546651951,1792,1792
1546653897,1787,1787
1546655804,1797,1797
1546657969,1811,1811
1546659865,1814,1814
1546662053,1821,1821
1546663963,1822,1822
1546665880,1839,1839
1546667784,1857,1857
1546669949,1882,1882
1546671886,1899,1899
1546673778,1911,1911
1546675740,1929,1929
1546677626,1946,1946
1546679564,1970,1970
1546681473,1996,1996
1546683491,2014,2014
1546685600,2016,2016
1546687470,1842,1842
1546689384,1835,1835
1546691304,1844,1844
1546693305,1847,1847
1546695139,1838,1838
1546697075,1856,1856
1546699233,1857,1857
1546701146,1864,1864
1546703088,1868,1868
1546705019,1865,1865
1546706911,1878,1878
1546708839,1788,1788
1546710768,1677,1677
1546712670,1674,1674
1546714597,1662,1662
1546716505,1659,1659
1546718531,1654,1654
1546720355,1657,1657
1546722318,1641,1641
1546724457,1619,1619
1546726361,1603,1603
1546728280,1589,1589
1546730202,1572,1572
1546732113,1549,1549
1546734027,1541,1541
1546735971,1519,1519
1546737872,1500,1500
1546739789,1485,1485
1546741961,1467,1467
1546743885,1447,1447
1546746050,1425,1425
1546747951,1410,1410
1546749861,1391,1391
1546752053,1381,1381
1546753940,1368,1368
1546755898,1348,1348
1546757781,1320,1320
1546760017,1296,1296
1546762162,1269,1269
1546764026,1246,1246
1546765955,1212,1212
1546767864,1189,1189
1546770064,1164,1164
1546771958,1141,1141
1546773888,1118,1118
1546776063,1094,1094
1546777978,1062,1062
1546779902,1027,1027
1546782054,1006,1006
1546783962,956,956
1546785895,920,920
1546787781,894,894
1546789739,891,891
1546791924,890,890
1546793801,883,883
1546795742,877,877
1546797714,884,884
1546799553,887,887
1546801493,887,887
1546803336,889,889
1546805336,883,883
1546807236,874,874
1546809180,387,387
1546811069,386,386
1546813305,386,386
1546815169,385,385
1546817093,386,386
1546818991,393,393
1546821160,388,388
1546823317,521,521
1546825269,579,579
1546827203,608,608
1546829103,634,634
1546831016,680,680
1546833201,710,710
1546835070,744,744
1546837014,768,768
1546838958,793,793
1546840944,816,816
1546842787,842,842
1546844709,869,869
1546846590,895,895
1546848529,926,926
1546850426,956,956
1546852355,989,989
1546854297,1015,1015
1546856222,1047,1047
1546858505,1084,1084
1546860501,1109,1109
1546862558,1134,1134
1546864379,1169,1169
1546866551,1200,1200
1546868430,1222,1222
1546870355,1241,1241
1546872299,1271,1271
1546874187,1306,1306
1546876375,1343,1343
1546878298,1362,1362
1546880208,1387,1387
1546882142,1418,1418
1546884098,1425,1425
1546885984,1449,1449
1546887898,1480,1480
1546890066,1496,1496
1546891949,1517,1517
1546893908,1544,1544
1546895795,1563,1563
1546897739,1580,1580
1546899636,1601,1601
1546901549,1622,1622
1546903479,1632,1632
1546905430,1639,1639
1546907580,1668,1668
1546909483,1670,1670
1546911389,1677,1677
1546913578,1678,1678
1546915486,1683,1683
1546917418,1680,1680
1546919304,1684,1684
1546921228,1687,1687
1546923180,1681,1681
1546925094,1677,1677
1546926993,1678,1678
1546928949,1681,1681
1546931212,1666,1666
1546933260,1668,1668
1546935143,1658,1658
1546937063,1647,1647
1546938994,1643,1643
1546941163,1657,1657
1546943093,1660,1660
1546944999,1649,1649
1546946902,1828,1828
1546948863,1831,1831
1546950922,1810,1810
1546953183,1800,1800
1546955082,1792,1792
1546957012,1791,1791
1546959186,1795,1795
1546961079,1789,1789
