DateTime,Entries,UniqueIPs
1546560150,3208,3208
1546561958,3189,3189
1546563894,3146,3146
1546565798,3129,3129
1546567728,3148,3148
1546569623,3157,3157
1546571562,3151,3151
1546573488,3165,3165
1546575663,3143,3143
1546577585,3144,3144
1546579469,3157,3157
1546581424,3154,3154
1546583308,3115,3115
1546585355,3101,3101
1546587193,3100,3100
1546589097,3111,3111
1546591010,3105,3105
1546592918,3095,3095
1546594833,3090,3090
1546596795,3084,3084
1546598706,3084,3084
1546600591,3063,3063
1546602529,3022,3022
1546604445,2951,2951
1546606404,2909,2909
1546608291,2898,2898
1546610184,2875,2875
1546612127,2830,2830
1546614303,2813,2813
1546616456,2813,2813
1546618597,2822,2822
1546620795,2823,2823
1546622691,2839,2839
1546624615,2828,2828
1546626519,2795,2795
1546628551,2772,2772
1546630620,2755,2755
1546632783,2721,2721
1546634670,2703,2703
1546636595,2720,2720
1546638518,2737,2737
1546640464,2711,2711
1546642369,2697,2697
1546644272,2661,2661
1546646214,2663,2663
1546648020,2645,2645
1546650107,2645,2645
1546651952,2696,2696
1546653898,2672,2672
1546655805,2652,2652
1546657970,2654,2654
1546659866,2641,2641
1546662054,2630,2630
1546663964,2620,2620
1546665881,2605,2605
1546667786,2598,2598
1546669950,2574,2574
1546671887,2554,2554
1546673779,2539,2539
1546675741,2514,2514
1546677626,2487,2487
1546679564,2457,2457
1546681474,2444,2444
1546683492,2453,2453
1546685601,2420,2420
1546687471,2394,2394
1546689391,2391,2391
1546691305,2403,2403
1546693306,2375,2375
1546695140,2357,2357
1546697076,2353,2353
1546699240,2361,2361
1546701147,2363,2363
1546703088,2345,2345
1546705020,2351,2351
1546706912,2328,2328
1546708840,2296,2296
1546710769,2277,2277
1546712671,2274,2274
1546714598,3684,3684
1546716506,6969,6969
1546718533,10300,10300
1546720357,11525,11525
1546722319,11503,11503
1546724458,11543,11543
1546726362,11548,11548
1546728281,11535,11535
1546730203,11527,11527
1546732121,11517,11517
1546734028,11529,11529
1546735972,11552,11552
1546737873,11568,11568
1546739790,11619,11619
1546741963,11657,11657
1546743886,11692,11692
1546746051,11773,11773
1546747952,11803,11803
1546749862,11824,11824
1546752054,11844,11844
1546753941,11872,11872
1546755899,11899,11899
1546757782,11922,11922
1546760018,11962,11962
1546762163,11999,11999
1546764027,12018,12018
1546765956,12048,12048
1546767865,12055,12055
1546770065,12052,12052
1546771959,12058,12058
1546773889,12063,12063
1546776076,12059,12059
1546777979,12068,12068
1546779904,12094,12094
1546782056,12124,12124
1546783963,12113,12113
1546785896,12119,12119
1546787782,12128,12128
1546789740,12125,12125
1546791925,12126,12126
1546793802,13496,13496
1546795743,16374,16374
1546797715,18482,18482
1546799554,18481,18481
1546801502,18475,18475
1546803337,18478,18478
1546805337,18478,18478
1546807237,18485,18485
1546809181,18445,18445
1546811070,18418,18418
1546813307,18461,18461
1546815170,18511,18511
1546817094,18644,18644
1546818993,18706,18706
1546821162,18726,18726
1546823319,18725,18725
1546825270,18717,18717
1546827204,18711,18711
1546829105,18744,18744
1546831018,18740,18740
1546833202,18778,18778
1546835072,18799,18799
1546837016,18805,18805
1546838959,18840,18840
1546840945,18856,18856
1546842788,18849,18849
1546844710,18896,18896
1546846592,18928,18928
1546848531,18997,18997
1546850427,19040,19040
1546852356,19052,19052
1546854299,19084,19084
1546856231,19125,19125
1546858506,19228,19228
1546860503,19352,19352
1546862559,18594,18594
1546864380,16250,16250
1546866552,13299,13299
1546868439,10784,10784
1546870356,10863,10863
1546872301,10979,10979
1546874188,11034,11034
1546876376,11089,11089
1546878299,11123,11123
1546880209,10041,10041
1546882143,7024,7024
1546884100,4389,4389
1546885985,4442,4442
1546887899,4475,4475
1546890067,4509,4509
1546891951,4604,4604
1546893910,4676,4676
1546895796,4752,4752
1546897740,4772,4772
1546899637,4785,4785
1546901550,4771,4771
1546903492,4665,4665
1546905431,4669,4669
1546907581,4747,4747
1546909484,4760,4760
1546911390,4772,4772
1546913579,4773,4773
1546915487,4769,4769
1546917419,4756,4756
1546919305,4725,4725
1546921229,4719,4719
1546923181,4724,4724
1546925095,4684,4684
1546926994,4675,4675
1546928956,4683,4683
1546931213,4669,4669
1546933261,4634,4634
1546935144,4552,4552
1546937064,4508,4508
1546938995,4504,4504
1546941164,4488,4488
1546943094,4456,4456
1546945000,4428,4428
1546946903,4354,4354
1546948864,4377,4377
1546950923,4369,4369
1546953184,4375,4375
1546955083,4339,4339
1546957013,4285,4285
1546959187,4213,4213
1546961080,4159,4159
1546963004,4151,4151
1546964909,4140,4140
1546966926,4091,4091
1546968774,4045,4045
1546970717,4057,4057
1546972625,4067,4067
1546974772,4083,4083
1546976919,4084,4084
1546978852,4012,4012
1546980763,3954,3954
1546982683,3908,3908
1546984604,3854,3854
1546986778,3817,3817
1546988724,3813,3813
1546990609,3813,3813
1546992529,3804,3804
1546994440,3736,3736
1546996401,3745,3745
1546998284,3754,3754
1547000460,3746,3746
1547002367,3765,3765
1547004266,3752,3752
1547006216,3713,3713
1547008381,3688,3688
1547010311,3688,3688
1547012212,3699,3699
1547014136,3701,3701
1547016052,3702,3702
1547017954,3670,3670
1547019890,3653,3653
1547022057,3681,3681
1547023982,3686,3686
1547025866,3710,3710
1547027810,3711,3711
1547029736,3727,3727
1547031719,3723,3723
1547033585,3686,3686
1547035527,3633,3633
1547037417,3606,3606
1547039309,3595,3595
1547041489,3568,3568
1547043397,3519,3519
1547045331,3518,3518
1547047473,3515,3515
1547049695,3500,3500
1547051798,3541,3541
1547053962,3533,3533
1547056110,3508,3508
1547058282,3424,3424
1547060208,3419,3419
1547062105,3409,3409
1547064101,3335,3335
1547065957,3288,3288
1547067904,3269,3269
1547070103,3235,3235
1547071959,3248,3248
1547074148,3237,3237
1547076064,3287,3287
1547077957,3241,3241
1547080417,3211,3211
1547082544,3158,3158
1547084450,3141,3141
1547086379,3104,3104
1547088261,3076,3076
1547090213,3057,3057
1547092350,3039,3039
1547094301,3045,3045
1547096177,3025,3025
1547098114,3032,3032
1547100328,3016,3016
1547102177,3022,3022
1547104386,3007,3007
1547106261,3018,3018
1547108210,3023,3023
1547110112,3024,3024
1547112294,3010,3010
1547114496,3071,3071
1547116601,3046,3046
1547118769,2990,2990
1547120937,2976,2976
1547123092,2987,2987
1547125018,2971,2971
1547126900,2968,2968
1547128979,2980,2980
1547131254,4522,4522
1547133156,6940,6940
1547135091,9577,9577
1547137007,11535,11535
1547138846,11500,11500
1547141092,11477,11477
1547143362,11437,11437
1547145177,11454,11454
1547147127,11436,11436
1547149248,11418,11418
1547151173,11444,11444
1547153087,11501,11501
1547155269,11636,11636
1547157173,11677,11677
1547159078,11707,11707
1547161328,11684,11684
1547163160,11642,11642
1547165092,11707,11707
1547166987,11870,11870
1547168925,11945,11945
1547170820,11948,11948
1547172770,11977,11977
1547174673,11979,11979
1547176603,12002,12002
1547178503,11996,11996
1547180428,12003,12003
1547182376,12048,12048
1547184288,12074,12074
1547186565,12124,12124
1547188367,12148,12148
1547190336,12182,12182
1547192447,12199,12199
1547194364,12204,12204
1547196281,12184,12184
1547198441,12159,12159
1547200368,12095,12095
1547202279,12057,12057
1547204189,12033,12033
1547206116,12038,12038
1547208106,12058,12058
1547210215,12075,12075
1547212127,12081,12081
1547214065,12152,12152
1547216223,12188,12188
1547218344,9762,9762
1547220299,7346,7346
1547222541,5557,5557
1547224593,7589,7589
1547226524,9834,9834
1547228430,12314,12314
1547230371,12931,12931
1547232528,12956,12956
1547234694,12958,12958
1547236575,12990,12990
1547239021,13019,13019
1547241157,12931,12931
1547243094,12913,12913
1547245250,12910,12910
1547247414,12902,12902
1547249597,12883,12883
1547251745,12830,12830
1547253660,12667,12667
1547255557,12598,12598
1547257510,12555,12555
1547259409,12561,12561
1547261579,12567,12567
1547263485,12561,12561
1547265741,12670,12670
1547267561,12878,12878
1547269514,12903,12903
1547271393,12958,12958
1547273845,13040,13040
1547275712,13175,13175
1547277677,13163,13163
1547279563,13131,13131
1547281495,13139,13139
1547283402,13253,13253
1547285558,13251,13251
1547287531,13258,13258
1547289671,13268,13268
1547291585,13300,13300
1547293468,13273,13273
1547295652,13236,13236
1547297582,13218,13218
1547299492,13162,13162
1547301402,13095,13095
1547303306,13082,13082
1547305521,13095,13095
1547307666,13128,13128
1547309840,10640,10640
1547311913,8014,8014
1547313903,6783,6783
1547315782,7539,7539
1547317708,9477,9477
1547319675,11318,11318
1547321553,11301,11301
1547323503,11247,11247
1547325413,11160,11160
1547327332,11160,11160
1547329488,11191,11191
1547331405,11287,11287
1547333589,11318,11318
1547335462,11334,11334
1547337393,11344,11344
1547339568,11319,11319
1547341469,11307,11307
1547343398,11320,11320
1547345577,11308,11308
1547347454,11307,11307
1547349651,11342,11342
1547351779,11262,11262
1547353960,11033,11033
1547355868,10971,10971
1547358062,10883,10883
1547359950,10815,10815
1547361888,10548,10548
1547363803,10529,10529
1547365952,10535,10535
1547367861,10655,10655
1547369781,10594,10594
1547371724,10608,10608
1547373910,10636,10636
1547375813,10664,10664
1547377735,10644,10644
1547379625,10669,10669
1547381568,11249,11249
1547383477,14916,14916
1547385392,17406,17406
1547387330,17401,17401
1547389484,17417,17417
1547391388,17399,17399
1547393568,17401,17401
1547395506,17430,17430
1547397632,17525,17525
1547399857,17121,17121
1547401712,14699,14699
1547403619,12929,12929
1547405543,10745,10745
1547407497,10605,10605
1547409408,10677,10677
1547411546,10736,10736
1547413496,10756,10756
1547415390,10740,10740
1547417576,10627,10627
1547419536,10597,10597
1547421409,10572,10572
1547423306,10601,10601
1547425253,10620,10620
1547427155,10669,10669
1547429082,10685,10685
1547431300,10686,10686
