DateTime,AddedIPs,RemovedIPs
1545327896,26,1
1545329813,25,1
1545331948,0,1
1545333869,1,0
1545335819,0,9
1545337959,3,20
1545339902,3,3
1545344197,0,2
1545348271,1,1
1545350551,0,1
1545352379,1,1
1545354289,1,1
1545356442,1,1
1545360418,0,1
1545362481,1,3
1545364612,2,1
1545370850,1,1
1545374659,0,1
1545380680,0,1
1545382594,1,0
1545384766,1,0
1545388593,0,1
1545392449,2,1
1545396261,0,1
1545398271,4,0
1545400369,1,0
1545406109,0,5
1545410217,1,0
1545412353,0,1
1545414309,0,26
1545416181,0,28
1545420046,0,1
1545423891,0,2
1545425777,1,5
1545427714,1,0
1545435372,0,1
1545439216,0,1
1545441137,1,1
1545443074,0,1
1545444994,0,1
1545449080,0,1
1545452209,1,2
1545456051,0,1
1545457956,1,0
1545463704,2,0
1545465712,2,0
1545467812,1,0
1545469706,0,1
1545477401,1,3
1545485323,0,1
1545493249,2,0
1545497088,1,2
1545498982,1,0
1545505361,1,0
1545507391,1,0
1545511463,0,1
1545513676,1,1
1545515597,1,0
1545521302,1,0
1545527085,0,1
1545530932,0,1
1545535156,1,0
1545537151,0,1
1545539065,0,1
1545541006,1,0
1545544917,0,1
1545550616,1,0
1545552567,0,1
1545554426,0,1
1545556346,0,1
1545560216,1,0
1545562346,0,2
1545566207,2,0
1545568370,1,0
1545570267,2,0
1545577967,1,0
1545586139,1,2
1545593827,1,1
1545599580,1,1
1545601863,0,1
1545603879,2,0
1545608447,0,1
1545616585,1,0
1545618503,1,0
1545622473,0,1
1545624319,0,1
1545626184,0,3
1545628111,0,2
1545631977,0,1
1545636065,1,0
1545637974,0,1
1545639897,0,1
1545641782,1,0
1545647547,0,1
1545649484,1,0
1545651387,6,0
1545653318,0,2
1545655231,2,2
1545657176,4,1
1545659070,1,0
1545661006,3,0
1545668603,2,0
1545672534,0,1
1545674542,3,0
1545676384,1,0
1545680443,0,1
1545686192,0,1
1545688375,1,0
1545702272,0,1
1545704198,0,1
1545706110,0,2
1545709980,1,1
1545717902,2,0
1545721737,1,1
1545727711,0,1
1545735729,0,1
1545737571,0,6
1545739502,1,0
1545745259,0,1
1545747151,0,3
1545755324,0,2
1545757316,4,0
1545759174,1,0
1545761097,0,2
1545763008,0,1
1545764928,1,0
1545774775,0,1
1545776699,1,0
1545788190,0,1
1545790141,0,1
1545798033,0,1
1545801890,1,0
1545803808,0,1
1545807902,1,1
1545809793,2,0
1545815555,4,0
1545817469,12,0
1545819670,17,0
1545821558,11,0
1545823483,5,0
1545825379,10,0
1545827345,1,0
1545829321,1,0
1545831170,1,0
1545833070,7,0
1545835238,7,0
1545837143,5,0
1545845064,1,1
1545851079,0,1
1545852989,2,0
1545858770,0,1
1545862605,2,1
1545866442,0,1
1545872209,1,0
1545880107,1,1
1545882269,1,0
1545884079,1,0
1545885891,1,0
1545887786,1,1
1545889949,0,2
1545891871,0,2
1545893801,0,1
1545896063,0,1
1545901706,0,1
1545903633,0,7
1545905576,0,15
1545907718,0,10
1545909652,0,6
1545911570,0,12
1545913496,0,5
1545915378,0,1
1545917556,0,1
1545919491,1,9
1545921394,0,8
1545923354,0,8
1545927419,1,0
1545929316,1,0
1545931237,0,1
1545933166,1,0
1545935063,1,0
1545938898,2,0
1545940921,0,3
1545946823,1,0
1545948765,0,2
1545956450,1,0
1545958356,1,1
1545960315,1,0
1545964377,1,0
1545966334,0,1
1545968494,0,1
1545970397,0,1
1545972287,3,1
1545974188,0,1
1545976370,0,1
1545978269,1,0
1545986178,1,0
1546000112,1,0
1546004188,1,0
1546006102,0,1
1546008020,1,0
1546013791,0,1
1546023891,0,1
1546027954,1,0
1546033968,1,1
1546039989,1,0
1546041871,0,1
1546044038,0,1
1546046192,0,1
1546050274,1,1
1546058445,0,3
1546062279,0,1
1546064473,0,1
1546066373,1,0
1546078140,1,0
1546083893,1,0
1546087958,0,1
1546089880,0,1
1546091806,0,1
1546095721,1,1
1546115322,1,0
1546121078,0,1
1546125176,0,1
1546147008,0,1
1546151071,0,1
1546153010,1,2
1546160682,1,0
1546164746,1,1
1546166695,1,0
1546170518,0,1
1546180377,0,2
1546182282,0,1
1546184219,1,0
1546200289,1,0
1546202185,0,1
1546210105,2,0
1546232525,1,0
1546238460,1,1
1546240372,2,0
1546246130,0,1
1546249945,0,1
1546253787,0,1
1546269623,1,0
1546271545,0,1
1546285497,2,0
1546287394,1,1
1546289549,1,0
1546309487,1,0
1546315945,1,0
1546319785,1,0
1546325541,0,4
1546340919,0,1
1546345009,1,1
1546348832,2,0
1546354926,0,1
1546370454,1,0
1546374283,0,2
1546382202,1,0
1546392300,1,0
1546396105,0,1
1546403798,0,1
1546405717,0,1
1546409792,1,0
1546411948,1,0
1546415830,1,0
1546431163,0,1
1546435016,0,2
1546448550,1,0
1546450601,1,0
1546452504,1,0
1546456610,0,1
1546460897,1,0
1546466713,1,0
1546468839,0,1
1546491134,1,0
1546495107,0,1
1546499103,0,1
1546501006,0,1
1546518271,0,1
1546520207,1,0
1546524540,1,0
1546526433,0,1
1546532222,1,0
1546534388,1,0
1546536275,0,1
1546538201,0,1
1546544215,1,0
1546552125,1,0
1546554041,0,1
1546560151,1,0
1546561959,1,0
1546577586,0,1
1546583309,0,1
1546591011,1,1
1546596796,1,0
1546610185,0,1
1546612129,1,0
1546618598,0,1
1546620797,1,0
1546622693,0,1
1546626521,1,0
1546628552,0,1
1546630621,0,1
1546632784,1,0
1546638519,0,1
1546642371,1,0
1546644273,1,0
1546651953,1,0
1546653900,1,0
1546659868,1,0
1546667788,2,0
1546669952,3,0
1546683494,0,1
1546687472,1,0
1546697077,0,1
1546701149,2,0
1546703090,0,1
1546708841,1,0
1546710770,1,1
1546712672,1,1
1546718534,1,1
1546722320,2,0
1546728282,1,0
1546730205,1,0
1546737874,0,1
1546739791,0,1
1546741976,1,0
1546746052,0,1
1546749863,1,0
1546752055,1,0
1546753942,0,1
1546755900,0,4
1546760019,1,0
1546762164,1,0
1546770066,0,1
1546771960,1,0
1546773890,0,1
1546776107,1,0
1546777981,0,1
1546779905,1,0
1546783965,1,1
1546787783,0,2
1546791926,2,1
1546793803,1,0
1546795745,0,2
1546799556,0,1
1546803338,1,0
1546805338,2,1
1546807239,2,1
1546811071,2,0
1546813308,1,0
1546815171,1,0
1546817096,4,1
1546818994,0,1
1546821163,1,0
1546823320,1,1
1546825272,1,0
1546829106,0,1
1546831019,1,0
1546837017,1,0
1546838961,0,1
1546844711,1,0
1546846593,0,2
1546850429,1,0
1546852358,0,1
1546858507,1,0
1546862561,0,1
1546870357,1,1
1546872302,1,0
1546874189,1,0
1546878301,0,1
1546880210,2,1
1546882145,1,0
1546885986,1,1
1546890068,1,1
1546891952,0,1
1546893911,1,3
1546895798,0,2
1546897741,0,1
1546899638,0,1
1546903494,0,3
1546905433,0,1
1546907583,0,1
1546909486,0,1
1546911392,1,0
1546915488,1,0
1546917442,0,1
1546919306,0,1
1546921230,1,0
1546923182,1,1
1546925096,2,0
1546935145,1,0
1546937065,0,1
1546943096,0,2
1546945001,1,0
1546946905,0,2
1546957014,4,1
1546959188,0,1
1546961082,0,1
1546963005,1,0
1546964910,0,1
1546966932,0,1
1546968775,0,1
1546972627,0,1
1546976920,1,1
1546980764,1,0
1546984605,1,0
1546986780,1,0
1546990610,2,0
1546998286,1,0
1547000461,1,0
1547002381,1,1
1547008383,0,1
1547010312,0,1
1547012213,0,2
1547022059,1,1
1547025867,2,0
1547041490,0,1
1547043398,0,3
1547045331,0,1
1547049696,1,1
1547051799,1,0
1547062106,1,0
1547064102,1,1
1547065958,1,0
1547067905,0,1
1547074149,0,2
1547077958,1,1
1547080418,1,0
1547082545,1,0
1547084451,1,0
1547086380,0,1
1547088262,0,1
1547098115,0,1
1547108211,0,1
1547110113,1,0
1547112295,0,3
1547123093,1,0
1547126901,1,1
1547137009,0,1
1547138847,0,1
1547147127,1,0
1547149249,0,2
1547157174,1,0
1547163161,2,1
1547166988,0,1
1547168926,0,1
1547170821,0,1
1547172771,1,0
1547198442,0,1
1547204190,1,0
1547208126,0,1
1547212128,0,1
1547220300,1,0
1547222542,1,0
1547232529,1,2
1547243095,1,0
1547245251,0,2
1547249599,0,2
1547253662,1,0
1547255558,1,0
1547265743,2,0
1547293469,1,0
1547309841,1,0
1547319705,0,1
1547327333,0,1
1547329490,0,1
1547337394,0,1
1547339570,0,1
1547341472,1,1
1547343399,0,1
1547347456,0,1
1547349653,1,0
1547351780,1,1
1547353962,0,1
1547363804,1,0
1547365953,1,0
1547371726,1,0
1547379626,0,1
1547387332,1,0
1547393569,0,1
1547409409,1,0
1547429083,0,1
1547433165,1,0
1547436992,1,1
1547449003,0,1
1547453099,1,0
1547457183,1,2
1547459089,0,1
1547467244,1,0
1547469283,1,0
1547479016,1,0
1547494380,1,0
1547509180,1,0
1547511158,0,1
1547520988,0,1
1547526748,1,0
1547534932,0,1
1547536835,1,0
1547538742,1,1
1547546702,0,1
