DateTime,AddedIPs,RemovedIPs
1546555972,2,5
1546557883,1,1
1546560168,7,10
1546562199,5,6
1546564371,3,5
1546566271,4,8
1546568172,4,3
1546570109,9,5
1546572032,7,3
1546574103,4,12
1546576124,12,7
1546578113,4,1
1546580187,9,2
1546582225,2,3
1546584251,2,2
1546586210,3,1
1546588098,15,4
1546590032,4,5
1546591936,2,32
1546593882,7,8
1546596117,5,4
1546597956,4,3
1546599892,24,0
1546601796,8,3
1546603967,6,27
1546605861,3,3
1546608022,11,6
1546609959,10,7
1546611762,3,2
1546613846,2,1
1546615943,7,2
1546618172,8,2
1546620269,12,3
1546622180,9,3
1546624118,4,1
1546626022,6,1
1546627978,13,1
1546630127,6,4
1546632080,7,4
1546633938,2,5
1546636144,12,0
1546638033,5,4
1546639964,4,6
1546641855,5,2
1546643799,5,2
1546645946,2,8
1546648024,3,5
1546650111,7,1
1546651956,7,4
1546653903,4,1
1546655809,4,8
1546657974,6,9
1546659870,11,4
1546662058,10,11
1546663968,7,7
1546665885,3,5
1546667793,3,4
1546669954,1,4
1546671891,8,2
1546673782,4,4
1546675746,3,11
1546677631,6,5
1546679569,5,1
1546681479,8,8
1546683497,6,6
1546685606,4,14
1546687475,5,20
1546689395,17,4
1546691309,8,5
1546693311,4,8
1546695155,4,7
1546697082,1,8
1546699244,8,2
1546701152,12,4
1546703093,6,4
1546705024,6,9
1546706916,8,11
1546708845,5,7
1546710773,7,4
1546712675,7,6
1546714602,2,10
1546716510,4,4
1546718538,5,8
1546720361,3,2
1546722329,9,11
1546724462,11,5
1546726366,6,4
1546728285,2,6
1546730208,2,6
1546732125,1,2
1546734034,8,4
1546735977,6,5
1546737877,7,4
1546739794,5,4
1546741979,3,4
1546743911,5,3
1546746056,17,6
1546747956,4,11
1546749867,3,4
1546752059,6,3
1546753945,4,3
1546755904,6,1
1546757786,2,4
1546760022,7,8
1546762176,9,3
1546764031,4,6
1546765960,6,6
1546767870,4,9
1546770069,6,4
1546771963,4,5
1546773893,1,5
1546776136,2,19
1546777984,1,5
1546779909,1,4
1546782060,6,5
1546783968,1,2
1546785900,5,9
1546787786,5,11
1546789745,4,7
1546791929,2,6
1546793806,6,6
1546795751,8,4
1546797721,4,11
1546799562,7,4
1546801508,3,3
1546803345,1,3
1546805342,7,4
1546807242,5,3
1546809186,2,14
1546811075,3,6
1546813319,13,6
1546815175,3,3
1546817100,2,1
1546818998,2,3
1546821167,2,9
1546823324,4,8
1546825275,6,9
1546827209,2,4
1546829114,1,4
1546831022,7,6
1546833207,1,16
1546835077,2,2
1546837021,5,6
1546838965,1,3
1546840964,3,4
1546842793,4,7
1546844715,6,1
1546846597,7,5
1546848536,6,8
1546850432,4,5
1546852361,4,5
1546854323,5,5
1546856263,4,5
1546858527,7,4
1546860517,5,4
1546862564,2,2
1546864385,4,1
1546866557,2,1
1546868444,5,7
1546870361,6,2
1546872307,5,2
1546874193,2,4
1546876381,8,6
1546878304,5,3
1546880214,7,5
1546882153,12,8
1546884105,4,3
1546885990,4,7
1546887904,10,3
1546890073,3,2
1546891955,9,5
1546893915,6,5
1546895802,6,1
1546897745,5,4
1546899642,9,10
1546901554,13,1
1546903505,10,1
1546905436,13,1
1546907586,8,2
1546909491,2,3
1546911395,6,6
1546913584,7,2
1546915498,4,3
1546917448,1,7
1546919316,4,0
1546921234,2,3
1546923186,3,5
1546925100,4,2
1546926998,2,5
1546928963,8,6
1546931219,9,4
1546933266,4,8
1546935148,7,7
1546937069,6,6
1546939000,8,2
1546941169,5,6
1546943099,8,5
1546945005,8,6
1546946908,7,6
1546948873,3,3
1546950933,5,4
1546953189,11,3
1546955088,22,3
1546957018,5,8
1546959191,8,3
1546961085,1,4
1546963009,5,9
1546964919,3,4
1546966937,4,4
1546968778,4,10
1546970723,12,2
1546972630,3,6
1546974777,3,7
1546976926,5,6
1546978858,5,9
1546980768,8,6
1546982687,3,7
1546984609,9,7
1546986783,1,12
1546988729,0,7
1546990614,3,13
1546992533,4,4
1546994444,2,5
1546996405,5,6
1546998289,11,4
1547000465,6,8
1547002394,16,5
1547004270,2,2
1547006220,1,4
1547008386,5,12
1547010317,6,3
1547012216,7,4
1547014141,1,4
1547016056,3,7
1547017958,7,6
1547019894,5,5
1547022062,7,6
1547023987,15,6
1547025870,7,12
1547027815,8,2
1547029752,12,14
1547031747,8,4
1547033589,2,4
1547035532,5,3
1547037421,5,6
1547039313,2,8
1547041493,5,23
1547043401,4,5
1547045335,7,7
1547047478,2,1
1547049701,2,5
1547051802,7,3
1547053981,5,3
1547056114,23,6
1547058287,2,10
1547060212,2,6
1547062110,3,3
1547064107,12,10
1547065961,3,7
1547067911,3,2
1547070108,7,10
1547071963,5,0
1547074152,12,1
1547076079,6,2
1547077961,4,2
1547080422,11,4
1547082563,5,0
1547084455,2,15
1547086384,6,7
1547088265,16,7
1547090220,6,11
1547092354,11,2
1547094306,3,4
1547096181,6,6
1547098119,31,6
1547100333,18,3
1547102190,16,3
1547104391,5,6
1547106266,4,5
1547108215,3,5
1547110116,4,17
1547112299,8,6
1547114524,2,8
1547116605,5,13
1547118773,3,12
1547120951,2,1
1547123096,15,8
1547125022,6,2
1547126905,6,0
1547128988,6,3
1547131260,5,8
1547133160,2,0
1547135096,6,3
1547137012,1,3
1547138850,6,8
1547141101,1,5
1547143367,3,19
1547145182,4,2
1547147132,6,3
1547149255,7,6
1547151177,4,10
1547153092,7,0
1547155296,3,6
1547157177,1,1
1547159082,2,9
1547161333,4,9
1547163164,5,4
1547165096,10,3
1547166997,2,6
1547168939,1,2
1547170829,1,2
1547172774,0,6
1547174678,1,14
1547176617,2,5
1547178507,7,10
1547180434,5,2
1547182380,10,3
1547184292,5,8
1547186570,10,17
1547188377,11,11
1547190348,26,3
1547192451,7,4
1547194368,1,3
1547196298,2,4
1547198446,5,5
1547200372,1,3
1547202284,3,4
1547204194,2,2
1547206121,1,3
1547208141,3,4
1547210219,3,14
1547212132,4,5
1547214069,15,7
1547216228,3,8
1547218351,6,3
1547220304,3,2
1547222545,5,5
1547224597,7,0
1547226542,4,3
1547228439,5,1
1547230375,3,5
1547232535,6,3
1547234698,1,9
1547236579,2,7
1547239025,7,7
1547241162,7,5
1547243098,0,3
1547245255,3,3
1547247419,15,1
1547249602,1,6
1547251750,9,10
1547253670,1,2
1547255562,4,1
1547257516,3,4
1547259414,4,2
1547261584,11,2
1547263495,0,5
1547265746,3,7
1547267570,4,5
1547269520,7,13
1547271398,9,7
1547273850,5,11
1547275717,3,24
1547277687,3,24
1547279569,2,8
1547281500,5,6
1547283407,16,9
1547285563,4,11
1547287536,1,6
1547289675,4,7
1547291597,6,3
1547293473,4,3
1547295657,4,5
1547297586,5,6
1547299497,5,13
1547301406,7,8
1547303311,9,4
1547305528,3,4
1547307678,7,6
1547309844,10,5
1547311918,10,8
1547313908,6,0
1547315786,12,6
1547317712,2,3
1547319723,2,4
1547321558,3,0
1547323507,2,5
1547325418,2,6
1547327336,4,7
1547329492,7,0
1547331409,1,3
1547333610,4,14
1547337397,4,7
1547339573,9,2
1547341484,6,6
1547343408,1,2
1547345586,7,4
1547347466,0,13
1547349657,3,1
1547351783,2,3
1547353965,3,5
1547355887,4,6
1547358068,2,10
1547359955,3,1
1547361892,1,3
1547363807,3,1
1547365959,4,2
1547367866,2,5
1547369786,4,16
1547371729,6,6
1547373914,4,1
1547375817,3,4
1547377739,11,7
1547379635,1,2
1547381573,1,5
1547383482,5,2
1547385398,1,8
1547387335,3,8
1547389492,9,6
1547391393,6,4
1547393573,16,7
1547395513,0,10
1547397637,4,12
1547399863,3,9
1547401717,1,12
1547403638,3,2
1547405551,5,4
1547407502,5,3
1547409439,10,2
1547411551,3,3
1547413501,3,1
1547415395,8,6
1547417580,3,3
1547419543,3,4
1547421414,3,1
1547423310,5,4
1547425258,7,9
1547427159,7,9
1547429089,11,2
1547431321,4,12
1547433169,9,2
1547435152,1,7
1547436996,5,2
1547439191,9,3
1547441111,2,2
1547443027,7,4
1547444920,8,4
1547447088,4,2
1547449014,3,0
1547450929,2,5
1547453112,5,4
1547455229,2,2
1547457186,3,6
1547459092,3,1
1547461279,2,4
1547463418,4,11
1547465326,1,4
1547467298,3,0
1547469286,7,5
1547471114,2,2
1547473015,7,1
1547474979,2,1
1547476839,4,9
1547479019,7,16
1547480934,4,5
1547482876,13,5
1547484748,4,2
1547486687,7,2
1547488629,5,1
1547490518,7,5
1547492547,2,6
1547494384,1,7
1547496290,3,8
1547498228,0,3
1547500377,6,3
1547502284,5,8
1547504616,5,4
1547506611,11,4
1547509183,5,3
1547511161,4,7
1547513090,2,8
1547515005,10,7
1547517168,5,8
1547519117,6,10
1547520992,1,1
1547522915,3,5
1547524933,9,8
1547526751,3,2
1547528739,5,2
1547530862,2,10
1547532786,1,6
1547534935,7,4
1547536839,4,3
1547538745,3,4
1547540684,5,5
1547542923,1,1
1547544766,1,4
1547546705,8,0
1547548870,4,4
1547550760,2,3
