DateTime,AddedIPs,RemovedIPs
1543159227,1,0
1543168900,0,2
1543170748,0,1
1543172687,0,1
1543186366,1,0
1543188255,1,1
1543193903,1,0
1543203391,1,0
1543207270,1,0
1543217108,0,1
1543219000,0,1
1543221150,1,0
1543224978,0,1
1543228824,1,0
1543232659,0,1
1543240336,1,0
1543242255,0,1
1543244212,0,1
1543246558,1,0
1543268688,1,0
1543272508,0,1
1543274433,0,1
1543290035,0,1
1543293873,0,1
1543301565,1,0
1543305404,0,1
1543307307,0,1
1543309339,1,0
1543314989,0,1
1543320774,0,1
1543324615,1,0
1543328462,0,1
1543332523,0,1
1543340442,3,0
1543342370,2,0
1543344527,0,1
1543348527,0,1
1543354849,0,1
1543366354,1,0
1543395923,0,1
1543397822,0,1
1543411237,0,1
1543419408,1,0
1543425178,1,0
1543427107,1,1
1543431161,1,1
1543450836,2,0
1543452775,0,1
1543474140,0,1
1543497415,1,0
1543501238,1,0
1543507319,0,1
1543514933,0,1
1543520660,1,0
1543537949,0,1
1543582600,1,0
1543584521,0,1
1543586494,1,0
1543588349,0,1
1543592192,0,1
1543594171,1,0
1543596026,0,1
1543597945,1,0
1543607562,0,1
1543617875,1,0
1543619799,1,0
1543651027,1,0
1543672345,0,1
1543678099,0,1
1543705015,1,2
1543712713,1,0
1543737723,0,1
1543749168,0,1
1543753490,2,0
1543761155,1,0
1543778694,1,0
1543796694,1,0
1543798592,0,1
1543827885,1,0
1543829800,1,0
1543839897,0,2
1543847810,0,1
1543849977,1,0
1543851893,0,1
1543857635,2,0
1543861489,1,0
1543865685,1,0
1543872278,1,0
1543878537,1,0
1543880929,1,0
1543882854,0,1
1543888614,1,0
1543890754,0,1
1543902544,1,1
1543904454,0,1
1543914129,1,0
1543915947,0,1
1543923887,0,1
1543930355,0,1
1543934201,1,0
1543936378,0,1
1543948119,0,1
1543952233,0,1
1543958448,0,1
1543964235,0,1
1543974276,0,1
1543978111,1,0
1543984130,1,0
1543988450,0,1
1543998752,1,0
1544000946,0,1
1544014913,1,0
1544020627,0,1
1544046261,2,0
1544050367,1,0
1544052299,1,0
1544058279,1,0
1544064272,0,1
1544070292,0,1
1544076302,2,0
1544084439,0,1
1544090181,1,0
1544099813,0,1
1544105566,1,0
1544128596,0,1
1544130546,1,0
1544134376,0,1
1544136749,0,1
1544138933,0,1
1544144690,0,1
1544152382,1,0
1544162218,0,2
1544176128,0,1
1544178065,1,0
1544191473,0,1
1544217152,0,1
1544238793,0,1
1544248370,0,1
1544258204,2,0
1544263954,0,1
1544299473,1,0
1544317478,1,0
1544334982,1,0
1544344578,0,2
1544358291,1,0
1544420433,0,1
1544443961,1,0
1544446394,0,1
1544458263,1,0
1544466070,1,0
1544467947,1,0
1544470166,5,0
1544472360,2,0
1544474206,1,0
1544476118,1,0
1544487444,1,0
1544511399,1,0
1544525075,0,1
1544527143,0,2
1544539240,2,0
1544551464,0,1
1544555321,0,6
1544557501,0,1
1544573240,0,1
1544577447,2,0
1544585084,1,0
1544587304,1,0
1544598996,0,1
1544610991,1,0
1544614823,0,1
1544625208,0,1
1544627253,0,1
1544629215,0,1
1544646279,3,0
1544656103,1,0
1544662126,0,1
1544664076,0,1
1544673950,0,2
1544675781,1,0
1544683942,1,0
1544695738,0,1
1544697632,0,1
1544729820,1,0
1544731736,0,1
1544733649,0,1
1544742385,0,2
1544784044,0,1
1544785950,1,0
1544787890,1,0
1544791963,0,1
1544793889,0,1
1544805870,1,0
1544813783,1,0
1544815977,0,1
1544818144,2,0
1544838040,1,0
1544856052,1,0
1544871892,0,1
1544873782,0,1
1544879823,1,0
1544881714,0,2
1544893715,4,0
1544895651,1,0
1544905487,0,1
1544925143,0,1
1544942436,0,1
1544959732,1,0
1545012134,1,0
1545015947,1,0
1545021627,1,0
1545044962,0,1
1545051173,2,1
1545058941,1,0
1545064592,0,1
1545070601,1,0
1545102150,0,1
1545103956,0,1
1545107815,0,1
1545131106,0,1
1545133255,1,0
1545137099,0,2
1545139020,0,1
1545145018,1,1
1545149147,0,1
1545156775,0,1
1545164673,1,0
1545170669,1,0
1545172828,1,0
1545180784,2,0
1545188566,1,0
1545206733,1,0
1545211007,1,2
1545213164,0,1
1545215063,0,1
1545216998,0,1
1545218923,1,0
1545220941,1,1
1545226820,1,0
1545230693,0,1
1545246280,0,1
1545250138,1,0
1545258058,0,1
1545273661,1,0
1545294987,0,1
1545296956,0,1
1545306510,0,1
1545308460,0,1
1545314218,0,1
1545316103,1,0
1545329817,1,0
1545344201,1,0
1545346353,1,0
1545348275,1,0
1545354310,1,0
1545374662,1,0
1545376859,1,0
1545398275,1,0
1545406113,0,1
1545412357,0,1
1545414312,2,0
1545416185,0,1
1545427718,0,1
1545429747,1,1
1545433467,0,1
1545435375,0,1
1545439219,1,0
1545441141,0,1
1545443078,1,0
1545480523,0,1
1545484344,0,1
1545490348,0,1
1545492288,1,0
1545501881,0,2
1545503776,0,1
1545515601,0,1
1545525170,0,1
1545530936,1,0
1545539069,1,0
1545558273,0,1
1545562350,1,0
1545586142,0,1
1545597675,1,0
1545610611,1,0
1545614711,1,0
1545616593,0,1
1545618507,2,0
1545624327,1,1
1545647551,0,1
1545684291,0,1
1545688378,1,0
1545690297,1,0
1545692553,1,0
1545694358,0,1
1545696324,1,2
1545702286,0,1
1545706114,0,1
1545712118,0,1
1545729875,0,1
1545731803,1,0
1545759178,1,1
1545761101,0,1
1545766837,2,0
1545769000,1,0
1545770910,1,0
1545772865,2,0
1545774779,0,1
1545782557,0,1
1545784384,1,0
1545792023,1,0
1545829327,0,1
1545839085,0,1
1545845067,0,1
1545847307,1,0
1545856835,1,0
1545858773,1,1
1545876340,1,0
1545878215,0,1
1545893805,1,0
1545901711,1,1
1545911573,0,1
1545927423,1,0
1545933178,0,1
1545942778,0,1
1545944943,0,1
1545952605,1,0
1545958360,1,0
1545962546,0,1
1545988379,0,1
1546004204,0,1
1546011888,1,1
1546013794,1,0
1546019785,0,1
1546022002,1,0
1546026056,1,0
1546029868,1,0
1546033971,1,0
1546039993,2,1
1546044041,0,1
1546048428,1,0
1546056296,1,0
1546060372,1,0
1546074285,1,0
1546097583,0,1
1546099518,0,3
1546111477,1,0
1546117313,1,0
1546123017,1,0
1546127065,0,2
1546135359,0,1
1546139302,1,0
1546147012,0,1
1546160699,0,1
1546162856,0,1
1546178523,0,1
1546200293,0,1
1546202189,0,1
1546213961,0,1
1546224774,0,1
1546232530,1,0
1546238475,2,0
1546251915,2,0
1546253791,1,0
1546269627,1,0
1546291469,1,0
1546305409,1,0
1546315949,1,0
1546319789,0,1
1546323636,1,1
1546325544,0,1
1546335180,1,0
1546337120,0,2
1546340923,0,1
1546345012,1,0
1546354930,0,1
1546376187,0,1
1546392304,0,1
1546401910,0,1
1546411952,0,1
1546413864,1,0
1546421571,1,1
1546462918,1,0
1546464765,1,0
1546470757,1,0
1546497178,1,0
1546499108,0,1
1546506742,0,1
1546524558,0,1
1546526437,0,1
1546528384,2,0
1546546365,0,2
1546548289,0,1
1546557883,1,1
1546564371,0,1
1546574106,0,1
1546584252,0,1
1546603967,1,0
1546609960,1,0
1546613846,1,0
1546615944,1,1
1546618173,1,0
1546620270,2,0
1546622181,1,0
1546626022,1,0
1546636144,1,0
1546643799,0,1
1546679569,0,1
1546691310,2,0
1546697082,0,1
1546703093,0,1
1546710773,1,0
1546712675,1,0
1546714602,1,0
1546716511,1,0
1546724463,0,1
1546726367,1,1
1546728286,1,0
1546735977,0,1
1546741979,2,0
1546749867,1,0
1546777984,2,1
1546783968,1,0
1546791929,1,0
1546797721,0,1
1546813319,0,2
1546827210,1,1
1546829115,0,1
1546831023,4,0
1546840965,1,0
1546842793,0,1
1546864386,0,2
1546878305,0,1
1546893915,1,0
1546899642,1,0
1546903505,1,0
1546911396,1,0
1546913585,0,1
1546917448,0,1
1546923186,1,0
1546926999,0,1
1546937069,1,0
1546950934,0,1
1546953190,0,1
1546963009,1,0
1546972631,0,1
1546974778,2,4
1546976926,2,1
1546978858,1,0
1546980768,1,1
1546984609,0,1
1546990614,0,1
1546998289,0,1
1547004271,0,2
1547010318,0,1
1547012217,0,1
1547014142,1,0
1547023987,0,1
1547049702,0,1
1547056115,1,0
1547082564,1,0
1547086384,1,0
1547090220,0,1
1547100333,0,1
1547138851,1,0
1547143368,0,1
1547157178,1,0
1547166997,1,0
1547168939,0,1
1547172774,0,1
1547226543,0,1
1547239026,1,0
1547243099,0,1
1547253671,0,1
1547313908,1,0
1547329493,0,1
1547335466,1,0
1547337398,2,0
1547339574,6,0
1547341486,8,0
1547343408,2,0
1547395513,1,0
1547399863,0,1
1547409439,0,1
1547415395,1,0
1547417580,1,0
1547421414,0,1
1547425258,0,5
1547427159,0,8
1547429090,0,5
1547431322,1,0
1547436996,0,1
1547471114,1,0
1547474979,0,1
1547492548,0,1
1547498228,0,1
1547502285,0,1
1547506612,1,0
1547509184,3,0
1547511161,1,0
1547519117,1,0
1547526752,1,1
