DateTime,AddedIPs,RemovedIPs
1546557884,27,5
1546560169,9,12
1546562201,8,19
1546564372,24,18
1546566273,16,8
1546568173,11,7
1546570110,11,7
1546572033,3,14
1546574112,15,10
1546576125,4,8
1546578128,12,5
1546580188,7,8
1546582226,7,12
1546584252,6,12
1546586211,10,6
1546588099,13,7
1546590034,13,10
1546591938,11,4
1546593883,22,12
1546596119,6,9
1546597957,5,11
1546599894,11,8
1546601797,24,12
1546603969,11,10
1546605863,5,6
1546608023,10,6
1546609961,26,8
1546611763,8,6
1546613847,14,6
1546615945,30,6
1546618174,14,10
1546620271,13,15
1546622182,29,7
1546624124,22,8
1546626023,12,8
1546627980,9,12
1546630129,5,9
1546632112,12,9
1546633940,11,13
1546636146,20,13
1546638034,10,3
1546639966,11,3
1546641856,14,5
1546643800,10,11
1546645948,14,26
1546648025,7,8
1546650126,23,21
1546651957,10,14
1546653905,8,14
1546655811,9,12
1546657975,9,5
1546659871,7,10
1546662059,11,7
1546663969,16,8
1546665886,10,11
1546667794,9,6
1546669956,12,8
1546671892,4,10
1546673784,6,9
1546675747,9,13
1546677632,9,10
1546679570,7,13
1546681480,9,17
1546683498,5,4
1546685607,12,14
1546687476,12,16
1546689397,7,15
1546691311,10,8
1546693313,7,6
1546695157,16,20
1546697083,24,13
1546699259,25,9
1546701153,17,19
1546703094,15,21
1546705025,21,12
1546706917,9,13
1546708846,8,31
1546710774,11,19
1546712676,8,14
1546714603,8,9
1546716512,12,4
1546718539,15,13
1546720362,8,10
1546722331,4,17
1546724463,7,12
1546726368,6,10
1546728287,2,15
1546730209,4,11
1546732126,8,15
1546734035,7,6
1546735978,9,15
1546737878,9,12
1546739796,3,8
1546741980,1,9
1546743918,20,10
1546746057,5,7
1546747957,7,11
1546749868,11,14
1546752061,23,14
1546753947,11,7
1546755905,11,13
1546757788,10,4
1546760024,7,6
1546762177,13,11
1546764033,12,9
1546765962,14,6
1546767871,9,9
1546770070,10,7
1546771965,3,13
1546773895,8,13
1546776137,10,8
1546777985,5,8
1546779911,16,6
1546782061,11,14
1546783969,15,23
1546785902,9,18
1546787787,4,17
1546789746,7,21
1546791930,12,17
1546793808,10,11
1546795753,7,7
1546797722,8,7
1546799563,4,8
1546801509,3,11
1546803346,3,14
1546805343,8,13
1546807244,8,9
1546809188,11,4
1546811076,18,7
1546813320,30,6
1546815176,9,2
1546817102,27,4
1546819000,10,6
1546821168,25,13
1546823325,18,9
1546825277,17,7
1546827211,20,3
1546829115,37,4
1546831031,9,20
1546833209,32,3
1546835078,8,5
1546837022,25,23
1546838966,24,13
1546840966,11,14
1546842794,9,10
1546844717,29,9
1546846598,14,4
1546848537,34,12
1546850434,20,10
1546852363,39,17
1546854325,16,11
1546856264,33,9
1546858529,37,4
1546860518,34,9
1546862566,21,8
1546864386,48,7
1546866558,17,20
1546868445,61,6
1546870363,18,15
1546872327,36,9
1546874194,43,6
1546876382,27,8
1546878306,26,8
1546880215,27,12
1546882154,36,8
1546884106,32,4
1546885991,47,4
1546887906,9,3
1546890075,21,2
1546891957,31,11
1546893916,29,9
1546895803,22,10
1546897747,21,18
1546899643,40,28
1546901556,10,12
