DateTime,AddedIPs,RemovedIPs
1545745265,1,1
1545747157,0,1
1545749089,2,0
1545751022,0,4
1545753467,1,2
1545755331,0,1
1545757323,3,2
1545759181,3,2
1545761105,0,1
1545763015,3,1
1545764935,0,1
1545766839,1,2
1545769003,1,4
1545770913,3,2
1545772868,3,2
1545774782,2,0
1545776706,2,1
1545778591,1,1
1545780506,3,2
1545782561,2,1
1545784388,3,0
1545786330,1,3
1545788197,1,3
1545790147,0,1
1545792026,1,2
1545793975,3,1
1545795894,2,3
1545798040,0,1
1545801897,0,1
1545803815,2,1
1545805962,3,3
1545807909,4,3
1545809800,2,1
1545811752,1,5
1545813659,3,1
1545815562,0,2
1545817476,3,0
1545819678,2,2
1545821564,1,1
1545823490,2,0
1545825389,1,1
1545827356,1,0
1545829330,0,2
1545833078,0,3
1545835248,1,2
1545837149,1,1
1545839089,3,0
1545841017,2,0
1545843184,2,2
1545845070,0,4
1545847310,1,1
1545849169,1,3
1545851085,1,0
1545852995,0,1
1545854938,1,1
1545856849,1,2
1545858776,2,5
1545860679,0,1
1545862610,1,1
1545864534,1,3
1545866448,0,1
1545868363,2,3
1545870271,0,3
1545872215,0,1
1545874118,4,1
1545876344,1,0
1545878217,3,1
1545880114,0,3
1545882288,1,3
1545886339,1,0
1545890512,5,2
1545892367,0,3
1545894267,3,6
1545896070,1,0
1545899819,1,2
1545901714,3,2
1545903647,2,3
1545905582,0,1
1545907725,5,3
1545909668,3,3
1545911576,1,1
1545913503,2,1
1545915384,1,0
1545917562,2,0
1545919499,0,1
1545921400,2,1
1545923369,1,1
1545925250,1,3
1545927426,0,1
1545929323,2,3
1545931244,1,0
1545935070,0,2
1545937013,2,0
1545938905,0,1
1545940940,3,0
1545942781,2,1
1545944947,6,0
1545946830,4,1
1545948772,3,1
1545950709,2,2
1545952609,2,0
1545954543,1,2
1545956458,1,0
1545958363,2,0
1545960322,2,2
1545962549,0,2
1545964384,1,1
1545968501,4,2
1545970410,3,0
1545972294,3,1
1545974194,1,1
1545976376,3,3
1545978275,2,1
1545980539,2,3
1545982420,0,1
1545984272,2,0
1545986184,1,0
1545988382,2,4
1545990270,0,3
1545992229,0,2
1545994350,0,4
1545996269,3,5
1545998225,3,0
1546000118,3,1
1546002317,3,1
1546004206,1,0
1546006108,4,0
1546008026,1,0
1546009956,1,1
1546011891,0,1
1546013797,0,1
1546015982,3,1
1546017878,2,0
1546019787,1,0
1546022004,1,0
1546023898,1,3
1546027960,4,3
1546029882,3,4
1546031809,3,3
1546033986,6,3
1546035878,0,5
1546037785,1,3
1546039995,3,1
1546041878,2,0
1546044044,0,3
1546046198,1,2
1546048432,3,2
1546050291,0,1
1546052196,2,0
1546054366,2,2
1546056298,0,2
