DateTime,AddedIPs,RemovedIPs
1546557886,42,47
1546560171,38,43
1546562202,43,43
1546564375,40,52
1546566275,40,46
1546568175,61,59
1546570112,36,46
1546572035,51,66
1546574113,45,66
1546576127,36,43
1546578132,46,35
1546580195,42,51
1546582228,51,40
1546584254,56,43
1546586213,36,46
1546588101,33,50
1546590036,19,59
1546591939,38,45
1546593885,37,56
1546596120,57,60
1546597959,30,75
1546599897,33,55
1546601811,38,61
1546603970,43,62
1546605865,34,50
1546608025,52,83
1546609963,43,59
1546611765,43,54
1546613849,50,60
1546615946,45,99
1546618176,54,91
1546620273,44,109
1546622184,61,150
1546624141,55,138
1546626025,49,172
1546627981,57,317
1546630142,60,1791
1546632124,44,2241
1546633941,107,2028
1546636148,58,2448
1546638035,33,2206
1546639967,48,2201
1546641857,40,891
1546643801,46,46
1546645949,45,41
1546648027,50,117
1546650128,59,78
1546651958,37,45
1546653906,40,38
1546655812,35,57
1546657976,38,58
1546659873,48,143
1546662060,89,45
1546663970,36,52
1546665888,48,56
1546667795,39,48
1546669957,42,74
1546671894,54,42
1546673785,39,61
1546675749,50,43
1546677633,65,41
1546679571,50,61
1546681481,61,247
1546683500,38,44
1546685608,52,53
1546687478,55,36
1546689399,54,63
1546691312,55,62
1546693314,54,54
1546695158,67,45
1546697084,55,64
1546699260,71,63
1546701155,54,58
1546703095,66,52
1546705027,49,49
1546706918,37,58
1546708847,33,85
1546710776,54,74
1546712677,45,73
1546714604,51,92
1546716513,37,73
1546718542,49,52
1546720363,48,39
1546722333,61,48
1546724465,104,52
1546726369,68,44
1546728288,65,46
1546730210,63,47
1546732136,55,45
1546734037,55,50
1546735979,49,46
1546737880,42,41
1546739797,48,46
1546741981,43,42
1546743920,41,37
1546746058,48,51
1546747959,42,82
1546749869,50,35
1546752062,47,54
1546753948,59,40
1546755907,41,32
1546757789,34,38
1546760037,51,53
1546762178,57,59
1546764034,35,65
1546765963,47,45
1546767873,39,62
1546770072,42,46
1546771966,47,50
1546773896,46,53
1546776138,51,63
1546777986,254,54
1546779912,179,60
1546782063,82,67
1546783970,337,70
1546785903,262,50
1546787789,247,55
1546789747,234,67
1546791932,301,46
1546793809,1428,41
1546795754,629,44
1546797724,181,52
1546799564,147,42
1546801511,129,55
1546803347,74,29
1546805345,51,45
1546807245,428,51
1546809190,307,83
1546811078,283,67
1546813322,213,78
1546815177,152,67
1546817103,122,52
1546819001,411,60
1546821170,1729,62
1546823327,1825,61
1546825278,1688,35
1546827212,1360,38
1546829117,1062,50
1546831034,70,47
1546833210,49,103
1546835080,48,45
1546837024,51,40
1546838968,82,44
1546840968,54,59
1546842796,37,31
1546844718,45,33
1546846600,61,37
1546848538,69,45
1546850435,44,33
1546852365,36,42
1546854326,32,37
1546856266,44,31
1546858531,45,52
1546860520,94,50
1546862568,46,49
1546864388,46,66
1546866560,43,75
1546868447,41,41
1546870364,80,62
1546872329,35,52
1546874196,42,49
1546876384,59,51
1546878308,61,61
1546880217,54,1143
1546882156,52,549
1546884125,74,53
1546885993,36,49
1546887914,40,58
1546890077,126,54
1546891958,48,37
1546893918,71,47
1546895805,69,45
1546897748,122,44
1546899645,2176,40
1546901558,2138,52
1546903508,1437,50
1546905439,1770,384
1546907589,1554,1491
1546909497,1515,1453
1546911398,765,1499
1546913587,59,1429
1546915502,465,962
1546917451,84,61
1546919321,35,41
1546921237,35,62
1546923189,43,51
1546925103,41,75
1546927002,45,55
1546928966,72,52
1546931222,66,55
1546933269,64,80
1546935150,55,41
1546937072,30,58
1546939003,54,82
1546941174,27,37
1546943102,44,51
1546945008,35,33
1546946911,57,93
1546948909,65,39
1546950937,45,59
1546953193,98,51
1546955091,50,41
1546957021,49,91
1546959195,43,48
1546961107,66,42
1546963012,62,47
1546964923,55,57
1546966941,70,60
1546968782,64,57
1546970745,62,77
1546972633,41,39
1546974794,63,55
1546976929,55,122
1546978861,76,51
1546980771,45,59
1546982690,45,45
1546984612,46,645
1546986787,34,2529
1546988733,42,1732
1546990625,46,1564
1546992536,60,1654
1546994447,34,1507
1546996408,42,1571
1546998303,82,399
1547000484,101,47
1547002397,65,75
1547004273,44,354
1547006223,47,682
1547008389,50,48
1547010321,40,64
1547012219,28,52
1547014144,36,49
1547016059,40,89
1547017961,62,75
1547019897,32,77
1547022064,51,90
1547023990,38,53
1547025873,52,55
1547027818,46,47
1547029755,41,57
1547031750,54,58
1547033592,41,60
1547035535,55,63
1547037424,42,60
1547039316,54,81
1547041496,69,63
1547043404,68,59
1547045338,51,44
1547047480,43,58
1547049705,62,65
1547051805,46,73
1547053984,57,68
1547056117,60,64
1547058289,52,59
1547060215,683,43
1547062113,3708,62
1547064110,4258,69
1547065964,3712,68
1547067916,3794,60
1547070111,4470,53
1547071967,3238,48
1547074156,1382,40
1547076091,32,47
1547077965,42,65
1547080426,52,71
1547082575,40,44
1547084469,38,83
1547086388,35,84
1547088269,38,79
1547090224,31,53
1547092358,42,51
1547094318,37,56
1547096193,31,36
1547098123,50,39
1547100336,48,43
1547102194,52,53
1547104394,53,38
1547106277,40,30
1547108218,41,50
1547110120,26,38
1547112303,44,66
1547114533,32,53
1547116609,44,55
1547118776,47,57
1547120955,42,61
1547123100,47,64
1547125026,44,57
1547126908,46,58
1547128996,47,101
1547131263,58,92
1547133164,46,40
1547135099,64,57
1547137016,57,49
1547138854,62,49
1547141105,83,48
1547143371,61,54
1547145186,51,41
1547147136,59,1390
1547149258,64,4656
1547151181,65,3946
1547153095,60,4016
1547155307,152,4151
1547157180,1059,3817
1547159085,108,3225
1547161336,124,44
1547163167,82,43
1547165099,91,35
1547167000,66,45
1547168942,58,37
1547170832,64,40
1547172777,51,41
1547174681,1548,38
1547176620,1534,39
1547178510,734,36
1547180438,784,30
1547182383,860,36
1547184297,829,45
1547186575,952,61
1547188380,860,52
1547190351,961,54
1547192454,1121,48
1547194372,1014,43
1547196301,644,37
1547198449,94,46
1547200375,52,34
1547202287,54,37
1547204197,51,42
1547206124,31,44
1547208144,41,47
1547210223,43,61
1547212146,47,42
1547214073,43,46
1547216239,52,49
1547218355,57,51
1547220307,47,43
1547222548,47,61
1547224601,64,55
1547226546,56,49
1547228442,57,49
1547230378,48,44
1547232538,38,61
1547234701,53,64
1547236583,41,61
1547239039,60,63
1547241166,43,65
1547243112,45,451
1547245258,59,117
1547247422,45,49
1547249606,50,62
1547251753,48,58
1547253674,34,45
1547255565,54,49
1547257520,49,50
1547259418,46,166
1547261588,39,1981
1547263499,30,1312
1547265749,35,922
1547267574,38,834
1547269524,42,895
1547271401,42,866
1547273853,46,1114
1547275732,32,944
1547277690,52,995
1547279571,35,1056
1547281503,34,1223
1547283410,54,265
1547285566,57,70
1547287540,60,65
1547289678,41,70
1547291600,36,52
1547293476,54,45
1547295660,64,69
1547297589,48,43
1547299500,56,55
1547301409,36,52
1547303314,50,64
1547305531,68,57
1547307681,95,46
1547309847,140,80
1547311921,138,85
1547313911,77,67
1547315789,55,66
1547317715,63,55
1547319730,63,35
1547321561,55,46
1547323511,53,55
1547325421,57,50
1547327347,59,44
1547329495,65,53
1547331412,38,55
1547333613,203,62
1547335469,143,48
1547337400,103,50
1547339576,107,44
1547341493,80,43
1547343411,66,46
1547345588,78,48
1547347469,50,45
1547349660,55,41
1547351786,312,33
1547353968,50,53
1547355890,32,44
1547358071,36,44
1547359958,39,44
1547361895,38,48
1547363810,41,45
1547365967,57,43
1547367869,131,33
1547369789,1252,60
1547371732,1231,59
1547373921,652,61
1547375820,30,48
1547377755,84,40
1547379639,71,63
1547381576,465,63
