DateTime,Entries,UniqueIPs
1546557886,18453,18453
1546560171,18448,18448
1546562202,18448,18448
1546564375,18436,18436
1546566275,18430,18430
1546568175,18432,18432
1546570112,18422,18422
1546572035,18407,18407
1546574113,18386,18386
1546576127,18379,18379
1546578132,18390,18390
1546580195,18381,18381
1546582228,18392,18392
1546584254,18405,18405
1546586213,18395,18395
1546588101,18378,18378
1546590036,18338,18338
1546591939,18331,18331
1546593885,18312,18312
1546596120,18309,18309
1546597959,18264,18264
1546599897,18242,18242
1546601811,18219,18219
1546603970,18200,18200
1546605865,18184,18184
1546608025,18153,18153
1546609963,18137,18137
1546611765,18126,18126
1546613849,18116,18116
1546615946,18062,18062
1546618176,18025,18025
1546620273,17960,17960
1546622184,17871,17871
1546624141,17788,17788
1546626025,17665,17665
1546627981,17405,17405
1546630142,15674,15674
1546632124,13477,13477
1546633941,11556,11556
1546636148,9166,9166
1546638035,6993,6993
1546639967,4840,4840
1546641857,3989,3989
1546643801,3989,3989
1546645949,3993,3993
1546648027,3926,3926
1546650128,3907,3907
1546651958,3899,3899
1546653906,3901,3901
1546655812,3879,3879
1546657976,3859,3859
1546659873,3764,3764
1546662060,3808,3808
1546663970,3792,3792
1546665888,3784,3784
1546667795,3775,3775
1546669957,3743,3743
1546671894,3755,3755
1546673785,3733,3733
1546675749,3740,3740
1546677633,3764,3764
1546679571,3753,3753
1546681481,3567,3567
1546683500,3561,3561
1546685608,3560,3560
1546687478,3579,3579
1546689399,3570,3570
1546691312,3563,3563
1546693314,3563,3563
1546695158,3585,3585
1546697084,3576,3576
1546699260,3584,3584
1546701155,3580,3580
1546703095,3594,3594
1546705027,3594,3594
1546706918,3573,3573
1546708847,3521,3521
1546710776,3501,3501
1546712677,3473,3473
1546714604,3432,3432
1546716513,3396,3396
1546718542,3393,3393
1546720363,3402,3402
1546722333,3415,3415
1546724465,3467,3467
1546726369,3491,3491
1546728288,3510,3510
1546730210,3526,3526
1546732136,3536,3536
1546734037,3541,3541
1546735979,3544,3544
1546737880,3545,3545
1546739797,3547,3547
1546741981,3548,3548
1546743920,3552,3552
1546746058,3549,3549
1546747959,3509,3509
1546749869,3524,3524
1546752062,3517,3517
1546753948,3536,3536
1546755907,3545,3545
1546757789,3541,3541
1546760037,3539,3539
1546762178,3537,3537
1546764034,3507,3507
1546765963,3509,3509
1546767873,3486,3486
1546770072,3482,3482
1546771966,3479,3479
1546773896,3472,3472
1546776138,3460,3460
1546777986,3660,3660
1546779912,3779,3779
1546782063,3794,3794
1546783970,4061,4061
1546785903,4273,4273
1546787789,4465,4465
1546789747,4632,4632
1546791932,4887,4887
1546793809,6274,6274
1546795754,6859,6859
1546797724,6988,6988
1546799564,7093,7093
1546801511,7167,7167
1546803347,7212,7212
1546805345,7218,7218
1546807245,7595,7595
1546809190,7819,7819
1546811078,8035,8035
1546813322,8170,8170
1546815177,8255,8255
1546817103,8325,8325
1546819001,8676,8676
1546821170,10343,10343
1546823327,12107,12107
1546825278,13760,13760
1546827212,15082,15082
1546829117,16094,16094
1546831034,16117,16117
1546833210,16063,16063
1546835080,16066,16066
1546837024,16077,16077
1546838968,16115,16115
1546840968,16110,16110
1546842796,16116,16116
1546844718,16128,16128
1546846600,16152,16152
1546848538,16176,16176
1546850435,16187,16187
1546852365,16181,16181
1546854326,16176,16176
1546856266,16189,16189
1546858531,16182,16182
1546860520,16226,16226
1546862568,16223,16223
1546864388,16203,16203
1546866560,16171,16171
1546868447,16171,16171
1546870364,16189,16189
1546872329,16172,16172
1546874196,16165,16165
1546876384,16173,16173
1546878308,16173,16173
1546880217,15084,15084
1546882156,14587,14587
1546884125,14608,14608
1546885993,14595,14595
1546887914,14577,14577
1546890077,14649,14649
1546891958,14660,14660
1546893918,14684,14684
1546895805,14708,14708
1546897748,14786,14786
1546899645,16922,16922
1546901558,19008,19008
1546903508,20395,20395
1546905439,21781,21781
1546907589,21844,21844
1546909497,21906,21906
1546911398,21172,21172
1546913587,19802,19802
1546915502,19305,19305
1546917451,19328,19328
1546919321,19322,19322
1546921237,19295,19295
1546923189,19287,19287
1546925103,19253,19253
1546927002,19243,19243
1546928966,19263,19263
1546931222,19274,19274
1546933269,19258,19258
1546935150,19272,19272
1546937072,19244,19244
1546939003,19216,19216
1546941174,19206,19206
1546943102,19199,19199
1546945008,19201,19201
1546946911,19165,19165
1546948909,19191,19191
1546950937,19177,19177
1546953193,19224,19224
1546955091,19233,19233
1546957021,19191,19191
