DateTime,Entries,UniqueIPs
1546557888,15832,15832
1546560174,15814,15814
1546562204,15803,15803
1546564377,15796,15796
1546566276,15781,15781
1546568177,15772,15772
1546570114,15764,15764
1546572037,15746,15746
1546574115,15726,15726
1546576128,15714,15714
1546578135,15706,15706
1546580197,15691,15691
1546582230,15666,15666
1546584256,15655,15655
1546586215,15629,15629
1546588103,15600,15600
1546590037,15566,15566
1546591941,15540,15540
1546593887,15505,15505
1546596123,15489,15489
1546597961,15443,15443
1546599898,15406,15406
1546601813,15385,15385
1546603972,15337,15337
1546605866,15282,15282
1546608027,15211,15211
1546609965,15174,15174
1546611767,15119,15119
1546613851,15084,15084
1546615948,15015,15015
1546618178,14930,14930
1546620274,14848,14848
1546622185,14771,14771
1546624143,14703,14703
1546626027,14588,14588
1546627983,14493,14493
1546630156,12910,12910
1546632127,10684,10684
1546633955,8637,8637
1546636150,6194,6194
1546638037,3972,3972
1546639968,1927,1927
1546641859,1054,1054
1546643803,1050,1050
1546645950,1043,1043
1546648028,1050,1050
1546650130,1045,1045
1546651960,1028,1028
1546653909,1018,1018
1546655813,1016,1016
1546657977,1004,1004
1546659874,1000,1000
1546662062,994,994
1546663972,983,983
1546665890,977,977
1546667799,969,969
1546669958,957,957
1546671895,950,950
1546673786,939,939
1546675750,935,935
1546677634,927,927
1546679572,918,918
1546681483,910,910
1546683501,886,886
1546685610,887,887
1546687479,894,894
1546689400,889,889
1546691313,882,882
1546693315,877,877
1546695159,885,885
1546697086,875,875
1546699261,866,866
1546701156,857,857
1546703096,858,858
1546705028,851,851
1546706920,849,849
1546708848,846,846
1546710777,838,838
1546712679,821,821
1546714606,816,816
1546716514,812,812
1546718544,804,804
1546720365,799,799
1546722335,798,798
1546724466,802,802
1546726370,802,802
1546728290,805,805
1546730212,815,815
1546732137,818,818
1546734038,814,814
1546735981,801,801
1546737881,808,808
1546739798,815,815
1546741983,818,818
1546743921,816,816
1546746060,814,814
1546747960,819,819
1546749871,823,823
1546752063,826,826
1546753949,828,828
1546755909,823,823
1546757790,823,823
1546760039,820,820
1546762180,828,828
1546764035,837,837
1546765964,842,842
1546767874,845,845
1546770073,851,851
1546771967,857,857
1546773898,855,855
1546776140,850,850
1546777988,907,907
1546779914,938,938
1546782064,946,946
1546783972,1032,1032
1546785905,1109,1109
1546787790,1182,1182
1546789749,1251,1251
1546791941,1352,1352
1546793811,2643,2643
1546795756,3138,3138
1546797725,3219,3219
1546799566,3283,3283
1546801513,3339,3339
1546803349,3350,3350
1546805347,3365,3365
1546807247,3547,3547
1546809193,3696,3696
1546811079,3833,3833
1546813323,4001,4001
1546815179,4125,4125
1546817105,4254,4254
1546819003,4358,4358
1546821171,4475,4475
1546823329,4570,4570
1546825280,4673,4673
1546827219,4752,4752
1546829119,4835,4835
1546831036,4915,4915
1546833212,4988,4988
1546835092,5038,5038
1546837025,5083,5083
1546838970,5125,5125
1546840970,5169,5169
1546842798,5213,5213
1546844720,5253,5253
1546846601,5293,5293
1546848540,5335,5335
1546850437,5363,5363
1546852367,5399,5399
1546854329,5426,5426
1546856267,5460,5460
1546858532,5485,5485
1546860522,5504,5504
1546862584,5502,5502
1546864390,5509,5509
1546866562,5526,5526
1546868448,5534,5534
1546870366,5537,5537
1546872340,5542,5542
1546874198,5535,5535
1546876385,5544,5544
1546878309,5553,5553
1546880219,4422,4422
1546882157,3910,3910
1546884133,3916,3916
1546885994,3911,3911
1546887917,3914,3914
1546890079,3943,3943
1546891960,3954,3954
1546893920,3962,3962
1546895806,3971,3971
1546897757,4053,4053
1546899647,6333,6333
1546901559,8510,8510
1546903510,10004,10004
1546905441,11906,11906
1546907591,13576,13576
1546909501,15172,15172
1546911400,15956,15956
1546913589,15957,15957
1546915504,15978,15978
1546917453,15981,15981
1546919324,15982,15982
1546921239,15988,15988
1546923191,15991,15991
1546925106,15980,15980
1546927004,15994,15994
1546928968,15997,15997
1546931224,15994,15994
1546933271,15998,15998
1546935152,15992,15992
1546937074,15992,15992
1546939005,15997,15997
1546941177,15992,15992
1546943104,15989,15989
1546945010,15993,15993
1546946913,16003,16003
1546948915,16019,16019
1546950939,16025,16025
1546953194,16035,16035
1546955093,16032,16032
1546957036,16035,16035
1546959196,16030,16030
1546961109,16038,16038
1546963014,16049,16049
1546964925,16045,16045
1546966943,16048,16048
1546968784,16070,16070
1546970747,16075,16075
1546972635,16078,16078
1546974796,16075,16075
1546976931,16086,16086
1546978863,16086,16086
1546980773,16086,16086
1546982692,16072,16072
1546984614,15398,15398
1546986788,12753,12753
1546988735,10964,10964
1546990627,9370,9370
1546992538,7647,7647
1546994448,6088,6088
1546996409,4508,4508
1546998304,4174,4174
1547000486,4229,4229
1547002398,4249,4249
1547004275,4247,4247
1547006231,4241,4241
1547008390,4240,4240
1547010323,4219,4219
1547012221,4217,4217
1547014146,4209,4209
1547016060,4193,4193
1547017962,4244,4244
1547019898,4223,4223
1547022066,4227,4227
1547023991,4217,4217
1547025875,4214,4214
1547027819,4210,4210
1547029756,4200,4200
1547031751,4180,4180
1547033593,4154,4154
1547035536,4142,4142
1547037426,4131,4131
1547039317,4137,4137
1547041497,4144,4144
1547043405,4177,4177
1547045339,4189,4189
1547047482,4174,4174
1547049707,4154,4154
1547051806,4154,4154
1547053985,4162,4162
1547056119,4155,4155
1547058291,4155,4155
1547060216,4160,4160
1547062115,4151,4151
1547064112,4148,4148
1547065966,4146,4146
1547067918,4140,4140
1547070113,4131,4131
1547071969,4122,4122
1547074157,4125,4125
1547076093,4117,4117
1547077966,4091,4091
1547080427,4083,4083
1547082576,4079,4079
1547084471,4018,4018
1547086389,3959,3959
1547088271,3899,3899
1547090232,3875,3875
1547092359,3862,3862
1547094320,3866,3866
1547096194,3861,3861
1547098124,3861,3861
1547100339,3856,3856
1547102195,3841,3841
1547104397,3840,3840
1547106278,3828,3828
1547108220,3811,3811
1547110121,3812,3812
1547112304,3801,3801
1547114535,3798,3798
1547116611,3787,3787
1547118778,3770,3770
1547120956,3763,3763
1547123101,3760,3760
1547125027,3741,3741
1547126910,3717,3717
1547128998,3620,3620
1547131265,3601,3601
1547133166,3584,3584
1547135101,3576,3576
1547137017,3561,3561
1547138856,3556,3556
1547141106,3550,3550
1547143372,3526,3526
1547145187,3498,3498
1547147138,3489,3489
1547149260,3449,3449
1547151183,3428,3428
1547153097,3402,3402
1547155308,3427,3427
1547157182,3457,3457
1547159087,3474,3474
