DateTime,AddedIPs,RemovedIPs
1546555980,3,2
1546557891,4,2
1546560177,27,1
1546562207,4,1
1546564380,0,1
1546566279,3,1
1546568180,2,2
1546570117,3,4
1546572040,6,2
1546574118,0,6
1546576131,2,0
1546578142,3,3
1546580200,3,4
1546582233,4,4
1546584259,4,8
1546586218,6,8
1546588106,3,4
1546590041,1,4
1546591944,2,3
1546593890,2,0
1546596126,3,4
1546597963,8,2
1546599916,8,3
1546601816,4,1
1546603978,4,2
1546605869,2,3
1546608030,5,4
1546609967,2,1
1546611769,4,3
1546613855,7,6
1546615951,6,12
1546618184,1,4
1546620277,4,3
1546622189,31,4
1546624146,172,1
1546626030,2,1
1546627986,5,2
1546630159,6,5
1546632130,4,1
1546633958,0,3
1546636156,3,0
1546638040,0,5
1546639971,2,2
1546641862,2,3
1546643805,2,5
1546645953,2,21
1546648031,4,15
1546650133,3,0
1546651962,13,3
1546653914,1,0
1546655816,4,2
1546657980,3,5
1546659877,3,3
1546662064,5,1
1546663974,4,3
1546665892,1,3
1546667805,0,2
1546669961,6,4
1546671899,2,9
1546673789,2,5
1546675753,2,1
1546677645,4,3
1546679575,2,6
1546681485,1,1
1546683503,1,6
1546685613,2,11
1546687482,0,4
1546689415,1,5
1546691316,5,2
1546693318,4,4
1546695162,1,4
1546697088,6,3
1546699270,2,7
1546701159,4,6
1546703099,4,5
1546705031,0,3
1546706922,3,3
1546708851,7,99
1546710780,3,103
1546712681,3,4
1546714608,5,6
1546716517,3,6
1546718547,3,4
1546720367,3,1
1546722341,2,3
1546724469,2,0
1546726373,3,0
1546728292,1,2
1546730215,1,2
1546732140,3,1
1546734041,6,3
1546735984,2,3
1546737884,2,4
1546739801,3,10
1546741985,3,2
1546743924,1,1
1546746062,3,3
1546747963,0,4
1546749873,1,5
1546752067,1,1
1546753952,3,0
1546755912,1,2
1546757793,1,7
1546760042,1,4
1546762182,0,2
1546764038,2,3
1546765967,1,2
1546767877,2,1
1546770075,0,1
1546771970,0,1
1546773900,1,1
1546776142,2,1
1546777990,4,5
1546779917,2,4
1546782067,3,1
1546783974,0,6
1546785908,1,4
1546787805,3,1
1546789752,0,5
1546791943,0,1
1546793813,1,5
1546795759,0,5
1546797728,9,3
1546799569,1,1
1546801516,1,4
1546803352,3,2
1546805350,0,4
1546807249,1,6
1546809198,1,1
1546811082,0,3
1546813326,4,5
1546815181,0,2
1546817108,2,2
1546819005,1,1
1546821174,1,5
1546823332,5,4
1546825283,1,0
1546827222,3,5
1546829122,1,3
1546831041,0,1
1546833219,1,2
1546835095,7,1
1546837029,7,1
1546838973,1,1
1546840973,2,3
1546842800,0,1
1546844724,1,1
1546846617,3,1
1546848543,5,1
1546850440,2,3
1546852370,3,1
1546854335,4,3
1546856270,5,0
1546858535,5,0
1546860525,4,1
1546862587,10,4
1546864393,28,3
1546866565,3,3
1546868451,0,4
1546870369,1,0
1546872344,0,1
1546874201,2,3
1546876388,2,2
1546878312,1,0
1546880221,2,0
1546882160,4,0
1546884136,6,9
1546886000,5,1
1546887923,0,1
1546890082,2,1
1546891963,1,1
1546893923,6,0
1546895809,2,1
1546897760,1,0
1546899649,0,3
1546901563,3,0
1546903513,6,2
1546905444,5,1
1546907594,2,2
1546909510,2,4
1546911403,1,2
1546913592,2,4
1546915508,3,0
1546917456,3,0
1546919329,3,0
1546921242,4,4
1546923194,3,8
1546925109,0,3
1546927007,14,3
1546928972,6,1
1546933274,2,3
1546935156,2,4
1546937077,6,2
1546939008,8,1
1546941181,42,4
1546943116,14,6
1546945013,3,3
1546946923,2,5
1546948921,3,7
1546950942,3,26
1546953197,1,2
1546955108,3,1
1546957039,0,3
1546959200,3,0
1546961113,2,2
1546963017,4,0
1546964931,3,3
1546966946,1,4
1546968787,2,3
1546970752,0,4
1546972644,3,5
1546974800,4,2
1546976934,5,1
1546978866,2,2
1546980776,4,6
1546982695,3,0
1546984617,1,0
1546986791,4,1
1546988737,3,3
1546990630,2,5
1546992540,3,1
1546994451,4,4
1546996412,1,1
1546998307,4,1
1547000488,2,4
1547002401,12,1
1547004277,5,1
1547006234,5,1
1547008393,3,4
1547010326,1,3
1547012223,3,2
1547014148,1,14
1547016063,2,2
1547017965,4,3
1547019901,4,3
1547022068,3,1
1547023994,1,4
1547025877,5,16
1547027821,6,33
1547029759,2,19
1547031754,3,1
1547033596,2,2
1547035539,4,4
1547037428,3,2
1547039320,1,0
1547041512,1,3
1547043408,3,0
1547045341,3,7
1547047484,0,4
1547049711,0,3
1547051808,5,6
1547053987,5,1
1547056121,3,1
1547058293,0,2
1547060219,1,3
1547062117,3,2
1547064115,0,3
1547065969,4,4
1547067921,4,2
1547070116,2,3
1547071974,2,3
1547074160,0,3
1547076099,1,3
1547077969,3,2
1547080430,4,3
1547082579,2,2
1547084474,1,2
1547086392,1,1
1547088274,1,7
1547090235,1,8
1547092362,0,2
1547094323,1,4
1547096198,1,4
1547098127,0,3
1547100342,2,2
1547102198,2,1
1547104400,4,5
1547106282,2,4
1547108223,2,3
1547110124,4,2
1547112320,2,3
1547114540,3,4
1547116614,2,4
1547118782,2,7
1547120959,1,5
1547123104,3,2
1547125042,1,1
1547126912,1,2
1547129001,0,3
1547131268,1,3
1547133169,5,1
1547135104,2,2
1547137021,1,2
1547138859,0,6
1547141110,4,3
1547143376,4,2
