DateTime,Entries,UniqueIPs
1547147541,9607,9698
1547148252,9596,9687
1547149218,9593,9684
1547149949,9578,9669
1547150657,9575,9666
1547151623,9574,9665
1547152330,9562,9653
1547153056,9570,9661
1547153772,9563,9654
1547154741,9558,9649
1547155451,9563,9654
1547156170,9560,9651
1547156897,9551,9642
1547157628,9549,9640
1547158329,9554,9645
1547159059,9537,9628
1547159772,9544,9635
1547160753,9536,9627
1547161731,9532,9624
1547162406,9540,9632
1547163143,9546,9639
1547163848,9541,9634
1547164571,9544,9637
1547165548,9539,9632
1547166249,9546,9639
1547166969,9548,9641
1547167695,9540,9633
1547168426,9539,9633
1547169128,9533,9627
1547169872,9533,9627
1547170570,9530,9624
1547171540,9526,9620
1547172256,9520,9614
1547173218,9519,9613
1547173930,9523,9616
1547174656,9519,9612
1547175373,9513,9606
1547176351,9505,9598
1547177049,9501,9594
1547178036,9498,9591
1547178747,9493,9586
1547179481,9492,9585
1547180198,9488,9580
1547180913,9488,9580
1547181670,9488,9580
1547182332,9503,9595
1547183050,9497,9589
1547184022,9491,9583
1547184736,9493,9585
1547185457,9494,9586
1547186424,9490,9582
1547187387,9499,9591
1547188341,9501,9593
1547189054,9502,9594
1547190026,9495,9587
1547191012,9501,9593
1547191942,9507,9599
1547192749,9506,9598
1547193371,9509,9601
1547194339,9512,9604
1547195050,9517,9609
1547195773,9516,9608
1547196735,9520,9612
1547197454,9519,9611
1547198424,9518,9610
1547199135,9526,9618
1547199849,9525,9617
1547200567,9522,9614
1547201540,9526,9618
1547202252,9523,9615
1547202973,9526,9618
1547203695,9521,9613
1547204416,9524,9616
1547205141,9526,9618
1547205746,9523,9615
1547206601,9528,9620
1547207541,9531,9623
1547208251,9532,9624
1547208981,9539,9631
1547209716,9542,9634
1547210655,9534,9626
1547211640,9538,9630
1547212328,9541,9633
1547213053,9543,9635
1547214042,9547,9639
1547214728,9554,9646
1547215708,9555,9647
1547216922,9560,9652
1547217875,9562,9654
1547218586,9563,9655
1547219316,9567,9659
1547220283,9573,9665
1547220988,9578,9670
1547221963,9584,9676
1547222972,9588,9680
1547223646,9590,9683
1547224577,9600,9693
1547225290,9597,9690
1547226024,9603,9696
1547226985,9604,9697
1547227687,9610,9703
1547228413,9612,9705
1547229129,9613,9706
1547229865,9616,9709
1547230568,9620,9713
1547231295,9622,9715
1547232009,9627,9720
1547232996,9626,9719
1547233729,9633,9726
1547234677,9633,9726
1547235393,9642,9735
1547236354,9644,9738
1547237325,9644,9738
1547238277,9658,9752
1547239004,9655,9749
