DateTime,AddedIPs,RemovedIPs
1547145145,6,4
1547145851,2,3
1547146571,5,3
1547147541,6,5
1547148252,2,7
1547149218,1,4
1547149949,1,0
1547150657,2,5
1547151623,4,3
1547152330,2,4
1547153056,4,7
1547153772,4,0
1547154741,6,12
1547155451,3,4
1547156170,3,6
1547156897,2,6
1547157628,3,5
1547158329,4,0
1547159059,4,6
1547159772,3,0
1547160753,1,10
1547161731,3,5
1547162406,4,0
1547163143,4,5
1547163848,3,9
1547164571,2,0
1547165548,8,0
1547166249,3,0
1547166969,4,2
1547167695,1,4
1547168426,6,5
1547169128,4,4
1547169872,6,5
1547170570,5,4
1547171540,5,7
1547172256,3,0
1547173218,4,20
1547173930,11,0
1547174656,6,9
1547175373,5,10
1547176351,6,11
1547177049,4,5
1547178036,6,7
1547178747,5,10
1547179481,5,9
1547180198,5,10
1547180913,5,0
1547181670,4,9
1547182332,12,4
1547183050,2,7
1547184022,2,4
1547184736,2,2
1547185457,2,3
1547186424,2,6
1547187387,5,7
1547188341,6,0
1547189054,5,4
1547190026,2,4
1547191012,5,7
1547191942,3,3
1547192749,3,0
1547193371,2,3
1547194339,3,4
1547195050,6,4
1547195773,0,4
1547196735,6,5
1547197454,3,1
1547198424,3,4
1547199135,6,2
1547199849,3,14
1547200567,2,5
1547201540,4,4
1547202252,2,10
1547203695,3,1
1547204416,4,0
1547205141,5,6
1547205746,2,0
1547206601,3,2
1547207541,6,0
1547208251,1,3
1547208981,9,0
1547209716,4,3
1547210655,0,5
1547211640,2,2
1547212328,2,1
1547213053,3,0
1547214042,3,7
1547214728,8,0
1547215708,1,5
1547216922,6,8
1547217875,3,2
1547218586,6,0
1547219316,3,5
1547220283,5,4
1547220988,3,6
1547221963,4,4
1547222972,6,5
1547223646,2,0
1547224577,9,15
1547225290,3,4
1547226024,2,2
1547226985,3,0
1547227687,4,13
1547228413,3,0
1547229129,4,0
1547229865,2,6
1547230568,2,0
1547231295,4,5
1547232009,3,5
1547232996,3,5
1547233729,3,5
1547234677,5,0
1547235393,4,1
1547236354,3,6
1547237325,5,0
1547238277,4,2
1547239004,2,9
1547239957,8,4
1547240670,1,0
1547241648,1,7
1547242350,3,5
1547243077,8,3
1547243767,9,0
1547244757,1,6
1547245474,3,0
1547246191,5,11
1547246930,4,3
1547247627,4,2
1547248333,1,4
1547249049,2,0
1547250286,3,8
1547250992,2,2
1547251724,2,0
1547252919,2,7
1547253634,8,0
1547254352,2,3
1547255080,2,6
1547256039,4,4
1547256753,4,5
1547257478,4,2
1547258421,5,4
1547259389,8,8
1547260338,10,18
1547261048,6,0
1547262024,7,12
1547262740,7,13
1547263454,8,7
1547264169,2,18
1547265145,7,6
1547265856,6,0
1547266576,7,6
1547267541,4,8
1547268249,4,7
1547268972,3,2
1547269941,5,13
1547270650,2,0
1547271373,2,2
1547272360,3,3
1547273053,1,1
1547273811,0,6
1547274488,2,0
1547275211,3,2
1547275949,2,3
1547276657,3,1
1547277656,3,3
1547278600,6,6
1547279543,5,6
1547280174,3,0
1547281222,3,5
1547281939,2,2
1547282650,4,4
1547283370,4,1
1547284360,2,4
1547285072,3,4
1547285793,2,2
1547286760,2,3
1547287479,4,2
1547288444,2,2
1547289135,2,5
1547290098,4,2
1547290822,2,0
1547291564,3,3
1547292271,3,0
1547293245,2,3
1547293963,6,2
1547294682,3,0
1547295631,2,9
1547296582,2,8
1547297561,2,4
1547298250,3,0
1547299247,8,3
1547299959,2,4
1547300654,6,2
1547301372,4,3
1547302095,3,0
1547302821,3,2
1547303531,2,1
1547304253,4,0
1547304973,4,5
1547305960,5,4
1547306671,6,6
1547307644,4,1
1547308337,2,0
1547309374,7,10
1547310276,2,2
1547311241,8,6
1547312172,10,2
1547313162,4,6
1547313871,2,0
1547314846,10,2
1547315555,5,4
1547316281,4,0
1547317249,3,3
1547317955,1,3
1547318676,2,7
1547319403,6,5
1547320120,7,0
1547320840,5,2
1547321545,4,4
1547322256,5,3
1547322984,3,8
1547323950,5,9
1547324914,3,2
1547325877,2,5
1547326591,5,0
1547327320,2,1
1547328282,9,7
1547328978,5,0
1547329945,1,6
1547330667,2,4
1547331387,3,6
1547332358,4,3
1547333052,1,4
1547334038,6,6
1547335004,3,4
1547335961,3,5
1547336673,2,0
1547337377,2,5
1547338130,1,0
1547339059,2,10
1547340035,4,0
1547340752,7,3
1547341458,4,5
1547342445,7,0
1547343131,4,5
1547343851,7,6
1547344568,2,0
1547345561,9,6
1547346274,7,8
1547347228,11,7
1547347951,3,9
1547348678,6,10
1547349642,7,13
1547350358,4,0
1547351317,7,23
1547352283,6,11
1547353006,10,8
1547353951,5,0
1547354898,6,3
1547355626,3,0
1547356348,2,1
1547357059,2,2
1547358053,1,10
1547358993,3,4
1547359708,3,1
1547360433,2,0
1547361156,6,4
1547361877,0,2
1547362835,5,2
1547363787,2,0
1547364753,1,2
1547365452,2,6
1547366428,3,3
1547367502,4,3
1547368108,1,0
1547368835,2,2
1547369549,3,0
1547370524,2,7
1547371244,3,0
1547372178,7,2
1547372889,2,4
1547373866,3,2
1547374819,5,1
1547375532,4,4
1547376254,5,4
1547376967,3,3
1547377724,10,5
1547378676,7,3
1547379390,3,3
1547380361,5,2
1547381054,4,0
1547382044,4,2
1547382733,1,1
1547383459,4,3
1547384426,3,2
1547385154,6,0
1547385877,1,7
1547386591,4,3
1547387320,6,3
1547388040,5,1
1547389001,5,0
1547389939,4,12
1547390649,2,0
1547391373,2,2
1547392362,4,6
1547393049,1,2
1547394034,5,6
1547394750,1,1
1547395488,2,3
1547396248,4,0
1547397159,2,7
1547397880,4,3
1547398587,3,0
1547399325,3,4
1547400014,3,2
1547400739,2,3
1547401451,4,4
1547402426,5,0
1547403132,3,5
1547403855,1,2
1547404814,4,3
1547405532,2,4
1547406261,1,8
1547407219,2,1
1547407959,2,6
1547408670,2,4
1547410360,2,4
1547411074,1,6
1547412037,1,7
1547412767,3,8
1547413482,6,0
1547414191,1,2
1547414913,1,4
1547415878,1,3
1547416587,3,0
1547417564,4,9
1547418249,1,0
1547418968,0,2
1547419944,2,3
1547420927,2,4
1547421861,3,4
1547422813,5,3
1547423528,18,1
1547424760,1,5
1547425448,5,7
1547426166,5,0
1547427144,5,7
1547427853,3,4
1547428575,6,0
1547429539,4,5
1547430251,5,5
1547431232,4,4
1547432202,9,7
1547433149,13,0
1547434119,12,20
1547434847,6,10
1547435565,8,7
1547436285,8,0
1547436971,1,0
1547437938,9,17
1547438654,7,0
1547439632,7,17
1547440581,6,7
1547441559,6,6
1547442524,5,1
1547443722,3,5
1547444410,0,3
1547445134,1,1
1547445850,1,2
1547446577,1,0
1547447542,3,3
1547448501,6,2
1547449479,5,1
1547450424,6,2
1547451404,1,0
1547452087,7,0
1547453083,1,4
1547453790,1,2
1547454856,3,3
1547455469,1,3
1547456190,1,4
1547457164,6,2
1547457848,3,1
1547458816,2,2
1547459527,4,0
1547460258,0,2
1547461244,7,11
1547461952,4,4
1547462934,3,2
1547463860,4,5
1547464822,3,0
1547465801,0,6
1547466779,3,5
1547467725,5,0
1547468681,4,3
1547469613,5,5
1547470326,5,0
1547471080,3,2
1547471791,6,0
1547472514,4,2
1547473482,9,5
1547474187,4,2
1547474921,0,2
1547475631,4,6
1547476361,3,6
1547477105,4,1
1547477775,3,8
1547479500,4,10
1547480205,1,0
1547480910,3,2
1547481645,5,0
1547482328,4,0
1547483051,2,10
1547483768,1,2
1547484491,1,4
1547485223,4,2
1547485937,3,0
1547486661,4,3
1547487615,6,5
1547488327,1,10
1547489057,5,3
1547490017,3,0
1547490731,3,4
1547491450,2,7
1547492170,4,4
1547492893,3,6
1547493615,3,1
1547494359,4,2
1547495071,4,8
1547495790,3,0
1547496759,5,5
1547497475,3,5
1547498193,5,4
1547498911,3,0
1547499880,5,10
1547500567,4,2
1547501291,3,4
1547502009,3,4
1547502753,3,0
1547503476,2,7
1547504439,3,4
1547505160,2,4
1547505849,1,6
1547506584,4,1
1547507293,4,0
1547508285,1,3
1547509483,4,10
1547510443,3,1
1547511131,3,0
1547511853,1,5
1547512569,5,0
1547513534,10,5
1547514256,2,6
1547514968,6,0
1547515958,5,3
1547516649,5,2
1547517375,3,5
1547518366,2,11
1547519075,10,0
1547519790,10,46
1547520510,3,0
1547521223,8,3
1547521934,9,7
1547522649,7,4
1547523374,7,6
1547524094,6,0
1547524819,6,8
1547525801,9,11
1547526509,3,0
1547527251,3,3
1547527932,4,3
1547528677,6,4
1547529388,3,0
1547530363,6,9
1547531326,3,1
1547532038,1,0
1547532762,2,3
1547533471,5,0
1547534442,5,7
1547535396,5,2
1547536365,2,2
1547537071,2,1
1547537790,2,0
1547538505,1,2
1547539240,2,4
1547539933,2,2
1547540656,2,3
1547541639,5,1
1547542350,2,7
1547543323,3,5
1547544281,2,3
1547544994,3,0
1547545711,5,5
1547546442,3,3
1547547135,1,2
1547547850,6,0
1547548836,5,8
1547549544,2,1
1547550281,7,7
1547551240,3,4
