DateTime,AddedIPs,RemovedIPs
1547147541,35,62
1547148252,60,61
1547149218,72,57
1547149949,63,23
1547150657,33,49
1547151623,51,44
1547152330,36,41
1547153056,42,30
1547153772,33,59
1547154741,66,41
1547155451,26,34
1547156170,32,33
1547156897,37,52
1547157628,51,24
1547158329,31,45
1547159059,40,49
1547159772,46,32
1547160753,34,45
1547161731,47,58
1547162406,34,44
1547163143,45,36
1547163848,46,37
1547164571,38,45
1547165548,36,64
1547166249,38,38
1547166969,43,41
1547167695,33,41
1547168426,44,34
1547169128,38,42
1547169872,46,29
1547170570,42,36
1547171540,41,45
1547172256,43,35
1547173218,38,44
1547173930,53,47
1547174656,41,44
1547175373,36,54
1547176351,44,46
1547177049,34,43
1547178036,54,41
1547178747,34,29
1547179481,24,54
1547180198,48,28
1547180913,34,33
1547181670,46,29
1547182332,34,41
1547183050,33,36
1547184022,29,39
1547184736,29,28
1547185457,26,19
1547186424,35,43
1547187387,45,56
1547188341,49,28
1547189054,33,35
1547190026,46,61
1547191012,59,43
1547191942,46,65
1547192749,37,46
1547193371,40,37
1547194339,60,29
1547195050,38,36
1547195773,37,27
1547196735,36,36
1547197454,34,24
1547198424,38,35
1547199135,26,40
1547199849,43,26
1547200567,25,25
1547201540,37,30
1547202252,19,34
1547202973,38,23
1547203695,30,25
1547204416,37,40
1547205141,32,42
1547205746,34,16
1547206601,30,32
1547207541,33,36
1547208251,13,28
1547208981,47,33
1547209716,28,37
1547210655,34,33
1547211640,47,23
1547212328,27,21
1547213053,35,48
1547214042,39,50
1547214728,55,34
1547215708,28,35
1547216922,48,36
1547217875,29,33
1547218586,23,54
1547219316,48,38
1547220283,61,43
1547220988,40,24
1547221963,45,33
1547222972,41,35
1547223646,27,38
1547224577,58,31
1547225290,29,43
1547226024,29,22
1547226985,37,39
1547227687,25,14
1547228413,28,27
1547229129,29,34
1547229865,30,33
1547230568,31,31
1547231295,38,32
1547232009,30,27
1547232996,38,19
1547233729,29,51
1547234677,45,40
1547235393,40,34
1547236354,35,38
1547237325,44,45
1547238277,45,42
1547239004,25,18
1547239957,32,35
1547240670,29,19
1547241648,34,40
1547242350,35,37
1547243077,33,36
1547243767,42,39
1547244757,23,45
1547245474,38,53
1547246191,32,17
1547246930,20,27
1547247627,34,37
1547248333,19,33
1547249049,37,24
1547250286,33,34
1547250992,26,25
1547251724,27,32
1547252919,38,34
1547253634,31,29
1547254352,16,39
1547255080,39,21
1547256039,32,31
1547256753,21,34
1547257478,38,28
1547258421,39,50
1547259389,28,30
1547260338,38,34
1547261048,24,33
1547262024,30,37
1547262740,29,32
1547263454,37,33
1547264169,21,23
1547265145,34,29
1547265856,25,41
1547266576,29,20
1547267541,28,38
1547268249,45,16
1547268972,12,32
1547269941,30,29
1547270650,28,23
1547271373,16,29
1547272360,33,33
1547273053,30,25
1547273811,18,24
1547274488,29,19
1547275211,28,26
1547275949,30,35
1547276657,27,28
1547277656,36,28
1547278600,32,27
1547279543,37,33
1547280174,25,29
1547281222,48,23
1547281939,26,36
1547282650,37,22
1547283370,28,45
1547284360,49,36
1547285072,33,28
1547285793,30,23
1547286760,30,33
1547287479,33,26
1547288444,29,48
1547289135,34,19
1547290098,29,36
