DateTime,Entries,UniqueIPs
1547147541,8664,8664
1547148252,8663,8663
1547149218,8678,8678
1547149949,8718,8718
1547150657,8702,8702
1547151623,8709,8709
1547152330,8704,8704
1547153056,8716,8716
1547153772,8690,8690
1547154741,8715,8715
1547155451,8707,8707
1547156170,8706,8706
1547156897,8691,8691
1547157628,8718,8718
1547158329,8704,8704
1547159059,8695,8695
1547159772,8709,8709
1547160753,8698,8698
1547161731,8687,8687
1547162406,8677,8677
1547163143,8686,8686
1547163848,8695,8695
1547164571,8688,8688
1547165548,8660,8660
1547166249,8660,8660
1547166969,8662,8662
1547167695,8654,8654
1547168426,8664,8664
1547169128,8660,8660
1547169872,8677,8677
1547170570,8683,8683
1547171540,8679,8679
1547172256,8687,8687
1547173218,8681,8681
1547173930,8687,8687
1547174656,8684,8684
1547175373,8666,8666
1547176351,8664,8664
1547177049,8655,8655
1547178036,8668,8668
1547178747,8673,8673
1547179481,8643,8643
1547180198,8663,8663
1547180913,8664,8664
1547181670,8681,8681
1547182332,8674,8674
1547183050,8671,8671
1547184022,8661,8661
1547184736,8662,8662
1547185457,8669,8669
1547186424,8661,8661
1547187387,8650,8650
1547188341,8671,8671
1547189054,8669,8669
1547190026,8654,8654
1547191012,8670,8670
1547191942,8651,8651
1547192749,8642,8642
1547193371,8645,8645
1547194339,8676,8676
1547195050,8678,8678
1547195773,8688,8688
1547196735,8688,8688
1547197454,8698,8698
1547198424,8701,8701
1547199135,8687,8687
1547199849,8704,8704
1547200567,8704,8704
1547201540,8711,8711
1547202252,8696,8696
1547202973,8711,8711
1547203695,8716,8716
1547204416,8713,8713
1547205141,8703,8703
1547205746,8721,8721
1547206601,8719,8719
1547207541,8716,8716
1547208251,8701,8701
1547208981,8715,8715
1547209716,8706,8706
1547210655,8707,8707
1547211640,8731,8731
1547212328,8737,8737
1547213053,8724,8724
1547214042,8713,8713
1547214728,8734,8734
1547215708,8727,8727
1547216922,8739,8739
1547217875,8735,8735
1547218586,8704,8704
1547219316,8714,8714
1547220283,8732,8732
1547220988,8748,8748
1547221963,8760,8760
1547222972,8766,8766
1547223646,8755,8755
1547224577,8782,8782
1547225290,8768,8768
1547226024,8775,8775
1547226985,8773,8773
1547227687,8784,8784
1547228413,8785,8785
1547229129,8780,8780
1547229865,8777,8777
1547230568,8777,8777
1547231295,8783,8783
1547232009,8786,8786
1547232996,8805,8805
1547233729,8783,8783
1547234677,8788,8788
1547235393,8794,8794
1547236354,8791,8791
1547237325,8790,8790
1547238277,8793,8793
1547239004,8800,8800
1547239957,8797,8797
1547240670,8807,8807
1547241648,8801,8801
1547242350,8799,8799
1547243077,8796,8796
1547243767,8799,8799
1547244757,8777,8777
1547245474,8762,8762
1547246191,8777,8777
1547246930,8770,8770
1547247627,8767,8767
1547248333,8753,8753
1547249049,8766,8766
1547250286,8765,8765
1547250992,8766,8766
1547251724,8761,8761
1547252919,8765,8765
1547253634,8767,8767
1547254352,8744,8744
1547255080,8762,8762
1547256039,8763,8763
1547256753,8750,8750
1547257478,8760,8760
1547258421,8749,8749
1547259389,8747,8747
1547260338,8751,8751
1547261048,8742,8742
1547262024,8735,8735
1547262740,8732,8732
1547263454,8736,8736
1547264169,8734,8734
1547265145,8739,8739
1547265856,8723,8723
1547266576,8732,8732
1547267541,8722,8722
1547268249,8751,8751
1547268972,8731,8731
1547269941,8732,8732
1547270650,8737,8737
1547271373,8724,8724
1547272360,8724,8724
1547273053,8729,8729
1547273811,8723,8723
1547274488,8733,8733
1547275211,8735,8735
1547275949,8730,8730
1547276657,8729,8729
1547277656,8737,8737
1547278600,8742,8742
1547279543,8746,8746
1547280174,8742,8742
1547281222,8767,8767
1547281939,8757,8757
1547282650,8772,8772
1547283370,8755,8755
1547284360,8768,8768
1547285072,8773,8773
1547285793,8780,8780
1547286760,8777,8777
1547287479,8784,8784
1547288444,8765,8765
1547289135,8780,8780
1547290098,8773,8773
1547290822,8774,8774
1547291564,8775,8775
1547292271,8771,8771
1547293245,8773,8773
1547293963,8786,8786
1547294682,8777,8777
1547295631,8780,8780
1547296582,8740,8740
1547297561,8791,8791
1547298250,8754,8754
1547299247,8798,8798
1547299959,8774,8774
1547300654,8790,8790
1547301372,8808,8808
1547302095,8792,8792
1547302821,8813,8813
1547303531,8807,8807
1547304253,8797,8797
1547304973,8810,8810
1547305960,8801,8801
1547306671,8822,8822
1547307644,8826,8826
1547308337,8825,8825
1547309374,8823,8823
1547310276,8820,8820
1547311241,8843,8843
1547312172,8834,8834
1547313162,8818,8818
1547313871,8832,8832
1547314846,8836,8836
1547315555,8831,8831
1547316281,8811,8811
1547317249,8828,8828
1547317955,8825,8825
1547318676,8822,8822
1547319403,8829,8829
1547320120,8833,8833
1547320840,8833,8833
1547321545,8828,8828
1547322256,8829,8829
1547322984,8813,8813
1547323950,8818,8818
1547324914,8818,8818
1547325877,8825,8825
1547326591,8822,8822
1547327320,8829,8829
1547328282,8833,8833
1547328978,8822,8822
1547329945,8816,8816
1547330667,8811,8811
1547331387,8809,8809
1547332358,8810,8810
1547333052,8817,8817
1547334038,8813,8813
1547335004,8797,8797
1547335961,8807,8807
1547336673,8808,8808
1547337377,8791,8791
1547338130,8795,8795
1547339059,8793,8793
1547340035,8789,8789
1547340752,8797,8797
1547341458,8775,8775
1547342445,8789,8789
1547343131,8774,8774
1547343851,8777,8777
1547344568,8763,8763
1547345561,8769,8769
1547346274,8771,8771
1547347228,8762,8762
1547347951,8753,8753
1547348678,8746,8746
1547349642,8759,8759
1547350358,8746,8746
1547351317,8752,8752
1547352283,8741,8741
1547353006,8748,8748
1547353951,8755,8755
1547354898,8747,8747
1547355626,8748,8748
1547356348,8734,8734
1547357059,8745,8745
1547358053,8744,8744
1547358993,8744,8744
1547359708,8741,8741
1547360433,8739,8739
1547361156,8755,8755
1547361877,8749,8749
1547362835,8749,8749
1547363787,8751,8751
1547364753,8738,8738
1547365452,8747,8747
1547366428,8736,8736
1547367502,8736,8736
1547368108,8742,8742
1547368835,8746,8746
1547369549,8748,8748
1547370524,8738,8738
1547371244,8751,8751
1547372178,8748,8748
1547372889,8745,8745
1547373866,8750,8750
1547374819,8739,8739
1547375532,8766,8766
1547376254,8749,8749
1547376967,8773,8773
1547377724,8773,8773
1547378676,8787,8787
1547379390,8791,8791
1547380361,8786,8786
1547381054,8768,8768
1547382044,8786,8786
1547382733,8791,8791
1547383459,8785,8785
1547384426,8785,8785
1547385154,8795,8795
1547385877,8811,8811
1547386591,8811,8811
1547387320,8806,8806
1547388040,8815,8815
1547389001,8841,8841
1547389939,8856,8856
1547390649,8841,8841
1547391373,8844,8844
1547392362,8843,8843
1547393049,8842,8842
1547394034,8859,8859
1547394750,8856,8856
1547395488,8848,8848
1547396248,8848,8848
1547397159,8847,8847
1547397880,8853,8853
1547398587,8861,8861
1547399325,8856,8856
1547400014,8836,8836
1547400739,8833,8833
1547401451,8822,8822
1547402426,8829,8829
1547403132,8831,8831
1547403855,8842,8842
1547404814,8839,8839
1547405532,8835,8835
1547406261,8829,8829
1547407219,8838,8838
1547407959,8851,8851
1547408670,8850,8850
1547409395,8838,8838
1547410360,8830,8830
1547411074,8833,8833
1547412037,8832,8832
1547412767,8825,8825
1547413482,8820,8820
1547414191,8821,8821
1547414913,8810,8810
1547415878,8795,8795
1547416587,8804,8804
1547417564,8815,8815
1547418249,8802,8802
1547418968,8794,8794
1547419944,8783,8783
1547420927,8789,8789
1547421861,8812,8812
1547422813,8812,8812
1547423528,8825,8825
1547424760,7810,7810
1547425448,7962,7962
1547426166,8025,8025
1547427144,8080,8080
1547427853,8105,8105
1547428575,8133,8133
1547429539,8140,8140
1547430251,8156,8156
1547431232,8197,8197
1547432202,8225,8225
1547433149,8242,8242
1547434119,8239,8239
1547434847,8248,8248
1547435565,8262,8262
1547436285,8249,8249
1547436971,8257,8257
1547437938,8258,8258
1547438654,8251,8251
1547439632,8271,8271
1547440581,8281,8281
1547441559,8275,8275
1547442524,8226,8226
1547443722,8274,8274
1547444410,8281,8281
1547445134,8306,8306
1547445850,8309,8309
1547446577,8325,8325
1547447542,8323,8323
1547448501,8343,8343
1547449479,8354,8354
1547450424,8363,8363
1547451404,8377,8377
1547452087,8366,8366
1547453083,8368,8368
1547453790,8393,8393
1547454856,8379,8379
1547455469,8387,8387
1547456190,8394,8394
1547457164,8403,8403
1547457848,8402,8402
1547458816,8399,8399
1547459527,8411,8411
1547460258,8406,8406
1547461244,8409,8409
1547461952,8416,8416
1547462934,8418,8418
1547463860,8428,8428
1547464822,8432,8432
1547465801,8431,8431
1547466779,8432,8432
1547467725,8432,8432
1547468681,8434,8434
1547469613,8429,8429
1547470326,8439,8439
1547471080,8448,8448
1547471791,8439,8439
1547472514,8442,8442
1547473482,8461,8461
1547474187,8478,8478
1547474921,8476,8476
1547475631,8481,8481
1547476361,8490,8490
1547477105,8485,8485
1547477775,8482,8482
1547478515,8472,8472
1547479500,8492,8492
1547480205,8489,8489
1547480910,8499,8499
1547481645,8512,8512
1547482328,8517,8517
1547483051,8511,8511
1547483768,8519,8519
1547484491,8507,8507
1547485223,8492,8492
1547485937,8504,8504
1547486661,8517,8517
1547487615,8516,8516
1547488327,8540,8540
1547489057,8528,8528
1547490017,8534,8534
1547490731,8545,8545
1547491450,8559,8559
1547492170,8543,8543
1547492893,8545,8545
1547493615,8550,8550
1547494359,8552,8552
1547495071,8569,8569
1547495790,8558,8558
1547496759,8547,8547
1547497475,8569,8569
1547498193,8557,8557
1547498911,8559,8559
1547499880,8555,8555
1547500567,8569,8569
1547501291,8561,8561
1547502009,8563,8563
1547502753,8522,8522
1547503476,8535,8535
1547504439,8541,8541
1547505160,8555,8555
1547505849,8563,8563
1547506584,8563,8563
1547507293,8573,8573
1547508285,8563,8563
1547509483,8560,8560
1547510443,8560,8560
1547511131,8575,8575
1547511853,8562,8562
1547512569,8564,8564
1547513534,8575,8575
1547514256,8544,8544
1547514968,8557,8557
1547515958,8558,8558
1547516649,8553,8553
1547517375,8550,8550
1547518366,8541,8541
1547519075,8550,8550
1547519790,8563,8563
1547520510,8560,8560
1547521223,8568,8568
1547521934,8572,8572
1547522649,8560,8560
1547523374,8566,8566
1547524094,8557,8557
1547524819,8554,8554
1547525801,8562,8562
1547526509,8548,8548
1547527251,8544,8544
1547527932,8551,8551
1547528677,8540,8540
1547529388,8544,8544
1547530363,8554,8554
1547531326,8547,8547
1547532038,8539,8539
1547532762,8537,8537
1547533471,8543,8543
1547534442,8551,8551
1547535396,8551,8551
1547536365,8552,8552
1547537071,8553,8553
1547537790,8562,8562
1547538505,8557,8557
1547539240,8558,8558
1547539933,8569,8569
1547540656,8567,8567
1547541639,8570,8570
1547542350,8576,8576
1547543323,8579,8579
1547544281,8578,8578
1547544994,8567,8567
1547545711,8567,8567
1547546442,8580,8580
1547547135,8588,8588
1547547850,8604,8604
1547548836,8567,8567
1547549544,8591,8591
1547550281,8578,8578
1547551240,8587,8587
