DateTime,AddedIPs,RemovedIPs
1546896908,147,121
1546898110,144,61
1546899248,155,97
1546900725,245,123
1546902940,212,86
1546903688,90,0
1546904551,57,141
1546906447,129,82
1546908127,154,106
1546908968,63,24
1546910888,228,78
1546911728,77,73
1546913116,110,151
1546914497,109,0
1546916198,104,156
1546917313,68,141
1546918929,151,161
1546919769,101,36
1546920846,106,51
1546922718,168,110
1546924209,138,110
1546925321,116,0
1546926128,85,98
1546926967,54,52
1546928048,77,203
1546929343,88,150
1546930566,115,38
1546931648,86,66
1546933328,161,103
1546934169,104,33
1546935310,143,109
1546936088,93,0
1546938848,228,228
1546940409,167,107
1546941921,106,177
1546943288,125,2
1546944129,70,111
1546946048,167,120
1546947309,133,106
1546948508,94,38
1546949719,132,73
1546951328,210,155
1546953248,238,216
1546954808,173,114
1546956848,209,128
1546958102,0,29617
1546959309,29714,0
1546959367,7,0
1546960509,127,104
1546961709,161,144
1546962811,91,52
1546962968,30,0
1546964047,195,72
1546965728,312,93
1546967647,308,141
1546968913,201,128
1546970708,224,119
1546972243,191,98
1546972941,72,0
1546974608,172,114
1546975349,75,1
1546976509,125,136
1546978459,175,110
1546980129,126,193
1546980968,72,61
1546982109,94,130
1546983211,84,113
1546984508,155,49
1546985647,57,95
1546986781,127,97
1546989247,209,171
1546990929,104,171
1546992307,124,130
1546993688,126,0
1546994528,99,142
1546995368,75,38
1546996509,97,103
1546998129,159,193
1546999517,166,178
1547001088,142,105
1547001729,67,0
1547002568,79,70
1547003720,105,80
1547005266,136,199
1547006715,112,133
1547008088,195,0
1547009708,119,195
1547010848,94,127
1547012420,136,159
1547013367,55,62
1547014509,97,92
1547016139,192,169
1547017448,130,185
1547019013,174,157
1547019729,124,0
1547021649,174,169
1547023328,156,167
1547024993,165,274
1547028309,315,488
1547028849,42,0
1547030060,0,30856
1547032447,30762,0
1547033288,68,0
1547034422,78,232
1547035808,146,205
1547037730,174,197
1547038569,90,0
1547039709,106,223
1547040487,90,1
1547042169,201,332
1547043268,126,141
1547044929,193,218
1547046848,163,217
1547048539,162,197
1547049379,99,74
1547050448,106,152
1547051287,99,0
1547052129,63,228
1547053807,197,231
1547054999,131,256
1547055727,94,0
1547057656,151,241
1547058908,111,223
1547060108,92,83
1547061256,97,176
1547062927,222,211
1547063768,78,97
1547064918,146,162
1547066108,112,180
1547068447,269,220
1547070163,143,248
1547070967,67,44
1547072898,174,95
1547073726,0,29926
1547076009,29941,0
1547076487,33,0
1547078179,134,185
1547079247,72,97
1547080457,101,188
1547081768,113,59
1547082858,100,69
1547083713,49,0
1547084527,60,182
1547086458,176,126
1547087288,60,0
1547088967,172,204
1547090087,83,141
1547091225,73,181
1547091737,43,0
1547092568,80,41
1547093720,68,108
1547095219,153,187
1547097309,177,164
1547098928,134,130
1547100308,132,150
1547101487,93,0
1547102709,101,161
1547104219,133,221
1547105448,122,191
1547106128,77,1
1547108048,166,155
1547108888,62,1
1547109728,76,201
1547110568,85,51
1547111755,102,98
1547112978,97,179
1547114722,199,177
1547115249,126,2
1547116819,331,200
1547118847,180,134
1547120718,191,211
1547121368,56,54
1547122447,118,165
1547123855,108,194
1547125818,150,187
1547127729,164,247
1547129108,138,208
1547130292,116,0
1547131328,124,204
1547133009,166,226
1547134927,176,465
1547136323,92,256
1547138527,196,297
1547139367,100,80
1547140518,110,144
1547142035,123,220
1547144047,159,183
1547144896,83,0
1547146568,120,234
1547147709,86,208
1547149216,145,152
1547150529,149,179
1547151780,151,1
1547153109,195,140
1547153768,72,85
1547154908,224,111
1547156410,355,139
1547157368,148,77
1547159287,270,117
1547160909,223,147
1547162119,113,128
1547163728,157,166
1547164577,76,0
1547165709,90,163
1547167338,200,147
1547169247,156,226
1547170088,93,0
1547171408,145,268
1547172607,97,115
1547174107,187,176
1547175310,107,0
1547176510,108,179
1547178128,175,238
1547179442,113,137
1547180888,126,0
1547182626,148,209
1547184020,113,64
1547185250,68,174
1547187248,151,207
1547188089,97,0
1547188929,69,220
1547189767,68,0
1547190848,116,220
1547192529,155,206
1547193921,159,195
1547195419,77,193
1547196911,163,1
1547198111,120,190
1547199729,128,171
1547201648,147,197
1547202488,91,0
1547204108,156,200
1547206509,105,287
1547206929,0,65
1547208847,0,117
1547210252,0,191
1547212159,0,244
1547213412,0,194
1547214908,0,1
1547216049,0,205
1547217739,0,203
1547219412,546,162
1547220633,711,172
1547221765,691,47
1547222167,44,0
1547223248,85,142
1547224929,186,208
1547226847,164,127
1547227687,81,0
1547228528,74,138
1547229368,46,1
1547231288,177,138
1547232572,129,290
1547233812,172,130
1547234888,97,1
1547236512,139,197
1547237708,75,199
1547239242,143,230
1547241011,126,106
1547242927,139,230
1547244307,91,138
1547245687,117,0
1547247368,220,119
1547248459,68,137
1547249288,59,1
1547250908,128,216
1547252109,73,88
1547253309,132,139
1547253728,51,48
1547254568,93,0
1547256488,174,126
1547257419,72,195
1547258168,72,0
1547259308,90,149
1547260929,135,136
1547262848,197,160
1547264408,89,127
1547266448,155,135
1547268138,126,174
1547268969,58,0
1547270048,86,141
1547271728,115,202
1547273647,136,135
1547274878,62,172
1547276119,116,0
1547277310,106,174
1547278848,108,212
1547280848,157,113
1547282529,152,216
1547283368,86,0
1547284508,106,168
1547286128,137,447
1547288047,149,195
1547288895,64,0
1547290567,155,247
1547291647,201,135
1547292855,156,179
1547294167,134,63
1547295247,109,113
1547296508,107,169
1547297707,87,0
1547298909,107,203
1547299687,47,0
1547300531,66,254
1547302456,139,136
1547304040,122,233
1547305765,129,74
1547306887,135,0
1547308860,219,346
1547310486,171,0
1547311337,72,195
1547312177,89,1
1547313247,91,140
1547314087,81,1
1547314927,76,173
1547316847,152,143
1547318527,145,228
1547319367,81,0
1547320467,95,139
1547322127,117,281
1547324047,168,217
1547324887,95,0
1547325736,69,391
1547326568,89,0
1547327648,137,159
1547328496,78,0
1547330168,152,218
1547331308,103,145
1547332710,522,127
1547333768,220,1
1547334914,141,177
1547336448,139,234
1547338208,239,95
1547339289,156,0
1547340129,74,230
1547342055,249,114
1547343913,227,273
1547344568,63,1
1547345714,135,102
1547347328,206,237
1547348175,74,0
1547350087,160,107
1547351769,161,175
1547352847,112,156
1547354527,150,150
1547356208,132,76
1547357298,53,0
1547358968,168,237
1547360113,129,95
1547361645,158,232
1547362568,86,1
1547363724,138,152
1547364488,54,0
1547367248,312,322
1547368088,72,0
1547369672,121,217
1547370847,101,103
1547372461,151,244
1547373919,163,104
1547375107,126,0
1547376128,123,96
1547376966,100,0
1547378109,133,0
1547379650,162,1
1547381116,227,1
1547381647,68,0
1547382487,75,0
1547383328,100,0
1547385248,199,0
1547386507,165,0
1547387644,101,1
1547388848,99,108
1547390018,92,881
1547391369,126,401
1547392446,119,559
1547394017,192,172
1547395153,83,187
1547396408,97,9
1547396886,36,0
1547397728,97,225
1547398567,79,0
1547399717,96,85
1547401327,139,145
1547402167,91,0
1547404096,197,209
1547405416,120,223
1547406537,121,102
1547408042,154,118
1547408526,67,72
1547409374,69,1
1547410511,102,83
1547412019,160,134
1547413781,143,109
1547414046,17,1
1547414887,71,0
1547416146,111,219
1547417244,91,144
1547418488,107,0
1547419864,98,137
1547421247,97,90
1547422966,123,193
1547424321,68,140
1547425688,89,1
1547426529,93,170
1547428217,120,171
1547429428,122,252
1547430127,78,48
1547432048,172,162
1547433909,125,159
1547435657,129,94
1547437338,183,129
1547438712,119,139
1547440229,120,129
1547441408,90,29
1547441769,40,0
1547442848,96,79
1547444534,144,185
1547446448,212,100
1547448019,132,157
1547449339,92,149
