DateTime,AddedIPs,RemovedIPs
1546896943,112,76
1546898127,113,38
1546899264,89,55
1546900740,130,74
1546901858,54,39
1546903239,83,14
1546903716,29,0
1546904573,25,94
1546906464,79,46
1546908145,90,77
1546908986,35,15
1546910923,160,44
1546911757,48,47
1546913149,78,115
1546914519,85,0
1546916233,65,118
1546917345,44,116
1546918948,107,118
1546919801,77,23
1546920873,69,30
1546922751,112,69
1546924242,107,76
1546925360,81,1
1546926149,61,65
1546926986,31,39
1546928081,41,167
1546929363,55,108
1546930585,82,25
1546931656,0,18401
1546933348,18491,0
1546934205,65,23
1546935346,87,86
1546936119,79,2
1546938870,157,154
1546940447,126,68
1546941964,78,125
1546943320,102,4
1546944166,42,69
1546946070,115,79
1546947328,89,56
1546948547,53,20
1546949754,92,43
1546951337,0,18847
1546953281,18919,0
1546954843,118,54
1546956872,0,18983
1546958114,19072,0
1546959395,83,31
1546960537,81,58
1546961726,100,56
1546962834,63,23
1546962995,21,1
1546964074,103,44
1546965754,163,52
1546967665,197,86
1546968931,148,81
1546970732,144,68
1546972247,0,19675
1546972958,19816,0
1546974636,129,73
1546975368,55,1
1546976526,101,94
1546978476,127,71
1546980159,82,144
1546980985,46,43
1546982146,78,99
1546983318,0,19909
1546984531,19952,0
1546985680,36,67
1546986806,91,48
1546989267,142,118
1546990949,71,132
1546992340,49,91
1546993719,94,2
1546994547,64,106
1546995400,51,29
1546996538,63,66
1546998163,120,140
1546999542,131,139
1547001115,103,62
1547001746,49,2
1547002587,51,53
1547003751,66,55
1547005286,110,155
1547006742,58,85
1547008113,76,3
1547009736,78,128
1547010868,75,86
1547012453,93,113
1547013404,39,50
1547014539,56,77
1547016170,151,127
1547017469,101,139
1547019044,150,106
1547019757,112,2
1547021687,128,101
1547023355,118,118
1547025021,126,226
1547028870,268,363
1547030095,82,101
1547032487,156,181
1547033306,45,1
1547034464,52,181
1547035831,106,165
1547037759,118,153
1547038586,62,1
1547039745,78,161
1547040515,0,19638
1547042209,19657,0
1547043338,101,112
1547044948,148,166
1547046887,123,176
1547048562,114,152
1547049409,91,63
1547050480,75,114
1547051325,71,0
1547052155,41,182
1547053847,127,154
1547055019,83,205
1547055754,60,1
1547057684,99,199
1547058928,75,170
1547061283,137,207
1547062945,182,151
1547063797,57,79
1547064944,107,115
1547066140,94,138
1547068468,196,176
1547070187,119,188
1547070983,48,36
1547072930,118,69
1547073726,0,19070
1547075421,19079,0
1547076506,44,3
1547077836,88,124
1547078203,15,1
1547079262,0,19098
1547080480,19034,0
1547081803,83,40
1547082887,70,44
1547083732,23,3
1547084546,42,150
1547086491,134,75
1547087306,46,1
1547088993,131,130
1547090107,51,106
1547091254,40,121
1547091771,30,1
1547092599,62,30
1547093756,45,67
1547095252,0,19023
1547097345,19023,0
1547098942,0,19023
1547100336,19048,0
1547101513,73,3
1547102737,81,115
1547104245,112,151
1547105479,83,127
1547106149,62,2
1547108067,113,100
1547108924,42,3
1547109765,50,156
1547110592,61,38
1547111801,75,60
1547113006,53,133
1547114772,156,108
1547115287,123,0
1547116853,285,130
1547118877,132,80
1547120739,147,168
1547121387,39,36
1547122467,95,134
1547123876,84,142
1547125847,102,121
1547127765,124,178
1547129147,106,152
1547130309,0,19109
1547131360,19135,0
1547133039,118,166
1547134947,101,186
1547136357,46,143
1547138546,114,212
1547139396,61,64
1547140547,71,100
1547142054,80,166
1547144065,78,134
1547144923,47,2
1547146593,69,182
1547147741,56,150
1547149244,101,102
1547150558,84,112
1547151798,113,5
1547153135,160,102
1547153798,44,51
1547154909,0,18601
1547156436,18761,0
1547157370,0,18761
1547159307,18826,0
1547160929,118,102
1547162153,60,55
1547163756,99,108
1547164600,46,0
1547165738,57,88
1547167365,144,113
1547169267,105,182
1547170116,68,0
1547171443,116,182
1547172640,76,69
1547174143,149,126
1547175330,75,4
1547176551,86,122
1547178159,138,100
1547179462,94,82
1547180909,93,2
1547182646,104,147
1547184054,78,43
1547185282,35,116
1547187267,87,163
1547188121,0,18850
1547188949,18801,0
1547189799,50,2
1547190885,80,166
1547192550,108,164
1547193953,124,137
1547195455,47,142
1547196933,119,2
1547198147,89,142
1547199752,87,131
1547201651,0,18619
1547202506,18648,0
1547204111,0,18648
1547206532,18508,0
1547206956,0,42
1547208866,0,81
1547210270,0,150
1547212180,0,191
1547213438,0,149
1547216067,0,160
1547217757,0,142
1547219431,250,129
1547220654,402,137
1547221783,452,47
1547222187,39,3
1547223268,59,111
1547224947,144,138
1547226874,121,90
1547227714,71,2
1547228554,53,98
1547229387,32,0
1547230472,78,87
1547231306,50,0
1547232589,99,242
1547233831,135,92
1547234912,61,1
1547236538,87,164
1547237743,41,149
1547239273,107,176
1547241040,86,75
1547242943,88,153
1547244338,55,111
1547245705,98,3
1547247402,180,67
1547248489,43,98
1547249307,32,5
1547250937,91,163
1547252144,45,71
1547253336,108,82
1547253764,49,37
1547254601,72,4
