DateTime,AddedIPs,RemovedIPs
1546245794,1,0
1546246618,1,2
1546247695,1,1
1546250197,1,0
1546252122,1,0
1546256593,0,1
1546257977,1,1
1546260195,0,1
1546263752,1,0
1546265671,0,1
1546270456,0,1
1546271792,2,1
1546272959,1,3
1546276248,1,2
1546280147,1,0
1546280911,1,0
1546284646,0,1
1546288648,0,1
1546290886,0,2
1546294473,1,0
1546295738,2,0
1546298077,1,0
1546299541,0,1
1546301673,1,0
1546302935,0,1
1546304206,2,0
1546306852,0,2
1546308358,0,1
1546309717,2,0
1546313325,1,3
1546316075,1,0
1546317758,0,1
1546319458,1,1
1546321356,2,0
1546323295,1,0
1546329035,1,0
1546332164,1,0
1546334095,0,1
1546335658,0,1
1546339352,1,0
1546340212,2,0
1546341289,0,1
1546342533,1,1
1546342962,0,1
1546344887,0,2
1546345713,1,0
1546349724,1,1
1546352072,0,2
1546354540,1,1
1546355688,0,1
1546357364,3,0
1546359345,1,1
1546360131,1,0
1546363714,2,0
1546365332,1,0
1546367739,0,1
1546371335,0,1
1546373751,0,2
1546375253,1,2
1546376217,0,1
1546378113,1,0
1546379448,1,0
1546384478,2,1
1546388075,2,4
1546389336,0,2
1546391678,0,2
1546393528,0,1
1546396972,1,0
1546398968,0,2
1546400557,1,0
1546401396,0,1
1546403749,1,0
1546405845,0,3
1546407771,0,2
1546408602,1,0
1546409692,0,1
1546411360,0,2
1546413366,1,0
1546415799,1,0
1546416878,0,1
1546418558,2,3
1546421499,1,1
1546422948,1,0
1546428054,0,1
1546429258,1,1
1546430208,2,0
1546435729,3,1
1546437416,2,1
1546441852,1,0
1546447354,1,0
1546449648,0,1
1546450849,0,2
1546452153,0,3
1546456490,2,0
1546457330,1,0
1546458994,3,0
1546464520,1,1
1546467273,1,0
1546470882,1,1
1546471724,2,0
1546474254,3,2
1546479780,1,1
1546483355,0,2
1546486864,0,1
1546489670,1,0
1546492254,1,1
1546497362,0,1
1546500527,0,1
1546501670,1,1
1546503335,1,0
1546504128,0,1
1546505811,0,1
1546506953,0,1
1546509421,1,0
1546510555,0,1
1546513849,1,0
1546515071,0,2
1546517696,1,0
1546518527,2,0
1546519355,0,1
1546525715,1,0
1546527411,0,1
1546528476,1,0
1546529703,1,1
1546531568,1,0
1546533756,0,1
1546535748,0,1
1546537356,1,0
1546538193,0,1
1546540120,1,0
1546540954,1,0
1546542884,2,0
1546545336,0,1
1546548166,0,1
1546551056,1,0
1546553683,1,1
1546554923,0,2
1546557297,0,1
1546560362,1,0
1546566996,1,0
1546568084,0,1
1546568928,1,0
1546573377,1,0
1546574752,0,1
1546575939,1,0
1546578647,1,1
1546582498,1,1
1546584073,1,0
1546585852,0,2
1546587765,1,0
1546589691,0,4
1546591369,0,4
1546593338,0,1
1546600483,0,1
1546602938,0,1
1546607460,0,4
1546614647,0,1
1546615716,1,0
1546618556,1,1
1546620054,2,0
1546622073,0,1
1546624543,0,3
1546625753,1,0
1546626532,0,1
1546627708,0,2
1546629045,2,2
1546630962,0,1
1546632339,1,0
1546633523,1,0
1546634739,1,1
1546636249,0,1
1546638161,1,0
1546640087,1,0
1546641342,1,4
1546645381,0,1
1546648112,1,1
1546648968,0,1
1546649806,1,0
1546651727,1,0
1546659770,2,0
1546661679,2,0
1546664135,0,1
1546666135,0,1
1546678547,1,0
1546679751,0,1
1546680526,1,1
1546681367,0,1
1546687567,1,0
1546688739,1,2
1546692153,0,1
1546693416,0,1
1546694914,1,0
1546696244,0,1
1546697685,1,1
1546698949,0,3
1546701041,0,2
1546703750,2,0
1546704897,1,1
1546706562,0,1
1546708243,1,0
1546709718,0,1
1546711551,1,2
1546715447,0,1
1546721556,2,1
1546723714,1,0
1546725472,1,2
1546727322,0,1
1546729849,1,3
1546732608,5,0
1546734530,1,0
1546735381,2,0
1546737043,1,0
1546738306,0,1
1546740884,1,2
1546743408,1,3
1546745742,2,0
1546747010,1,0
1546748160,1,0
1546749621,0,1
1546754198,0,1
1546756129,1,0
1546757410,0,1
1546764171,0,1
1546767775,0,1
1546776897,0,1
1546779357,1,0
1546781728,0,1
1546783557,1,0
1546785763,2,1
1546790149,2,0
1546796555,2,0
1546797941,0,2
1546799312,1,0
1546800999,0,1
1546802914,1,2
1546804610,0,3
1546810952,2,2
1546812874,1,0
1546820082,0,1
1546821765,0,1
1546828953,0,3
1546829814,1,0
1546830960,1,1
1546833356,1,0
1546836178,2,1
1546838163,0,1
1546841694,1,0
1546842529,0,1
1546844193,1,0
1546846116,1,1
1546849720,0,1
1546852518,1,0
1546857765,0,1
1546859460,0,1
1546863290,1,0
1546864781,1,0
1546869399,1,0
1546874916,0,1
1546876251,1,1
1546877690,0,2
1546881289,1,1
1546882113,1,0
1546883817,1,0
1546884938,2,0
1546886566,1,0
1546893137,1,2
1546896953,1,0
1546899274,0,2
1546900750,2,2
1546901868,0,2
1546903250,0,1
1546904582,0,1
1546906475,1,0
1546908155,1,0
1546910934,1,0
1546911772,0,1
1546913173,0,1
1546918958,1,0
1546919812,1,0
1546922822,1,0
1546925430,0,1
1546929390,1,1
1546936131,1,0
1546940458,0,2
1546941991,1,0
1546946081,0,2
1546951349,2,0
1546953305,0,1
1546954853,1,1
1546956884,0,1
1546958127,0,1
1546959406,0,1
1546965764,0,1
1546970742,1,0
1546972276,0,1
1546974650,2,0
1546975378,1,0
1546976536,1,1
1546980168,2,0
1546982157,0,1
1546983323,1,0
1546990959,1,0
1546992350,2,2
1546994556,1,0
1546998178,1,0
1547001757,0,3
1547002597,0,1
1547003768,0,1
1547005296,1,0
1547006754,0,2
1547008124,1,0
1547010879,0,1
1547013419,0,1
1547016183,0,1
1547019060,0,1
1547021699,2,0
1547023367,1,2
1547025057,1,1
1547035842,0,1
1547038597,1,0
1547039759,0,1
1547046905,1,1
1547048572,1,0
1547050490,1,1
1547053856,0,1
1547055035,0,1
1547055764,1,0
1547062955,0,1
1547064954,1,0
1547066155,0,1
1547068478,2,0
1547070196,1,0
1547072941,1,0
1547073737,1,0
1547075432,1,2
1547077847,0,1
1547081814,3,0
1547090140,1,1
1547091266,1,0
1547095256,2,0
1547097356,1,0
1547100349,1,0
1547102751,1,0
1547104258,2,1
1547106161,2,1
1547116864,0,2
1547118888,1,0
1547120754,1,0
1547121399,0,1
1547129174,0,1
1547131371,2,0
1547140559,0,2
1547144076,2,0
1547147752,0,1
1547149255,1,0
1547150576,1,1
1547151807,0,1
1547153814,0,1
1547156446,1,1
1547160940,0,1
1547162173,0,3
1547164611,3,0
1547169278,0,1
1547171459,1,0
1547174168,1,0
1547175341,2,0
1547178171,1,0
1547180919,1,0
1547182665,1,0
1547188960,1,0
1547192562,1,1
1547193987,0,2
1547198171,1,0
1547208881,0,1
1547217767,0,1
1547219489,1,0
1547220668,0,1
1547223286,0,3
1547224956,1,0
1547230481,0,1
1547231316,1,0
1547234921,1,0
1547236551,1,1
1547239290,1,3
1547241062,0,1
1547242954,0,2
1547247418,2,2
1547252157,0,1
1547253348,0,1
1547260974,0,1
1547262881,1,0
1547264457,0,2
1547266515,1,1
1547273674,2,1
1547274912,1,1
1547277376,1,1
1547280895,1,0
1547282558,1,0
1547288078,0,1
1547290609,0,1
1547291689,0,1
1547302480,1,2
1547304100,1,0
1547310521,1,0
1547311370,0,1
1547314952,0,2
1547316886,2,0
1547318561,0,1
1547322175,0,1
1547325770,0,3
1547328538,1,0
1547330203,1,0
1547332736,0,1
1547334960,0,3
1547340173,0,1
1547342093,1,0
1547343963,0,1
1547347368,1,0
1547349367,1,0
1547350136,0,1
1547351816,3,1
1547369713,0,1
1547376175,1,0
1547377015,0,1
1547378149,1,0
1547385295,0,2
1547388890,0,1
1547395178,1,1
1547396451,2,0
1547397756,0,2
1547402203,1,0
1547404139,0,2
1547405450,0,1
1547406579,0,1
1547408565,0,2
1547412055,0,1
1547417449,0,1
1547419908,2,0
1547421277,1,0
1547423013,0,2
1547425735,1,0
1547428281,1,0
1547432087,1,0
1547433950,1,1
1547435697,1,1
1547441440,1,0
1547442879,0,2
1547444583,0,2
1547448067,1,1
1547449435,2,1
1547452560,2,0
1547453701,0,1
1547456155,2,1
1547457361,2,0
1547459876,1,0
1547462492,1,1
1547465334,0,1
1547468081,1,1
1547471451,2,2
1547476140,1,0
1547477794,0,1
1547480564,0,1
1547484154,1,0
1547485003,1,0
1547486073,2,2
1547486927,1,1
1547487754,1,1
1547488604,1,0
1547489747,1,2
1547492140,0,1
1547496345,1,0
1547497533,2,0
1547498751,1,0
1547500251,2,2
1547502158,3,0
1547504153,1,0
1547505328,0,2
1547505767,1,0
1547507683,2,0
1547509375,0,1
1547510765,0,1
1547513802,2,0
1547516567,1,0
1547517958,0,1
1547519845,0,2
1547520949,1,0
1547522152,0,1
1547525171,1,1
1547527376,1,0
1547533636,1,1
1547537320,0,1
1547538998,1,0
1547540095,1,0
1547541393,2,1
1547542618,0,1
1547543769,3,0
1547546162,1,0
1547547363,0,1
1547548886,1,2
1547550453,0,1
