DateTime,AddedIPs,RemovedIPs
1546886231,60,53
1546886552,2,0
1546888462,39,34
1546889298,13,10
1546890142,22,46
1546891536,38,45
1546893086,47,38
1546893746,44,0
1546895672,66,43
1546896928,35,45
1546898121,30,21
1546899258,59,33
1546900734,114,48
1546901853,52,15
1546903223,47,19
1546903705,15,3
1546904566,33,41
1546906459,46,38
1546908139,61,32
1546908980,30,18
1546910916,52,34
1546911742,26,23
1546913144,26,32
1546914513,24,2
1546916221,25,44
1546917331,22,30
1546918941,35,41
1546919787,16,14
1546920862,24,23
1546922735,42,41
1546924227,22,32
1546925345,26,8
1546926142,18,35
1546926979,17,16
1546928070,19,32
1546929356,21,34
1546930579,20,16
1546933341,44,59
1546934186,26,12
1546935327,43,16
1546936107,14,3
1546938863,61,68
1546940434,30,34
1546941946,23,52
1546943307,20,10
1546944153,26,39
1546946063,46,42
1546947322,39,49
1546948531,39,24
1546949737,42,28
1546952926,74,87
1546953265,9,3
1546954831,45,63
1546959380,103,104
1546960521,53,49
1546961721,59,41
1546962824,33,27
1546962983,5,0
1546964063,89,29
1546965747,124,42
1546967658,85,52
1546968925,34,45
1546970723,60,46
1546972953,57,47
1546974622,41,35
1546975362,20,3
1546976520,21,48
1546978471,45,36
1546980143,36,49
1546980980,26,26
1546982132,20,36
1546983315,25,38
1546984524,72,17
1546985667,22,28
1546986799,21,39
1546989259,51,54
1546990942,34,47
1546992329,80,41
1546993702,20,6
1546994540,19,28
1546995384,27,12
1546996526,37,32
1546998149,37,57
1546999531,32,32
1547001103,33,35
1547001740,14,1
1547002580,26,15
1547003736,36,16
1547005280,21,39
1547006730,35,41
1547008103,115,4
1547009729,39,69
1547010861,21,36
1547012440,31,40
1547013389,20,20
1547014526,49,25
1547016158,47,41
1547017462,30,42
1547019032,25,41
1547019744,17,3
1547021669,41,47
1547023348,25,44
1547025007,37,43
1547028864,73,85
1547030081,35,55
1547032471,44,78
1547033301,19,4
1547034446,18,42
1547035825,29,40
1547037747,45,40
1547038580,21,4
1547039726,28,57
1547040504,12,2
1547042192,35,95
1547043316,27,20
1547044942,40,44
1547046872,37,38
1547048555,44,37
1547049394,14,15
1547050469,18,32
