DateTime,Entries,UniqueIPs
1546400656,1304,1359
1546402593,1299,1355
1546404494,1297,1353
1546406659,1289,1346
1546408587,1293,1345
1546414813,1266,1317
1546416777,1272,1321
1546418654,1256,1305
1546420576,1254,1294
1546422490,1259,1298
1546424419,1232,1267
1546426352,1228,1263
1546428253,1225,1260
1546430173,1223,1258
1546432113,1226,1257
1546434038,1221,1246
1546435959,1215,1240
1546437881,1205,1229
1546439790,1200,1224
1546441714,1198,1223
1546443615,1201,1226
1546445595,1196,1219
1546447454,1219,1244
1546449374,1207,1232
1546451309,1214,1245
1546453221,1208,1239
1546455154,1208,1239
1546457076,1224,1251
1546459482,1203,1229
1546461616,1230,1259
1546463532,1245,1276
1546465452,1242,1273
1546469295,1227,1257
1546471216,1258,1290
1546473130,1286,1321
1546475051,1302,1338
1546477720,1295,1329
1546481556,1292,1325
1546483455,1304,1337
1546485646,1318,1352
1546487544,1327,1361
1546489476,1338,1373
1546491400,1342,1378
1546493294,1344,1380
1546495463,1346,1382
1546497370,1375,1412
1546499560,1417,1454
1546501451,1422,1462
1546503393,1438,1478
1546505312,1449,1490
1546507232,1451,1491
1546509142,1454,1491
1546511070,1458,1494
1546512967,1459,1498
1546516841,1477,1517
1546518765,1467,1509
1546520654,1471,1510
1546522567,1474,1513
1546524523,1460,1499
1546526410,1463,1504
1546528353,1463,1504
1546530253,1461,1502
1546532199,1456,1498
1546534362,1457,1501
1546536255,1456,1500
1546538187,1457,1501
1546540338,1468,1512
1546542281,1476,1520
1546544193,1462,1509
1546546344,1471,1519
1546548256,1472,1520
1546550195,1490,1538
1546552093,1499,1547
1546554014,1527,1575
1546555934,1525,1570
1546557852,1537,1582
1546560065,1544,1585
1546561937,1533,1574
1546563856,1562,1604
1546565777,1572,1613
1546567713,1605,1646
1546569608,1597,1637
1546571530,1589,1630
1546573470,1582,1623
1546575626,1585,1626
1546577561,1576,1617
1546579455,1576,1619
1546581398,1570,1613
1546583286,1561,1604
1546585289,1556,1601
1546587178,1540,1583
1546589056,1530,1571
1546590992,1524,1564
1546592894,1519,1554
1546594816,1511,1549
1546596768,1495,1533
1546598686,1499,1537
1546600570,1499,1539
1546602514,1511,1551
1546604421,1513,1555
1546606380,1517,1557
1546608268,1510,1550
1546610169,1518,1558
1546612112,1532,1573
1546614255,1517,1558
1546616434,1510,1552
1546618581,1510,1551
1546620760,1522,1564
1546624594,1472,1511
1546626494,1505,1547
1546628453,1486,1526
1546630604,1451,1492
1546632762,1445,1487
1546634652,1470,1513
1546636581,1469,1512
