DateTime,AddedIPs,RemovedIPs
1546400656,17,11
1546402593,13,9
1546404494,7,11
1546406659,10,11
1546408587,12,17
1546414813,12,31
1546416777,15,9
1546418654,7,15
1546420576,6,0
1546422490,14,17
1546424419,0,4
1546426352,3,2
1546428253,3,22
1546430173,7,15
1546432113,17,0
1546434038,15,13
1546435959,15,9
1546437881,16,9
1546439790,13,0
1546441714,10,9
1546443615,18,9
1546445595,14,18
1546447454,10,11
1546449374,18,10
1546451309,16,8
1546453221,13,5
1546455154,14,9
1546457076,17,14
1546459482,9,20
1546461616,13,15
1546463532,17,7
1546465452,9,11
1546469295,14,0
1546471216,9,7
1546473130,11,19
1546475051,20,16
1546477720,10,7
1546481556,9,33
1546483455,17,13
1546485646,11,19
1546487544,12,17
1546489476,12,11
1546491400,12,0
1546493294,14,20
1546495463,19,14
1546497370,14,0
1546499560,15,40
1546501451,17,17
1546503393,26,15
1546505312,17,21
1546507232,7,12
1546509142,10,33
1546511070,3,0
1546512967,4,0
1546516841,19,25
1546518765,14,20
1546520654,14,12
1546522567,17,23
1546524523,11,21
1546526410,22,21
1546528353,17,15
1546530253,17,29
1546532199,8,16
1546534362,11,20
1546536255,12,10
1546538187,18,12
1546540338,18,15
1546542281,20,8
1546544193,15,9
1546546344,11,0
1546548256,10,13
1546550195,20,10
1546552093,17,21
1546554014,11,17
1546555934,10,0
1546557852,19,10
1546560065,17,18
1546561937,12,10
1546563856,8,14
1546565777,11,9
1546567713,17,9
1546569608,11,19
1546571530,11,0
1546573470,11,0
1546575626,13,7
1546577561,13,14
1546579455,19,18
1546581398,12,0
1546583286,11,11
1546585289,16,6
1546587178,11,16
1546589056,19,16
1546590992,14,21
1546592894,16,0
1546594816,11,15
1546596768,9,16
1546598686,5,10
1546600570,4,0
1546602514,7,11
1546604421,18,15
1546606380,19,12
1546608268,18,0
1546610169,23,22
1546612112,17,11
1546614255,8,22
1546616434,16,19
1546618581,17,19
1546620760,14,23
1546624594,16,39
1546626494,15,10
1546628453,13,15
1546630604,12,12
1546632762,9,13
1546634652,9,9
1546636581,17,11
1546638496,15,14
1546640435,11,9
1546642356,11,0
1546644252,8,0
1546646196,12,27
1546648360,16,6
1546652439,12,11
1546654351,13,26
1546656250,8,0
1546658172,11,16
1546660360,9,28
1546662249,10,0
1546664193,12,19
1546666090,15,12
1546668283,8,3
1546670191,9,8
1546672102,11,12
1546674044,15,15
1546676189,9,12
1546678115,17,21
1546680019,8,13
1546681931,13,6
1546683880,6,15
1546686024,11,4
1546687964,17,24
1546689875,16,0
1546691775,19,8
1546693939,12,25
1546696096,16,13
1546698034,17,17
1546700458,15,18
1546702350,11,15
1546704563,9,7
1546706444,15,11
1546708360,17,18
1546712195,16,32
1546714334,14,19
1546716255,15,11
1546718191,11,22
1546720338,17,14
1546722300,14,8
1546724439,12,28
1546726336,9,0
1546728262,15,32
1546730179,16,0
1546734012,9,28
1546735953,13,14
1546737849,7,13
1546739776,6,16
1546741944,14,17
1546743863,13,26
1546746038,8,11
1546747932,11,14
1546749850,11,19
1546753929,16,31
1546755884,13,18
1546757767,12,15
1546760006,10,15
1546762144,13,12
1546764015,17,18
1546767853,12,19
1546771941,6,25
1546773875,3,20
1546776030,7,17
1546777967,12,19
1546779853,6,21
1546782039,13,17
1546783938,11,13
1546785873,12,12
