DateTime,AddedIPs,RemovedIPs
1546299380,65,68
1546300838,49,131
1546302752,78,141
1546304453,62,145
1546306089,48,90
1546309000,157,356
1546311887,116,192
1546314035,78,99
1546315484,61,70
1546316921,55,113
1546318570,62,72
1546320269,91,117
1546321244,57,56
1546322659,65,137
1546326759,105,254
1546328649,74,130
1546330341,76,139
1546333478,102,209
1546336597,109,213
1546338278,56,129
1546347372,250,596
1546354357,192,472
1546362729,252,630
1546365393,107,254
1546367559,96,180
1546369450,77,167
1546371152,95,195
1546373580,86,148
1546375233,75,100
1546378360,119,335
1546379290,40,18
1546381455,93,241
1546384109,102,258
1546386270,83,193
1546387286,55,129
1546389873,125,199
1546391318,80,167
1546392994,112,181
1546395636,115,177
1546397070,89,191
1546398763,78,113
1546400189,57,99
1546402596,126,239
1546404770,82,179
1546407158,123,180
1546408820,97,172
1546410489,111,206
1546412192,92,206
1546414364,111,217
1546416262,104,177
1546419370,167,356
1546424677,196,552
1546426840,110,428
1546430682,158,285
1546433557,133,313
1546435457,99,179
1546441936,204,651
1546443157,94,337
1546447707,187,486
1546450593,116,310
1546453932,62,25
1546454197,62,243
1546456600,158,1907
1546457806,47,6
1546459492,95,210
1546464752,168,390
1546471945,244,633
1546475555,168,370
1546477729,91,165
1546480337,120,236
1546482016,106,171
1546485137,136,221
1546486093,53,91
1546487055,52,100
1546489478,115,308
1546493556,186,426
1546496170,97,329
1546497879,118,230
1546499569,76,134
1546521376,773,2768
1546539385,530,2243
1546573474,883,4489
1546576118,118,276
1546577056,52,123
1546578053,46,5
1546579708,97,195
1546580678,51,103
1546586205,196,681
1546590995,146,426
1546594366,135,515
1546596778,129,209
1546598689,95,216
1546601791,116,275
1546603960,102,206
1546604889,47,105
1546607051,90,258
1546608735,87,230
1546611135,88,216
1546612603,71,231
1546614779,98,215
1546615938,50,102
1546617618,85,242
1546619796,66,257
1546622676,105,359
1546624113,87,229
1546625767,44,131
1546627954,94,210
1546629639,79,228
1546631286,64,105
1546632255,42,113
1546633934,69,231
1546635639,102,237
1546637088,49,108
1546638992,75,164
1546640445,61,114
1546642868,106,347
1546643794,39,4
1546646199,94,269
1546649061,140,414
1546650767,142,358
1546652441,77,135
1546654361,105,422
1546656253,91,153
1546658671,120,451
1546661095,109,319
1546662757,88,346
1546665157,103,354
1546666093,44,188
1546667766,95,352
1546669570,72,375
1546671159,76,210
1546672595,101,407
1546674748,108,366
1546678118,157,1179
1546680990,73,86
1546683477,92,190
1546685052,52,3
1546687448,81,145
1546690848,87,4
1546693472,68,94
1546695636,69,94
1546697313,59,4
1546698758,50,72
1546700468,54,92
1546702353,57,3
1546704037,52,78
1546705686,66,2
1546706891,59,70
1546708363,59,2
1546710756,70,80
1546712197,36,66
1546713869,41,10
1546716032,75,157
1546718193,76,75
1546719871,48,3
1546721313,60,188
1546722303,28,4
1546723940,48,3
1546727069,55,4
1546728742,45,3
1546731185,56,4
1546733082,56,3
1546735235,75,154
1546737137,69,4
1546738813,57,3
1546739778,34,0
1546741459,50,3
1546742451,49,134
1546745072,61,2
1546746802,50,4
1546748415,53,8
1546750367,51,97
1546752738,49,5
1546753699,45,1
1546755887,58,88
1546757770,39,3
1546759241,62,93
1546761639,66,1
1546763085,61,116
1546765943,49,1
1546768099,77,110
1546769602,32,1
1546771544,63,87
1546773877,50,104
1546775559,54,4
1546776990,40,1
1546778670,63,96
1546781071,74,103
1546782749,76,9
1546784443,69,91
1546786593,88,9
1546789728,100,83
1546791221,83,78
1546792337,60,73
1546794010,51,8
1546794996,77,106
1546796450,70,9
1546798597,57,3
1546800052,65,3
1546808190,167,196
1546825254,354,513
1546831717,165,6
1546834355,82,109
1546836293,67,3
1546838449,89,97
1546840888,78,3
1546843466,85,93
1546845850,77,3
1546847554,66,93
1546851391,104,108
1546853552,80,5
1546855237,68,91
1546857854,69,106
1546860762,87,7
1546861935,60,202
1546864364,69,4
1546866006,66,2
1546867688,76,3
1546869147,57,10
1546870843,60,5
1546872994,55,129
1546873930,47,1
1546875612,59,5
1546876886,49,5
1546878758,91,104
1546880194,68,5
1546881661,72,5
1546883088,50,73
1546884531,65,5
1546885969,73,6
1546887879,75,78
1546889560,91,10
1546890520,65,113
1546895323,131,6
1546913059,429,507
1546930575,344,370
1546940684,242,190
1546948592,200,231
1546959872,238,221
1546962272,112,66
1546967072,122,71
1546969471,90,51
1546971162,74,63
1546973312,94,5
1546975491,90,81
1546978359,101,67
1546981483,85,4
1546985568,95,133
1546988426,74,84
1546990596,80,1
1546992991,102,86
1546995413,121,83
1546997069,111,160
1546999479,102,3
1547001873,103,5
1547004027,115,7
1547005470,109,4
1547007850,89,76
1547012198,163,101
1547015528,109,70
1547021075,186,183
1547023471,123,96
1547025629,109,80
1547029240,121,94
1547033155,151,76
1547034995,91,64
1547038362,118,69
1547040061,80,106
1547041944,81,69
1547045317,91,115
1547047969,96,132
1547049651,76,2
1547050705,62,57
1547052284,58,69
1547053950,60,64
1547055640,51,8
1547057797,78,63
1547059476,48,54
1547060920,66,20
1547062366,69,110
1547063539,52,70
1547064513,51,5
1547066189,75,5
1547067874,66,131
1547068849,46,3
1547070091,46,2
1547071486,46,68
1547073167,55,73
1547074132,42,0
1547077482,72,86
1547080852,75,109
1547083465,105,94
1547087537,112,125
1547090198,82,66
1547091881,58,42
1547092876,62,34
1547093778,45,8
1547095453,63,33
1547097137,60,157
1547098814,62,5
1547100996,57,4
1547104366,96,71
1547107488,73,48
1547110357,81,143
1547111330,47,3
1547112281,73,83
1547114937,71,102
1547118259,87,3
1547119233,56,5
1547120286,46,98
1547122600,68,2
1547124259,89,0
1547126176,140,2
1547127162,78,74
1547128848,60,51
1547129787,32,3
1547131246,67,84
1547133643,93,100
1547134590,46,32
1547136051,48,107
1547136998,41,1
1547138203,55,58
1547139154,32,2
1547140125,46,51
1547141077,54,72
1547142759,64,35
1547144675,84,55
1547146350,55,48
1547148758,59,111
1547151159,63,53
1547154273,83,123
1547157151,102,119
1547158595,64,49
1547160761,92,123
1547163635,50,63
1547166753,97,68
1547171072,135,198
1547175880,144,184
1547180920,126,132
1547185954,121,141
1547190273,120,156
1547193875,116,74
1547197962,119,158
1547201083,103,149
1547204676,109,72
1547208258,91,128
1547209222,68,3
1547210201,51,3
1547211850,69,88
1547213558,81,56
1547215240,59,5
1547216203,57,48
1547217881,67,56
1547219323,74,3
1547221449,69,55
1547222980,55,57
1547224116,79,54
1547225801,61,56
1547226992,51,64
1547227971,53,3
1547229388,73,76
1547231069,41,41
1547232016,63,66
1547233002,59,63
1547234197,56,6
1547235855,72,120
1547236828,44,2
1547238283,56,54
1547239964,52,69
1547241137,80,61
1547242812,76,91
1547243776,45,8
1547245481,65,116
1547246937,63,3
1547248340,87,64
1547249564,49,107
1547251242,69,1
1547252236,53,47
1547256046,145,112
1547258922,122,105
1547261562,113,114
1547262746,50,43
1547265152,92,52
1547267070,83,75
1547268518,49,41
1547273060,103,97
1547274971,64,91
