DateTime,AddedIPs,RemovedIPs
1546296736,23,0
1546297712,22,39
1546299379,26,0
1546300837,23,63
1546302751,39,0
1546304452,30,0
1546306088,29,0
1546308999,101,36
1546311886,76,33
1546314034,47,30
1546315483,29,33
1546316920,21,23
1546318569,35,15
1546320267,49,31
1546321243,23,9
1546322658,18,16
1546326758,57,72
1546328648,33,29
1546330340,30,9
1546333477,51,29
1546336596,60,34
1546338277,24,76
1546347370,147,222
1546354356,102,223
1546362728,131,234
1546365392,40,0
1546367557,32,144
1546369449,28,0
1546371151,33,0
1546373579,36,52
1546375232,28,39
1546378359,45,71
1546379289,19,27
1546381454,41,46
1546384108,45,62
1546386269,43,48
1546387285,24,15
1546389872,84,51
1546391318,36,17
1546392992,59,30
1546395635,74,153
1546397068,41,0
1546398762,38,0
1546400189,26,91
1546402595,58,46
1546404769,34,73
1546407157,63,76
1546408819,33,14
1546410487,48,49
1546412191,44,50
1546414363,52,10
1546416261,55,38
1546419369,102,42
1546424676,109,110
1546426839,51,41
1546430681,85,97
1546433556,61,200
1546435456,49,0
1546441935,123,0
1546443155,23,0
1546447706,114,75
1546450592,63,39
1546453932,64,50
1546456599,53,53
1546457805,26,0
1546459491,32,17
1546464750,98,147
1546471944,130,74
1546475554,90,24
1546477728,48,24
1546480336,68,32
1546482015,39,62
1546485136,68,0
1546486092,16,0
1546487053,10,14
1546489477,53,40
1546493555,88,21
1546496169,43,38
1546497878,52,49
1546499568,32,0
1546521375,405,326
1546539383,219,200
1546573472,500,558
1546576117,57,36
1546577055,14,23
1546578052,18,12
1546579706,34,30
1546580677,12,11
1546586204,95,113
1546590994,77,106
1546594365,42,268
1546596777,51,0
1546598687,43,0
1546601790,41,0
1546603959,42,0
1546604888,7,0
1546607050,35,164
1546608734,20,0
1546611134,33,0
1546612602,19,0
1546614778,32,0
1546615937,12,0
1546617617,18,0
1546619795,23,114
1546622675,29,0
1546624112,24,0
1546625766,14,0
1546627953,30,24
1546629638,22,42
1546631285,22,36
1546632254,5,0
1546633933,17,46
1546635638,32,0
1546637087,17,44
1546638991,25,13
1546640444,24,30
1546642867,33,25
1546643793,15,48
1546646198,38,0
1546649060,81,91
1546650766,26,48
1546652440,36,25
1546654360,28,44
1546656252,43,46
1546658670,45,40
1546661094,39,0
1546662757,29,36
1546665156,39,20
1546666092,8,40
1546667765,19,29
1546669569,15,12
1546671158,20,39
1546672594,17,24
1546674747,25,18
1546678117,43,69
1546680989,40,29
1546683476,50,24
1546685051,29,42
1546687447,40,24
1546690846,46,45
1546693470,26,23
1546695636,28,30
1546697312,24,62
1546698757,18,0
1546700467,19,0
1546702352,31,44
1546704036,21,19
1546705684,28,27
1546706890,13,0
1546708362,23,25
1546710755,29,57
1546712196,10,0
1546713868,14,23
1546716031,26,21
1546718192,40,54
1546719870,15,0
1546721312,23,10
1546722302,10,15
1546723939,32,20
1546727068,29,72
1546728741,25,0
1546731184,38,51
1546733081,22,40
1546735234,48,44
1546737136,40,57
1546738811,37,67
1546739778,21,0
1546741458,24,54
1546742450,18,0
1546745071,38,45
1546746801,22,20
1546748414,25,39
1546750366,31,10
1546752737,30,226
1546753698,15,0
1546755886,28,0
1546757769,21,0
1546759240,18,0
1546761638,38,0
1546763083,31,0
1546765942,31,0
1546768098,43,142
1546769601,13,0
1546771543,20,0
1546773876,25,0
1546775558,21,39
1546776988,11,43
1546778669,24,0
1546781070,44,20
1546782748,39,62
1546784442,35,0
1546786592,48,36
1546789727,56,32
1546791220,34,24
1546792335,14,0
1546794009,31,50
1546794995,20,0
1546796449,28,14
1546798596,33,17
1546800051,26,31
1546808189,124,99
1546825252,299,277
1546831716,132,223
1546834354,51,0
1546836292,39,0
1546838448,36,28
1546840887,47,113
1546843465,39,0
1546845849,40,0
1546847553,29,69
1546851390,63,23
1546853551,51,97
1546855236,29,0
1546857852,44,60
1546860761,46,55
1546861934,23,0
1546864363,34,40
1546866005,24,75
1546867687,31,0
1546869146,23,0
1546870841,14,27
1546872994,27,55
1546873929,13,0
1546875610,20,19
1546876885,22,38
1546878757,34,0
1546880193,33,16
1546881660,28,18
1546883087,18,25
1546884530,23,13
1546885968,23,38
1546887878,29,19
1546889559,31,196
1546890519,20,0
1546895322,81,0
1546913058,368,293
1546930574,294,355
1546940682,176,174
1546948591,144,171
1546959871,179,233
1546962271,60,0
1546967071,77,0
1546969469,42,40
1546971161,27,32
1546973311,35,28
1546975490,39,33
1546978358,42,36
1546981482,46,73
1546985567,47,60
1546988425,36,45
1546990595,39,43
1546992990,64,108
1546995412,75,36
1546997068,62,59
1546999478,70,74
1547001871,59,79
1547004025,48,26
1547005469,58,58
1547007849,55,34
1547012197,117,96
1547015527,59,92
1547021074,110,209
1547023470,46,0
1547025628,53,109
1547029239,80,0
1547033154,86,136
1547034994,51,0
1547038361,53,110
1547040060,22,0
1547041943,33,123
1547045316,34,0
1547047968,32,137
1547049650,30,0
1547050704,17,0
1547052283,16,0
1547053949,17,63
1547055639,14,64
1547057796,30,0
1547059475,15,53
1547060919,12,0
1547062365,23,26
1547063538,11,32
1547064513,10,98
1547066188,28,0
1547067872,17,0
1547068848,8,0
1547070090,19,130
1547071485,6,0
1547073166,18,0
1547074131,11,0
1547077481,43,90
1547080851,43,48
1547083464,75,68
1547087536,73,107
1547090197,51,16
1547091880,24,63
1547092875,17,0
1547093777,8,0
1547095452,33,88
1547097136,25,0
1547098813,36,43
1547100995,28,52
1547104364,62,32
1547107486,52,405
1547110355,48,0
1547111329,13,0
1547112280,22,0
1547114936,33,0
1547118258,49,0
1547119232,21,0
1547120284,14,0
1547122599,35,0
1547124257,61,0
1547126175,109,0
1547127161,34,219
1547128847,30,0
1547129786,18,0
1547131245,25,0
1547133641,41,0
1547134589,12,0
1547136050,11,0
1547136997,14,0
1547138202,14,0
1547139153,9,0
1547140124,9,0
1547141076,7,0
1547142757,27,0
1547144674,28,500
1547146349,23,0
1547148756,22,0
1547151158,19,0
1547154272,36,0
1547157149,48,0
1547158594,16,0
1547160759,35,0
1547163633,19,0
1547166752,59,0
1547171070,91,0
1547175879,107,0
1547180919,67,71
1547185953,67,159
1547190272,58,0
1547193874,81,77
1547197960,76,42
1547201082,43,51
1547204675,76,84
1547208257,40,42
1547209221,11,7
1547210200,16,35
1547211849,17,0
1547213557,39,53
1547215239,20,0
1547216202,13,19
1547217880,27,32
1547219322,29,0
1547221448,30,30
1547222978,17,23
1547224116,20,0
1547225800,18,29
1547226991,12,0
1547227971,8,24
1547229387,17,14
1547231068,15,30
1547232015,18,0
1547233001,12,22
1547234196,12,0
1547235854,25,22
1547236827,11,5
1547238282,14,17
1547239963,25,32
1547241136,14,17
1547242810,26,25
1547243774,7,0
1547245480,30,57
1547246936,26,0
1547248339,30,15
1547249563,18,38
1547251240,39,81
1547252234,18,0
1547256045,103,62
1547258921,75,28
1547261561,59,88
1547262745,21,0
1547265151,49,39
1547267068,29,29
1547268517,23,39
1547273059,59,42
1547274970,30,20
1547276664,29,17
1547280180,49,68
1547281946,32,0
1547283853,22,40
1547286247,42,50
1547287940,45,0
1547289643,25,29
1547291080,32,40
1547292735,27,46
1547295158,32,0
1547296113,6,26
1547297074,16,0
1547298761,21,28
1547300659,29,24
1547302343,26,18
1547304515,16,19
1547305485,8,31
1547307140,21,0
1547308812,22,21
1547310738,18,41
1547311715,11,23
1547313169,33,29
1547314339,21,0
1547316736,42,10
1547318682,28,40
1547320846,22,40
1547322521,19,0
1547323475,11,15
1547324421,11,0
1547327326,34,65
1547328984,22,29
1547330672,21,0
1547333569,37,63
1547336679,41,22
1547337628,6,0
1547339562,35,48
1547341934,51,40
1547343607,43,37
1547345078,26,45
1547346744,40,18
1547349142,40,38
1547350818,26,22
1547352290,27,25
1547354446,32,31
1547356353,24,30
1547358495,31,15
1547360439,21,28
1547362342,31,21
1547365945,50,56
1547368841,40,62
1547370529,25,0
1547371717,19,43
1547373386,33,13
1547376510,42,45
1547378180,27,0
1547379847,29,21
1547382156,32,35
1547383956,29,44
1547385386,30,0
1547388046,43,74
1547389945,20,48
1547390894,12,0
1547392368,21,56
1547395495,26,34
1547397886,16,45
1547398818,9,20
1547400485,14,28
1547401947,8,33
1547404358,19,26
1547406760,29,124
1547407965,23,0
1547409401,11,0
1547411080,12,0
1547413487,31,299
1547414920,15,0
1547416593,11,0
1547418255,20,0
1547420432,23,0
1547423798,33,0
1547426671,26,0
1547429073,16,0
1547431723,32,132
1547433612,23,0
1547435571,22,0
1547437468,26,51
1547440116,54,39
1547442019,18,36
1547443008,7,0
1547444908,22,47
1547446583,27,39
1547448035,18,0
1547449966,32,40
1547452094,23,29
1547453796,38,63
1547454862,14,0
1547456661,24,51
1547458353,28,29
1547460761,39,44
1547462416,18,0
1547464368,43,46
1547465291,20,0
1547466255,7,23
1547467218,14,34
1547494365,351,413
1547498917,59,81
1547509967,179,368
1547513068,110,0
1547517872,238,294
1547520969,92,0
1547527257,130,0
1547530370,58,0
1547534452,64,0
