DateTime,AddedIPs,RemovedIPs
1546296737,195,0
1546297713,190,196
1546299380,214,197
1546300838,177,199
1546302752,219,185
1546304453,226,0
1546306089,170,180
1546309000,215,419
1546311887,203,250
1546314035,191,226
1546315484,246,0
1546316921,191,0
1546318570,220,0
1546320269,185,211
1546321244,170,184
1546322659,195,0
1546326759,217,0
1546328649,207,182
1546330341,195,0
1546333478,179,403
1546336597,191,0
1546338278,180,215
1546347372,180,804
1546354357,237,403
1546362729,205,1012
1546365393,228,370
1546367559,219,191
1546369450,208,211
1546371152,180,218
1546373580,207,0
1546375233,221,0
1546378360,192,0
1546379290,199,0
1546381455,205,0
1546384109,186,383
1546386270,180,385
1546387286,172,170
1546389873,193,217
1546391318,194,226
1546392994,195,187
1546395636,211,202
1546397070,214,0
1546398763,221,189
1546400189,180,0
1546402596,203,425
1546404770,197,181
1546407158,199,394
1546408820,183,203
1546410489,249,202
1546412192,182,0
1546414364,179,208
1546416262,197,227
1546419370,188,183
1546424677,195,374
1546426840,225,224
1546430682,206,0
1546433557,207,0
1546435457,251,184
1546441936,182,222
1546443157,214,0
1546447707,182,0
1546450593,201,182
1546454197,188,385
1546456600,197,191
1546457806,170,170
1546459492,216,0
1546464752,229,395
1546471945,178,795
1546475555,215,354
1546477729,217,411
1546480337,187,201
1546482016,217,0
1546485137,204,427
1546486093,200,219
1546487055,203,186
1546489478,173,200
1546493556,205,204
1546496170,174,399
1546497879,188,258
1546499569,173,207
1546521376,226,1467
1546539385,231,1151
1546573474,242,3233
1546576118,282,257
1546577056,249,0
1546578053,242,0
1546579708,260,0
1546580678,237,275
1546586205,243,788
1546590995,258,0
1546594366,229,0
1546596778,273,0
1546598689,242,0
1546601791,203,0
1546603960,223,0
1546604889,242,0
1546607051,221,0
1546608735,213,258
1546611135,198,0
1546612603,181,0
1546614779,222,0
1546615938,194,0
1546617618,180,0
1546619796,176,0
1546622676,216,0
1546624113,170,0
1546625767,160,0
1546627954,169,219
1546629639,228,0
1546631286,161,0
1546632255,155,0
1546633934,149,0
1546635639,179,0
1546637088,154,0
1546638992,166,0
1546640445,178,0
1546642868,183,0
1546643794,134,0
1546646199,124,0
1546649061,157,0
1546650767,166,0
1546652441,141,0
1546654361,164,0
1546656253,143,0
1546658671,135,0
1546661095,146,175
1546662757,174,173
1546665157,146,304
1546666093,124,0
1546667766,162,370
1546669570,159,0
1546671159,179,0
