DateTime,AddedIPs,RemovedIPs
1545181232,0,1
1545184830,0,1
1545188430,0,1
1545192029,1,1
1545195632,1,1
1545199227,1,1
1545206433,0,1
1545210024,0,1
1545213630,2,1
1545217228,0,1
1545228032,2,0
1545231629,1,0
1545235230,2,1
1545238838,0,21
1545246031,0,3
1545249634,1,0
1545253236,1,2
1545256837,3,3
1545271241,1,0
1545274834,1,1
1545278434,1,1
1545282029,2,0
1545285636,4,0
1545289235,1,1
1545292837,2,0
1545296436,3,1
1545300030,0,1
1545303636,1,0
1545307235,3,1
1545310831,1,0
1545314430,1,1
1545318039,0,1
1545321635,0,3
1545325230,0,1
1545328837,0,1
1545336033,1,3
1545339627,0,2
1545343232,1,2
1545346834,0,4
1545350437,0,3
1545354028,1,1
1545357632,0,1
1545361227,2,3
1545364839,0,1
1545368436,0,2
1545372031,0,3
1545375634,1,1
1545379229,2,1
1545382831,2,1
1545386429,5,2
1545390033,11,0
1545393638,12,1
1545397237,7,2
1545400830,11,0
1545404441,2,0
1545408041,0,1
1545415232,1,0
1545426035,0,1
1545429636,2,0
1545436835,22,1
1545440438,2,2
1545444034,0,1
1545447634,2,0
1545454834,0,3
1545458433,1,1
1545462030,0,1
1545465632,0,1
1545472836,1,1
1545483633,1,1
1545494436,0,1
1545498035,0,1
1545501666,2,1
1545505243,1,1
1545508845,1,0
1545512442,0,1
1545516038,3,0
1545519637,1,0
1545523240,0,20
1545534034,2,1
1545537635,1,1
1545541235,3,1
1545544833,4,0
1545548440,2,0
1545552031,1,0
1545555635,1,1
1545559231,1,0
1545562839,1,0
1545570033,0,2
1545573638,1,1
1545580831,2,0
1545584424,2,1
1545588031,2,1
1545591627,2,0
1545595238,0,2
1545602429,1,4
1545606027,1,7
1545620435,1,0
1545624028,1,0
1545627639,0,1
1545645632,1,0
1545649227,0,1
1545656425,1,0
1545660032,1,0
1545663632,1,0
1545667232,0,1
1545670829,1,0
1545674432,1,1
1545678035,1,0
1545681634,0,1
1545685235,0,1
1545688833,6,0
1545696040,17,0
1545699641,2,0
1545703234,1,0
1545706838,3,2
1545710429,5,0
1545717634,6,0
1545721242,1,2
1545724834,2,0
1545728435,1,0
1545732038,4,1
1545742836,5,0
1545746434,1,1
1545750040,1,0
1545764441,0,1
1545768040,0,1
1545771637,1,2
1545775232,2,2
1545782441,1,22
1545786031,5,0
1545789650,1,1
1545793235,1,0
1545796835,0,1
1545800433,3,1
1545804035,1,1
1545807634,1,0
1545811234,1,2
1545814838,1,1
1545818433,1,1
1545825637,2,0
1545829232,1,0
1545832838,0,1
1545836437,0,3
1545840046,0,2
1545847236,1,0
1545850830,3,1
1545854438,1,0
1545861635,1,1
1545865234,4,0
1545868836,3,0
1545872438,3,2
1545876038,3,1
1545879642,3,0
1545883235,2,1
1545886833,4,1
1545890437,1,3
1545894037,2,0
1545897640,1,2
