DateTime,AddedIPs,RemovedIPs
1544461220,1,6
1544464822,1,4
1544468430,0,4
1544472020,1,9
1544475626,1,7
1544479228,0,1
1544482823,0,11
1544486421,0,24
1544490029,1,1
1544497226,1,0
1544500826,1,0
1544515223,0,1
1544518826,0,1
1544522426,1,1
1544526029,3,0
1544529625,1,0
1544533225,0,1
1544551225,0,1
1544562022,1,0
1544565627,0,3
1544569226,0,1
1544572818,0,1
1544576420,1,0
1544580031,1,0
1544587227,1,0
1544594424,0,3
1544598024,0,3
1544601631,2,0
1544605226,0,1
1544608824,0,2
1544616026,0,4
1544619626,1,5
1544623228,0,1
1544626830,0,2
1544630436,2,9
1544634025,28,5
1544637629,0,1
1544641229,0,1
1544644830,0,1
1544648429,1,0
1544659227,1,0
1544662821,0,1
1544666429,0,1
1544670023,1,1
1544680818,1,0
1544706026,1,0
1544716829,1,0
1544734829,1,0
1544738419,0,2
1544742025,1,0
1544752824,0,1
1544756426,1,0
1544760026,0,2
1544770818,0,1
1544781618,1,1
1544788826,2,1
1544796020,0,1
1544803224,2,0
1544828423,0,1
1544835631,1,0
1544842830,1,0
1544846430,0,30
1544853618,1,0
1544857223,0,1
1544868027,1,0
1544878827,1,0
1544886017,0,1
1544889620,1,0
1544907628,1,1
1544918430,26,0
1544929224,0,3
1544932830,1,0
1544940029,0,2
1544961627,0,1
1544965228,0,4
1544968826,0,2
1544972426,0,4
1544976028,0,1
1544979632,0,1
1544983223,1,0
1544990425,0,1
1544994030,0,1
1544997633,0,1
1545001218,0,1
1545008430,0,1
1545012035,1,0
1545037223,0,1
1545040825,1,0
1545076830,1,1
1545080418,1,0
1545084024,1,0
1545091219,0,1
1545094819,1,0
1545102024,0,1
1545105619,2,0
1545109223,1,1
1545116423,2,0
1545120025,1,1
1545123627,2,0
1545127226,2,0
1545130837,3,0
1545134425,2,0
1545138026,1,1
1545141630,1,0
1545148824,3,1
1545152430,1,0
1545156028,1,0
1545159629,2,0
1545163223,2,0
1545166826,0,1
1545170429,0,1
1545177630,20,0
1545181227,0,1
1545184828,0,1
1545192024,1,1
1545195632,1,0
1545206428,0,1
1545210020,0,1
1545213626,2,0
1545228025,1,0
1545235228,0,1
1545238838,0,21
1545246026,0,3
1545253231,1,1
1545256831,3,3
1545278431,0,1
