DateTime,AddedIPs,RemovedIPs
1545715007,30,40
1545718602,22,60
1545722203,19,37
1545725811,48,33
1545729414,85,44
1545733031,46,60
1545736645,47,43
1545740217,30,43
1545743808,69,42
1545747403,19,38
1545751005,28,46
1545754623,31,36
1545758216,24,28
1545761823,49,34
1545765450,35,34
1545769048,46,32
1545772643,65,24
1545776232,56,26
1545779836,45,39
1545783428,31,36
1545787023,31,34
1545790605,23,40
1545794206,36,39
1545797808,32,34
1545801430,24,31
1545805013,30,32
1545808614,32,32
1545812225,28,39
1545815856,36,40
1545819475,32,39
1545823013,33,26
1545826603,112,23
1545830225,67,47
1545833801,65,40
1545837404,132,43
1545841002,41,29
1545844610,43,35
1545848217,46,34
1545851831,77,22
1545855427,125,34
1545859038,32,30
1545862628,40,38
1545866322,22,22
1545869947,25,31
1545873448,30,35
1545877175,31,32
1545880686,41,30
1545884315,37,26
1545887865,22,29
1545891492,21,23
1545898774,57,50
1545902465,32,35
1545905995,38,66
1545909603,26,50
1545913183,27,44
1545916672,26,53
1545920224,32,51
1545923830,37,37
1545927406,35,36
1545930979,45,51
1545934598,47,51
1545938200,53,55
1545941805,62,36
1545945419,46,40
1545949013,38,33
1545952623,25,33
1545956195,34,37
1545959803,35,48
1545963413,32,26
1545967006,24,50
1545970738,217,27
1545974347,106,25
1545977942,41,44
1545981578,33,34
1545985157,92,54
1545992478,58,71
1545995960,36,34
1545999570,40,44
1546003140,51,42
1546006646,38,42
1546010234,39,36
1546013841,22,40
1546017443,36,50
1546021104,32,141
1546024649,56,44
1546028272,97,35
1546031878,83,23
1546035521,62,54
1546039107,40,35
1546042725,58,29
1546046305,34,25
1546049911,22,33
1546053496,33,31
1546057081,35,30
1546060735,84,45
1546064359,29,44
1546067932,32,35
1546071516,33,24
1546075119,63,30
1546078713,54,29
1546082271,41,34
1546085859,32,42
1546089463,37,61
1546093009,27,33
1546096639,40,33
1546100257,28,38
1546103895,48,38
1546107473,65,115
1546111096,50,53
1546114683,68,38
1546118272,63,53
1546121863,50,35
1546125458,114,29
1546129048,32,27
1546132643,35,114
1546136231,33,39
1546139831,31,29
1546143433,20,29
1546147023,32,25
1546150614,20,20
1546154199,28,36
1546157807,36,47
1546161421,37,37
1546165023,32,41
1546168620,71,36
1546172221,51,30
1546175828,130,89
1546179427,88,30
1546183020,45,41
1546186633,31,127
1546190235,30,41
1546193849,36,30
1546197435,29,43
1546201056,48,29
1546204653,50,38
1546208251,32,58
1546211839,38,38
1546215447,23,27
1546219063,15,38
1546222643,26,35
1546226240,40,32
1546229856,32,33
1546233431,29,45
1546237060,23,36
1546240654,33,35
1546244277,23,41
1546247885,26,36
1546251518,24,35
1546255117,23,38
1546258720,34,43
1546262305,30,39
1546265919,27,34
1546269470,27,36
1546273063,41,27
1546276695,52,32
1546280297,28,39
1546283894,44,41
1546287475,29,36
1546291109,82,31
1546294674,39,28
1546298285,77,61
1546301857,67,36
1546305452,45,31
1546309140,34,43
1546312699,29,41
1546316249,27,82
1546319972,19,28
1546323525,33,28
1546327089,34,40
1546330620,44,32
1546334324,56,50
1546337840,38,37
1546341489,24,37
1546345054,39,36
1546348700,34,62
1546352248,29,30
1546355837,30,41
1546359452,35,42
1546363051,31,42
1546366670,29,49
1546370308,39,38
1546373869,32,44
1546377486,52,39
1546381116,35,45
1546384765,67,49
1546388304,88,32
1546391893,262,31
1546399180,123,68
1546402753,32,32
1546406284,38,28
1546409884,24,48
1546413509,29,35
1546417182,33,40
1546420715,77,40
1546424339,77,40
1546427952,83,30
1546431574,46,118
1546435094,42,43
1546438661,27,43
1546442226,26,109
1546445837,35,30
1546449446,46,29
1546453062,47,41
1546456647,59,41
1546460241,54,111
1546463843,43,34
1546467444,29,41
1546471050,79,35
1546474655,28,25
1546478255,34,36
1546481855,17,33
1546485451,33,35
1546489057,107,34
1546492637,25,30
1546496246,43,36
1546499844,30,30
1546503447,39,39
1546507092,37,39
1546510683,41,42
1546514297,26,32
1546517861,27,35
1546521453,78,31
1546525063,70,34
1546528679,51,34
1546532251,39,34
1546535884,28,36
1546539482,25,32
1546543070,86,37
1546546673,64,28
1546550280,26,37
1546553897,31,38
1546557465,31,25
1546561047,21,36
1546564639,33,33
1546568239,31,52
1546571861,25,30
1546575481,20,221
1546579041,32,123
1546582655,34,40
1546586271,26,40
1546589882,77,96
1546593456,20,33
1546597059,32,31
1546600626,24,31
1546604227,27,35
1546607833,113,56
1546611425,37,27
1546615020,39,51
1546618630,33,40
1546622222,23,30
1546625838,17,31
1546629439,31,43
1546633056,35,47
1546636652,40,40
1546640273,36,35
1546643857,20,29
1546647447,24,63
1546651041,27,33
1546654656,24,25
1546658271,29,31
1546661858,30,34
1546665453,35,84
1546669040,24,30
1546672642,23,37
1546676272,22,31
1546679858,27,44
1546683454,38,45
1546687041,56,38
1546690640,54,39
1546694210,50,38
1546697843,54,30
1546701427,52,47
1546705024,38,30
1546708621,30,40
1546712243,20,63
1546715867,37,29
1546719452,44,39
1546723043,51,35
1546726645,35,36
1546730237,46,122
1546733841,53,41
1546737437,42,39
1546741044,31,40
1546744646,30,31
1546748253,32,31
1546751858,26,38
1546755452,34,32
1546759046,50,31
1546762653,52,30
1546766277,48,46
1546769852,52,28
1546773436,59,27
1546777033,41,34
1546780639,70,117
1546784229,50,37
1546787825,51,32
1546791431,69,24
1546795065,58,33
1546798674,104,32
1546802285,37,34
1546805890,36,33
1546809490,77,39
1546813079,55,48
1546816675,43,37
1546820270,37,24
1546823863,37,28
1546827465,31,33
1546831071,37,46
1546834682,32,42
1546838260,24,30
1546841879,32,30
1546845452,34,28
1546849070,28,25
1546852696,30,34
1546856239,28,37
1546859868,34,27
1546863481,29,36
1546867036,26,31
1546870644,34,27
1546874254,37,31
1546877867,28,44
1546881479,25,51
1546885079,28,32
1546888698,76,37
1546892281,33,36
1546895897,29,64
1546899474,34,33
1546903103,120,34
1546906698,68,31
1546910303,70,25
1546913970,57,34
1546917554,39,31
1546921199,36,30
1546924712,40,24
1546928337,29,47
1546931914,32,42
1546935524,32,30
1546939140,51,44
1546942706,40,30
1546946304,32,24
1546949876,37,41
1546953508,42,42
1546957101,31,31
1546960687,39,38
1546964283,60,43
1546967877,74,40
1546971486,51,44
1546975094,44,49
1546978685,47,49
1546982278,47,51
1546985874,41,33
1546989485,28,33
1546993062,33,77
1547026316,36,262
1547029052,305,439
1547032635,28,57
1547036253,31,50
1547039878,36,64
1547043464,42,67
1547047060,28,28
1547050659,161,33
1547054258,121,46
1547057887,66,47
1547061464,32,44
1547065058,34,43
1547068651,34,33
1547072251,32,36
1547075847,31,94
1547079435,27,42
1547083042,27,59
1547086646,25,36
1547090255,36,41
1547093840,27,112
1547097419,31,31
1547101018,26,50
1547104618,32,38
1547108222,40,47
1547111818,31,45
1547115428,38,53
1547119029,31,29
1547122623,39,42
1547126213,29,43
1547129807,24,86
1547133419,26,66
1547137039,120,54
1547140631,174,49
1547144249,113,77
1547147857,82,143
1547151477,122,101
1547155870,74,25
1547159469,76,29
1547162907,79,36
1547165866,62,20
1547169460,63,37
1547173052,62,34
1547176640,35,31
1547180247,40,26
1547183831,39,34
1547187434,36,42
1547191032,44,34
1547194640,36,73
1547198273,35,17
1547201836,40,33
1547205430,28,30
1547209019,35,33
1547212623,28,116
1547216239,36,33
1547219835,29,40
1547223474,35,35
1547227045,32,27
1547230656,31,26
1547234259,45,28
1547237898,42,35
1547241441,26,34
1547245061,31,33
1547248651,21,29
1547252238,31,35
1547255834,21,23
1547259449,27,18
1547263055,29,33
1547266644,29,26
1547270260,36,40
1547273831,28,28
1547277424,77,26
1547281059,29,31
1547284637,41,26
1547288259,31,37
1547291834,35,54
1547295456,36,48
1547299038,38,44
1547302650,28,56
1547306240,40,50
1547309855,54,42
1547313453,84,31
1547317086,35,23
1547320682,37,37
1547324281,34,46
1547327888,34,57
1547331504,41,42
1547335083,153,50
1547338707,155,55
1547342283,102,45
1547345872,84,35
1547349483,70,33
1547353088,48,32
1547356678,50,21
1547360283,36,35
1547363876,30,44
1547367472,46,53
1547371094,30,45
1547374668,24,68
1547378272,92,61
1547381888,69,49
1547385500,48,42
1547389115,36,31
1547392691,37,41
1547396302,23,49
1547399918,25,50
1547403509,30,94
1547407097,45,33
1547410716,63,39
1547414310,42,44
1547417919,25,42
1547421499,34,38
1547425097,33,45
1547428690,33,29
1547432271,23,37
1547435861,34,36
1547439441,23,28
1547443056,24,30
1547446652,23,40
1547450260,28,39
1547453858,38,45
1547457459,40,36
1547461048,43,41
1547464666,27,39
1547468267,100,38
1547471848,64,37
1547475442,56,36
1547479049,58,43
1547482675,57,33
1547486249,36,27
1547489859,42,34
1547493455,37,87
1547497091,33,37
1547500708,35,40
1547504308,89,32
1547507918,38,42
1547511559,28,27
1547515145,40,41
1547518739,35,43
1547522324,20,33
1547525925,34,32
1547529512,38,37
1547533105,32,31
1547536705,27,44
1547540303,24,38
1547543897,33,60
1547547510,37,50
1547551093,35,36
