DateTime,AddedIPs,RemovedIPs
1545638730,2,2
1545642346,1,4
1545645933,5,0
1545649519,0,1
1545653121,0,2
1545656719,3,1
1545660316,1,1
1545663923,2,3
1545667519,1,1
1545671110,0,3
1545674716,2,2
1545678319,2,4
1545681910,0,2
1545685513,0,2
1545689111,1,2
1545692703,1,1
1545696311,3,0
1545699913,0,1
1545703519,0,1
1545707123,2,1
1545710705,2,1
1545714319,0,2
1545717928,1,3
1545721520,1,1
1545725119,1,0
1545728737,2,1
1545732350,4,3
1545735929,2,1
1545739527,6,9
1545743128,0,2
1545746726,3,3
1545750332,0,3
1545753931,0,2
1545757520,0,2
1545761136,2,2
1545764741,1,4
1545768339,1,2
1545771933,2,0
1545775528,1,0
1545779141,1,2
1545782730,0,3
1545786334,1,2
1545789922,2,0
1545793525,1,3
1545797116,0,2
1545800731,1,0
1545807923,3,0
1545811545,1,1
1545815140,1,2
1545818745,1,3
1545822318,1,5
1545825913,3,21
1545829531,1,2
1545833109,3,4
1545836713,3,3
1545840318,0,3
1545843920,4,2
1545847520,0,1
1545851126,2,2
1545854712,3,2
1545858322,3,1
1545861915,4,4
1545865576,4,0
1545869190,0,2
1545872733,11,1
1545876396,1,3
1545879953,2,11
1545883572,0,2
1545887163,2,2
1545890774,1,5
1545894425,3,4
1545897988,0,3
1545901633,3,0
1545905229,2,6
1545908832,2,1
1545912425,2,4
1545915954,1,3
1545919523,0,6
1545923124,2,4
1545926708,3,4
1545930301,4,1
1545933911,6,2
1545937508,2,5
1545941108,2,3
1545944719,2,2
1545948313,1,1
1545951921,2,5
1545955519,0,1
1545959113,1,1
1545962713,1,2
1545966311,1,1
1545969982,3,0
1545977202,2,3
1545980813,0,2
1545984360,0,4
1545988031,1,4
1545991626,3,1
1545995205,2,4
1545998802,1,0
1546002390,13,1
1546005927,2,5
1546009526,4,2
1546013120,1,2
1546016718,1,3
1546020331,2,2
1546023926,2,1
1546027520,3,4
1546031122,1,2
1546034730,1,1
1546038329,1,0
1546041934,1,2
1546045529,1,0
1546049130,4,3
1546052745,0,1
1546056327,1,1
1546059936,3,1
1546063535,1,7
1546067133,2,2
1546070740,1,4
1546074331,2,6
1546077951,3,1
1546081519,0,1
1546085125,4,9
1546088730,1,6
1546092296,4,4
1546095927,4,2
1546099529,2,3
1546103130,1,2
1546106728,0,1
1546110337,1,2
1546113937,2,3
1546117529,2,1
1546121120,1,0
1546124717,0,4
1546128315,0,10
1546131913,1,5
1546139113,1,0
1546146310,0,1
1546149912,0,4
1546153498,2,1
1546157116,1,1
1546160707,2,2
1546164320,2,1
1546167905,2,0
1546171516,6,1
1546175109,0,1
1546178713,3,0
1546182302,1,0
1546185929,1,3
1546189513,1,3
1546193130,1,2
1546196715,8,4
1546200321,3,2
1546203918,0,1
1546207517,3,2
1546211123,4,1
1546214716,5,0
1546218322,0,3
1546225510,0,23
1546229119,3,42
1546232714,3,17
1546236316,5,1
1546239924,5,2
1546243522,1,2
1546247130,0,2
1546250735,0,4
1546254322,2,0
1546257925,1,0
1546261534,2,4
1546265136,1,3
1546268725,0,2
1546272325,4,2
1546275927,2,0
1546279531,2,3
1546283149,1,1
1546286727,2,1
1546290348,0,1
1546293922,1,1
1546297525,0,2
1546301121,0,1
1546304717,1,0
1546308359,1,1
1546311943,3,1
1546315522,3,0
1546319208,2,0
1546322800,2,1
1546326358,0,1
1546329903,1,1
1546333564,6,1
1546337121,1,2
1546340751,1,4
1546344319,0,6
1546347952,2,0
1546351532,1,1
1546355118,1,1
1546358729,1,0
1546365927,0,1
1546369560,2,1
1546373125,0,3
1546376736,1,1
1546380332,1,1
1546383971,3,1
1546387536,1,0
1546391134,1,1
1546394808,2,2
1546398361,1,1
1546405535,1,1
1546409152,1,1
1546412746,9,3
1546416359,2,1
1546419944,1,3
1546423553,5,0
1546427166,2,1
1546430780,1,1
1546434339,2,0
1546437922,1,3
1546441502,3,6
1546445097,1,0
1546448712,0,4
1546452317,1,1
1546455911,7,1
1546459510,0,2
1546463107,1,3
1546466713,11,5
1546470318,2,2
1546473918,1,1
1546477520,1,13
1546481109,0,1
1546488317,1,1
1546491904,1,1
1546495510,6,2
1546499113,0,4
1546502719,1,1
1546506337,0,1
1546510046,2,2
1546513533,4,0
1546517116,5,2
1546520708,1,3
1546524317,1,1
1546527917,2,2
1546531510,2,2
1546535129,4,0
1546538715,0,6
1546542314,1,3
