DateTime,AddedIPs,RemovedIPs
1545775272,58,82
1545780670,50,98
1545784306,85,93
1545787874,75,69
1545791485,56,72
1545795068,86,109
1545798690,100,121
1545802273,73,80
1545805866,85,75
1545809471,65,56
1545813087,89,55
1545816669,74,50
1545820264,79,58
1545823865,90,76
1545829270,83,65
1545831101,93,76
1545836528,80,75
1545838277,73,68
1545841865,69,64
1545845486,92,71
1545849107,81,77
1545852669,83,80
1545856295,82,75
1545859879,82,80
1545863637,68,102
1545867071,52,112
1545870702,93,82
1545876066,76,82
1545877889,46,74
1545881468,70,106
1545885065,91,115
1545888667,66,84
1545892275,84,53
1545895880,71,51
1545899509,56,55
1545904918,75,63
1545906671,87,48
1545908485,75,63
1545913868,78,74
1545917469,73,70
1545921065,82,87
1545926505,75,60
1545930090,75,70
1545931866,93,70
1545935471,87,85
1545939070,97,80
1545942671,85,103
1545944538,5,0
1545946265,65,101
1545949906,84,92
1545951715,78,103
1545958887,79,106
1545960673,75,79
1545964269,46,75
1545967873,79,97
1545971465,83,97
1545978667,79,104
1545980497,78,66
1545982276,66,41
1545985879,62,79
1545989501,75,51
1545993073,77,45
1545998502,75,77
1546000304,76,62
1546003871,90,67
1546009273,76,81
1546012886,94,71
1546016467,85,61
1546018272,91,90
1546020108,94,91
1546025538,84,83
1546027307,75,86
1546032669,78,80
1546036292,54,93
1546039893,81,97
1546043494,90,95
1546048868,82,80
1546050672,44,76
1546054270,67,94
1546057873,93,119
1546063313,81,86
1546065068,84,62
1546070503,53,47
1546074071,72,59
1546075880,77,55
1546079511,84,60
1546083065,72,65
1546086675,96,55
1546090349,75,82
1546093868,75,78
1546097466,77,68
1546101073,90,68
1546104669,99,76
1546110067,74,77
1546111888,84,89
1546115490,71,77
1546119070,74,79
1546122773,67,85
1546126265,46,116
1546129865,63,113
1546131675,43,93
1546137064,28,79
1546140669,59,102
1546142470,68,111
1546147864,45,83
1546151492,55,62
1546153293,62,55
1546155106,92,86
1546158668,38,33
1546162270,40,36
1546165875,33,35
1546169467,39,31
1546171264,28,35
1546176675,30,40
1546180272,37,42
1546183877,35,31
1546187477,37,39
1546191128,28,32
1546194731,33,28
1546198270,30,25
1546205469,49,64
1546209075,26,44
1546210873,34,28
1546216269,54,24
1546219879,37,33
1546221746,0,5
1546223484,30,35
1546227091,50,67
1546230695,67,88
1546234264,60,60
1546236074,55,44
1546241469,30,15
1546245115,36,30
1546246900,24,24
1546252264,28,27
1546254095,32,27
1546259463,33,31
1546264890,34,37
1546266746,29,36
1546270272,22,27
1546273877,30,21
1546277473,25,23
1546282896,25,25
1546284680,18,25
1546288307,25,34
1546290115,21,33
1546293665,33,25
1546295474,25,33
1546297266,33,25
1546300900,21,24
1546302699,85,23
1546306264,95,29
1546309864,30,39
1546311681,52,67
1546317067,76,84
1546320664,49,52
1546324273,75,35
1546329744,32,27
1546331484,15,21
1546335062,35,27
1546338666,23,23
1546342274,22,26
1546345877,30,22
1546347664,32,29
1546353069,35,30
1546354872,25,35
1546360318,32,36
1546363867,31,27
1546371087,61,53
1546374664,25,39
1546378284,29,35
1546381872,32,34
1546383668,26,40
1546390880,62,27
1546392688,52,36
1546398069,27,27
1546401680,59,73
1546405333,72,78
1546407068,52,57
1546410710,57,37
1546414265,30,27
1546417877,27,16
1546421468,34,32
1546425064,32,28
1546428691,18,33
1546432275,28,28
1546437722,33,25
1546439542,27,27
1546443181,29,30
1546446683,41,28
1546452162,40,38
1546453878,27,28
1546457513,31,31
1546459272,32,37
1546464680,27,34
1546468278,107,96
1546470072,118,136
1546477270,93,62
1546482691,26,31
1546486278,58,72
1546489888,84,88
1546493482,59,54
1546497067,58,44
1546500674,47,23
1546502474,30,21
1546507905,29,38
1546511485,30,34
1546515067,42,43
1546518682,31,38
1546522289,30,36
1546529485,46,62
1546533064,57,41
1546534892,39,32
1546540289,39,35
1546543887,33,42
1546547474,40,35
1546551068,33,46
1546554677,45,43
1546558277,36,54
1546563779,64,30
1546565467,50,26
1546569078,27,21
1546572707,56,79
1546576275,66,77
1546579876,48,44
1546585267,88,57
1546588878,31,32
1546596068,44,55
1546599679,73,72
1546605079,35,30
1546610462,35,38
1546612284,26,51
1546615865,36,40
1546621373,50,25
1546623073,34,46
1546626664,38,32
1546630338,26,49
1546633866,33,42
1546639282,60,54
1546642957,24,34
1546648285,55,33
1546650069,50,35
1546657286,23,35
1546659067,54,67
1546662671,71,77
1546666359,48,47
1546669903,51,39
1546675267,41,30
1546677070,27,37
1546682465,42,35
1546684276,29,31
1546689684,38,33
1546691465,27,36
1546695065,46,37
1546698666,33,34
1546702269,32,28
1546705920,38,37
1546709466,28,32
1546713086,24,32
1546716665,48,39
1546722082,37,38
1546723876,23,42
1546729301,27,39
1546731069,32,35
1546736475,63,48
1546738270,125,95
1546741872,32,48
1546743673,48,32
1546747265,32,48
1546749091,63,73
1546750871,81,86
1546754472,49,51
1546756335,57,37
1546759873,41,24
1546763476,23,16
1546765275,64,108
1546767064,128,80
1546770665,32,42
1546776075,45,20
1546777864,37,39
1546781482,32,33
1546786870,52,54
1546792286,57,28
1546795864,33,40
1546801318,23,24
1546803105,34,39
1546806704,40,31
1546810325,19,40
1546813865,20,41
1546817464,22,46
1546821072,69,38
1546824671,54,37
1546828267,23,41
1546831867,56,64
1546835503,73,80
1546839148,60,53
1546842675,52,42
1546846268,39,27
1546851696,30,26
1546853477,40,37
1546857072,25,40
1546858892,40,25
1546860677,25,40
1546862543,41,30
1546864279,30,27
1546867869,35,29
1546871470,28,32
1546875065,25,39
1546878670,28,41
1546880485,42,23
1546885877,47,27
1546889485,31,39
1546893065,30,47
1546896701,33,42
1546900289,25,38
1546903864,30,42
1546907472,52,42
1546911084,57,33
1546914671,26,37
1546918266,50,72
1546921864,82,79
1546927268,51,55
1546929070,64,51
1546932697,41,34
1546936264,37,31
1546939868,32,34
1546943502,41,32
1546948913,48,41
1546954271,37,18
1546956107,27,30
1546961482,28,44
1546965067,37,31
1546968710,36,24
1546974094,45,35
1546975886,29,52
1546979476,32,49
1546983091,37,39
1546988473,29,44
1546990264,25,47
1546993868,50,33
1546997463,54,30
1547001081,30,34
1547006480,55,74
1547008277,79,103
1547010064,60,47
1547015505,68,42
1547019088,34,34
1547024469,28,31
1547026285,40,43
1547029914,32,25
1547031668,32,40
1547037064,27,33
1547040674,43,29
1547046118,27,33
1547047889,30,42
1547051489,33,31
1547056937,34,38
1547058748,28,30
1547064099,39,33
1547067741,55,75
1547073085,33,48
1547076679,31,51
1547080287,63,40
1547082077,58,40
1547083875,40,58
1547085701,58,40
1547087469,30,33
1547091069,60,82
1547094668,87,78
1547098265,59,65
1547101880,58,45
1547105473,42,35
1547110884,34,32
1547112716,37,42
1547116305,29,38
1547119923,40,37
1547123474,36,33
1547127103,44,32
1547130678,36,42
1547134345,32,45
1547136072,45,32
1547137886,57,74
1547141485,42,35
1547146964,38,40
1547148664,36,34
1547154064,36,54
1547155864,44,33
1547159467,27,32
1547164896,78,68
1547170265,54,46
1547172078,33,29
1547175681,65,79
1547181073,74,84
1547184685,112,56
1547190103,204,92
1547197285,97,58
1547199068,107,78
1547200880,112,53
1547206279,110,64
1547209872,83,65
1547213470,92,89
1547217070,92,88
1547220701,96,93
1547224297,96,91
1547229667,106,84
1547231487,110,77
1547235065,97,96
1547238667,86,114
1547240502,115,89
1547245891,73,126
1547251264,86,121
1547253122,89,107
1547256675,76,88
1547262071,53,80
1547263875,84,109
1547267478,99,108
1547271065,87,102
1547274686,83,63
1547278265,77,61
1547281884,82,76
1547287269,91,70
1547289071,104,65
1547290888,99,70
1547296271,103,84
1547299882,102,97
1547303473,94,102
1547305342,86,71
1547312464,92,88
1547314281,108,89
1547317878,89,86
1547321470,114,76
1547325076,103,101
1547330495,87,110
1547332265,82,96
1547335875,79,112
1547339479,86,110
1547343086,78,96
1547346681,50,83
1547350284,98,128
1547352067,89,119
1547359279,84,78
1547361111,79,58
1547364667,62,55
1547366478,63,56
1547371887,96,48
1547375484,86,51
1547380944,148,120
1547384570,0,4
1547386270,97,80
1547388077,81,69
1547393492,91,66
1547395274,96,97
1547400738,101,81
1547404310,91,71
1547406152,97,94
1547411508,95,100
1547415070,81,129
1547418676,66,112
1547422271,80,130
1547424069,1,0
1547425881,129,80
1547427686,138,215
1547431274,76,84
1547433079,45,61
1547436694,85,113
1547442065,100,105
1547443890,84,92
1547447466,95,71
1547449271,78,55
1547456469,77,76
1547458267,79,67
1547461867,71,65
1547463678,64,57
1547467288,175,224
1547469068,252,191
1547472684,87,68
1547478080,63,74
1547479888,86,83
1547483478,106,83
1547487070,100,74
1547490707,90,65
1547494276,107,93
1547497898,93,107
1547499706,192,159
1547501472,84,125
1547505067,81,111
1547506874,68,123
1547512270,97,105
1547514087,73,81
1547519478,68,86
1547523071,99,124
1547526681,100,113
1547530313,98,113
1547533862,94,95
1547535676,346,292
1547539271,331,349
1547542874,71,78
1547546479,93,69
1547548274,75,59
1547550073,93,58
