DateTime,Entries,UniqueIPs
1545775272,6221,6221
1545780670,6173,6173
1545784306,6165,6165
1545787874,6171,6171
1545791485,6155,6155
1545795068,6132,6132
1545798690,6111,6111
1545802273,6104,6104
1545805866,6114,6114
1545809471,6123,6123
1545813087,6157,6157
1545816669,6181,6181
1545820264,6202,6202
1545823865,6216,6216
1545829270,6234,6234
1545831101,6251,6251
1545836528,6256,6256
1545838277,6261,6261
1545841865,6266,6266
1545845486,6287,6287
1545849107,6291,6291
1545852669,6294,6294
1545856295,6301,6301
1545859879,6303,6303
1545863637,6269,6269
1545867071,6209,6209
1545870702,6220,6220
1545876066,6214,6214
1545877889,6186,6186
1545881468,6150,6150
1545885065,6126,6126
1545888667,6108,6108
1545892275,6139,6139
1545895880,6159,6159
1545899509,6160,6160
1545904918,6172,6172
1545906671,6211,6211
1545908485,6223,6223
1545913868,6227,6227
1545917469,6230,6230
1545921065,6225,6225
1545926505,6240,6240
1545930090,6245,6245
1545931866,6268,6268
1545935471,6270,6270
1545939070,6287,6287
1545942671,6269,6269
1545944538,6274,6274
1545946265,6238,6238
1545949906,6230,6230
1545951715,6205,6205
1545958887,6178,6178
1545960673,6174,6174
1545964269,6145,6145
1545967873,6127,6127
1545971465,6113,6113
1545978667,6088,6088
1545980497,6100,6100
1545982276,6125,6125
1545985879,6108,6108
1545989501,6132,6132
1545993073,6164,6164
1545998502,6162,6162
1546000304,6176,6176
1546003871,6199,6199
1546009273,6194,6194
1546012886,6217,6217
1546016467,6241,6241
1546018272,6242,6242
1546020108,6245,6245
1546025538,6246,6246
1546027307,6235,6235
1546032669,6233,6233
1546036292,6194,6194
1546039893,6178,6178
1546043494,6173,6173
1546048868,6175,6175
1546050672,6143,6143
1546054270,6116,6116
1546057873,6090,6090
1546063313,6085,6085
1546065068,6107,6107
1546070503,6113,6113
1546074071,6126,6126
1546075880,6148,6148
1546079511,6172,6172
1546083065,6179,6179
1546086675,6220,6220
1546090349,6213,6213
1546093868,6210,6210
1546097466,6219,6219
1546101073,6241,6241
1546104669,6264,6264
1546110067,6261,6261
1546111888,6256,6256
1546115490,6250,6250
1546119070,6245,6245
1546122773,6227,6227
1546126265,6157,6157
1546129865,6107,6107
1546131675,6057,6057
1546137064,6006,6006
1546140669,5963,5963
1546142470,5920,5920
1546147864,5882,5882
1546151492,5875,5875
1546153293,5882,5882
1546155106,5888,5888
1546158668,5893,5893
1546162270,5897,5897
1546165875,5895,5895
1546169467,5903,5903
1546171264,5896,5896
1546176675,5886,5886
1546180272,5881,5881
1546183877,5885,5885
1546187477,5883,5883
1546191128,5879,5879
1546194731,5884,5884
1546198270,5889,5889
1546205469,5874,5874
1546209075,5856,5856
1546210873,5862,5862
1546216269,5892,5892
1546219879,5896,5896
1546221746,5891,5891
1546223484,5886,5886
1546227091,5869,5869
1546230695,5848,5848
1546234264,5848,5848
1546236074,5859,5859
1546241469,5874,5874
1546245115,5880,5880
1546246900,5880,5880
1546252264,5881,5881
1546254095,5886,5886
1546259463,5888,5888
1546264890,5885,5885
1546266746,5878,5878
1546270272,5873,5873
1546273877,5882,5882
1546277473,5884,5884
1546282896,5884,5884
1546284680,5877,5877
1546288307,5868,5868
1546290115,5856,5856
1546293665,5864,5864
1546295474,5856,5856
1546297266,5864,5864
1546300900,5861,5861
1546302699,5923,5923
1546306264,5989,5989
1546309864,5980,5980
1546311681,5965,5965
1546317067,5957,5957
1546320664,5954,5954
1546324273,5994,5994
1546329744,5999,5999
1546331484,5993,5993
