DateTime,AddedIPs,RemovedIPs
1547104215,2,100
1547104816,2,0
1547106015,13,0
1547106915,3,0
1547107815,2,100
1547109615,85,0
1547109915,0,1
1547110817,1,0
1547111715,5,100
1547112316,6,0
1547113218,39,0
1547114416,4,0
1547114715,1,100
1547115615,2,0
1547116815,6,0
1547117416,3,0
1547118615,2,100
1547119515,7,0
1547120114,38,0
1547121915,0,100
1547123416,1,0
1547124015,4,0
1547125517,0,100
1547127615,26,0
1547128214,3,0
1547129115,1,0
1547129715,0,100
1547130615,3,0
1547131215,8,0
1547132415,32,0
1547133015,47,100
1547134515,13,0
1547134816,24,0
1547135415,503,0
1547136016,1,0
1547136317,0,100
1547136915,16,0
1547137515,23,16
1547138114,4,0
1547139017,4,0
1547139915,0,100
1547140815,2,0
1547142016,10,0
1547142616,3,0
1547143215,0,1
1547143515,0,100
1547144115,0,2
1547144415,2,0
1547145615,1,0
1547146514,46,0
1547146816,0,3
1547147115,0,97
1547148016,3,0
1547149216,5,0
1547150115,3,0
1547151014,3,99
1547151616,1,0
1547152215,47,0
1547152514,16,0
1547152816,17,0
1547153416,23,0
1547154615,1,100
1547155215,3,0
1547156416,1,0
1547157616,1,0
1547157917,2,100
1547158816,3,0
1547160316,1,0
1547161517,0,100
1547164216,2,0
1547165415,1,100
1547166915,12,0
1547167216,29,0
1547167816,2,0
1547168717,0,100
1547169615,5,0
1547170816,27,0
1547172615,0,100
1547173216,41,0
1547173515,2,0
1547174115,4,0
1547175315,3,0
1547176216,0,100
1547176817,3,0
1547178015,24,0
1547178615,3,0
1547179814,0,100
1547181615,77,0
1547182216,20,0
1547183415,0,100
1547184015,2,0
1547184616,48,0
1547185216,11,0
1547185815,8,0
1547186715,2,100
1547187615,5,0
1547188816,4,0
1547189416,30,0
1547190315,0,100
1547190916,3,0
1547191215,1,0
1547192416,2,0
1547194215,1,100
1547195116,1,0
1547195715,36,0
1547196616,5,0
1547197815,5,99
1547198716,1,0
1547200515,25,0
1547201416,5,100
1547203215,4,0
1547203818,2,0
1547204715,4,0
1547205016,0,100
1547205615,9,0
1547206817,33,0
1547207715,2,0
1547208615,2,100
1547209217,1,0
1547210115,2,0
1547212217,0,100
1547213416,188,0
1547214015,283,0
1547214915,1,0
1547215515,1,100
1547216115,0,14
1547217315,29,2
1547217616,20,0
1547218218,19,0
1547219715,2,100
1547220916,35,0
1547222415,1,0
1547223616,0,100
1547224515,2,0
1547225415,3,0
1547226317,0,100
1547226915,2,0
1547228415,6,0
1547229315,2,0
1547230214,0,100
1547230816,4,0
1547231715,3,0
1547232915,3,0
1547233515,0,100
1547234115,4,0
1547235617,39,0
1547236515,17,0
1547237115,0,99
1547238016,4,0
1547238915,2,0
1547239215,3,0
1547240415,3,0
1547241015,2,100
1547242515,8,0
1547243715,5,0
1547244615,4,85
1547245216,2,0
1547246415,4,0
1547247314,1,0
1547247916,0,98
1547248216,2,0
1547249416,3,0
1547250016,4,0
1547250915,3,0
1547251514,0,99
1547252115,37,1
1547252715,4,0
1547253615,22,0
1547254216,8,0
1547255415,1,100
1547257816,2,0
1547258417,0,1
1547258715,1,100
1547260215,146,0
1547260515,7,0
1547262315,0,100
1547262615,5,0
1547263515,1,0
1547264416,2,0
1547265016,2,0
1547266215,3,100
1547266815,2,0
1547268016,16,0
1547268618,2,0
1547269516,10,97
1547271616,2,0
1547273115,1,100
1547274016,1,0
1547275216,44,0
1547275815,3,0
1547277016,0,100
1547277917,4,0
1547278816,67,0
1547279417,12,1
1547280615,0,100
1547281216,2,0
1547282415,2,0
1547283015,34,0
1547284216,0,100
1547285417,1,0
1547286016,1,0
1547287217,99,0
1547287515,0,100
1547287815,2,0
1547288415,5,0
1547289616,3,0
1547290515,2,0
1547291415,6,100
1547292016,1,0
1547293216,1,0
1547294716,0,100
1547295617,1,0
1547296514,34,0
1547298016,1,0
1547298615,3,99
1547300114,3,0
1547301915,0,100
1547302217,3,0
1547303715,19,0
1547304915,2,0
1547305515,0,100
1547306415,8,0
1547307615,9,0
1547308216,1,0
1547308817,52,0
1547309116,26,0
1547309715,0,100
1547310017,2,0
1547312116,7,0
1547313015,1,100
1547313615,1,0
1547314816,52,0
1547315715,1,0
1547316615,2,100
1547318115,3,0
1547319016,2,0
1547320216,1,106
1547320815,5,0
1547321715,24,0
1547322915,6,0
1547323516,39,100
1547324715,1,0
1547325617,2,0
1547326515,2,0
1547327716,1,100
1547328315,1,0
1547328915,45,0
1547330115,1,0
1547331015,2,100
1547331316,322,0
1547331616,1,0
1547332815,4,0
1547334016,20,0
1547334315,2,84
1547334915,0,16
1547335216,10,0
1547335817,1,0
1547336415,1,0
1547337015,1,0
1547337915,0,100
1547338514,1,0
1547340015,2,0
1547341217,3,0
1547341815,1,100
1547342415,2,0
1547343617,33,0
1547345415,0,101
1547347215,5,0
1547348115,4,0
1547349015,1,100
1547349914,4,0
1547350816,15,0
1547351714,1,0
1547352315,1,100
1547353516,2,0
1547354416,4,0
1547355314,2,0
1547356215,1,99
1547358016,22,0
1547359515,0,100
1547361616,2,0
1547362817,1,0
1547363715,0,100
1547365215,2,0
1547366417,4,0
1547366715,0,100
1547367315,0,1
1547367918,4,0
1547368515,2,0
1547369715,2,0
1547370314,0,100
1547371215,63,0
1547372416,2,0
1547373314,2,0
1547373916,1,100
1547375116,1,0
1547375715,18,0
1547376615,7,0
1547377517,0,100
1547378415,3,0
1547379617,13,0
1547380215,1,0
1547381414,1,100
1547382017,10,0
1547382915,57,0
1547383816,22,0
1547384715,0,100
1547385015,1,0
1547385615,1,0
1547386816,22,0
1547388314,2,99
1547390415,4,0
1547391015,3,0
1547392215,10,100
1547393417,1,0
1547394015,64,0
1547394615,5,0
1547395516,0,100
1547396116,5,0
1547396416,2,0
1547397616,102,0
1547398217,4,0
1547399115,0,100
1547400315,2,0
1547401216,25,0
1547401817,5,0
1547402716,0,100
1547404217,16,0
1547404816,4,0
1547406615,47,98
1547407817,12,0
1547408416,2,0
1547410215,1,100
1547410816,6,0
1547411418,1,1
1547412015,7,0
1547412617,2,0
1547413815,0,100
1547414715,7,0
1547415314,2,0
1547416515,42,0
1547417415,0,100
1547418915,342,0
1547419216,2,0
1547420417,3,0
1547420717,0,100
1547421315,2,0
1547423417,8,0
1547424315,0,100
1547424614,1,0
1547425216,3,0
1547426115,29,0
1547427016,5,0
1547428215,2,100
1547428816,3,0
1547430017,5,0
1547431217,4,0
1547431515,0,98
1547432417,1,0
1547433616,31,0
1547434515,2,0
1547435115,0,99
1547435415,2,0
1547436315,1,0
1547436914,1,0
1547437814,6,0
1547439015,2,100
1547439616,7,0
1547441116,19,0
1547442016,5,0
1547442915,1,99
1547443515,1,0
1547444115,47,0
1547445315,3,0
1547445915,0,100
1547447417,1,0
1547448015,53,0
1547448915,16,0
1547449815,0,99
1547450415,5,0
1547451315,7,0
1547452515,1,0
1547453115,0,99
1547454015,3,0
1547455215,31,0
1547456114,4,0
1547457015,0,100
1547458816,6,0
1547460614,4,100
1547462416,42,0
1547463315,12,0
1547463915,0,99
1547464216,1,0
1547464816,4,0
1547465715,2,0
1547468115,0,100
1547468416,1,0
1547469016,63,0
1547469616,1,0
1547470216,21,0
1547471116,0,100
1547472316,3,0
1547472914,2,0
1547473815,1,0
1547475015,0,100
1547476514,53,0
1547476815,35,0
1547477415,44,0
1547478315,1,99
1547478914,0,8
1547479515,2,0
1547481315,2,1
1547481917,6,2
1547482216,0,99
1547484015,4,0
1547484914,12,0
1547485516,0,100
1547485815,23,0
1547486416,12,0
1547487015,1,0
1547487615,1,0
1547488217,2,1
1547488818,2,0
1547489414,2,99
1547491216,6,0
1547492114,8,0
1547492716,2,0
1547493017,0,99
1547493615,1,0
1547494816,33,0
1547495417,38,0
1547496615,0,100
1547497216,4,0
1547498416,6,0
1547499315,1,0
1547499618,1,0
1547500215,0,100
1547501116,2,0
1547501715,2,0
1547502615,24,0
1547502916,22,0
1547503815,391,100
1547504415,2,0
1547505616,4,0
1547507117,0,99
1547507716,2,0
1547509217,2,0
1547510716,1,100
1547511616,1,0
1547512516,3,0
1547512816,119,0
1547513417,2,0
1547514615,1,104
1547514917,0,4
1547515216,2,1
1547515816,0,14
1547516416,4,15
1547517017,0,13
1547517315,29,5
1547517616,0,1
1547518216,1,120
1547519116,3,0
1547519715,22,0
1547520616,2,0
1547521516,0,100
1547521815,7,0
1547523315,5,5
1547524217,7,0
1547525115,0,99
1547525715,7,0
1547526915,19,0
1547527216,15,0
1547527817,77,0
1547528115,193,0
1547528715,0,99
1547529616,29,0
1547530215,29,0
1547530816,4,0
1547531715,1,0
1547532615,0,98
1547533815,8,0
1547534416,22,0
1547535314,50,0
1547536215,0,97
1547536815,7,0
1547537715,2,0
1547538915,4,0
1547539515,2,0
1547539816,0,100
1547541016,1,0
1547541615,5,1
1547542817,0,1
1547543716,1,99
1547545217,22,0
1547546116,3,0
1547546717,0,100
1547547017,5,0
1547548817,23,0
1547550615,1,100
1547551216,3,0
