DateTime,AddedIPs,RemovedIPs
1546450593,82,238
1546453932,64,17
1546454197,24,185
1546456600,68,1417
1546457806,45,0
1546459492,70,164
1546464752,116,288
1546469769,11,3
1546471945,158,474
1546473638,12,8
1546475555,1388,1795
1546477729,89,148
1546480337,85,155
1546482016,67,137
1546485137,101,175
1546486093,36,69
1546487055,29,85
1546487942,91,36
1546489478,67,246
1546493556,107,341
1546496170,53,273
1546497879,81,184
1546499569,54,99
1546512489,11,22
1546521376,463,2263
1546539385,258,1793
1546554974,13,9
1546560016,1296,2604
1546562648,9,22
1546566487,17,29
1546573474,491,3652
1546574343,105,36
1546576118,78,165
1546577056,37,87
1546578053,45,0
1546579708,76,121
1546580678,40,64
1546586205,125,456
1546590995,99,267
1546594366,74,366
1546596778,82,134
1546598169,10,6
1546598689,69,145
1546601791,72,162
1546603960,65,135
1546604889,25,66
1546607051,54,155
1546608735,46,145
1546611135,57,122
1546612603,43,132
1546614779,67,122
1546615938,35,68
1546617618,44,151
1546619796,45,159
1546622676,60,225
1546624113,45,137
1546625767,32,73
1546627954,50,112
1546629639,46,130
1546631286,46,71
1546632255,27,68
1546633934,40,152
1546635639,56,151
1546637088,34,63
1546638992,35,101
1546640445,44,64
1546640895,10,7
1546642868,55,214
1546643794,30,0
1546646199,54,172
1546646416,1530,2382
1546648809,10,8
1546649061,92,265
1546650767,47,306
1546652441,51,89
1546652891,15,13
1546654361,47,267
1546656253,57,92
1546658671,67,247
1546661095,62,184
1546662757,132,241
1546665157,61,194
1546666093,24,93
1546667766,48,191
1546669570,28,220
1546671159,39,124
1546672595,30,264
1546674748,61,197
1546678118,72,834
1546680990,59,58
1546683477,82,126
1546683852,14,5
1546685052,45,0
1546687448,63,117
1546690848,72,0
1546693472,58,65
1546695636,52,64
1546697313,52,0
1546698758,33,50
1546700468,46,55
1546702353,49,0
1546704037,37,59
1546705686,56,0
1546706891,43,50
1546708363,53,0
1546710756,53,44
1546712197,33,38
1546713869,43,0
1546716032,58,65
1546718193,65,50
1546719871,42,0
1546721313,38,154
1546722303,22,0
1546723940,52,0
1546727069,49,0
1546728742,37,0
1546730654,12,16
1546731185,51,0
1546733082,52,0
1546734491,1396,1282
1546735235,60,120
1546737137,53,0
1546738326,19,11
1546738813,52,0
1546739778,29,0
1546741459,43,0
1546742451,38,107
1546745072,55,0
1546746802,41,0
1546747142,90,51
1546748415,46,0
1546750367,36,69
1546752738,44,0
1546753699,41,0
1546755887,43,58
1546757770,35,0
1546759241,40,67
1546761639,58,0
1546763085,49,77
1546765943,45,0
1546768099,56,99
1546769602,27,0
1546771544,61,72
1546773877,41,77
1546775559,44,0
1546776990,29,0
1546778670,58,72
1546781071,68,76
1546782749,71,0
1546784443,60,65
1546786593,83,0
1546789728,86,58
1546791221,64,53
1546792337,49,54
1546794010,51,0
1546794996,62,78
1546796450,56,0
1546798597,55,0
1546800052,59,0
1546808190,151,152
1546817050,13,11
1546819216,1017,1938
1546820414,11,13
1546824251,14,18
1546825254,323,397
1546831717,166,0
1546834355,192,151
1546836293,61,0
1546838449,70,77
1546840888,69,0
1546843466,74,74
1546845850,69,0
1546847554,58,68
1546851391,94,90
1546853552,74,0
1546855237,56,67
1546856173,17,0
1546857854,56,80
1546860762,84,0
1546861935,51,166
1546864364,60,0
1546866006,54,0
1546867688,59,0
1546869147,59,0
1546870843,60,0
1546872994,48,102
1546873930,36,0
1546875612,55,0
1546876886,41,0
1546878758,76,74
1546880194,60,0
1546881661,66,0
1546883088,42,41
1546884531,58,0
1546885969,65,0
1546887879,60,62
1546889560,74,0
1546890520,48,79
1546895323,125,0
1546902968,20,4
1546906090,10,7
1546909930,1153,1653
1546913059,395,393
1546919942,104,47
1546930575,320,318
1546940684,230,161
1546943529,18,4
1546948592,180,175
1546959872,227,156
1546962272,103,48
1546967072,104,52
1546969471,81,37
1546971162,59,43
1546973312,80,0
1546975491,77,56
1546975937,0,16
1546978359,83,47
1546978815,0,5
1546981483,79,0
1546985568,77,81
1546986734,19,0
1546988426,62,56
1546990596,70,0
1546992016,975,1617
1546992991,90,58
1546995413,119,72
1546997069,101,123
1546999214,18,15
1546999479,99,0
1547001873,88,0
1547004027,102,0
1547005470,93,0
1547006343,84,101
1547007850,79,44
1547012198,152,66
1547015528,97,42
1547021075,154,139
1547023471,104,71
1547025629,101,48
1547029240,122,62
1547033155,133,52
1547034995,85,30
1547038362,101,49
1547040061,52,76
1547041944,61,39
1547045317,83,77
1547047969,71,94
1547049651,67,0
1547050705,46,36
1547052284,47,35
1547053950,46,44
1547055640,45,0
1547057797,70,36
1547059476,36,37
1547060920,63,11
1547062366,55,72
1547063539,41,43
1547064513,39,0
1547066189,71,0
1547067874,52,80
1547068849,34,0
1547070091,39,0
1547071486,39,38
1547073167,42,50
1547074132,46,8
1547077482,62,60
1547078416,1074,2104
1547080852,58,78
1547082013,9,6
1547083465,103,62
1547083932,19,0
1547087537,99,90
1547090198,74,45
1547091881,45,25
1547092876,48,22
1547093778,121,54
1547095453,54,20
1547097137,45,116
1547098814,54,0
1547100996,46,0
1547104366,82,52
1547107488,69,40
1547110357,76,99
1547111330,39,0
1547112281,63,60
1547114937,56,66
1547115611,15,12
1547118259,82,0
1547119233,46,0
1547120286,36,72
1547122600,65,0
1547124259,82,0
1547126176,139,0
1547127162,63,47
1547128848,57,36
1547129787,28,0
1547131246,55,65
1547133643,73,72
1547134590,37,21
1547136051,34,94
1547136998,35,0
1547138203,38,47
1547139154,29,0
1547140125,39,33
1547141077,43,41
1547142759,54,23
1547144675,68,31
1547146350,47,27
1547148758,50,62
1547151159,55,29
1547154273,64,84
1547157151,76,86
1547158595,44,29
1547160761,85,73
1547163635,39,41
1547164816,1319,1468
1547166753,75,34
1547168418,15,6
1547171072,123,158
1547175880,120,141
1547179142,56,50
1547180920,108,96
1547185954,100,100
1547190273,97,110
1547193875,107,45
1547197962,108,108
1547201083,78,104
1547202733,12,21
1547204676,105,43
1547208258,83,94
1547209222,51,0
1547210201,45,0
1547211850,53,65
1547213558,70,30
1547215240,48,0
1547216203,41,33
1547217881,60,36
1547219323,59,0
1547221449,57,30
1547222980,41,35
1547224116,70,31
1547225801,52,37
1547226992,37,36
1547227971,37,0
1547229388,57,54
1547231069,34,22
1547232016,43,47
1547233002,43,40
1547234197,46,0
1547235855,57,76
1547236828,38,0
1547238283,45,31
1547239964,45,42
1547241137,55,48
1547242812,60,55
1547243776,38,0
1547245481,51,68
1547246648,13,6
1547246937,54,0
1547248340,72,34
1547249564,40,73
1547251242,62,0
1547252236,1558,1387
1547254568,9,9
1547256046,118,77
1547257930,19,13
1547258922,98,59
1547261562,86,76
1547262746,39,30
1547265152,74,29
1547265543,60,63
1547267070,62,39
1547268518,41,22
1547273060,83,53
1547274971,53,57
1547276665,53,58
1547280181,79,96
1547281947,78,0
1547283854,54,68
1547286248,63,80
1547287941,69,42
1547289644,60,59
1547291081,52,43
1547292736,53,43
1547295159,62,74
1547296114,25,0
1547297075,37,41
1547298763,39,34
1547300661,52,35
1547302344,56,51
1547304516,43,35
1547305486,30,36
1547307141,60,0
1547308813,46,32
1547310740,38,59
1547311716,29,32
1547313170,59,38
1547314340,42,0
1547316737,72,71
1547318683,58,74
1547320847,51,33
1547322522,43,50
1547323476,44,23
1547324423,27,22
1547327327,56,48
1547328985,38,46
1547330673,44,26
1547333570,55,49
1547334491,12,4
1547336681,61,73
1547337629,24,0
1547338580,1475,1190
1547339563,57,30
1547341935,79,68
1547343608,69,26
1547345079,57,56
1547346745,70,51
1547349143,81,42
1547350819,45,61
1547352291,54,27
1547354447,115,103
1547356354,37,31
1547358496,53,45
1547360441,64,37
1547362343,57,75
1547365946,77,83
1547368842,59,49
1547370530,53,49
1547371718,47,46
