DateTime,AddedIPs,RemovedIPs
1547170923,4,0
1547171523,4,0
1547172123,25,4
1547172723,3,1
1547173325,2,0
1547174522,6,0
1547175124,2,0
1547175363,0,57
1547175801,69,1
1547176923,4,0
1547177522,2,0
1547178123,3,0
1547179344,3,1
1547180523,1,0
1547181364,67,64
1547181723,1,0
1547182323,2,0
1547182924,5,0
1547183523,1,0
1547184124,14,0
1547184724,97,3
1547185443,4,78
1547186548,3,0
1547187123,7,0
1547187722,3,0
1547188323,2,0
1547188923,2,0
1547189523,100,50
1547190124,129,44
1547190723,1,4
1547191323,8,0
1547191922,3,0
1547192523,2,0
1547193723,8,0
1547194322,0,2
1547195283,0,45
1547195523,4,0
1547196124,4,0
1547197323,96,0
1547197922,0,1
1547198404,0,51
1547199122,102,0
1547199723,1,0
1547200923,104,16
1547201523,2,1
1547202123,4,0
1547203323,1,0
1547204163,0,101
1547204604,3,3
1547205123,2,0
1547205723,1,0
1547206322,106,0
1547206923,1,0
1547209322,2,0
1547209923,72,14
1547210522,2,0
1547211123,1,96
1547211805,1,3
1547212323,1,0
1547212923,2,0
1547213470,87,0
1547214122,4,0
1547215403,9,0
1547215923,3,0
1547216523,2,0
1547217122,78,25
1547217722,4,0
1547218810,25,62
1547218924,2,0
1547219004,0,2
1547219523,2,0
1547220123,3,0
1547221323,68,16
1547221924,5,0
1547222884,1,140
1547223723,2,0
1547224324,94,0
1547224923,1,0
1547226207,0,1
1547226723,4,0
1547227323,2,0
1547228523,2,0
1547229802,99,21
1547230803,0,132
1547231522,100,0
1547232124,3,0
1547232723,5,0
1547233402,2,0
1547233923,11,0
1547234523,1,0
1547235123,87,19
1547235723,1,0
1547237292,0,131
1547237524,3,0
1547238123,1,0
1547238723,84,0
1547239322,1,0
1547240523,91,20
1547241723,4,0
1547242923,2,0
1547244207,4,2
1547244723,2,0
1547245443,1,152
1547245891,67,0
1547246523,3,0
1547247745,1,0
1547248922,2,0
1547249524,4,113
1547250123,1,0
1547251406,82,1
1547251923,2,0
1547252523,3,0
1547253123,78,18
1547254944,1,1
1547255523,1,185
1547256675,60,0
1547257323,1,0
1547257922,4,0
1547258603,18,1
1547259365,4,85
1547259723,1,0
1547260924,4,0
1547262123,53,0
1547263323,1,1
1547263875,79,7
1547264523,1,0
1547265722,1,0
1547266562,7,70
1547266923,3,0
1547267478,87,6
1547268123,4,0
1547268722,2,0
1547269404,1,1
1547270403,0,190
1547270523,5,0
1547271723,83,0
1547272923,2,1
1547273524,2,1
1547274723,70,8
1547275323,3,0
1547276163,8,89
1547276602,0,1
1547277123,2,0
1547278085,6,55
1547278322,80,0
1547278924,1,0
1547280144,2,0
1547280724,1,0
1547281323,3,0
1547281925,71,46
1547282523,1,0
1547283843,2,68
1547284923,2,2
1547286123,7,0
1547286723,1,0
1547287323,84,0
1547287402,0,4
1547288523,3,0
1547289123,85,16
1547290083,16,49
1547291006,77,25
1547291523,5,0
1547292123,1,0
1547292723,4,0
1547293922,0,82
1547294544,2,0
1547295724,1,0
1547296323,95,0
1547296923,2,0
1547297523,4,0
1547298123,4,0
1547298724,2,0
1547299323,1,0
1547300523,87,18
1547301124,20,58
1547301723,10,0
1547303043,4,85
1547303473,87,0
1547304723,2,0
1547305403,67,12
1547305924,1,0
1547306522,6,0
1547307123,13,77
1547308323,9,0
1547308947,6,0
1547309523,1,0
1547310123,2,0
1547310723,1,0
1547311923,1,0
1547312544,81,14
1547313123,0,126
1547313723,4,0
1547314323,105,0
1547314923,2,0
1547316204,9,3
1547317323,3,0
1547317878,70,20
1547318523,4,0
1547319123,20,66
1547319723,1,0
1547321283,93,63
1547321522,0,67
1547322723,1,0
1547323323,2,0
1547324523,2,0
1547325385,96,0
1547326924,1,0
1547327524,5,0
1547328123,2,0
1547329323,2,0
1547330523,71,24
1547331362,0,160
1547331722,2,0
1547332265,70,0
1547332922,6,0
1547333523,2,0
1547334123,2,0
1547334723,1,0
1547335323,2,0
1547335922,1,0
1547336523,69,15
1547337724,2,0
1547338324,1,0
1547338924,1,0
1547339525,66,168
1547340122,8,0
1547340723,16,0
1547341323,2,0
1547341925,2,0
1547342523,2,0
1547343123,61,7
1547343722,7,0
1547344324,1,0
1547344924,2,0
1547345524,1,172
1547346123,3,0
1547346723,50,0
1547347323,2,0
1547348522,8,0
1547349124,10,0
1547350323,73,10
1547350923,3,0
1547351763,10,180
1547352122,88,0
1547352723,1,0
1547353323,5,0
1547353923,1,0
1547354523,1,0
1547355723,1,0
1547356923,3,0
1547357523,5,0
1547358004,0,118
1547358723,1,0
1547359323,84,0
1547360523,2,0
1547361124,77,6
1547361843,10,75
1547362923,6,0
1547363523,4,0
1547364123,1,0
1547364723,1,0
1547365323,59,8
1547365922,0,92
1547366524,64,0
1547367124,1,0
1547368922,1,0
1547369641,0,17
1547370191,1,0
1547370724,2,0
1547371323,5,0
1547371923,82,9
1547373843,9,49
1547374324,9,0
1547374923,5,0
1547375484,79,14
1547377322,2,0
1547377683,0,80
1547377924,1,0
1547378523,1,0
1547379723,2,0
1547380944,150,0
1547381524,0,7
1547382122,2,0
1547383443,23,60
1547385723,2,0
1547386270,81,16
1547386923,3,0
1547387523,2,0
1547388190,64,23
1547388723,7,0
1547389442,23,99
1547390522,2,0
1547391790,2,0
1547392923,2,0
1547393492,78,14
1547394123,3,0
1547394723,1,0
1547395443,83,90
1547396523,5,0
1547397123,1,0
1547397723,2,0
1547399292,6,0
1547400723,3,0
1547400738,82,16
1547401683,16,78
1547401922,3,0
1547402523,2,0
1547403723,1,0
1547404310,77,18
1547406190,80,33
1547406723,3,0
1547407443,34,99
1547409794,4,0
1547410323,24,0
1547410923,2,0
1547411523,80,77
1547412123,5,0
1547412722,2,0
1547413392,11,1
1547414522,5,0
1547415364,69,202
1547415723,2,0
1547416930,1,1
1547417523,2,0
1547418122,2,0
1547418723,63,0
1547419323,2,0
1547419923,3,0
1547420530,1,0
1547421125,3,0
1547421723,3,0
1547422323,68,15
1547422923,2,0
1547423282,15,99
1547424196,1,0
1547424723,3,0
1547425322,4,0
1547425922,13,71
1547426523,3,0
1547427123,71,0
1547427722,75,119
1547430123,1,0
1547430723,5,0
1547431390,69,13
1547432175,4,169
1547432523,6,0
1547433123,49,0
1547433723,2,0
1547434990,1,0
1547435523,2,0
1547437324,78,8
1547437923,8,0
1547438524,2,0
1547439608,0,157
1547439723,2,0
1547440324,11,0
1547440923,4,0
1547441522,15,0
1547442190,101,1
1547442723,4,0
1547443683,91,99
1547443924,0,91
1547444523,4,0
1547445723,1,0
1547445790,1,0
1547446922,3,0
1547447523,90,0
1547448122,2,0
1547448723,4,0
1547449330,77,9
1547450407,9,64
1547450523,2,0
1547451123,6,0
1547451723,6,0
1547452322,9,0
1547452991,0,1
1547454123,1,0
1547455923,8,0
1547456643,69,120
1547457723,2,0
1547458267,75,0
1547460192,5,2
1547460723,5,0
1547461324,6,0
1547461923,1,0
1547462883,77,64
1547463123,5,0
1547463791,64,9
1547464324,1,0
1547464922,3,0
1547465524,1,0
1547466123,7,0
1547467322,116,102
1547468062,5,1
1547468650,107,45
1547469123,57,156
1547469724,2,0
1547470324,4,0
1547471005,2,0
1547472123,5,0
1547472484,0,52
1547472723,85,0
1547473323,1,0
1547474523,2,0
1547475723,2,0
1547476922,7,0
1547478123,58,19
1547478204,0,1
1547478724,2,0
1547479442,4,112
1547479922,84,0
1547481723,5,0
1547482923,5,0
1547483524,78,51
1547484123,2,0
1547485343,2,0
1547486523,2,0
1547487123,89,16
1547487609,16,63
1547487722,1,0
1547489003,3,1
1547489523,2,0
1547490723,2,0
1547491443,80,61
1547493723,3,0
1547494923,99,14
1547495523,14,56
1547496123,4,0
1547497443,2,92
1547497923,93,0
1547499123,2,0
1547499746,110,78
1547500923,2,0
1547501522,66,31
1547502123,1,0
1547503323,1,0
1547503923,9,1
1547504402,0,165
1547505122,80,0
1547505723,3,0
1547506923,65,23
1547507006,0,1
1547507523,1,0
1547508243,25,106
1547509323,3,0
1547510523,1,0
1547511723,3,0
1547512323,89,13
1547512923,1,0
1547513523,0,196
1547514125,70,0
1547514724,0,3
1547515323,1,0
1547515923,1,0
1547516523,2,0
1547517723,4,0
1547518324,6,0
1547518922,4,0
1547519478,56,9
1547520122,2,0
1547521442,11,72
1547522524,3,0
1547523071,91,8
1547523362,8,76
1547524943,2,1
1547525526,3,0
1547526724,93,8
1547527205,8,111
1547527323,4,0
1547528543,5,0
1547529724,12,0
1547530313,92,13
1547531283,14,105
1547532203,0,1
1547533202,0,109
1547533323,4,0
1547533923,97,0
1547534522,2,0
1547535743,273,76
1547536323,3,0
1547536923,1,0
1547537524,129,37
1547538123,24,0
1547539403,1,335
1547540523,1,0
1547541123,8,0
1547542323,1,0
1547543004,74,1
1547543763,3,76
1547544124,2,0
1547545922,1,0
1547546604,89,2
1547547124,17,0
1547547605,0,68
1547547723,3,0
1547548323,76,0
1547549051,3,0
1547550123,84,13
1547550723,2,0
1547551323,3,0
