DateTime,Entries,UniqueIPs
1547102712,32676,47425
1547103862,32664,47413
1547104219,32575,47323
1547105448,32511,47255
1547106025,32486,47233
1547106128,32559,47307
1547107940,32539,47287
1547108104,32559,47304
1547108888,32617,47363
1547109855,32470,47209
1547110568,32504,47242
1547111808,32489,47225
1547112978,32415,47149
1547113954,32404,47140
1547114722,32420,47162
1547115523,32420,47673
1547116115,32520,47777
1547116819,32645,47905
1547118030,30959,46147
1547118903,31001,46193
1547120175,30987,46178
1547120704,30986,46432
1547120718,30966,46412
1547121368,30970,46415
1547122340,31726,47198
1547123417,31680,47151
1547123855,31600,47065
1547124248,31601,47066
1547125818,31564,47032
1547126172,31564,47034
1547127017,31563,47287
1547127729,31476,47202
1547128352,31469,47200
1547129704,31400,47131
1547130274,31378,47113
1547131504,31415,47150
1547132175,31394,47127
1547133303,31325,47065
1547134113,31322,47060
1547134927,31035,46772
1547136039,31063,46038
1547136912,30905,45877
1547138199,30887,45856
1547138527,30795,45761
1547139367,30811,45777
1547140121,30799,45765
1547141418,30767,45986
1547142011,30762,45981
1547142035,30669,45885
1547144179,30641,45854
1547145035,30724,45937
1547146090,30727,45941
1547146568,30614,45827
1547148037,30610,45823
1547148615,30491,45700
1547149944,30519,45729
1547150405,30514,45726
1547151305,30486,45698
1547151870,30625,45833
1547153767,30670,45874
1547153768,30653,45860
1547155955,30760,45715
1547156410,30969,45926
1547157368,31039,45998
1547157872,31031,45991
1547159431,31180,46143
1547159766,31163,46126
1547161726,31223,46189
1547162119,31215,46176
1547163632,31200,46159
1547163728,31190,46150
1547164577,31266,46226
1547165545,32031,47023
1547165709,31962,46952
1547167486,31959,46948
1547169379,31942,46939
1547170206,32034,47032
1547171537,32034,47032
1547172033,31912,46907
1547173473,31880,46876
1547174107,31893,46890
1547175369,31887,46883
1547176510,31926,46921
1547177563,31918,46909
1547178128,31852,46845
1547179478,31847,46843
1547180109,31825,46820
1547181383,31935,46931
1547182803,31879,46873
1547183561,31868,46860
1547185454,31818,46810
1547187383,31773,46763
1547188221,31861,46854
1547188929,31724,46711
1547189554,31723,46710
1547189767,31787,46777
1547190904,31687,46680
1547191496,31707,46701
1547192529,31655,46645
1547193367,31651,46638
1547194504,31618,46602
1547195289,31599,46583
1547195428,31486,46469
1547197220,31480,46460
1547198111,31568,46550
1547199131,31559,46541
1547199729,31519,46500
1547201080,31520,46502
1547201703,31472,46198
1547202488,31558,46287
1547202968,31547,46278
1547204108,31492,46226
1547205137,30253,44931
1547205311,30267,44691
1547206509,30091,44510
1547207073,30090,44510
1547207104,30025,44445
1547208977,30564,45009
1547209830,30451,44892
1547211176,30276,44714
1547212075,30273,45476
1547212504,30037,45235
1547213048,30054,45254
1547213412,29867,45062
1547214969,29884,45077
1547216122,29686,44874
1547216918,29705,44896
1547217904,29506,44694
1547218820,29520,44708
1547219412,29890,45090
1547220859,30416,45631
1547221765,31032,46263
1547222968,31099,46329
1547223304,31050,46276
1547225075,31063,46292
1547226980,31090,46323
1547227687,31170,46403
1547228528,31106,46340
1547228891,31121,46355
1547229368,31164,46399
1547230812,31183,46416
1547231419,31220,46453
1547232991,31244,46476
1547233214,31080,46313
1547234103,31120,46354
1547235154,31261,46496
1547235904,31260,46240
1547236512,31202,46180
1547237320,31244,46222
1547237708,31128,46101
1547239454,31173,46147
1547240428,31086,46059
1547241643,31112,46088
1547242234,31113,45833
1547242927,31021,45743
1547243552,31031,45753
1547244307,30979,45705
1547245469,31018,45746
1547247394,31139,45874
1547247645,31231,45971
1547248504,31167,45903
1547249561,31263,45998
1547250908,31170,45908
1547251721,31671,46428
1547252109,31658,46414
1547253309,31655,46409
1547253630,31668,46424
1547253728,31672,46427
1547254568,31759,46517
1547255541,31785,46543
1547256488,31829,46589
1547257474,31719,46476
1547258168,31781,46542
1547259385,31733,46490
1547261559,31747,46503
1547262848,31782,46538
1547263450,31784,46542
1547264408,31744,46502
1547265639,31748,46505
1547266448,31766,46523
1547267537,31770,46528
1547268138,31726,46479
1547269485,31788,46542
1547271026,31740,46489
1547271369,31754,46502
1547271728,31681,46420
1547273807,31690,46423
1547275695,31587,46324
1547276425,31693,46434
1547277652,31645,46386
1547279539,31561,46299
1547280848,31606,46346
1547281479,31626,46373
1547282529,31561,46309
1547283366,31572,46320
1547283368,31648,46401
1547285541,31589,46349
1547286128,31292,46051
1547287474,31303,46060
1547288047,31262,46017
1547289017,31324,46080
1547289640,31326,46083
1547290567,31231,45988
1547291560,29902,44597
1547291704,29964,44660
1547293450,29975,44670
1547293507,29951,44647
1547294424,30017,44714
1547295627,30743,45462
1547296508,30678,45401
1547297557,30690,45415
1547298029,30774,45501
1547298909,30681,45404
1547299447,30694,45418
1547299804,30739,45465
1547300531,30565,45282
1547301367,30571,45288
1547301626,30572,45544
1547302456,30575,45546
1547303288,30585,45556
1547304040,30477,45444
1547305482,30496,45466
1547305765,30548,45517
1547307019,30676,45649
1547307640,30671,45645
1547308860,30541,45518
1547309821,30563,45538
1547310486,30726,45706
1547311337,30608,45583
1547311712,30640,45617
1547312177,30725,45702
1547313616,30692,45672
1547314087,30768,45750
1547314927,30670,45651
1547315550,30681,45664
1547316847,30683,45671
1547317446,30690,45678
1547318704,30607,45593
1547319397,30621,45607
1547319628,30697,45687
1547321317,30654,45642
1547322127,30486,45475
1547323471,30513,45506
1547324047,30465,45456
1547325396,30553,45546
1547325736,30250,45231
1547326568,30333,45317
1547327315,30326,45311
1547327704,30305,45288
1547328614,30380,45364
1547329478,30377,45361
1547330168,30309,45292
1547331381,30303,45287
1547332218,30259,45243
1547332710,30640,45628
1547333565,30630,45618
1547333768,30842,45832
1547334914,30804,45795
1547335454,30802,45794
1547336448,30703,45697
1547337374,30689,45680
1547338504,30827,45814
1547339561,31619,46637
1547340129,31469,46484
1547341454,31474,46491
