DateTime,Entries,UniqueIPs
1547098923,713811,744219
1547099524,713844,744256
1547100123,713848,744260
1547101323,713851,744263
1547102523,713877,744289
1547103723,713907,744324
1547104923,713939,744362
1547105523,713948,744372
1547106123,713952,744376
1547107323,713955,744381
1547108523,713958,744389
1547109723,713961,744395
1547110923,713967,744404
1547111523,713976,744414
1547112123,713981,744419
1547112723,714006,744451
1547113325,714007,744452
1547113924,714027,744478
1547114523,714069,744528
1547115123,714100,744566
1547115723,714108,744575
1547116323,714132,744606
1547116923,714154,744634
1547118123,714204,744695
1547118724,714229,744722
1547119323,714243,744740
1547119922,714257,744761
1547120523,714258,744762
1547121123,714261,744766
1547121723,714276,744781
1547122924,714331,744848
1547124123,714333,744850
1547124724,714368,744894
1547125323,714404,744940
1547126523,714439,744985
1547127123,714479,745045
1547127723,714523,745099
1547128923,714546,745131
1547129524,714562,745156
1547130124,714590,745193
1547130723,714592,745195
1547131323,714633,745241
1547131924,714687,745307
1547132523,714729,745359
1547133124,714779,745419
1547133723,714822,745466
1547134323,714830,745475
1547134923,714834,745479
1547135523,714851,745511
1547136123,714911,745581
1547136723,714912,745583
1547137324,714937,745626
1547137924,714991,745694
1547138523,715052,745768
1547139723,715101,745835
1547140324,715146,745900
1547140923,715174,745942
1547142123,715210,745983
1547143323,715247,746032
1547143924,715284,746080
1547144523,715321,746119
1547145124,715349,746157
1547145723,715373,746190
1547146922,715376,746195
1547147523,715378,746197
1547148123,715380,746200
1547149209,715501,746331
1547150523,715502,746332
1547151723,715509,746339
1547152924,715528,746359
1547154123,715529,746360
1547154723,715531,746362
1547155323,715535,746367
1547156523,715534,746370
1547158923,715538,746374
1547160123,715543,746379
1547160722,715547,746384
1547161323,715549,746387
1547161923,715552,746390
1547163724,715552,746391
1547164924,715553,746392
1547166122,715555,746394
1547167322,715558,746397
1547168524,715565,746405
1547169724,715566,746406
1547170324,715568,746408
1547170923,715572,746412
1547171523,715576,746416
1547172123,715577,746417
1547172723,715580,746420
1547173325,715581,746422
1547174522,715586,746428
1547175124,715587,746430
1547175723,715590,746435
1547176923,715594,746439
1547177522,715595,746441
1547178123,715598,746444
1547179323,715601,746447
1547180523,715601,746448
1547181123,715602,746449
1547181723,715603,746450
1547182323,715604,746452
1547182924,715608,746457
1547183523,715608,746458
1547184124,715622,746472
1547184724,715623,746473
1547185323,715624,746474
1547186523,715625,746476
1547187123,715632,746483
1547187722,715633,746486
1547188323,715635,746488
1547188923,715637,746490
1547190124,715658,746514
1547190723,715658,746515
1547191323,715665,746523
1547191922,715667,746526
1547192523,715669,746528
1547193723,715676,746536
1547195523,715678,746540
1547196124,715681,746544
1547197323,715682,746546
1547199122,715683,746547
1547199723,715684,746548
1547200923,715686,746550
1547201523,715688,746552
1547202123,715690,746556
1547203323,715691,746557
1547204523,715693,746559
1547205123,715694,746561
1547205723,715695,746562
1547206322,715694,746563
1547206923,715695,746564
1547209322,715696,746566
1547209923,715697,746567
1547210522,715699,746569
1547211123,715700,746570
1547212323,715701,746571
1547212923,715703,746573
1547214122,715706,746577
1547215323,715714,746586
1547215923,715716,746589
1547216523,715718,746591
1547217122,715721,746594
1547217722,715725,746598
1547218924,715727,746600
1547219523,715728,746602
1547220123,715731,746605
1547221924,715735,746610
1547222522,715736,746611
1547223723,715738,746613
1547224923,715739,746614
1547226723,715743,746618
1547227323,715744,746620
1547228523,715745,746622
1547229723,715749,746626
1547232124,715751,746629
1547232723,715753,746634
1547233323,715754,746635
1547233923,715765,746646
1547234523,715766,746647
1547235723,715767,746648
1547237524,715769,746651
1547238123,715770,746652
1547238723,715774,746656
1547239322,715775,746657
1547240523,715776,746658
1547241723,715779,746662
