DateTime,AddedIPs,RemovedIPs
1546560066,844,0
1546561937,34,21
1546563856,40,20
1546565777,65,46
1546567713,28,33
1546569608,54,52
1546571530,47,32
1546573470,17,29
1546575626,41,52
1546577561,24,35
1546579455,35,32
1546581398,37,37
1546583286,35,25
1546585289,36,32
1546587177,31,35
1546589055,26,40
1546590991,48,40
1546592894,32,41
1546594815,46,44
1546596767,47,37
1546598685,50,40
1546600569,54,2041
1546602513,50,59
1546604420,938,0
1546606379,58,45
1546608267,62,16
1546610168,62,40
1546612110,44,43
1546614253,19,35
1546616433,76,47
1546618580,74,35
1546620759,51,45
1546622672,35,33
1546624592,68,50
1546626493,64,30
1546628452,59,36
1546630603,49,46
1546632760,48,46
1546634650,46,50
1546636579,29,56
1546638494,43,38
1546640433,38,36
1546642354,24,33
1546644250,30,44
1546646196,54,54
1546648360,873,0
1546650283,33,32
1546652439,48,38
1546654351,23,30
1546656250,36,31
1546658172,34,38
1546660359,46,40
1546662249,31,24
1546664192,41,46
1546666090,30,28
1546668282,40,41
1546670190,34,34
1546672101,36,35
1546674044,39,39
1546676188,43,49
1546678114,36,36
1546680018,45,55
1546681930,72,42
1546683879,34,25
1546686023,46,2082
1546687963,58,51
1546689874,935,0
1546691774,54,43
1546693938,48,58
1546696094,40,50
1546698033,58,40
1546700457,67,51
1546702348,49,27
1546704562,59,40
1546706443,38,31
1546708359,51,30
1546710257,38,32
1546712193,46,42
1546714333,32,41
1546716253,39,35
1546718189,40,40
1546720336,52,29
1546722298,37,38
1546724437,51,43
1546726334,39,44
1546728260,41,55
1546730177,34,63
1546732096,25,52
1546734012,827,0
1546735953,31,24
1546737848,48,40
1546739775,35,35
1546741943,70,46
1546743863,27,29
1546746037,43,29
1546747931,28,33
1546749850,26,25
1546752034,50,40
1546753928,31,30
1546755883,36,31
1546757767,50,39
1546760005,37,39
1546762143,46,36
1546764014,41,34
1546765932,30,33
1546767851,32,35
1546770049,57,62
1546771939,30,54
1546773873,34,2104
1546776029,938,0
1546777966,51,59
1546779851,37,42
1546782037,57,41
1546783936,53,24
1546785872,35,43
1546787767,60,36
1546789717,67,41
1546791899,65,45
1546793766,70,46
1546795706,39,32
1546797607,50,36
1546799536,51,38
1546801467,31,36
1546803310,40,43
1546805320,29,46
1546807212,54,43
1546809161,23,43
1546811052,33,35
1546813263,46,55
1546815149,49,38
1546817071,34,39
1546818969,38,61
1546821147,884,0
1546823300,43,43
1546825243,42,34
1546827184,29,22
1546829076,30,38
1546831000,44,33
1546833175,56,45
1546835055,42,34
1546836979,67,39
1546838943,38,30
1546840868,51,43
1546842759,24,26
1546844672,34,37
1546846568,39,37
1546848514,48,43
1546850411,39,42
1546852333,42,41
1546854269,41,34
1546856202,48,49
1546858358,50,42
1546860250,41,1904
1546862435,909,0
1546864360,78,28
1546866527,65,54
1546868410,74,38
1546870331,64,36
1546872276,46,31
1546874171,60,38
1546876358,71,42
1546878276,63,28
1546880190,58,42
1546882114,45,32
1546884020,54,39
1546885958,61,35
1546887875,41,32
1546890036,70,44
1546891933,48,40
1546893872,36,33
1546895780,38,39
1546897716,49,39
1546899618,64,50
1546901531,45,26
1546903455,44,45
1546905400,37,59
1546907560,814,0
1546909457,38,38
1546911367,47,42
1546913556,50,35
1546915451,26,29
1546917395,32,27
1546919290,66,32
1546921212,44,34
1546923158,27,20
1546925079,41,40
1546926971,33,35
1546928914,60,31
1546931182,48,38
1546933239,50,42
1546935128,36,37
1546937049,54,33
1546938972,57,36
1546941140,38,43
1546943071,44,43
1546944970,65,40
1546946886,40,2048
1546948837,1005,0
1546950751,60,41
1546952661,46,34
1546954880,69,55
1546956733,40,33
1546958649,41,33
1546960841,63,55
1546962736,44,39
1546964667,38,48
1546966595,71,68
1546968756,85,48
1546970654,50,45
1546972589,74,32
1546974756,65,38
1546976894,64,52
1546978819,48,45
1546980746,55,27
1546982650,31,52
1546984588,48,53
1546986738,57,43
1546988653,34,42
1546990593,55,71
1546992494,944,0
1546994413,52,48
1546996383,54,27
1546998250,37,41
1547000444,59,42
1547002344,43,37
1547004252,53,31
1547006189,36,44
1547008361,57,52
1547010251,37,55
1547012187,42,44
1547014121,44,36
1547016037,33,29
1547017929,26,32
1547019874,40,46
1547022036,62,51
1547023959,51,26
1547025851,34,49
1547027791,58,52
1547029705,46,36
1547031672,49,2315
1547033560,47,48
1547035463,1034,0
1547037389,65,45
1547039293,38,35
1547041473,75,44
1547043374,38,42
1547045312,34,31
1547047458,43,42
1547049638,60,68
1547051782,40,42
1547053937,49,39
1547056096,42,29
1547058266,47,56
1547060186,42,59
1547062087,25,46
1547064033,42,54
1547065941,36,48
1547067868,46,50
1547070075,76,55
1547071935,32,52
1547074127,38,49
1547076036,23,54
1547077941,26,63
1547079877,963,0
1547082017,52,48
1547083959,27,25
1547085879,36,39
1547088039,39,40
1547089941,36,31
1547091871,30,43
1547093775,37,50
1547095959,24,32
1547097854,24,33
1547099776,44,30
1547101959,31,63
1547103862,31,42
1547106025,25,56
1547107940,19,40
1547109855,14,54
1547111808,34,55
1547113954,31,38
1547116115,31,59
1547118030,35,2330
1547120175,43,54
1547122340,1045,0
1547124248,47,49
1547126172,44,40
1547128352,41,46
1547130274,32,52
1547132175,22,59
1547134113,38,48
1547136039,42,35
1547138199,25,54
1547140121,17,38
1547142011,38,50
1547144179,23,47
1547146090,30,27
1547148037,33,36
1547149944,83,38
1547151870,42,58
1547153767,51,71
