DateTime,Entries,UniqueIPs
1546560066,4255,4255
1546561937,4268,4268
1546563856,4288,4288
1546565777,4307,4307
1546567713,4302,4302
1546569608,4304,4304
1546571530,4319,4319
1546573470,4307,4307
1546575626,4296,4296
1546577561,4285,4285
1546579455,4288,4288
1546581398,4288,4288
1546583286,4298,4298
1546585289,4302,4302
1546587177,4298,4298
1546589055,4284,4284
1546590991,4292,4292
1546592894,4283,4283
1546594815,4285,4285
1546596767,4295,4295
1546598685,4305,4305
1546600569,2318,2318
1546602513,2309,2309
1546604420,3247,3247
1546606379,3260,3260
1546608267,3306,3306
1546610168,3328,3328
1546612110,3329,3329
1546614253,3313,3313
1546616433,3342,3342
1546618580,3381,3381
1546620759,3387,3387
1546622672,3389,3389
1546624592,3407,3407
1546626493,3441,3441
1546628452,3464,3464
1546630603,3467,3467
1546632760,3469,3469
1546634650,3465,3465
1546636579,3438,3438
1546638494,3443,3443
1546640433,3445,3445
1546642354,3436,3436
1546644250,3422,3422
1546646196,3422,3422
1546648360,4295,4295
1546650283,4296,4296
1546652439,4306,4306
1546654351,4299,4299
1546656250,4304,4304
1546658172,4300,4300
1546660359,4306,4306
1546662249,4313,4313
1546664192,4308,4308
1546666090,4310,4310
1546668282,4309,4309
1546670190,4309,4309
1546672101,4310,4310
1546674044,4310,4310
1546676188,4304,4304
1546678114,4304,4304
1546680018,4294,4294
1546681930,4324,4324
1546683879,4333,4333
1546686023,2297,2297
1546687963,2304,2304
1546689874,3239,3239
1546691774,3250,3250
1546693938,3240,3240
1546696094,3230,3230
1546698033,3248,3248
1546700457,3264,3264
1546702348,3286,3286
1546704562,3305,3305
1546706443,3312,3312
1546708359,3333,3333
1546710257,3339,3339
1546712193,3343,3343
1546714333,3334,3334
1546716253,3338,3338
1546718189,3338,3338
1546720336,3361,3361
1546722298,3360,3360
1546724437,3368,3368
1546726334,3363,3363
1546728260,3349,3349
1546730177,3320,3320
1546732096,3293,3293
1546734012,4120,4120
1546735953,4127,4127
1546737848,4135,4135
1546739775,4135,4135
1546741943,4159,4159
1546743863,4157,4157
1546746037,4171,4171
1546747931,4166,4166
1546749850,4167,4167
1546752034,4177,4177
1546753928,4178,4178
1546755883,4183,4183
1546757767,4194,4194
1546760005,4192,4192
1546762143,4202,4202
1546764014,4209,4209
1546765932,4206,4206
1546767851,4203,4203
1546770049,4198,4198
1546771939,4174,4174
1546773873,2104,2104
1546776029,3042,3042
1546777966,3034,3034
1546779851,3029,3029
1546782037,3045,3045
1546783936,3074,3074
1546785872,3066,3066
1546787767,3090,3090
1546789717,3116,3116
1546791899,3136,3136
1546793766,3160,3160
1546795706,3167,3167
1546797607,3181,3181
1546799536,3194,3194
1546801467,3189,3189
1546803310,3186,3186
1546805320,3169,3169
1546807212,3180,3180
1546809161,3160,3160
1546811052,3158,3158
1546813263,3149,3149
1546815149,3160,3160
1546817071,3155,3155
1546818969,3132,3132
1546821147,4016,4016
1546823300,4016,4016
1546825243,4024,4024
1546827184,4031,4031
1546829076,4023,4023
1546831000,4034,4034
1546833175,4045,4045
1546835055,4053,4053
1546836979,4081,4081
1546838943,4089,4089
1546840868,4097,4097
1546842759,4095,4095
1546844672,4092,4092
1546846568,4094,4094
1546848514,4099,4099
1546850411,4096,4096
1546852333,4097,4097
1546854269,4104,4104
1546856202,4103,4103
1546858358,4111,4111
1546860250,2248,2248
1546862435,3157,3157
1546864360,3207,3207
1546866527,3218,3218
1546868410,3254,3254
1546870331,3282,3282
1546872276,3297,3297
1546874171,3319,3319
1546876358,3348,3348
1546878276,3383,3383
1546880190,3399,3399
1546882114,3412,3412
1546884020,3427,3427
1546885958,3453,3453
1546887875,3462,3462
1546890036,3488,3488
1546891933,3496,3496
1546893872,3499,3499
1546895780,3498,3498
1546897716,3508,3508
1546899618,3522,3522
1546901531,3541,3541
1546903455,3540,3540
1546905400,3518,3518
1546907560,4332,4332
1546909457,4332,4332
1546911367,4337,4337
1546913556,4352,4352
1546915451,4349,4349
1546917395,4354,4354
1546919290,4388,4388
1546921212,4398,4398
1546923158,4405,4405
1546925079,4406,4406
1546926971,4404,4404
1546928914,4433,4433
1546931182,4443,4443
1546933239,4451,4451
1546935128,4450,4450
1546937049,4471,4471
1546938972,4492,4492
1546941140,4487,4487
1546943071,4488,4488
1546944970,4513,4513
1546946886,2505,2505
1546948837,3510,3510
1546950751,3529,3529
1546952661,3541,3541
1546954880,3555,3555
1546956733,3562,3562
1546958649,3570,3570
1546960841,3578,3578
1546962736,3583,3583
1546964667,3573,3573
1546966595,3576,3576
1546968756,3613,3613
1546970654,3618,3618
1546972589,3660,3660
1546974756,3687,3687
1546976894,3699,3699
1546978819,3702,3702
1546980746,3730,3730
1546982650,3709,3709
1546984588,3704,3704
1546986738,3718,3718
1546988653,3710,3710
1546990593,3694,3694
1546992494,4638,4638
1546994413,4642,4642
1546996383,4669,4669
1546998250,4665,4665
1547000444,4682,4682
1547002344,4688,4688
1547004252,4710,4710
1547006189,4702,4702
1547008361,4707,4707
1547010251,4689,4689
1547012187,4687,4687
1547014121,4695,4695
1547016037,4699,4699
1547017929,4693,4693
1547019874,4687,4687
1547022036,4698,4698
1547023959,4723,4723
1547025851,4708,4708
1547027791,4714,4714
1547029705,4724,4724
1547031672,2458,2458
1547033560,2457,2457
1547035463,3491,3491
1547037389,3511,3511
1547039293,3514,3514
1547041473,3545,3545
1547043374,3541,3541
1547045312,3544,3544
1547047458,3545,3545
1547049638,3537,3537
1547051782,3535,3535
1547053937,3545,3545
1547056096,3558,3558
1547058266,3549,3549
1547060186,3532,3532
1547062087,3511,3511
1547064033,3499,3499
1547065941,3487,3487
1547067868,3483,3483
1547070075,3504,3504
1547071935,3484,3484
1547074127,3473,3473
1547076036,3442,3442
1547077941,3405,3405
1547079877,4368,4368
1547082017,4372,4372
1547083959,4374,4374
1547085879,4371,4371
1547088039,4370,4370
1547089941,4375,4375
1547091871,4362,4362
1547093775,4349,4349
