DateTime,AddedIPs,RemovedIPs
1546932609,1241,3200
1546933510,1274,2600
1546934409,1300,1100
1546935308,1080,1611
1546936210,1223,1614
1546938010,2217,2352
1546938912,1215,1053
1546939812,1655,531
1546941610,2833,1340
1546942510,1258,378
1546943409,1202,665
1546945209,2608,1507
1546947011,2453,1896
1546947910,1172,1037
1546948809,1141,1205
1546949709,1120,602
1546950609,1307,554
1546951511,1304,545
1546952410,1383,1254
1546953310,1250,1360
1546954209,1396,1673
1546956008,3899,3758
1546956909,1081,2580
1546957809,1280,2066
1546959610,3084,2945
1546961409,2525,4949
1546963212,1753,5342
1546965010,3414,1389
1546966812,2559,2711
1546967712,1164,2926
1546968611,1059,1098
1546970411,2162,1848
1546972211,1917,2920
1546973111,1797,1062
1546974913,2916,1579
1546975813,1003,673
1546976711,1049,316
1546978510,1971,1140
1546979411,792,759
1546980312,1079,261
1546982111,2124,951
1546983010,975,667
1546983911,885,671
1546985711,1153,2439
1546986611,1005,2528
1546987511,1284,1027
1546988410,892,859
1546989310,1031,852
1546990212,918,1463
1546992010,1837,1266
1546992911,855,1456
1546993810,928,3124
1546994710,1054,1276
1546996511,1939,1561
1546997413,1043,2058
1546999213,1926,3748
1547001012,1917,1707
1547002813,1947,1253
1547003714,881,1729
1547004613,922,705
1547006411,1914,2209
1547007314,942,895
1547008212,975,2367
1547010013,1897,4319
1547011812,1914,851
1547012712,938,389
1547013615,1251,534
1547015411,2077,345
1547016311,945,52
1547018111,2137,780
1547019011,384,452
1547019910,605,399
1547020810,1668,112
1547022611,2953,557
1547024411,2640,2213
1547025312,1217,2666
1547026211,1139,1481
1547027112,1245,1840
1547028012,1271,1133
1547028913,1192,916
1547029814,1224,1883
1547030714,1246,2336
1547032512,3832,3000
1547033412,1306,492
1547035215,2649,2348
1547037013,2199,3172
1547038814,1836,6521
1547040614,2620,5919
1547042413,2488,739
1547043314,887,329
1547044214,815,337
1547045115,1985,543
1547046912,3705,1249
1547047812,1850,1176
1547048713,1447,3205
1547049615,1320,2443
1547050514,1244,2500
1547052314,2389,1940
1547053215,1174,1028
1547055012,2239,1823
1547055912,1172,604
1547057714,2068,1516
1547058614,1007,647
1547060414,1677,2505
1547061315,794,1999
1547062214,977,1402
1547064013,1621,2927
1547064915,1034,1596
1547065814,667,345
1547067615,1635,1572
1547069415,2057,1098
1547070315,514,607
1547072115,1116,1063
1547073014,1899,757
1547073916,967,1362
1547075715,1837,2083
1547076616,895,1216
1547078415,1985,2188
1547079316,977,966
1547081117,1834,1365
1547082913,1688,1017
1547083817,890,487
1547084713,1087,733
1547085612,655,1442
1547086513,1120,441
1547087413,897,1463
1547088314,842,919
1547089215,915,1021
1547090114,1036,1381
1547091016,959,1266
1547092814,1897,1595
1547093719,881,98
1547094612,703,658
1547096414,1439,1359
1547098216,2542,2268
1547099113,984,1316
1547100917,2225,1386
1547101817,1086,697
1547103613,1257,1589
1547105413,1072,2182
1547106318,494,1775
1547108113,4335,3811
1547109015,1351,1215
1547109915,1133,717
1547110816,1197,860
1547111714,1245,403
1547113516,2314,1411
1547114414,1198,2177
1547116212,2181,3012
1547118015,2305,769
1547119816,2360,523
1547120713,1223,250
1547122514,1351,2642
1547123416,1359,813
1547125214,2701,2173
1547126112,1091,235
1547127016,500,326
1547128812,1059,1270
1547129713,1705,3610
1547130614,2982,2211
1547131514,1679,571
1547133315,2633,3504
1547135117,2558,3248
1547136013,1214,646
1547136915,1340,2727
1547138713,2380,2683
1547139614,1246,1202
1547140514,1141,1135
1547141413,1063,534
1547143213,1699,1794
1547144112,1121,429
1547145015,1391,815
1547145912,1147,1032
1547146813,972,1205
1547148614,1181,2556
1547149512,395,1493
1547150414,582,1371
1547152214,3154,1205
1547154014,2128,1854
1547155811,1974,2681
1547156711,980,671
1547157613,857,936
1547158510,832,397
1547159412,710,316
1547161212,1874,586
1547162111,642,529
1547163012,524,2593
1547164813,2278,1740
1547166612,1862,1507
1547167513,1059,877
1547168411,981,1074
1547169313,1027,1148
1547170210,943,1670
1547172011,1708,2218
1547173811,1628,2037
1547175613,2000,1984
1547176513,1092,802
1547177412,874,888
1547178311,619,1005
1547179211,480,1087
1547180110,793,795
1547181911,2627,1294
1547182810,1064,516
1547184612,2059,556
1547186411,2013,1115
1547187312,1107,831
1547188211,1195,1084
1547190012,2382,1858
1547190910,1093,631
1547191811,1026,418
1547192711,1029,309
1547193610,870,161
1547195409,2170,719
1547197210,1815,1769
1547199010,1810,2136
1547200811,2356,2892
1547202609,1929,6676
1547203510,864,1539
1547204410,744,1571
1547206210,1151,2840
1547208010,3748,3490
1547208912,1624,747
1547210709,2805,1383
1547211612,1239,185
1547213411,2665,663
1547214311,1332,1509
1547215210,1288,309
1547216111,1102,473
1547217910,2413,1767
1547218811,1276,2145
1547219711,1371,2470
1547220609,1235,1386
1547222411,2231,5326
1547224211,1827,1301
1547225111,1300,988
1547226012,1142,2145
1547226908,957,1220
1547227810,807,1202
1547228710,589,1780
1547230511,1445,2311
1547231411,1904,1032
1547232312,1367,179
1547234110,2370,395
1547235013,1111,441
1547236809,1992,2847
1547237711,958,564
1547239510,1776,1636
1547240410,965,310
1547242211,1857,436
1547244010,1817,297
1547245811,1788,353
1547246709,808,401
1547247613,824,882
1547249408,1420,3697
1547251210,1369,2616
1547252109,937,1414
1547253909,1823,2211
1547254810,801,1272
1547256610,1645,4127
1547258409,1406,3845
1547259311,478,1012
1547260210,460,1054
1547262010,1296,2087
1547263813,2676,2602
1547265610,2219,2551
1547266512,1000,441
1547267412,960,381
1547268310,1029,352
1547270111,2235,1364
1547271010,1007,913
1547272811,1932,2393
1547273710,1001,808
1547274612,978,739
1547275511,1087,1230
1547276411,1016,351
1547278211,2025,1212
1547280013,2031,1113
1547281810,2123,1592
1547283610,1999,1346
1547284511,1156,1777
1547285410,1119,1048
1547287211,2176,1720
1547289011,1792,3274
1547289911,1176,1642
1547290812,1328,1136
1547292611,2298,3282
1547293512,1040,940
1547295311,1495,3006
1547297112,1125,4202
1547298013,1131,1280
1547299813,4026,1708
1547301613,2693,1264
1547303413,2266,734
