DateTime,Entries,UniqueIPs
1546932609,12572,12572
1546933510,11246,11246
1546934409,11446,11446
1546935308,10915,10915
1546936210,10524,10524
1546938010,10389,10389
1546938912,10551,10551
1546939812,11675,11675
1546941610,13168,13168
1546942510,14048,14048
1546943409,14585,14585
1546945209,15686,15686
1546947011,16243,16243
1546947910,16378,16378
1546948809,16314,16314
1546949709,16832,16832
1546950609,17585,17585
1546951511,18344,18344
1546952410,18473,18473
1546953310,18363,18363
1546954209,18086,18086
1546956008,18227,18227
1546956909,16728,16728
1546957809,15942,15942
1546959610,16081,16081
1546961409,13657,13657
1546963212,10068,10068
1546965010,12093,12093
1546966812,11941,11941
1546967712,10179,10179
1546968611,10140,10140
1546970411,10454,10454
1546972211,9451,9451
1546973111,10186,10186
1546974913,11523,11523
1546975813,11853,11853
1546976711,12586,12586
1546978510,13417,13417
1546979411,13450,13450
1546980312,14268,14268
1546982111,15441,15441
1546983010,15749,15749
1546983911,15963,15963
1546985711,14677,14677
1546986611,13154,13154
1546987511,13411,13411
1546988410,13444,13444
1546989310,13623,13623
1546990212,13078,13078
1546992010,13649,13649
1546992911,13048,13048
1546993810,10852,10852
1546994710,10630,10630
1546996511,11008,11008
1546997413,9993,9993
1546999213,8171,8171
1547001012,8381,8381
1547002813,9075,9075
1547003714,8227,8227
1547004613,8444,8444
1547006411,8149,8149
1547007314,8196,8196
1547008212,6804,6804
1547010013,4382,4382
1547011812,5445,5445
1547012712,5994,5994
1547013615,6711,6711
1547015411,8443,8443
1547016311,9336,9336
1547018111,10693,10693
1547019011,10625,10625
1547019910,10831,10831
1547020810,12387,12387
1547022611,14783,14783
1547024411,15210,15210
1547025312,13761,13761
1547026211,13419,13419
1547027112,12824,12824
1547028012,12962,12962
1547028913,13238,13238
1547029814,12579,12579
1547030714,11489,11489
1547032512,12321,12321
1547033412,13135,13135
1547035215,13436,13436
1547037013,12463,12463
1547038814,7778,7778
1547040614,4479,4479
1547042413,6228,6228
1547043314,6786,6786
1547044214,7264,7264
1547045115,8706,8706
1547046912,11162,11162
1547047812,11836,11836
1547048713,10078,10078
1547049615,8955,8955
1547050514,7699,7699
1547052314,8148,8148
1547053215,8294,8294
1547055012,8710,8710
1547055912,9278,9278
1547057714,9830,9830
1547058614,10190,10190
1547060414,9362,9362
1547061315,8157,8157
1547062214,7732,7732
1547064013,6426,6426
1547064915,5864,5864
1547065814,6186,6186
1547067615,6249,6249
1547069415,7208,7208
1547070315,7115,7115
1547072115,7168,7168
1547073014,8310,8310
1547073916,7915,7915
1547075715,7669,7669
1547076616,7348,7348
1547078415,7145,7145
1547079316,7156,7156
1547081117,7625,7625
1547082913,8296,8296
1547083817,8699,8699
1547084713,9053,9053
1547085612,8266,8266
1547086513,8945,8945
1547087413,8379,8379
1547088314,8302,8302
1547089215,8196,8196
1547090114,7851,7851
1547091016,7544,7544
1547092814,7846,7846
1547093719,8629,8629
1547094612,8674,8674
1547096414,8754,8754
1547098216,9028,9028
1547099113,8696,8696
1547100917,9535,9535
1547101817,9924,9924
1547103613,9592,9592
1547105413,8482,8482
1547106318,7201,7201
1547108113,7725,7725
1547109015,7861,7861
1547109915,8277,8277
1547110816,8614,8614
1547111714,9456,9456
1547113516,10359,10359
1547114414,9380,9380
1547116212,8549,8549
1547118015,10085,10085
1547119816,11922,11922
1547120713,12895,12895
1547122514,11604,11604
1547123416,12150,12150
1547125214,12678,12678
1547126112,13534,13534
1547127016,13708,13708
1547128812,13497,13497
1547129713,11592,11592
1547130614,12363,12363
1547131514,13471,13471
1547133315,12600,12600
1547135117,11910,11910
1547136013,12478,12478
1547136915,11091,11091
1547138713,10788,10788
1547139614,10832,10832
1547140514,10838,10838
1547141413,11367,11367
1547143213,11272,11272
1547144112,11964,11964
1547145015,12540,12540
1547145912,12655,12655
1547146813,12422,12422
1547148614,11047,11047
1547149512,9949,9949
1547150414,9160,9160
1547152214,11109,11109
1547154014,11383,11383
1547155811,10676,10676
1547156711,10985,10985
1547157613,10906,10906
1547158510,11341,11341
1547159412,11735,11735
1547161212,13023,13023
1547162111,13136,13136
1547163012,11067,11067
1547164813,11605,11605
1547166612,11960,11960
1547167513,12142,12142
1547168411,12049,12049
1547169313,11928,11928
1547170210,11201,11201
1547172011,10691,10691
1547173811,10282,10282
1547175613,10298,10298
1547176513,10588,10588
1547177412,10574,10574
1547178311,10188,10188
1547179211,9581,9581
1547180110,9579,9579
1547181911,10912,10912
1547182810,11460,11460
1547184612,12963,12963
1547186411,13861,13861
1547187312,14137,14137
1547188211,14248,14248
1547190012,14772,14772
1547190910,15234,15234
1547191811,15842,15842
1547192711,16562,16562
1547193610,17271,17271
1547195409,18722,18722
1547197210,18768,18768
1547199010,18442,18442
1547200811,17906,17906
1547202609,13159,13159
1547203510,12484,12484
1547204410,11657,11657
1547206210,9968,9968
1547208010,10226,10226
1547208912,11103,11103
1547210709,12525,12525
1547211612,13579,13579
1547213411,15581,15581
1547214311,15404,15404
1547215210,16383,16383
1547216111,17012,17012
1547217910,17658,17658
1547218811,16789,16789
1547219711,15690,15690
1547220609,15539,15539
1547222411,12444,12444
1547224211,12970,12970
1547225111,13282,13282
1547226012,12279,12279
1547226908,12016,12016
1547227810,11621,11621
1547228710,10430,10430
1547230511,9564,9564
1547231411,10436,10436
1547232312,11624,11624
1547234110,13599,13599
1547235013,14269,14269
1547236809,13414,13414
1547237711,13808,13808
1547239510,13948,13948
1547240410,14603,14603
1547242211,16024,16024
1547244010,17544,17544
1547245811,18979,18979
1547246709,19386,19386
1547247613,19328,19328
1547249408,17051,17051
1547251210,15804,15804
1547252109,15327,15327
1547253909,14939,14939
1547254810,14468,14468
1547256610,11986,11986
1547258409,9547,9547
1547259311,9013,9013
1547260210,8419,8419
1547262010,7628,7628
1547263813,7702,7702
1547265610,7370,7370
1547266512,7929,7929
1547267412,8508,8508
1547268310,9185,9185
1547270111,10056,10056
1547271010,10150,10150
1547272811,9689,9689
1547273710,9882,9882
1547274612,10121,10121
1547275511,9978,9978
1547276411,10643,10643
1547278211,11456,11456
1547280013,12374,12374
1547281810,12905,12905
1547283610,13558,13558
1547284511,12937,12937
1547285410,13008,13008
1547287211,13464,13464
1547289011,11982,11982
1547289911,11516,11516
1547290812,11708,11708
1547292611,10724,10724
1547293512,10824,10824
1547295311,9313,9313
1547297112,6236,6236
1547298013,6087,6087
1547299813,8405,8405
1547301613,9834,9834
1547303413,11366,11366
1547304313,12061,12061
1547306112,13734,13734
1547307011,14637,14637
1547307914,15788,15788
1547309712,16873,16873
1547310612,17117,17117
1547311511,16584,16584
1547313313,16576,16576
1547314212,16701,16701
1547315112,16672,16672
1547316913,16536,16536
1547317810,16022,16022
1547319611,16204,16204
1547320513,15178,15178
1547321410,14611,14611
1547322311,13909,13909
1547324111,13079,13079
1547325910,11684,11684
1547326809,11401,11401
1547327711,11581,11581
1547328610,11930,11930
1547330410,12688,12688
1547331310,11962,11962
1547332209,12045,12045
1547334011,12633,12633
1547334910,12839,12839
1547335809,13337,13337
1547337609,14262,14262
1547338510,14865,14865
1547339412,13959,13959
1547340309,13096,13096
1547341209,13139,13139
1547343009,12188,12188
1547344809,12842,12842
1547346610,13627,13627
1547347510,13951,13951
1547348410,14261,14261
1547350208,14650,14650
1547351108,14870,14870
1547352909,14602,14602
1547353809,14471,14471
1547354710,15104,15104
1547355609,15853,15853
1547357408,16997,16997
