DateTime,Entries,UniqueIPs
1541380824,5120,5191
1541395223,5130,5202
1541402422,5118,5190
1541416825,5115,5187
1541425225,5097,5169
1541433625,5090,5162
1541446824,5088,5160
1541461224,5067,5139
1541473822,5050,5122
1541488223,5023,5095
1541502026,5015,5087
1541515225,5013,5085
1541522425,5020,5092
1541530225,6150,6234
1541538624,6190,6275
1541547025,6229,6314
1541553624,6228,6313
1541562024,6220,6305
1541570424,6212,6297
1541578225,6214,6299
1541586625,6205,6289
1541594425,6192,6275
1541603424,6182,6265
1541617224,6179,6262
1541631024,6164,6247
1541637623,7453,7576
1541650823,11554,11723
1541668226,12322,12501
1541682626,12409,12591
1541697626,12407,12590
1541726424,12409,12592
1541740225,12403,12586
1541754626,12402,12585
1541769626,13422,13633
1541786426,13820,14040
1541801427,14083,14310
1541817624,14136,14364
1541834424,14172,14400
1541850027,14166,14394
1541866226,14167,14395
1541883626,14161,14388
1541898025,14200,14428
1541911824,14306,14537
1541926827,14379,14615
1541943026,14464,14702
1541958027,14475,14714
1541974225,14495,14736
1541989225,14485,14725
1542006025,14469,14708
1542021028,14470,14710
1542035426,14482,14722
1542064826,14493,14737
1542079226,14528,14773
1542095425,14502,14748
1542109828,14515,14761
1542126627,14509,14755
1542155425,14448,14696
1542171025,14328,14574
1542199226,14292,14532
1542213026,14215,14458
1542226226,14211,14453
1542237625,14207,14449
1542250825,14187,14428
1542263424,13865,14100
1542275426,13877,14112
1542288626,13385,13612
1542300027,13388,13615
1542312626,13391,13618
1542324625,13287,13513
1542335424,13231,13456
1542348024,13208,13434
1542359427,13159,13383
1542370227,13166,13390
1542381627,13170,13394
1542393027,13075,13300
1542403826,13032,13257
1542414626,13039,13265
1542427825,13042,13268
1542439225,13009,13235
1542451226,12973,13199
1542464426,12982,13208
1542475226,12952,13179
1542487226,12895,13123
1542499225,12863,13090
1542510625,12805,13030
1542523224,12745,12967
1542533429,12758,12980
1542544828,12723,12945
1542555627,12730,12952
1542567026,12702,12923
1542577826,12667,12886
1542588626,12639,12857
1542600626,12648,12868
1542624027,12576,12794
1542637227,12589,12808
1542649827,12302,12516
1542661827,12309,12523
1542673826,12106,12318
1542685225,11911,12117
1542697225,11922,12129
1542709227,11927,12134
1542721227,11435,11627
1542733827,11444,11636
1542747026,10982,11162
1542758427,10771,10947
1542768626,10778,10954
1542779425,10781,10958
1542789631,10273,10450
1542801027,10280,10457
1542812427,9868,10044
1542822027,9764,9939
1542834027,9735,9910
1542844227,9710,9884
1542855025,9683,9857
1542877229,9666,9840
1542887428,9628,9801
1542899428,9591,9764
1542911428,9657,9830
1542922227,9620,9793
1542932427,9573,9746
1542943827,9526,9699
1542954027,9507,9681
1542965429,9468,9641
1542976228,10547,10727
1542988227,10772,10955
1543000827,10782,10964
1543012827,10780,10963
1543024826,10776,10958
1543035626,10769,10951
1543047030,10765,10947
1543059030,10750,10930
1543071029,10725,10903
1543083029,10692,10870
1543095629,10665,10842
1543118427,10684,10861
1543129227,10672,10850
1543140029,10661,10839
1543150830,10647,10826
1543161629,10640,10820
1543171828,10639,10821
1543182629,10625,10807
1543192828,10635,10817
1543203027,10620,10801
1543214428,10548,10728
1543227637,10554,10734
1543239030,10507,10686
1543249229,10481,10660
1543260630,10468,10647
1543281028,10432,10611
1543310431,12985,13208
1543354230,12982,13205
1543366829,13032,13261
1543395632,13036,13266
1543408231,12998,13229
1543421429,13006,13237
1543435229,13062,13295
1543447230,13069,13301
1543460429,13078,13313
1543473628,13023,13253
1543485631,12991,13223
1543497631,12973,13203
1543522830,12945,13175
1543534830,12947,13175
1543557029,12942,13171
1543569631,12948,13171
1543581030,12934,13158
1543593030,12908,13130
1543605629,12866,13087
1543616430,12723,12943
1543626629,12735,12955
1543638628,12670,12889
1543649427,12642,12861
1543660830,12600,12819
1543673430,12569,12788
1543683029,12540,12756
1543694429,12499,12714
1543703429,12460,12675
1543713028,12494,12710
1543724428,12487,12704
1543735228,12473,12688
