DateTime,AddedIPs,RemovedIPs
1546759449,8,5
1546759929,6,5
1546760404,7,7
1546760888,5,7
1546761613,10,12
1546762088,7,8
1546762568,9,4
1546763046,3,2
1546763525,3,0
1546764010,0,1
1546764484,1,1
1546764968,1,0
1546823287,0,7
1546823768,9,7
1546824244,6,7
1546824725,10,13
1546825214,7,7
1546825689,11,10
1546826165,9,7
1546826648,8,5
1546827128,7,9
1546827606,7,6
1546828084,6,8
1546828806,8,6
1546829285,5,5
1546829764,4,8
1546830246,10,8
1546830725,6,4
1546831204,5,6
1546831695,12,13
1546832408,11,6
1546833129,5,5
1546833614,6,6
1546834089,7,7
1546834811,7,6
1546835531,7,6
1546836005,6,10
1546836726,12,9
1546837221,8,10
1546837686,9,8
1546838409,8,6
1546838902,6,7
1546839374,7,9
1546839852,9,8
1546840325,6,8
1546840817,21,19
1546841294,7,5
1546841770,6,9
1546842245,12,10
1546842739,8,9
1546843205,9,9
1546843925,9,4
1546844420,4,9
1546845127,11,9
1546845606,10,14
1546846328,10,5
1546846804,5,4
1546847525,5,5
1546848027,10,11
1546848487,7,7
1546848967,7,5
1546849445,4,6
1546849928,4,1
1546861205,0,1
1546861926,1,0
1546909446,0,3
1546909927,3,8
1546910404,8,7
1546911130,8,9
1546911604,7,8
1546912085,8,10
1546912566,8,8
1546913046,6,6
1546913526,10,11
1546914010,9,9
1546914728,11,10
1546915208,7,6
1546915926,11,8
1546916414,7,9
1546917128,14,13
1546917604,7,10
1546918086,16,13
1546918568,7,8
1546919044,8,5
1546919526,5,3
1546920017,4,7
1546920727,8,8
1546921205,7,6
1546921688,7,11
1546922164,7,3
1546922647,4,5
1546923125,5,7
1546923613,10,8
1546924326,6,5
1546924808,8,10
1546925529,12,9
1546926005,8,6
1546926486,6,6
1546926966,6,3
1546927446,3,8
1546927925,6,11
1546928410,13,9
1546928888,8,10
1546929606,9,9
1546930087,8,9
1546930564,9,5
1546931046,7,8
1546931529,5,6
1546932004,10,11
1546932485,8,8
1546932966,9,6
1546933445,7,8
1546933925,6,6
1546934418,9,11
1546934886,11,7
1546935364,4,4
1546935844,6,3
1546936328,1,0
1546995850,0,4
1546996326,7,9
1546996809,7,5
1546997528,8,12
1546998006,6,7
1546998725,10,11
1546999211,8,8
1546999928,12,11
1547000409,9,7
1547001125,6,11
1547001609,11,10
1547002333,11,10
1547002819,8,7
1547003285,9,9
1547003765,8,5
1547004245,4,4
1547004727,4,9
1547005205,9,9
1547005929,15,14
1547006406,9,12
1547007127,9,7
1547007604,8,7
1547008327,9,7
1547008817,6,6
1547009526,7,8
1547010011,9,8
1547010728,7,5
1547011205,5,7
1547011926,7,6
1547012647,7,10
1547013124,9,8
1547013614,9,8
1547014086,8,8
1547014812,6,6
1547015286,7,11
1547015766,8,5
1547016245,12,15
1547016726,7,8
1547017207,6,7
1547017686,8,8
1547018409,6,6
1547019126,7,6
1547019608,5,7
1547020087,7,14
1547020566,12,10
1547021046,11,7
1547021525,7,8
1547022008,9,9
1547022488,10,10
1547022965,12,10
1547023444,9,8
1547023929,8,8
1547024426,9,12
1547024886,10,8
1547025377,8,11
1547025846,13,7
1547026325,6,7
1547026805,11,10
1547027285,8,4
1547027766,4,1
1547028141,0,1
1547028487,1,2
1547082492,0,5
1547082968,7,9
1547083445,8,4
1547083929,6,8
1547084405,7,10
1547084885,9,7
1547085365,7,8
1547085847,7,9
1547086325,11,10
1547086807,10,11
1547087284,11,13
1547088006,12,5
1547088484,5,9
1547088965,8,8
1547089469,6,8
1547089927,11,8
1547090645,8,2
1547091129,6,12
1547091609,7,11
1547092328,9,8
1547092842,8,10
1547093286,8,4
1547093765,4,7
1547094244,8,10
1547094729,11,6
1547095445,6,5
1547095929,7,6
1547096415,5,9
1547097127,12,8
1547097606,8,6
1547098086,6,10
1547098805,11,9
1547099287,17,13
1547099767,9,8
1547100248,8,8
1547100728,7,9
1547101449,13,7
1547101930,3,6
1547102409,7,7
1547103125,10,7
1547103851,10,6
1547104327,7,7
1547104807,6,3
1547105531,3,8
1547106006,6,9
1547106488,11,7
1547106965,6,10
1547107446,13,14
1547107929,10,6
1547108404,7,5
1547108885,6,3
1547109366,1,0
1547109850,1,1
1547110324,1,0
1547168886,0,8
1547169369,9,11
1547169845,9,10
1547170329,9,8
1547170804,7,9
1547171526,11,9
1547172021,8,10
1547172728,10,7
1547173206,8,11
1547173685,10,4
1547174164,8,7
1547174649,6,6
1547175127,9,7
1547175847,7,8
1547176328,6,8
1547176805,10,6
1547177530,8,11
1547178006,8,7
1547178486,6,7
1547178967,8,7
1547179447,4,5
1547179925,5,4
1547180405,4,10
1547180885,11,7
1547181371,5,6
1547181846,6,3
1547182324,5,6
1547182818,9,7
1547183527,7,6
1547184006,5,7
1547184727,6,6
1547185209,7,9
1547185925,10,10
1547186415,14,6
1547186887,4,8
1547187369,8,11
1547187848,12,10
1547188329,8,6
1547188805,6,7
1547189526,7,5
1547190021,5,6
1547190970,8,12
1547191445,6,6
1547191928,8,10
1547192405,7,8
1547193129,8,8
1547193611,7,9
1547194328,10,8
1547194809,8,6
1547195286,5,3
1547195764,1,1
1547196244,1,0
1547255045,0,8
1547255528,10,7
1547256005,6,6
1547256487,11,10
1547256966,10,7
1547257449,8,9
1547257925,8,6
1547258414,11,10
1547258886,8,10
1547259372,9,9
1547259844,9,9
1547260326,9,7
1547260804,6,7
1547261530,9,11
1547262018,10,10
1547262727,8,8
1547263209,9,8
1547263926,10,9
1547264405,7,5
1547265129,6,8
1547265617,10,11
1547266325,10,6
1547266804,6,8
1547267527,9,10
1547268005,9,7
1547268487,7,5
1547268966,7,11
1547269451,10,4
1547269928,3,8
1547270409,7,6
1547271127,5,7
1547271605,7,9
1547272330,17,13
1547272811,8,13
1547273771,9,7
1547274245,13,11
1547274727,7,6
1547275205,6,5
1547275688,5,11
1547276166,10,6
1547276646,7,8
1547277129,6,8
1547277611,9,9
1547278089,9,10
1547278568,10,5
1547279045,5,8
1547279530,9,5
1547280044,9,14
1547280486,12,7
1547281208,7,3
1547281929,4,2
1547341924,1,7
1547342411,7,8
1547342896,9,11
1547343366,10,14
1547343844,12,10
1547344328,9,14
1547344819,11,4
1547345529,4,10
1547346010,9,3
1547346737,6,8
1547347204,7,7
1547347686,8,9
1547348166,8,5
1547348645,4,6
1547349128,8,10
1547349606,7,9
1547350088,13,7
1547350564,6,10
1547351286,11,10
1547351766,10,7
1547352255,7,5
1547352969,8,5
1547353444,6,9
1547353928,9,3
1547354404,3,11
1547354888,10,11
1547355375,10,9
1547355846,10,11
1547356325,10,7
1547356811,7,5
1547357530,4,7
1547358007,6,6
1547358487,7,9
1547358964,10,5
1547359448,6,11
1547359937,8,6
1547360404,10,10
1547360888,9,7
1547361608,8,7
1547362332,6,7
1547362813,5,10
1547363285,11,7
1547363769,6,7
1547364244,6,6
1547364740,7,10
1547365205,8,7
1547365926,7,6
1547366413,13,10
1547366886,4,7
1547367369,7,3
1547367847,6,1
1547368328,0,1
1547368805,9,3
1547369285,1,1
1547369766,1,0
1547428327,1,7
1547428805,7,8
1547429529,10,8
1547430004,6,7
1547430728,11,13
1547431224,8,8
1547431686,9,7
1547432181,9,11
1547432649,13,13
1547433127,8,10
1547433605,11,5
1547434089,6,4
1547434564,7,6
1547435048,5,10
1547435525,8,9
1547436250,10,6
1547436727,10,14
1547437204,8,9
1547437928,10,10
1547438422,9,9
1547439127,8,5
1547439615,4,10
1547440089,11,6
1547440566,6,7
1547441050,6,7
1547441529,10,6
1547442014,7,7
1547442489,6,9
1547442969,9,7
1547443687,8,8
1547444166,6,6
1547444644,6,8
1547445128,14,16
1547445629,13,11
1547446087,5,4
1547446569,5,13
1547447046,14,9
1547447527,9,8
1547448004,7,8
1547448489,9,8
1547448966,8,6
1547449455,7,8
1547449927,7,10
1547450414,11,10
1547450886,10,8
1547451368,6,2
1547451845,6,4
1547452570,5,9
1547453047,9,7
1547453527,6,13
1547454249,11,7
1547454727,7,4
1547455205,1,1
1547455689,1,0
1547514727,1,6
1547515447,7,12
1547515929,11,8
1547516406,8,9
1547517124,10,10
1547517610,11,7
1547518326,10,11
1547518811,10,4
1547519526,5,7
1547520008,4,5
1547520485,6,11
1547520966,8,7
1547521446,8,5
1547521927,7,8
1547522404,8,9
1547522887,11,11
1547523365,6,7
1547523845,7,9
1547524324,6,7
1547524815,7,6
1547525288,6,5
1547525769,6,5
1547526246,6,7
1547526725,4,8
1547527213,5,4
1547527688,4,5
1547528165,7,8
1547528645,6,5
1547529127,6,8
1547529604,7,11
1547530329,11,3
1547530806,5,6
1547531290,5,5
1547531768,8,13
1547532247,7,6
1547532724,5,7
1547533205,9,8
1547533926,12,9
1547534409,8,12
1547534888,10,8
1547535365,8,5
1547535850,9,7
1547536327,10,12
1547536809,8,7
1547537531,9,7
1547538005,6,7
1547538485,9,6
1547538965,5,10
1547539449,10,6
1547539926,5,6
1547540405,8,6
1547541131,8,5
1547541607,0,1
1547542088,1,0
