DateTime,AddedIPs,RemovedIPs
1547157723,1,1
1547158923,5,10
1547160123,7,10
1547160722,5,0
1547161323,6,0
1547161923,4,5
1547162522,2,8
1547163724,1,1
1547164323,2,0
1547164924,1,0
1547166122,6,7
1547167322,4,10
1547168524,12,2
1547169123,3,4
1547169724,3,4
1547170324,2,9
1547170923,4,0
1547171523,4,6
1547172123,0,5
1547172723,5,1
1547173325,3,2
1547173923,1,5
1547174522,8,4
1547175124,4,0
1547175723,7,25
1547176923,7,12
1547177522,3,8
1547178123,3,2
1547179323,4,6
1547180523,0,12
1547181123,1,8
1547181723,2,8
1547182323,5,0
1547182924,2,0
1547183523,4,4
1547184124,5,0
1547184724,2,7
1547185323,2,4
1547185923,2,6
1547186523,2,11
1547187123,6,5
1547187722,1,0
1547188323,3,2
1547188923,7,16
1547190124,24,8
1547190723,5,12
1547191323,15,8
1547191922,5,0
1547192523,1,5
1547193723,11,3
1547194923,1,13
1547195523,6,4
1547196124,4,6
1547197323,3,22
1547198524,2,2
1547199122,2,2
1547199723,5,0
1547200923,3,3
1547201523,3,11
1547202123,11,0
1547203323,2,5
1547204523,4,7
1547205123,3,0
1547205723,0,12
1547206322,2,0
1547206923,1,1
1547208123,2,2
1547209322,3,7
1547209923,4,3
1547210522,6,6
1547211123,2,0
1547211723,3,0
1547212323,9,0
1547212923,6,5
1547214122,5,2
1547215323,14,7
1547215923,1,5
1547216523,4,4
1547217122,4,3
1547217722,7,0
1547218924,5,14
1547219523,3,7
1547220123,5,0
1547220722,0,12
1547221323,1,2
1547221924,7,0
1547222522,3,12
1547223123,0,2
1547223723,7,1
1547224324,0,4
1547224923,4,6
1547226123,4,1
1547226723,3,4
1547227323,1,0
1547227923,4,6
1547228523,2,0
1547229723,12,11
1547230922,2,0
1547232124,9,10
1547232723,6,0
1547233323,3,3
1547233923,14,0
1547234523,2,7
1547235723,2,2
1547236923,0,8
1547237524,3,5
1547238123,2,0
1547238723,9,4
1547239322,3,2
1547240523,4,0
1547241723,5,4
1547242923,0,8
1547244123,2,2
1547244723,1,0
1547245323,8,11
1547246523,3,13
1547247723,3,6
1547248922,5,0
1547249523,4,6
1547250123,2,6
1547251324,6,3
1547251923,2,3
1547252523,2,2
1547253123,9,0
1547253724,1,2
1547254923,4,0
1547256123,2,8
1547257323,1,2
1547257922,5,0
1547258522,37,8
1547259123,6,7
1547259723,2,0
1547260924,2,5
1547262123,5,3
1547263323,3,11
1547264523,1,6
1547265722,1,15
1547266923,6,5
1547268123,4,5
1547268722,2,3
1547269323,1,4
1547270523,11,5
1547271123,1,6
1547271723,2,8
1547272923,1,6
1547273524,3,0
1547274723,0,3
1547275323,4,8
1547275923,3,3
1547277123,3,3
1547277723,10,9
1547278322,2,0
1547278924,4,2
1547280724,5,1
1547281323,3,8
1547281923,0,8
1547282523,3,0
1547283723,2,9
1547284923,2,7
1547286123,20,0
1547286723,2,25
1547287323,11,0
1547288523,6,1
1547289723,1,4
1547290924,2,55
1547291523,9,7
1547292123,2,4
1547292723,10,4
1547293322,1,4
1547294523,3,9
1547295724,1,12
1547296323,8,0
1547296923,6,0
1547297523,9,4
1547298123,6,0
1547298724,6,2
1547299323,3,2
1547299922,1,0
1547300523,6,2
1547301124,5,0
1547301723,20,0
1547302923,7,9
1547304123,0,6
1547304723,2,0
1547305323,7,3
1547305924,3,0
1547306522,11,0
1547307123,2,0
1547307723,2,12
1547308323,14,0
1547308924,2,6
1547309523,1,2
1547310123,2,0
1547310723,2,3
1547311322,1,6
1547311923,3,2
1547312523,4,0
1547313723,3,5
1547314323,0,9
1547314923,1,2
1547316123,10,12
1547317323,3,2
1547318523,9,5
1547319122,0,4
1547319723,4,0
1547320323,0,3
1547320923,1,6
1547321522,2,0
1547322124,0,4
1547322723,0,4
1547323323,5,0
1547324523,4,15
1547325123,4,0
1547325724,0,18
1547326924,2,8
1547327524,6,0
1547328123,1,2
1547329323,3,5
1547330523,5,5
1547331123,0,2
1547331722,4,5
1547332922,5,5
1547333523,1,0
1547334123,3,1
1547334723,1,4
1547335323,4,5
1547335922,2,1
1547336523,1,1
1547337724,4,13
1547338324,1,5
1547338924,2,0
1547340122,8,4
1547340723,19,3
1547341323,3,1
1547341925,3,2
1547342523,3,53
1547343123,2,0
1547343722,6,3
1547344924,0,8
1547345522,2,8
1547346123,1,0
1547346723,4,2
1547347323,3,0
1547348522,9,5
1547349124,10,6
1547349722,3,0
1547350923,2,7
1547351523,13,0
1547352122,4,2
1547352723,1,8
1547353323,4,0
1547353923,3,4
1547354523,1,10
1547355123,1,2
1547355723,1,0
1547356323,2,4
1547356923,5,0
1547357523,5,2
1547358123,1,11
1547358723,1,6
1547359323,3,4
1547360523,4,10
1547361124,2,0
1547361723,8,0
1547362322,6,16
1547362923,8,5
1547363523,5,0
1547364123,2,0
1547364723,5,5
1547365323,2,0
1547366524,3,11
1547367124,1,0
1547368922,3,29
1547370123,5,20
1547370724,2,1
1547371323,5,7
1547371923,1,0
1547372523,0,12
1547374324,11,8
1547374923,4,6
1547376123,0,56
1547377322,5,13
1547377924,2,31
1547378523,2,3
1547379723,5,0
1547380923,6,1
1547382122,2,16
1547383323,4,0
1547383923,2,0
1547384524,1,0
1547385723,3,6
1547386923,1,0
1547387523,5,0
1547388123,7,3
1547388723,1,0
1547389323,5,7
1547390522,1,14
1547391722,2,8
1547392923,3,4
1547394123,6,4
1547394723,0,5
1547395323,3,5
1547395923,0,56
1547396523,4,5
1547397123,1,0
1547397723,2,0
1547398323,0,7
1547398923,6,5
1547399523,1,0
1547400124,2,6
1547400723,3,8
1547401322,1,2
1547401922,4,4
1547402523,2,0
1547403723,5,4
1547404923,1,6
1547406123,1,2
1547406723,4,0
1547407323,3,0
1547408523,1,3
1547409724,0,3
1547410323,31,3
1547410923,5,7
1547412123,6,0
1547412722,2,3
1547413323,41,0
1547414522,6,7
1547415123,5,3
1547415723,4,2
1547416323,1,0
1547416922,1,11
1547418122,2,2
1547418723,0,2
1547419323,2,2
