DateTime,AddedIPs,RemovedIPs
1547169123,80,80
1547169724,80,80
1547170324,78,78
1547170923,80,80
1547171523,80,80
1547172123,80,80
1547172723,80,80
1547173325,79,79
1547173923,80,80
1547174522,80,80
1547175124,80,80
1547175723,80,80
1547176923,80,80
1547177522,74,74
1547178123,80,80
1547179323,77,77
1547180523,80,80
1547181123,80,80
1547181723,80,80
1547182323,80,80
1547182924,80,80
1547183523,80,80
1547184124,80,80
1547184724,80,80
1547185323,80,80
1547185923,80,80
1547186523,79,79
1547187123,80,80
1547187722,80,80
1547188323,80,80
1547188923,80,80
1547190124,78,78
1547190723,80,80
1547191323,80,80
1547191922,80,80
1547192523,80,80
1547193723,80,80
1547194923,80,80
1547195523,80,80
1547196124,80,80
1547197323,80,80
1547198524,80,80
1547199122,80,80
1547199723,79,79
1547200923,80,80
1547201523,79,79
1547202123,80,80
1547203323,80,80
1547204523,80,80
1547205123,80,80
1547205723,80,80
1547206322,80,80
1547206923,80,80
1547207523,80,80
1547208123,80,80
1547209322,80,80
1547209923,80,80
1547210522,80,80
1547211123,80,80
1547211723,80,80
1547212323,80,80
1547212923,79,79
1547214122,80,80
1547215323,79,79
1547215923,80,80
1547216523,80,80
1547217122,79,79
1547217722,80,80
1547218924,80,80
1547219523,80,80
1547220123,80,80
1547220722,80,80
1547221323,80,80
1547221924,80,80
1547222522,80,80
1547223123,80,80
1547223723,79,79
1547224324,80,80
1547224923,80,80
1547226123,80,80
1547226723,80,80
1547227323,79,79
1547227923,80,80
1547228523,80,80
1547229723,80,80
1547230922,80,80
1547232124,80,80
1547232723,80,80
1547233323,80,80
1547233923,79,79
1547234523,80,80
1547235723,80,80
1547236923,80,80
1547237524,80,80
1547238123,80,80
1547238723,80,80
1547239322,80,80
1547240523,80,80
1547241723,80,80
1547242923,80,80
1547244123,80,80
1547244723,80,80
1547245323,80,80
1547246523,80,80
1547247123,80,80
1547247723,80,80
1547248922,80,80
1547249523,79,79
1547250123,80,80
1547251324,71,71
1547251923,80,80
1547252523,80,80
1547253123,80,80
1547253724,80,80
1547254923,80,80
1547256123,80,80
1547257323,80,80
1547257922,80,80
1547258522,80,80
1547259123,80,80
1547259723,80,80
1547260924,80,80
1547262123,80,80
1547263323,80,80
1547264523,79,79
1547265722,80,80
1547266923,80,80
1547268123,80,80
1547268722,80,80
1547269323,80,80
1547270523,80,80
1547271123,80,80
1547271723,80,80
1547272923,80,80
1547273524,79,79
1547274123,80,80
1547274723,79,79
1547275323,79,79
1547275923,80,80
1547276523,80,80
1547277123,80,80
1547277723,79,79
1547278322,79,79
1547278924,80,80
1547280123,80,80
1547280724,80,80
1547281323,80,80
1547281923,80,80
1547282523,80,80
1547283723,80,80
1547284923,78,78
1547286123,80,80
1547286723,80,80
1547287323,80,80
1547288523,80,80
1547289723,80,80
1547290924,80,80
1547291523,79,79
1547292123,80,80
1547292723,80,80
1547293322,80,80
1547294523,80,80
1547295724,79,79
1547296323,78,78
1547296923,80,80
1547297523,80,80
1547298123,80,80
1547298724,80,80
1547299323,80,80
1547299922,80,80
1547300523,80,80
1547301124,80,80
1547301723,79,79
1547302923,80,80
1547304123,80,80
1547304723,80,80
1547305323,80,80
1547305924,80,80
1547306522,80,80
1547307123,79,79
1547307723,80,80
1547308323,80,80
1547308924,80,80
1547309523,80,80
1547310123,80,80
1547310723,79,79
1547311322,79,79
1547311923,80,80
1547312523,80,80
1547313723,80,80
1547314323,80,80
1547314923,80,80
1547316123,80,80
1547316723,80,80
1547317323,79,79
1547318523,80,80
1547319122,80,80
1547319723,80,80
1547320323,80,80
1547320923,80,80
1547321522,80,80
1547322124,80,80
1547322723,80,80
1547323323,80,80
1547324523,80,80
1547325123,80,80
1547325724,80,80
1547326924,80,80
1547327524,80,80
1547328123,80,80
1547329323,80,80
1547330523,79,79
1547331123,80,80
1547331722,80,80
1547332922,80,80
1547333523,80,80
1547334123,80,80
1547334723,80,80
1547335323,79,79
1547335922,79,79
1547336523,80,80
1547337724,77,77
1547338324,80,80
1547338924,79,79
1547340122,80,80
1547340723,80,80
1547341323,80,80
1547341925,80,80
1547342523,80,80
1547343123,80,80
1547343722,80,80
1547344924,78,78
1547345522,80,80
1547346123,79,79
1547346723,79,79
1547347323,79,79
1547348522,80,80
1547349124,80,80
1547349722,80,80
1547350923,80,80
1547351523,80,80
1547352122,80,80
1547352723,80,80
1547353323,80,80
1547353923,80,80
1547354523,80,80
1547355123,80,80
1547355723,80,80
1547356323,80,80
1547356923,80,80
1547357523,80,80
1547358123,68,68
1547358723,80,80
1547359323,80,80
1547360523,80,80
1547361124,80,80
1547361723,80,80
1547362322,80,80
1547362923,80,80
1547363523,80,80
1547364123,80,80
1547364723,80,80
1547365323,80,80
1547366524,79,79
1547367124,80,80
1547367723,80,80
1547368922,80,80
1547370123,80,80
1547370724,80,80
1547371323,80,80
1547371923,80,80
1547372523,80,80
1547373723,79,79
1547374324,80,80
1547374923,80,80
1547376123,80,80
1547377322,80,80
1547377924,80,80
1547378523,80,80
1547379122,80,80
1547379723,80,80
1547380923,80,80
1547382122,80,80
1547382723,80,80
1547383323,80,80
1547383923,80,80
1547384524,80,80
1547385723,80,80
1547386923,80,80
1547387523,80,80
1547388123,79,79
1547388723,80,80
1547389323,80,80
1547390522,80,80
1547391722,80,80
1547392923,80,80
1547394123,80,80
1547394723,80,80
1547395323,80,80
1547395923,80,80
1547396523,80,80
1547397123,80,80
1547397723,80,80
1547398323,80,80
1547398923,80,80
1547399523,80,80
1547400124,80,80
1547400723,80,80
1547401322,80,80
1547401922,80,80
1547402523,80,80
1547403723,80,80
1547404923,80,80
1547406123,80,80
1547406723,80,80
1547407323,80,80
1547408523,80,80
1547409724,80,80
1547410323,80,80
1547410923,80,80
1547411523,80,80
1547412123,79,79
1547412722,80,80
1547413323,80,80
1547414522,80,80
1547415123,79,79
1547415723,80,80
1547416323,80,80
1547416922,80,80
1547418122,80,80
1547418723,80,80
1547419323,80,80
1547419923,80,80
1547420523,80,80
1547421125,80,80
1547421723,75,75
1547422323,80,80
1547422923,80,80
1547424124,80,80
1547424723,80,80
1547425322,79,79
1547425922,80,80
1547426523,80,80
1547427722,80,80
1547428922,79,79
1547430123,80,80
1547430723,80,80
1547431323,77,77
1547431925,80,80
1547432523,80,80
1547433123,80,80
1547433723,80,80
1547434323,80,80
1547434925,80,80
1547435523,80,80
1547436125,80,80
1547437324,80,80
1547437923,80,80
1547438524,80,80
1547439723,79,79
1547440324,80,80
1547440923,80,80
1547441522,80,80
1547442123,80,80
1547442723,80,80
1547443323,80,80
1547443924,80,80
1547444523,80,80
1547445723,80,80
1547446922,80,80
1547447523,80,80
1547448122,80,80
1547448723,79,79
1547449323,80,80
1547450523,80,80
1547451123,80,80
1547451723,80,80
1547452322,80,80
1547452923,80,80
1547453523,80,80
1547454123,80,80
1547455323,80,80
1547455923,80,80
1547456523,80,80
1547457723,80,80
1547458923,80,80
1547460123,80,80
1547460723,80,80
1547461324,80,80
1547461923,80,80
1547462523,80,80
1547463123,80,80
1547463722,79,79
1547464922,80,80
1547465524,80,80
1547466123,80,80
1547467322,79,79
1547467923,80,80
1547468523,80,80
1547469123,80,80
1547469724,80,80
1547470324,78,78
1547470923,80,80
1547472123,80,80
1547472723,80,80
1547473323,80,80
1547474523,79,79
1547475723,80,80
1547476922,80,80
1547478123,80,80
1547478724,80,80
1547479323,80,80
1547479922,80,80
1547480523,80,80
1547481723,80,80
1547482923,80,80
1547483523,80,80
1547484123,80,80
1547485322,80,80
1547486523,80,80
1547487123,80,80
1547487722,80,80
1547488923,80,80
1547489523,80,80
1547490123,80,80
1547490723,80,80
1547491323,80,80
1547492524,80,80
1547493723,80,80
1547494923,80,80
1547496123,80,80
1547497323,80,80
1547497923,80,80
1547498525,80,80
1547499123,80,80
1547499723,79,79
1547500923,78,78
1547502123,80,80
1547503323,80,80
1547503923,79,79
1547504523,80,80
1547505122,80,80
1547505723,79,79
1547506923,80,80
1547507523,80,80
1547508122,80,80
1547509323,80,80
1547510523,80,80
1547511122,80,80
1547511723,80,80
1547512323,80,80
1547512923,80,80
1547514125,80,80
1547515323,80,80
1547515923,80,80
1547516523,79,79
1547517723,80,80
1547518324,80,80
1547518922,78,78
1547520122,80,80
1547521323,80,80
1547522524,79,79
1547523722,80,80
1547524922,80,80
1547525526,80,80
1547526124,80,80
1547526724,80,80
1547527323,80,80
1547528523,80,80
1547529724,80,80
1547530923,80,80
1547531523,80,80
1547532123,80,80
1547533323,80,80
1547533923,79,79
1547534522,80,80
1547535123,80,80
1547535724,80,80
1547536323,80,80
1547536923,80,80
1547537523,80,80
1547538123,80,80
1547539323,80,80
1547540523,80,80
1547541123,79,79
1547541723,80,80
1547542323,80,80
1547542922,80,80
1547543525,79,79
1547544124,80,80
1547544723,80,80
1547545323,80,80
1547545922,80,80
1547546522,80,80
1547547124,80,80
1547547723,80,80
1547548323,80,80
1547548923,80,80
1547550123,78,78
1547551323,80,80
