DateTime,AddedIPs,RemovedIPs
1547108523,8,0
1547109723,20,12
1547110922,7,4
1547111523,3,0
1547112122,3,1
1547112722,1,0
1547113324,3,1
1547114523,4,6
1547115723,2,25
1547116323,4,0
1547116923,15,0
1547118123,19,16
1547119322,2,10
1547119922,8,0
1547120523,2,9
1547121123,5,0
1547121722,1,0
1547122924,3,10
1547124123,1,1
1547124724,1,4
1547125323,5,4
1547127723,12,14
1547128923,4,0
1547129524,6,2
1547130124,11,8
1547130723,24,0
1547131323,0,29
1547131923,8,0
1547132523,14,0
1547133723,17,14
1547134323,1,8
1547134923,6,16
1547136123,18,0
1547136723,1,4
1547137324,3,7
1547137923,4,0
1547138522,5,11
1547139723,1,3
1547140324,17,13
1547140923,25,0
1547142123,10,24
1547143323,0,2
1547145124,2,7
1547145722,1,0
1547146922,7,4
1547148123,1,12
1547149323,0,10
1547150523,12,10
1547151723,24,15
1547152923,7,17
1547154123,4,9
1547155323,0,7
1547155923,0,11
1547157723,8,12
1547158923,1,5
1547160123,1,15
1547160722,7,0
1547161323,0,12
1547161922,10,0
1547162522,1,17
1547163123,1,0
1547163724,9,0
1547164924,20,10
1547165523,12,4
1547166122,3,0
1547167322,0,6
1547168524,1,7
1547169123,0,5
1547169724,0,3
1547170923,2,12
1547172123,15,3
1547173324,5,14
1547174522,1,1
1547175723,2,6
1547176923,1,0
1547177522,6,2
1547178122,5,11
1547179322,2,18
1547179924,28,0
1547180522,16,0
1547181123,1,11
1547181723,14,0
1547182924,30,15
1547184123,14,8
1547185323,2,9
1547186523,6,12
1547187123,13,0
1547187722,24,8
1547188923,17,6
1547190123,10,0
1547190723,2,9
1547191323,2,28
1547192523,8,0
1547193723,17,24
1547194322,1,10
1547194922,17,15
1547196123,6,1
1547196722,4,7
1547197323,3,5
1547197922,5,4
1547198524,4,0
1547199122,2,0
1547199723,3,4
1547200923,4,19
1547202123,3,0
1547202723,20,25
1547203322,20,0
1547204523,10,24
1547205723,5,4
1547206322,4,0
1547206923,0,4
1547207523,2,0
1547208122,2,0
1547209322,4,4
1547209923,3,0
1547210522,1,1
1547211123,3,0
1547212923,1,3
1547214122,9,2
1547215323,8,10
1547215923,25,5
1547216523,11,0
1547217122,4,24
1547217722,8,0
1547218924,9,3
1547219523,8,2
1547220123,4,0
1547220722,19,6
1547221323,19,0
1547222522,3,12
1547223123,2,7
1547223723,0,4
1547224324,2,0
1547224923,1,1
1547226123,2,1
1547226723,17,8
1547227323,10,0
