DateTime,AddedIPs,RemovedIPs
1547138522,56,56
1547139723,28,28
1547140324,86,86
1547140923,98,98
1547142123,86,86
1547143323,36,36
1547143923,5,5
1547144522,5,5
1547145124,8,8
1547145722,13,13
1547146922,29,29
1547148123,26,26
1547148723,5,5
1547149323,2,2
1547150523,77,77
1547151723,98,98
1547152923,98,98
1547154123,57,57
1547155323,17,17
1547155923,9,9
1547156523,2,2
1547157723,19,19
1547158923,44,44
1547159523,4,4
1547160123,4,4
1547160722,57,57
1547161323,27,27
1547161922,38,38
1547162522,34,34
1547163123,5,5
1547163724,47,47
1547164924,100,100
1547165523,77,77
1547166122,16,16
1547167322,36,36
1547167922,16,16
1547168524,1,1
1547169123,1,1
1547169724,6,6
1547170923,31,31
1547172123,81,81
1547173324,47,47
1547174522,16,16
1547175723,50,50
1547176923,44,44
1547177522,22,22
1547178122,17,17
1547179322,41,41
1547179924,72,72
1547180522,56,56
1547181123,30,30
1547181723,44,44
1547182924,91,91
1547184123,70,70
1547185323,46,46
1547186523,33,33
1547187123,89,89
1547187722,85,85
1547188923,100,100
1547190123,48,48
1547190723,49,49
1547191323,19,19
1547192523,85,85
1547193723,77,77
1547194322,68,68
1547194922,100,100
1547196123,100,100
1547196722,50,50
1547197323,34,34
1547197922,47,47
1547198524,13,13
1547199122,19,19
1547199723,5,5
1547200923,68,68
1547201522,27,27
1547202123,41,41
1547202723,67,67
1547203322,68,68
1547204523,58,58
1547205123,36,36
1547205723,53,53
1547206322,75,75
1547206923,24,24
1547207523,16,16
1547208122,17,17
1547209322,31,31
1547209923,19,19
1547210522,16,16
1547211123,48,48
1547211723,38,38
1547212923,37,37
1547214122,51,51
1547215323,66,66
1547215923,99,99
1547216523,93,93
1547217122,64,64
1547217722,45,45
1547218924,99,99
1547219523,50,50
1547220123,43,43
1547220722,72,72
1547221323,64,64
1547222522,83,83
1547223123,46,46
1547223723,29,29
1547224324,34,34
1547224923,42,42
1547226123,49,49
1547226723,83,83
1547227323,34,34
1547228523,86,86
1547229123,31,31
1547229723,24,24
1547230323,11,11
1547230922,23,23
1547231522,15,15
1547232123,19,19
1547232723,7,7
1547233323,35,35
1547233923,26,26
1547234523,1,1
1547235123,10,10
1547235723,2,2
1547236922,79,79
1547237523,37,37
1547238123,70,70
1547238723,87,87
1547239322,48,48
1547240522,56,56
1547241723,22,22
1547242922,58,58
1547244123,89,89
1547244723,52,52
1547245323,37,37
1547246523,16,16
1547247123,44,44
1547247723,11,11
1547248922,71,71
1547249523,35,35
1547250123,55,55
1547251324,62,62
1547251922,60,60
1547252523,63,63
1547253123,40,40
1547253724,21,21
1547254923,16,16
1547255523,36,36
1547256123,42,42
1547257323,67,67
1547258522,47,47
1547259123,50,50
1547259723,70,70
1547260923,53,53
1547261523,47,47
1547262123,32,32
1547263323,60,60
1547264523,19,19
1547265122,28,28
1547265722,16,16
1547266923,85,85
1547268123,95,95
1547268722,38,38
1547269323,50,50
1547270523,88,88
1547271723,95,95
1547272922,52,52
1547273523,37,37
1547274123,27,27
1547275322,55,55
1547276523,10,10
1547277123,27,27
1547277723,29,29
1547278322,77,77
1547278923,50,50
1547280123,100,100
1547280723,59,59
1547281322,73,73
1547281923,62,62
1547282523,47,47
1547283722,16,16
1547284923,49,49
1547286123,36,36
1547287323,34,34
1547288522,84,84
1547289123,60,60
1547289723,15,15
1547290924,19,19
1547291523,18,18
1547292123,7,7
1547293322,69,69
1547294523,32,32
1547295122,11,11
1547295723,20,20
1547296323,9,9
1547296923,27,27
1547297523,20,20
1547298123,15,15
1547299323,44,44
1547300522,54,54
1547301722,37,37
1547302923,37,37
1547304123,96,96
1547304723,52,52
1547305323,72,72
1547306522,46,46
1547307122,15,15
1547307723,50,50
1547308924,83,83
1547309523,7,7
1547310123,9,9
1547310722,7,7
1547311322,6,6
1547311923,13,13
1547312523,32,32
1547313723,64,64
1547314923,87,87
1547316123,80,80
1547317323,75,75
1547318522,59,59
1547319122,6,6
1547319723,4,4
1547320923,32,32
1547322123,28,28
1547322723,64,64
1547323323,60,60
1547323923,69,69
1547324522,58,58
1547325122,40,40
1547325724,23,23
1547326924,43,43
1547327524,57,57
1547328122,21,21
1547329323,95,95
1547330523,46,46
1547331722,49,49
1547332922,96,96
1547333522,68,68
1547334123,24,24
1547334723,50,50
1547335323,1,1
1547335922,49,49
1547336522,45,45
1547337723,79,79
1547338323,41,41
1547338924,32,32
1547339523,16,16
1547340122,78,78
1547341323,89,89
