DateTime,AddedIPs,RemovedIPs
1545725702,180,0
1545729302,148,0
1545732902,154,0
1545736502,162,0
1545740101,193,0
1545743702,160,0
1545747302,174,0
1545750902,178,0
1545754502,170,0
1545758102,164,0
1545761702,153,0
1545765302,135,0
1545768902,122,0
1545772502,138,0
1545776102,146,0
1545779702,130,0
1545783302,146,4141
1545786902,148,0
1545790502,151,0
1545794102,134,0
1545797701,133,0
1545801302,148,0
1545804902,177,0
1545808502,146,0
1545812102,196,0
1545815702,204,0
1545819302,201,0
1545822902,200,0
1545826502,177,0
1545830102,187,0
1545833702,226,0
1545837301,181,0
1545840902,169,0
1545844502,184,0
1545848102,182,0
1545851702,158,0
1545855302,176,0
1545858903,130,0
1545862502,168,0
1545866102,140,0
1545869702,164,3589
1545873302,172,0
1545876902,183,0
1545880502,203,0
1545884102,169,0
1545887702,195,0
1545891302,214,0
1545894902,266,0
1545898502,260,0
1545902102,291,0
1545905702,262,0
1545909302,209,0
1545912902,235,0
1545916502,244,0
1545920102,208,0
1545923702,248,0
1545927302,193,0
1545930902,226,0
1545934502,233,0
1545938102,248,0
1545941702,228,0
1545945302,307,0
1545948903,198,0
1545952502,193,0
1545956102,212,3998
1545959703,189,0
1545963302,234,0
1545966902,222,0
1545970501,190,0
1545974102,230,0
1545977702,216,0
1545981302,232,0
1545984902,210,0
1545988501,219,0
1545992102,303,0
1545995702,264,0
1545999301,190,0
1546002902,211,0
1546006501,230,0
1546010102,227,0
1546013702,194,0
1546017302,198,0
1546020902,221,0
1546024501,166,0
1546028102,165,0
1546031702,154,0
1546035302,215,0
1546042501,226,5008
1546046102,215,0
1546049702,254,0
1546053301,231,0
1546056902,207,0
1546060501,220,0
1546064102,251,0
1546067701,209,0
1546071302,254,0
1546074902,296,0
1546078501,292,0
1546082102,292,0
1546085702,268,0
1546089302,214,0
1546092902,259,0
1546096502,315,0
1546100102,285,0
1546103702,235,0
1546107302,237,0
1546110901,188,0
1546114502,211,0
1546119902,157,0
1546123502,194,0
1546127101,181,0
1546130701,160,5006
1546134302,180,0
1546137902,188,0
1546141502,169,0
1546145102,181,0
1546148702,186,0
1546152302,173,0
1546155902,190,0
1546159502,173,0
1546163101,173,0
1546166702,178,0
1546193702,159,0
1546197302,159,0
1546200902,185,0
