DateTime,AddedIPs,RemovedIPs
1545002470,1,2
1545009670,1,3
1545016878,2,3
1545024077,4,3
1545031266,6,6
1545038460,3,6
1545042083,0,1
1545045794,6,5
1545051063,1,0
1545052859,1,6
1545055571,1,0
1545060070,2,2
1545061866,0,2
1545067269,4,2
1545071769,1,0
1545074467,8,7
1545076268,0,1
1545081663,4,2
1545089768,5,2
1545096063,1,4
1545103264,3,2
1545105964,0,1
1545110457,4,4
1545114067,0,1
1545117672,3,7
1545124876,6,4
1545129381,1,1
1545132069,4,1
1545139271,3,3
1545147381,0,3
1545153659,4,1
1545160868,6,3
1545164469,1,0
1545165364,0,1
1545167165,0,1
1545168064,2,1
1545168966,0,1
1545173474,0,1
1545175266,1,4
1545182461,4,0
1545189665,0,3
1545191463,0,1
1545196870,6,7
1545199564,1,0
1545200458,1,0
1545204076,2,5
1545211261,3,3
1545212158,0,1
1545217733,2,0
1545218621,4,1
1545225673,4,4
1545228373,0,1
1545232871,1,17
1545233764,0,1
1545240067,6,7
1545243667,0,11
1545247265,3,2
1545254470,2,2
1545260776,1,0
1545261667,3,3
1545268865,0,3
1545276070,3,5
1545283264,4,6
1545290462,5,4
1545297679,3,2
1545301280,0,2
1545304866,3,2
1545312059,2,4
1545313879,1,0
1545315688,0,1
1545319270,3,4
1545326467,4,4
1545327367,0,1
1545333670,3,2
1545338178,1,0
1545340865,7,1
1545348073,5,3
1545355264,3,0
1545362472,2,6
1545369663,5,4
1545376863,5,4
1545384074,2,4
1545387666,0,1
1545391397,4,2
1545392157,0,1
1545398460,3,1
1545404761,1,0
1545405668,4,5
1545412868,8,1
1545420059,3,1
1545421861,0,1
1545427268,4,3
1545434470,5,2
1545441660,1,2
1545448872,3,4
1545456092,5,7
1545463251,6,2
1545470460,1,7
1545477676,3,5
1545484858,3,3
1545492967,2,1
1545499262,1,2
1545501950,0,1
1545506461,8,2
1545508259,0,1
1545513670,5,2
1545519069,0,1
1545520859,2,0
1545528068,0,2
1545535259,2,7
1545542459,7,7
1545549668,2,1
1545556867,2,6
1545561556,0,2
1545563338,0,1
1545564212,4,5
1545567660,0,1
1545571270,1,2
1545574870,1,0
1545576662,0,1
1545578461,9,2
1545580272,2,0
1545585661,3,5
1545592860,2,4
1545595545,0,1
1545599153,0,1
1545600057,4,3
1545607257,1,2
1545621653,0,3
1545628861,4,5
1545636067,5,1
1545643263,2,6
1545650464,1,4
1545655863,1,0
1545657663,2,3
1545664866,3,1
1545672079,2,7
1545677464,0,1
1545679261,4,1
1545686465,8,3
1545693664,1,4
1545700866,0,2
1545708049,1,5
1545715266,3,3
1545722468,7,3
1545729657,5,4
1545735217,3,1
1545736984,3,2
1545739564,0,1
1545744061,2,3
1545751267,4,0
1545753960,0,1
1545758461,2,2
1545765664,4,6
1545772856,2,3
1545780061,3,2
1545787255,2,3
1545794451,2,4
1545801654,2,10
1545809758,5,1
1545816060,1,2
1545823268,1,2
1545826859,0,2
1545830466,4,1
1545837658,3,6
1545844866,4,1
1545852063,3,3
1545859268,5,1
1545861048,1,0
1545861953,1,0
1545864654,0,1
1545866457,2,3
1545873653,5,3
1545880857,2,5
1545888056,5,4
1545893461,0,1
1545895269,8,4
1545896165,0,1
1545902468,2,3
1545908006,1,0
1545908914,0,1
1545909790,3,2
1545916859,6,1
1545921362,0,2
1545924063,2,2
1545931260,6,2
1545938449,6,2
1545942957,0,1
1545945652,2,1
1545948358,0,1
1545952854,0,1
1545960056,2,3
1545967264,3,2
1545974452,2,7
1545981660,5,2
1545988852,2,2
1545996066,2,1
1546000557,0,1
1546003250,1,0
1546010450,3,5
1546017655,7,4
1546024856,2,3
1546032063,2,1
1546037457,0,1
1546039245,4,3
1546046461,6,3
1546050945,0,1
1546053657,1,2
1546054550,0,1
1546060856,3,6
1546068053,5,5
1546075251,6,2
1546080856,1,0
1546082570,3,2
1546089645,2,3
1546095940,0,1
1546096856,0,9
1546101346,0,1
1546104048,4,5
1546111255,2,2
1546118455,2,0
1546125645,3,2
1546132846,2,2
1546133761,0,1
1546140045,0,4
1546147247,3,9
1546154453,4,2
1546161649,4,2
1546166143,1,0
1546168838,2,2
1546176052,4,2
1546183247,1,6
1546185046,0,1
1546190449,2,5
1546196745,1,0
1546197656,3,3
1546204851,2,3
1546207549,0,1
1546212049,3,4
1546217442,0,1
1546219242,0,1
1546221047,0,1
1546221947,0,1
1546222845,0,1
1546226453,0,2
1546233659,0,4
1546235455,0,1
1546240851,0,4
1546248053,2,5
1546252741,0,1
1546255377,9,1
1546261545,0,1
1546262452,2,3
1546269645,4,4
1546271454,0,1
1546276861,6,4
1546284040,7,3
1546284945,0,1
1546291242,2,3
1546298447,1,2
1546304751,1,0
1546305641,11,0
1546312842,17,5
1546320064,4,3
1546327258,2,2
1546334452,4,5
1546338944,0,1
1546341655,4,3
1546347039,1,0
1546347939,1,0
1546348845,1,1
1546356039,2,1
1546363249,3,2
1546370441,8,4
1546373135,0,1
1546377658,12,2
1546384845,3,12
1546392053,0,1
1546399254,3,0
1546406441,4,2
1546413643,3,1
1546420849,3,2
1546428220,3,2
1546435246,5,2
1546442443,3,6
1546459879,9,7
1546464077,4,3
1546469479,0,1
1546470374,0,1
1546471251,6,0
1546475750,2,0
1546478464,5,3
1546485657,3,4
1546490146,0,1
1546492842,4,4
1546500044,4,6
1546507251,8,5
1546511760,1,0
1546514448,2,0
1546521658,5,4
1546522553,0,2
1546526151,0,1
1546527064,0,1
1546528848,3,2
1546532451,0,1
1546536055,3,3
1546541452,1,0
1546543268,3,1
1546550451,4,3
1546557645,5,4
1546564863,3,1
1546569353,0,1
1546572048,2,4
1546579246,3,6
1546583750,1,0
1546586452,5,6
1546593654,3,2
1546600070,10,0
1546600991,2,14
1546608048,2,3
1546611655,1,0
1546615249,2,4
1546622454,2,2
1546626956,2,1
1546629675,4,1
1546632363,1,0
1546636857,3,1
1546644049,2,5
1546651250,1,1
1546658454,4,5
1546665649,1,2
1546672851,6,5
1546680059,3,3
1546684559,2,0
1546687253,5,5
1546694444,3,2
1546701650,5,3
1546704346,0,2
1546705237,0,1
1546709753,3,7
1546716047,4,4
1546723246,6,2
1546730450,3,1
1546737641,3,1
1546744848,2,5
1546747552,0,1
1546749345,1,0
1546751145,1,0
1546752048,2,5
1546759240,4,4
1546766443,7,2
1546772928,1,0
1546773781,2,2
1546780834,2,3
1546788037,3,3
1546795240,1,3
1546802453,2,1
1546803344,1,0
1546809654,5,1
1546816844,2,0
1546824048,1,2
1546830338,0,1
1546831242,0,5
1546838447,5,5
1546845642,1,3
1546852840,3,3
1546857345,17,2
1546860042,4,1
1546867244,2,1
1546874448,5,5
1546881643,2,2
1546886142,1,1
1546888840,4,6
1546889746,0,1
1546890646,2,0
1546896054,6,1
1546903242,1,7
1546907749,1,0
1546911346,1,1
1546917639,3,2
1546924835,2,6
1546932039,4,2
1546939239,3,4
1546943934,1,0
1546945709,4,1
1546946585,2,4
1546953649,2,1
1546960843,3,1
1546968945,4,1
1546975244,5,4
1546982433,2,1
1546989639,5,2
1546996842,2,2
1547004044,1,4
1547011245,3,8
1547018460,2,3
1547025642,2,4
1547030155,2,0
1547031049,1,0
1547031944,0,1
1547032851,3,4
1547040048,0,4
1547047244,7,1
1547054454,2,4
1547061649,3,3
1547068842,3,3
1547076045,2,3
1547083245,4,2
1547090444,4,5
1547097643,3,3
1547104848,1,4
1547112044,3,5
1547115652,1,0
1547119381,3,1
1547120158,3,0
1547126443,3,6
1547134550,1,4
1547140846,3,3
1547148043,4,2
1547155237,0,5
1547162449,4,3
1547169641,2,2
1547176840,2,4
1547181343,0,1
1547184049,2,3
1547188546,1,0
1547191246,3,4
1547198449,4,3
1547202944,13,1
1547204752,0,5
1547205653,8,6
1547212837,3,6
1547220051,4,5
1547227235,1,4
1547234446,5,3
1547238044,0,1
1547242542,3,4
1547244333,0,1
1547248839,7,1
1547256052,0,3
1547263252,4,4
1547270431,2,5
1547274046,0,1
1547277648,6,6
1547284833,4,2
1547291313,7,2
1547292182,2,3
1547299251,3,3
1547306450,2,3
1547313645,2,3
1547320835,0,2
1547325342,0,1
1547328044,0,4
1547334348,0,1
1547341542,0,1
1547342438,0,1
1547349645,0,2
1547356839,0,3
1547364039,0,4
1547371240,14,6
1547375746,10,0
1547377534,0,1
1547378437,8,2
1547385638,3,2
1547392836,2,5
1547400042,2,4
1547402733,0,1
1547407239,1,2
1547414441,5,6
1547421634,2,2
1547428828,5,4
1547436032,3,2
1547443233,3,4
1547445930,0,1
1547450436,6,3
1547457633,3,10
1547462330,0,8
1547464064,1,0
1547464966,4,0
1547472037,1,1
1547479270,1,4
1547485545,0,1
1547486445,7,16
1547490041,0,1
1547493653,6,1
1547495437,0,1
1547499039,0,1
1547500834,2,0
1547508044,3,1
1547512538,0,1
1547515230,4,1
1547522438,4,2
1547529643,4,0
1547533251,1,1
1547536835,4,3
1547544031,1,5
1547544943,0,1
1547548542,8,2
1547550347,0,2
1547551245,5,8
