DateTime,AddedIPs,RemovedIPs
1545296600,1,3
1545300141,2,0
1545303740,0,3
1545307402,0,1
1545314540,1,0
1545318143,1,3
1545321804,1,4
1545325454,3,0
1545328940,2,0
1545332540,0,1
1545336202,1,0
1545339748,2,5
1545347000,3,0
1545350606,0,1
1545354205,1,0
1545357807,2,0
1545364946,0,2
1545368603,4,4
1545372145,2,0
1545375801,2,6
1545383007,1,1
1545386546,1,1
1545390202,1,4
1545393809,2,0
1545397341,0,1
1545401006,2,0
1545404601,2,0
1545408204,1,5
1545411805,1,1
1545415405,1,0
1545419005,2,1
1545422605,1,1
1545426145,1,6
1545429801,1,0
1545433401,3,0
1545437001,0,1
1545444148,0,1
1545451405,1,3
1545454945,3,1
1545458604,2,0
1545462142,3,3
1545469405,0,3
1545472942,2,1
1545476602,0,5
1545480144,2,1
1545487405,0,5
1545490942,1,0
1545498204,1,1
1545501746,5,0
1545505404,2,4
1545508947,3,0
1545512607,1,1
1545516144,1,0
1545523405,0,1
1545530542,1,1
1545534205,1,2
1545537802,1,1
1545541406,4,0
1545545008,1,2
1545548604,1,5
1545552152,1,3
1545555802,1,0
1545559403,2,3
1545563007,1,0
1545570204,1,2
1545573747,2,0
1545577408,4,0
1545581007,0,1
1545584607,1,0
1545588208,1,0
1545591807,0,1
1545595403,3,3
1545602607,1,0
1545624146,1,3
1545627749,2,1
1545631409,2,0
1545635004,2,5
1545638604,2,1
1545645804,1,0
1545649404,0,5
1545653009,1,0
1545656544,1,0
1545660147,1,4
1545663748,1,0
1545667409,0,6
1545671009,1,4
1545674611,1,0
1545678206,1,2
1545681807,7,2
1545685348,1,0
1545689012,1,0
1545692609,0,1
1545703352,1,2
1545710604,2,3
1545717805,3,1
1545721349,3,2
1545724949,3,2
1545728548,1,0
1545732206,1,0
1545735806,1,1
1545739351,1,2
1545743007,1,0
1545746545,2,0
1545750152,2,1
1545753805,0,3
1545757416,1,0
1545761005,2,3
1545764605,1,0
1545768211,1,1
1545779005,2,0
1545782545,0,1
1545786210,1,0
1545797005,1,1
1545800549,1,5
1545804149,1,0
1545807806,3,1
1545811408,0,4
1545818605,0,3
1545822208,1,1
1545829349,2,0
1545833011,0,1
1545836546,2,0
1545840150,1,3
1545843746,2,0
1545847409,1,3
1545850949,1,0
1545858146,4,1
1545861811,2,1
1545869011,4,0
1545876151,1,0
1545879808,1,3
1545883346,2,1
1545887008,1,0
1545890548,3,1
1545894207,5,5
1545897747,1,1
1545904948,0,5
1545908547,2,0
1545912152,1,4
1545915807,4,0
1545919350,1,1
1545926551,4,1
1545930147,2,0
1545933807,4,0
1545937410,1,2
1545940948,1,0
1545944611,1,0
1545951747,0,1
1545959007,1,1
1545962609,0,1
1545966147,1,0
1545969812,2,7
1545977008,2,7
1545980608,3,0
1545984208,2,0
1545987811,0,3
1545994947,1,6
1546002211,0,1
1546005808,3,0
1546012951,3,1
1546016608,3,2
1546020212,1,0
1546023808,1,3
1546027409,1,0
1546030948,1,2
1546034612,1,2
1546038212,2,0
1546041812,3,0
1546045409,3,0
1546056209,1,2
1546059750,2,0
1546063413,4,3
1546066949,1,2
1546070550,2,0
1546074209,3,0
1546077749,2,6
1546084987,1,3
1546088609,1,2
1546095809,0,2
1546099349,1,0
1546103011,2,0
1546106554,1,6
1546110211,1,0
1546113749,2,0
1546117352,0,1
1546120953,2,2
1546128210,0,2
1546142609,2,5
1546146154,1,1
1546149753,1,0
1546153350,2,1
1546157016,1,1
1546160554,2,2
1546164210,0,1
1546167750,2,3
1546171350,2,0
1546182209,1,3
1546185754,1,0
1546189349,1,1
1546193010,1,0
1546196550,2,2
1546203810,2,3
1546207410,1,0
1546247714,3,17
1546248451,3,0
1546250564,3,0
1546257816,1,2
1546265020,0,1
1546268556,4,2
1546272156,2,0
1546275761,3,2
1546279356,0,1
1546282956,5,1
1546286620,1,0
1546290216,1,2
1546301020,8,0
1546304562,2,3
1546308225,15,0
1546311757,0,3
1546315362,4,0
1546319017,0,1
1546322561,1,0
1546326218,1,3
1546329819,2,3
1546333357,1,0
1546336963,0,1
1546340617,3,1
1546344218,0,1
1546347765,1,3
1546351418,1,0
1546355018,1,1
1546358618,1,0
1546362163,2,0
1546365761,2,2
1546369358,5,1
1546372958,14,0
1546380221,1,0
1546383823,1,1
1546387363,0,1
1546390959,0,1
1546398219,2,1
1546401762,1,1
1546405362,1,0
1546409019,1,6
1546412563,2,1
1546416165,1,0
1546419821,0,1
1546423419,2,0
1546426959,1,0
1546430626,1,1
1546434166,2,0
1546441362,2,0
1546445022,1,0
1546448619,2,7
1546452161,4,0
1546455763,2,2
1546462964,4,1
1546466619,3,1
1546470220,1,0
1546473825,2,3
1546477366,2,1
1546480967,1,0
1546484624,0,2
1546488161,2,0
1546491762,1,0
1546495360,2,1
1546498964,2,5
1546502561,4,4
1546506163,2,0
1546509763,0,2
1546513363,1,0
1546516966,5,0
1546520625,1,1
1546524227,1,0
1546531363,1,8
1546534965,2,2
1546538567,0,2
1546542221,1,0
1546545820,2,2
1546549364,1,0
1546552965,3,0
1546556566,4,0
1546560222,1,2
1546563764,1,0
1546567370,0,2
1546574622,3,3
1546578225,0,4
1546581828,3,0
1546585362,2,3
1546588962,1,1
1546596168,0,1
1546599767,2,0
1546606965,2,1
1546610564,2,1
1546614226,0,1
1546617822,1,1
1546621365,0,5
1546624968,1,3
1546628567,3,0
1546632163,0,3
1546635762,3,0
1546639370,1,1
1546643022,0,6
1546650169,0,1
1546653828,1,0
1546657366,1,1
1546660966,1,1
1546668167,2,3
1546671763,3,4
1546675363,1,1
1546678968,2,0
1546682568,3,3
1546686167,1,1
1546693363,0,1
1546697023,1,0
1546700565,3,2
1546704167,0,3
1546707769,1,0
1546711424,1,0
1546715029,1,2
1546718625,4,3
1546722169,2,0
1546725766,1,2
1546729367,0,1
1546733026,1,0
1546736623,1,2
1546743825,1,0
1546747369,1,3
1546751030,0,3
1546758166,3,2
1546761825,5,1
1546765365,1,0
1546769023,0,5
1546772630,1,2
1546776229,1,1
1546779826,1,0
1546786964,2,3
1546794166,1,0
1546797765,2,0
1546801428,0,1
1546805024,2,1
1546808631,2,3
1546812173,0,1
1546819424,1,9
1546833765,1,0
1546837364,1,0
1546844624,1,0
1546848167,2,0
1546851765,1,0
1546855365,1,2
1546859024,2,1
1546862624,1,0
1546866171,1,0
1546869830,2,0
1546873372,2,2
1546876970,1,5
1546884168,3,3
1546887765,1,3
1546891425,3,0
1546894970,0,1
1546898564,1,1
1546905769,1,0
1546913028,1,1
1546916566,1,0
1546920167,2,3
1546927368,0,1
1546930969,2,1
1546934566,2,0
1546938166,1,5
1546941771,0,4
1546945368,2,0
1546952630,2,0
1546956205,0,2
1546959799,3,1
1546963404,2,0
1546967001,1,1
1546970600,1,0
1546974140,2,0
1546977744,1,0
1546981404,1,0
1546984942,3,2
1546988542,2,1
1546995803,1,0
1546999401,0,1
1547006545,2,3
1547010141,0,2
1547017340,2,5
1547020944,2,0
1547024541,0,4
1547028203,0,1
1547031803,2,4
1547035346,0,7
1547042606,1,2
1547046203,2,0
1547049804,0,4
1547053403,2,0
1547060605,3,1
1547067806,2,0
1547071405,1,0
1547074948,0,1
1547078543,1,1
1547082204,0,2
1547089403,2,0
1547093002,1,2
1547096606,2,2
1547103802,1,1
1547107402,1,4
1547110941,1,2
1547118145,2,0
1547125342,2,0
1547129005,1,1
1547136144,1,2
1547139745,1,3
1547141901,1,0
1547143342,0,4
1547147001,1,0
1547150604,0,2
1547154202,0,1
1547157806,1,1
1547161405,1,1
1547175801,1,0
1547179344,2,4
1547183003,1,2
1547186548,1,3
1547190201,2,2
1547193746,3,1
1547197403,0,1
1547200941,2,1
1547204604,4,0
1547208147,0,1
1547211805,3,0
1547215403,1,1
1547219004,1,0
1547222602,1,0
1547229802,2,2
1547233402,2,1
1547240602,3,1
1547244207,1,0
1547247745,1,1
1547258603,1,2
1547262204,1,2
1547265805,1,0
1547269404,1,2
1547273004,0,4
1547276602,3,0
1547280144,1,1
1547283743,2,3
1547287402,1,0
1547291006,2,0
1547294544,1,0
1547298204,0,1
